,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica
2009-12-31 23:00:00+00:00,1.016162316,0.502891019,1.434795619,0.6652849,0.647679324
2010-01-01 00:00:00+00:00,1.016162316,0.502891019,1.434795619,0.6652849,0.647679324
2010-01-01 01:00:00+00:00,1.015757306,0.502765565,1.445038915,0.664333677,0.648288699
2010-01-01 02:00:00+00:00,1.015352295,0.502640109,1.455275902,0.663382367,0.648898075
2010-01-01 03:00:00+00:00,1.014947285,0.50251465,1.46550663,0.662430971,0.649507451
2010-01-01 04:00:00+00:00,1.014542274,0.502389188,1.475731152,0.661479487,0.650116826
2010-01-01 05:00:00+00:00,1.014137264,0.502263724,1.485949517,0.660527916,0.650726202
2010-01-01 06:00:00+00:00,1.013732254,0.502138256,1.496161776,0.659576257,0.651335578
2010-01-01 07:00:00+00:00,1.013327243,0.502012786,1.506367976,0.65862451,0.651944954
2010-01-01 08:00:00+00:00,1.012922233,0.501887314,1.516568167,0.657672676,0.652554329
2010-01-01 09:00:00+00:00,1.012517222,0.501761838,1.526762396,0.656720754,0.653163705
2010-01-01 10:00:00+00:00,1.012112212,0.50163636,1.53695071,0.655768744,0.653773081
2010-01-01 11:00:00+00:00,1.011707202,0.50151088,1.547133154,0.654816645,0.654382456
2010-01-01 12:00:00+00:00,1.011302191,0.501385396,1.557309774,0.653864458,0.654991832
2010-01-01 13:00:00+00:00,1.010897181,0.50125991,1.567480614,0.652912183,0.655601208
2010-01-01 14:00:00+00:00,1.010492171,0.501134421,1.577645719,0.651959819,0.656210583
2010-01-01 15:00:00+00:00,1.01008716,0.501008929,1.587805132,0.651007366,0.656819959
2010-01-01 16:00:00+00:00,1.00968215,0.500883434,1.597958895,0.650054824,0.657429335
2010-01-01 17:00:00+00:00,1.009277139,0.500757937,1.608107051,0.649102193,0.658038711
2010-01-01 18:00:00+00:00,1.008872129,0.500632437,1.618249641,0.648149473,0.658648086
2010-01-01 19:00:00+00:00,1.008467119,0.500506935,1.628386706,0.647196664,0.659257462
2010-01-01 20:00:00+00:00,1.008062108,0.500381429,1.638518287,0.646243765,0.659866838
2010-01-01 21:00:00+00:00,1.007657098,0.500255921,1.648644423,0.645290776,0.660476213
2010-01-01 22:00:00+00:00,1.007252087,0.50013041,1.658765154,0.644337697,0.661085589
2010-01-01 23:00:00+00:00,1.006847077,0.500004897,1.668880517,0.643384529,0.661694965
2010-01-02 00:00:00+00:00,1.013441127,0.501458748,1.670914951,0.644032969,0.662304341
2010-01-02 01:00:00+00:00,1.020035176,0.502912233,1.672949169,0.644681368,0.662913716
2010-01-02 02:00:00+00:00,1.026629226,0.504365354,1.674983173,0.645329725,0.663523092
2010-01-02 03:00:00+00:00,1.033223276,0.50581811,1.677016961,0.645978041,0.664132468
2010-01-02 04:00:00+00:00,1.039817326,0.507270503,1.679050535,0.646626315,0.664741843
2010-01-02 05:00:00+00:00,1.046411375,0.508722535,1.681083895,0.647274548,0.665351219
2010-01-02 06:00:00+00:00,1.053005425,0.510174206,1.683117041,0.647922739,0.665960595
2010-01-02 07:00:00+00:00,1.059599475,0.511625519,1.685149974,0.648570889,0.666569971
2010-01-02 08:00:00+00:00,1.066193524,0.513076473,1.687182693,0.649218997,0.667179346
2010-01-02 09:00:00+00:00,1.072787574,0.514527071,1.689215199,0.649867064,0.667788722
2010-01-02 10:00:00+00:00,1.079381624,0.515977313,1.691247493,0.65051509,0.668398098
2010-01-02 11:00:00+00:00,1.085975674,0.517427201,1.693279575,0.651163075,0.669007473
2010-01-02 12:00:00+00:00,1.092569723,0.518876736,1.695311444,0.651811018,0.669616849
2010-01-02 13:00:00+00:00,1.099163773,0.520325919,1.697343102,0.652458921,0.670226225
2010-01-02 14:00:00+00:00,1.105757823,0.521774751,1.699374548,0.653106782,0.6708356
2010-01-02 15:00:00+00:00,1.112351872,0.523223233,1.701405783,0.653754602,0.671444976
2010-01-02 16:00:00+00:00,1.118945922,0.524671366,1.703436807,0.654402382,0.672054352
2010-01-02 17:00:00+00:00,1.125539972,0.526119152,1.705467621,0.65505012,0.672663728
2010-01-02 18:00:00+00:00,1.132134022,0.527566592,1.707498224,0.655697818,0.673273103
2010-01-02 19:00:00+00:00,1.138728071,0.529013686,1.709528617,0.656345475,0.673882479
2010-01-02 20:00:00+00:00,1.145322121,0.530460436,1.711558801,0.65699309,0.674491855
2010-01-02 21:00:00+00:00,1.151916171,0.531906844,1.713588775,0.657640666,0.67510123
2010-01-02 22:00:00+00:00,1.15851022,0.533352909,1.715618541,0.6582882,0.675710606
2010-01-02 23:00:00+00:00,1.16510427,0.534798633,1.717648097,0.658935694,0.676319982
2010-01-03 00:00:00+00:00,1.162152322,0.534390191,1.712035625,0.659336848,0.676929358
2010-01-03 01:00:00+00:00,1.159200375,0.533981722,1.706421552,0.659737986,0.677538733
2010-01-03 02:00:00+00:00,1.156248427,0.533573226,1.700805872,0.660139108,0.678148109
2010-01-03 03:00:00+00:00,1.15329648,0.533164703,1.69518858,0.660540215,0.678757485
2010-01-03 04:00:00+00:00,1.150344532,0.532756152,1.689569669,0.660941307,0.67936686
2010-01-03 05:00:00+00:00,1.147392584,0.532347574,1.683949132,0.661342382,0.679976236
2010-01-03 06:00:00+00:00,1.144440637,0.531938969,1.678326964,0.661743443,0.680585612
2010-01-03 07:00:00+00:00,1.141488689,0.531530336,1.672703157,0.662144488,0.681194987
2010-01-03 08:00:00+00:00,1.138536741,0.531121677,1.667077706,0.662545517,0.681804363
2010-01-03 09:00:00+00:00,1.135584794,0.53071299,1.661450604,0.662946531,0.682413739
2010-01-03 10:00:00+00:00,1.132632846,0.530304275,1.655821843,0.663347529,0.683023115
2010-01-03 11:00:00+00:00,1.129680898,0.529895533,1.650191419,0.663748512,0.68363249
2010-01-03 12:00:00+00:00,1.126728951,0.529486764,1.644559323,0.664149479,0.684241866
2010-01-03 13:00:00+00:00,1.123777003,0.529077967,1.63892555,0.664550431,0.684851242
2010-01-03 14:00:00+00:00,1.120825055,0.528669143,1.633290093,0.664951368,0.685460617
2010-01-03 15:00:00+00:00,1.117873108,0.528260291,1.627652943,0.665352289,0.686069993
2010-01-03 16:00:00+00:00,1.11492116,0.527851412,1.622014096,0.665753195,0.686679369
2010-01-03 17:00:00+00:00,1.111969212,0.527442505,1.616373544,0.666154085,0.687288745
2010-01-03 18:00:00+00:00,1.109017265,0.527033571,1.610731279,0.66655496,0.68789812
2010-01-03 19:00:00+00:00,1.106065317,0.526624609,1.605087296,0.666955819,0.688507496
2010-01-03 20:00:00+00:00,1.10311337,0.52621562,1.599441586,0.667356663,0.689116872
2010-01-03 21:00:00+00:00,1.100161422,0.525806602,1.593794142,0.667757492,0.689726247
2010-01-03 22:00:00+00:00,1.097209474,0.525397558,1.588144958,0.668158305,0.690335623
2010-01-03 23:00:00+00:00,1.094257527,0.524988485,1.582494026,0.668559103,0.690944999
