,PHOT,WTON,WTOF,HROR
2050-01-01 00:00:00,0.0,0.15775806,0.714385004,0.36808783700000003
2050-01-01 01:00:00,0.0,0.182757837,0.691529767,0.367839696
2050-01-01 02:00:00,0.0,0.19256175899999997,0.729854676,0.36761064299999996
2050-01-01 03:00:00,0.0,0.21129210399999998,0.747714827,0.36736250299999995
2050-01-01 04:00:00,0.0,0.290587612,0.578892867,0.367123906
2050-01-01 05:00:00,0.0,0.282846033,0.581104325,0.366875766
2050-01-01 06:00:00,0.0,0.24147669100000002,0.768362117,0.366627625
2050-01-01 07:00:00,0.0,0.288589857,0.8633038470000001,0.366379485
2050-01-01 08:00:00,1.29e-05,0.40984712799999995,0.8840494240000001,0.36613134399999997
2050-01-01 09:00:00,0.031775999,0.44692697600000003,0.905346111,0.36588320399999996
2050-01-01 10:00:00,0.128566676,0.426951653,0.926618225,0.36565415100000004
2050-01-01 11:00:00,0.253755299,0.385562267,0.8935095479999999,0.36540601
2050-01-01 12:00:00,0.321705626,0.36965817700000003,0.853025835,0.36516741399999997
2050-01-01 13:00:00,0.291044213,0.437152008,0.855676074,0.364919273
2050-01-01 14:00:00,0.184217115,0.45797364799999996,0.82204437,0.364671133
2050-01-01 15:00:00,0.08800602199999999,0.45353716200000005,0.8147254979999999,0.36442299200000006
2050-01-01 16:00:00,0.014028355,0.5086658470000001,0.87808551,0.36417485200000005
2050-01-01 17:00:00,0.0,0.620885337,0.925807357,0.363926711
2050-01-01 18:00:00,0.0,0.7139446420000001,0.929387812,0.363678571
2050-01-01 19:00:00,0.0,0.7758861840000001,0.929387812,0.36345906200000005
2050-01-01 20:00:00,0.0,0.782732448,0.929387812,0.363210921
2050-01-01 21:00:00,0.0,0.8260349570000001,0.935478096,0.362962781
2050-01-01 22:00:00,0.0,0.853266341,0.9351235609999999,0.36271464
2050-01-01 23:00:00,0.0,0.866159322,0.929387812,0.36246649999999997
2050-01-02 00:00:00,0.0,0.862749552,0.929387812,0.362218359
2050-01-02 01:00:00,0.0,0.8780834909999999,0.919359028,0.36197021799999995
2050-01-02 02:00:00,0.0,0.888571149,0.905633951,0.36172207799999995
2050-01-02 03:00:00,0.0,0.8828317790000001,0.886910278,0.361502569
2050-01-02 04:00:00,0.0,0.8627517790000001,0.919738135,0.36125442799999996
2050-01-02 05:00:00,0.0,0.8239971140000001,0.921177338,0.36100628799999995
2050-01-02 06:00:00,0.0,0.7924918259999999,0.929682673,0.36075814700000003
2050-01-02 07:00:00,0.0,0.754962094,0.9274712159999999,0.360510007
2050-01-02 08:00:00,0.0,0.7342785359999999,0.8271868859999999,0.36026186600000004
