,PowerCapacity,Type,Unit,Zone,Technology,Fuel,JRC_id,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,RampDownMax,RampStartUpMaximum,RampShutDownMaximum,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,1046,Nuclear,TIHANGE 3,BE,STUR,NUC,0,0.405,24,24,0.0032791587,0.0032791587,200000,0,0,0.9,0.405,72,205.8,205.8,14.5277777778,14.5277777778,0,,,,,,
1,1038,Nuclear,DOEL 4,BE,STUR,NUC,0,0.405,24,24,0.0033044316,0.0033044316,200000,0,0,0.9,0.405,72,205.8,205.8,14.4166666667,14.4166666667,0,,,,,,
2,1008,Nuclear,TIHANGE 2,BE,STUR,NUC,0,0.405,24,24,0.0034027778,0.0034027778,200000,0,0,0.9,0.405,72,205.8,205.8,14,14,0,,,,,,
3,1006,Nuclear,DOEL 3,BE,STUR,NUC,0,0.405,24,24,0.0034095427,0.0034095427,200000,0,0,0.9,0.405,72,205.8,205.8,13.9722222222,13.9722222222,0,,,,,,
4,690,Hydro Pumped Storage,COO II T,BE,HPHS,WAT,0,0.86,0,0,0.4347826087,0.4347826087,0,0,0,0,0.86,0.3,18000,18000,2300,2300,0,,,3105,0,3105,0.86
5,481,Nuclear,TIHANGE 1N,BE,STUR,NUC,0,0.405,24,24,0.0071309771,0.0071309771,200000,0,0,0.9,0.405,72,205.8,205.8,6.6805555556,6.6805555556,0,,,,,,
6,481,Nuclear,TIHANGE 1S,BE,STUR,NUC,0,0.405,24,24,0.0071309771,0.0071309771,200000,0,0,0.9,0.405,72,205.8,205.8,6.6805555556,6.6805555556,0,,,,,,
7,474,Hydro Pumped Storage,COO I T,BE,HPHS,WAT,0,0.86,0,0,0.6329113924,0.6329113924,0,0,0,0,0.86,0.3,18000,18000,1580,1580,0,,,2133,0,2133,0.86
8,465,Fossil Gas,DROGENBOS TGV,BE,COMC,GAS,0,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,1,670.2,670.2,465,465,0.45,,,,,,
9,465,Fossil Gas,HERDERSBRUG STEG,BE,COMC,GAS,0,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,1,670.2,670.2,465,465,0.45,,,,,,
10,451,Fossil Gas,Amercoeur 1 R TGV,BE,COMC,GAS,0,0.525,5,1,0.024767184,0.024767184,112542.12,0,0,0.4,0.525,1,670.2,670.2,451,451,0.45,,,,,,
11,433,Nuclear,DOEL 1,BE,STUR,NUC,0,0.405,24,24,0.0079214781,0.0079214781,200000,0,0,0.9,0.405,72,205.8,205.8,6.0138888889,6.0138888889,0,,,,,,
12,433,Nuclear,DOEL 2,BE,STUR,NUC,0,0.405,24,24,0.0079214781,0.0079214781,200000,0,0,0.9,0.405,72,205.8,205.8,6.0138888889,6.0138888889,0,,,,,,
13,422,Fossil Gas,T-power Beringen,BE,COMC,GAS,0,0.525,5,1,0.0264691943,0.0264691943,112542.12,0,0,0.4,0.525,1,670.2,670.2,422,422,0.45,,,,,,
14,405,Fossil Gas,Marcinelle Energie (Carsid),BE,COMC,GAS,0,0.525,5,1,0.0275802469,0.0275802469,112542.12,0,0,0.4,0.525,1,670.2,670.2,405,405,0.45,,,,,,
15,384,Fossil Gas,Zandvliet Power,BE,COMC,GAS,0,0.525,5,1,0.0290885417,0.0290885417,112542.12,0,0,0.4,0.525,1,670.2,670.2,384,384,0.45,,,,,,
16,376,Fossil Gas,ESCH-SUR-ALZETTE STEG,BE,COMC,GAS,0,0.525,5,1,0.0297074468,0.0297074468,112542.12,0,0,0.4,0.525,1,670.2,670.2,376,376,0.45,,,,,,
17,357,Fossil Gas,RINGVAART STEG,BE,COMC,GAS,0,0.525,5,1,0.0312885154,0.0312885154,112542.12,0,0,0.4,0.525,1,670.2,670.2,357,357,0.45,,,,,,
18,350,Fossil Gas,SAINT-GHISLAIN STEG,BE,COMC,GAS,0,0.525,5,1,0.0319142857,0.0319142857,112542.12,0,0,0.4,0.525,1,670.2,670.2,350,350,0.45,,,,,,
19,315,Fossil Gas,Zelzate 2 Knippegroen,BE,COMC,GAS,0,0.525,5,1,0.0354603175,0.0354603175,112542.12,0,0,0.4,0.525,1,670.2,670.2,315,315,0.45,,,,,,
20,268,Biomass,RODENHUIZE 4,BE,STUR,BIO,0,0.45,8,6,0.0186567164,0.0186567164,2000,0,0,0.2,0.45,7,300,300,38.2857142857,38.2857142857,0,,,,,,
21,235,Fossil Hard coal,LANGERLO 1,BE,STUR,HRD,0,0.395,8,6,0.0212765957,0.0212765957,117242.17,0,0,0.3,0.395,7,300,300,33.5714285714,33.5714285714,0.95,,,,,,
22,235,Fossil Hard coal,LANGERLO 2,BE,STUR,HRD,0,0.395,8,6,0.0212765957,0.0212765957,117242.17,0,0,0.3,0.395,7,300,300,33.5714285714,33.5714285714,0.95,,,,,,
23,214,Wind Offshore,Northwind,BE,WTOF,WIN,0,1,0,0,0.6542056075,0.6542056075,0,0,0,0,1,0,8400,8400,856,856,0,,,,,,
24,178,Wind Offshore,Thorntonbank - C-Power - Area SW,BE,WTOF,WIN,0,1,0,0,0.7865168539,0.7865168539,0,0,0,0,1,0,8400,8400,712,712,0,,,,,,
25,171,Wind Offshore,Belwind Phase 1,BE,WTOF,WIN,0,1,0,0,0.8187134503,0.8187134503,0,0,0,0,1,0,8400,8400,684,684,0,,,,,,
26,150,Wind Offshore,Thorntonbank - C-Power - Area NE,BE,WTOF,WIN,0,1,0,0,0.9333333333,0.9333333333,0,0,0,0,1,0,8400,8400,600,600,0,,,,,,
27,144,Hydro Pumped Storage,PLATE TAILLE T,BE,HPHS,WAT,0,0.86,0,0,2.0833333333,2.0833333333,0,0,0,0,0.86,0.3,18000,18000,480,480,0,,,648,0,648,0.86
28,140,Fossil Gas,Scheldelaan Exxonmobil,BE,COMC,GAS,0,0.525,5,1,0.0797857143,0.0797857143,112542.12,0,0,0.4,0.525,1,670.2,670.2,140,140,0.45,,,,,,
29,138,Fossil Gas,INESCO WKK,BE,COMC,GAS,0,0.525,5,1,0.080942029,0.080942029,112542.12,0,0,0.4,0.525,1,670.2,670.2,138,138,0.45,,,,,,
30,2953,Photovoltaic,DispaSET PHOT_BE,BE,PHOT,SUN,0,1,0,0,0.3047748053,0.3047748053,0,0,0,0,1,0,54000,54000,11812,11812,0,,,,,,
