Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other
6162253,560000,0,2040590,2858400,12553,180483,510227
6190165,585000,0,2042358,2858000,11537,174423,518847
6399326,579800,0,2168741,2861000,92800,166955,530030
6635812,584200,0,2280083,2859200,215854,165841,530634
7213208,595200,0,2501050,2862000,544634,160789,549535
7518476,596000,0,2685672,2861200,653155,156576,565873
7597060,601400,0,2744027,2859800,653108,170016,568709
7658898,599600,0,2783530,2862200,704372,153088,556108
7472009,605465,0,2796184,2860800,506504,163600,539456
7467247,613922,0,2805790,2855800,490827,167996,532912
7559397,612058,0,2845580,2851800,572089,132615,545255
7645539,613570,0,2854496,2847000,667550,107873,555050
7199004,612800,0,2493089,2847000,601626,93055,551434
7242160,615400,0,2468771,2843000,681921,89250,543818
7279100,612200,0,2500357,2837800,679802,101803,547138
7343583,593200,4122,2503635,2838600,752952,113357,537717
7278215,601800,14055,2495207,2834200,638149,129272,565532
7295834,610800,14113,2579517,2839200,561487,117713,573004
7401851,626400,14132,2694199,2835800,531614,121349,578357
7352586,622600,14152,2783568,2836400,378554,140625,576687
7175585,623400,14177,2742058,2837800,250839,129492,577819
7170856,627600,14193,2776028,2837400,194492,139508,581635
7224086,626600,14223,2805976,2839000,209722,145520,583045
7254023,629800,14204,2689736,2839400,342118,152530,586235
7053144,625600,14167,2615706,2838400,215826,149731,593714
6886670,625000,14213,2602541,2838800,49385,166771,589960
6851412,626000,14219,2603635,2837800,9320,177475,582963
6757809,624200,19924,2501288,2840800,8612,171911,591074
6921973,625800,1412,2529561,2838800,173199,174458,578743
6962548,621800,0,2552973,2839600,197397,162903,587875
6727934,586600,0,2518287,2838800,23712,172804,587731
6699677,545600,0,2537021,2838400,7815,189824,581017
6761272,488800,0,2704181,2840200,6858,187890,533343
6737477,491600,0,2653817,2839200,7042,223185,522633
6767814,494200,0,2642654,2839600,6372,224032,560956
6708961,505200,0,2560066,2840200,6067,238375,559053
6719762,497600,0,2587151,2836800,6993,239947,551271
6736181,499600,0,2609704,2837800,7221,242338,539518
6717741,496600,0,2576317,2834600,6942,249301,553981
6709525,495200,0,2559620,2834600,7243,260007,552855
