Day,Month,Year,Power exchange
3,10,2012,-691474
3,10,2012,-574120
3,10,2012,-556028
3,10,2012,-717062
3,10,2012,-586165
3,10,2012,-585913
3,10,2012,-746098
4,10,2012,-685781
4,10,2012,-607440
4,10,2012,-598497
4,10,2012,-601093
4,10,2012,-826630
4,10,2012,-887356
4,10,2012,-824034
4,10,2012,-874234
4,10,2012,-1258881
4,10,2012,-1479464
4,10,2012,-1415827
4,10,2012,-1499623
4,10,2012,-1726349
4,10,2012,-1820844
4,10,2012,-1851871
4,10,2012,-1867032
4,10,2012,-1850809
4,10,2012,-1906070
4,10,2012,-1873315
4,10,2012,-1858979
4,10,2012,-1527687
4,10,2012,-1556336
4,10,2012,-1515820
4,10,2012,-1478677
4,10,2012,-1281643
4,10,2012,-1242481
4,10,2012,-1318944
4,10,2012,-1205240
4,10,2012,-1087762
4,10,2012,-1065267
4,10,2012,-1143129
4,10,2012,-1025211
4,10,2012,-920669
4,10,2012,-975825
4,10,2012,-995230
4,10,2012,-972138
4,10,2012,-894467
4,10,2012,-943576
4,10,2012,-970279
4,10,2012,-986132
4,10,2012,-1048961
4,10,2012,-970587
4,10,2012,-1040512
4,10,2012,-1047731
4,10,2012,-981027
4,10,2012,-954960
4,10,2012,-1007568
4,10,2012,-907918
4,10,2012,-857584
4,10,2012,-621766
4,10,2012,-787533
4,10,2012,-843228
4,10,2012,-849586
4,10,2012,-785935
4,10,2012,-732491
4,10,2012,-709027
4,10,2012,-630945
4,10,2012,-673525
4,10,2012,-597378
4,10,2012,-555827
4,10,2012,-518350
4,10,2012,-512635
4,10,2012,-440627
4,10,2012,-448664
4,10,2012,-637687
4,10,2012,-738675
4,10,2012,-641086
4,10,2012,-701311
4,10,2012,-701804
4,10,2012,-739861
4,10,2012,-789475
4,10,2012,-816558
4,10,2012,-602424
4,10,2012,-604777
4,10,2012,-590164
4,10,2012,-607058
4,10,2012,-598236
4,10,2012,-676802
4,10,2012,-661121
4,10,2012,-552504
4,10,2012,-675113
4,10,2012,-629485
4,10,2012,-655598
4,10,2012,-675655
4,10,2012,-659277
4,10,2012,-666704
4,10,2012,-504289
4,10,2012,-494797
4,10,2012,-807186
4,10,2012,-788367
4,10,2012,-668351
4,10,2012,-644030
4,10,2012,-811114
4,10,2012,-754490
4,10,2012,-755968
4,10,2012,-714734
5,10,2012,-724072
5,10,2012,-653059
5,10,2012,-826484
5,10,2012,-749712
5,10,2012,-917059
5,10,2012,-830131
5,10,2012,-798380
5,10,2012,-1000719
5,10,2012,-1281283
5,10,2012,-1450025
5,10,2012,-1439606
5,10,2012,-1471668
5,10,2012,-1578975
5,10,2012,-1585449
5,10,2012,-1578393
5,10,2012,-1587445
5,10,2012,-1508735
5,10,2012,-1478820
5,10,2012,-1474978
5,10,2012,-1431737
5,10,2012,-1051931
5,10,2012,-979954
5,10,2012,-1060734
5,10,2012,-976216
5,10,2012,-654260
5,10,2012,-749120
5,10,2012,-692071
5,10,2012,-617684
5,10,2012,-558247
5,10,2012,-543360
5,10,2012,-555510
5,10,2012,-580380
5,10,2012,-711527
5,10,2012,-777063
5,10,2012,-500271
5,10,2012,-312420
5,10,2012,-214031
5,10,2012,-142812
5,10,2012,-91254
5,10,2012,-111873
5,10,2012,105530
5,10,2012,59902
5,10,2012,53868
5,10,2012,31627
5,10,2012,76007
5,10,2012,-8567
5,10,2012,59604
5,10,2012,62196
5,10,2012,-102436
5,10,2012,-9904
5,10,2012,-67453
5,10,2012,-83208
5,10,2012,-256870
5,10,2012,-267826
5,10,2012,-202813
5,10,2012,-333636
5,10,2012,-584656
5,10,2012,-710899
5,10,2012,-719561
5,10,2012,-697381
5,10,2012,-862979
5,10,2012,-789804
5,10,2012,-769029
5,10,2012,-748052
5,10,2012,-950444
5,10,2012,-990525
5,10,2012,-951950
5,10,2012,-992380
5,10,2012,-937950
5,10,2012,-950619
5,10,2012,-970250
5,10,2012,-923533
5,10,2012,-787878
5,10,2012,-801469
5,10,2012,-795330
5,10,2012,-730528
5,10,2012,-948644
5,10,2012,-935160
5,10,2012,-880000
5,10,2012,-858892
5,10,2012,-948206
5,10,2012,-861122
5,10,2012,-872966
5,10,2012,-747521
5,10,2012,-1106405
5,10,2012,-1135880
5,10,2012,-1033655
5,10,2012,-1012159
5,10,2012,-1107836
5,10,2012,-1222343
5,10,2012,-1060630
5,10,2012,-1097344
5,10,2012,-1041868
5,10,2012,-1062295
5,10,2012,-954457
5,10,2012,-984454
6,10,2012,-1305762
6,10,2012,-1240392
6,10,2012,-1286736
6,10,2012,-1214453
6,10,2012,-1298935
6,10,2012,-1273869
6,10,2012,-1203317
6,10,2012,-1360105
6,10,2012,-1614518
6,10,2012,-1776956
6,10,2012,-1716594
6,10,2012,-1708141
6,10,2012,-1810169
6,10,2012,-1824718
6,10,2012,-1847736
6,10,2012,-1856235
6,10,2012,-1939003
6,10,2012,-1966578
6,10,2012,-1954141
6,10,2012,-1972634
6,10,2012,-1743673
6,10,2012,-1887721
6,10,2012,-1868537
6,10,2012,-1757111
6,10,2012,-1276158
6,10,2012,-1214263
6,10,2012,-1372166
6,10,2012,-1280058
6,10,2012,-1063942
6,10,2012,-1096123
6,10,2012,-979684
6,10,2012,-926986
6,10,2012,-950351
6,10,2012,-1029193
6,10,2012,-1015379
6,10,2012,-1105024
6,10,2012,-1250215
6,10,2012,-1234062
6,10,2012,-1268093
6,10,2012,-1284615
6,10,2012,-1399869
6,10,2012,-1486896
6,10,2012,-1456956
6,10,2012,-1433881
6,10,2012,-1429169
6,10,2012,-1427036
6,10,2012,-1376841
6,10,2012,-1357606
6,10,2012,-1261117
6,10,2012,-1204775
6,10,2012,-1139435
6,10,2012,-1121664
6,10,2012,-1108408
6,10,2012,-1068323
6,10,2012,-1015260
6,10,2012,-1064437
6,10,2012,-1056535
6,10,2012,-1038056
6,10,2012,-1050771
6,10,2012,-1072005
6,10,2012,-1039087
6,10,2012,-1060093
6,10,2012,-1005160
6,10,2012,-1120060
6,10,2012,-1260474
6,10,2012,-1225360
6,10,2012,-1244350
6,10,2012,-1355695
6,10,2012,-1360981
6,10,2012,-1479309
6,10,2012,-1511694
6,10,2012,-1389886
6,10,2012,-1397500
6,10,2012,-1474678
6,10,2012,-1540215
6,10,2012,-1509788
6,10,2012,-1358726
6,10,2012,-1375475
6,10,2012,-1434343
6,10,2012,-1249735
6,10,2012,-1267910
6,10,2012,-1143335
6,10,2012,-1159626
6,10,2012,-1265561
6,10,2012,-1281515
6,10,2012,-1285802
6,10,2012,-1281099
6,10,2012,-1333582
6,10,2012,-1132080
6,10,2012,-1051013
6,10,2012,-906557
6,10,2012,-983248
6,10,2012,-896731
6,10,2012,-948674
6,10,2012,-913166
6,10,2012,-885145
7,10,2012,-822149
7,10,2012,-836870
7,10,2012,-872280
7,10,2012,-900968
7,10,2012,-1369649
7,10,2012,-1340507
7,10,2012,-1390269
7,10,2012,-1432016
7,10,2012,-1670999
7,10,2012,-1615399
7,10,2012,-1600927
7,10,2012,-1560705
7,10,2012,-1838494
7,10,2012,-1859365
7,10,2012,-1776947
7,10,2012,-1806043
7,10,2012,-1882729
7,10,2012,-1875793
7,10,2012,-1868661
7,10,2012,-1852260
7,10,2012,-1855297
7,10,2012,-1795614
7,10,2012,-1800717
7,10,2012,-1769093
7,10,2012,-1730710
7,10,2012,-1714094
7,10,2012,-1735414
7,10,2012,-1715332
7,10,2012,-1473003
7,10,2012,-1503275
7,10,2012,-1468413
7,10,2012,-1554642
7,10,2012,-1283769
7,10,2012,-1283016
7,10,2012,-1325326
7,10,2012,-1219954
7,10,2012,-1154172
7,10,2012,-1067710
7,10,2012,-1040611
7,10,2012,-978917
7,10,2012,-770271
7,10,2012,-696018
7,10,2012,-660258
7,10,2012,-643418
7,10,2012,-734289
7,10,2012,-700731
7,10,2012,-596895
7,10,2012,-662794
7,10,2012,-454930
7,10,2012,-418802
7,10,2012,-378811
7,10,2012,-398253
7,10,2012,-543539
7,10,2012,-518489
7,10,2012,-512836
7,10,2012,-572397
7,10,2012,-626984
7,10,2012,-613756
7,10,2012,-640222
7,10,2012,-568117
7,10,2012,-663454
7,10,2012,-683487
7,10,2012,-745713
7,10,2012,-726863
7,10,2012,-879754
7,10,2012,-941893
7,10,2012,-906503
7,10,2012,-1030554
7,10,2012,-1050032
7,10,2012,-1079617
7,10,2012,-1062661
7,10,2012,-1122074
7,10,2012,-898894
7,10,2012,-997417
7,10,2012,-1049790
7,10,2012,-1020109
7,10,2012,-1089543
7,10,2012,-1255210
7,10,2012,-1306831
7,10,2012,-1102765
7,10,2012,-1026238
7,10,2012,-1019892
7,10,2012,-984801
7,10,2012,-1106565
7,10,2012,-1131383
7,10,2012,-1095424
7,10,2012,-1157757
7,10,2012,-1068157
7,10,2012,-897624
7,10,2012,-826500
7,10,2012,-713069
7,10,2012,-702583
7,10,2012,-712866
7,10,2012,-649392
7,10,2012,-486238
7,10,2012,-632311
8,10,2012,-688271
8,10,2012,-630123
8,10,2012,-683719
8,10,2012,-705240
8,10,2012,-1031721
8,10,2012,-1112148
8,10,2012,-1121920
8,10,2012,-1117455
8,10,2012,-1233020
8,10,2012,-1293880
8,10,2012,-1258136
8,10,2012,-1274703
8,10,2012,-1382998
8,10,2012,-1487102
8,10,2012,-1396328
8,10,2012,-1425149
8,10,2012,-1439749
8,10,2012,-1538996
8,10,2012,-1546256
8,10,2012,-1486473
8,10,2012,-1363827
8,10,2012,-1397564
8,10,2012,-1429371
8,10,2012,-1448563
8,10,2012,-1384554
8,10,2012,-1370000
8,10,2012,-1386946
8,10,2012,-1302028
8,10,2012,-985676
8,10,2012,-1030440
8,10,2012,-1098834
8,10,2012,-924250
8,10,2012,-910829
8,10,2012,-1017618
8,10,2012,-1022601
8,10,2012,-1014628
8,10,2012,-1197066
8,10,2012,-1143957
8,10,2012,-1012507
8,10,2012,-1004199
8,10,2012,-997412
8,10,2012,-936261
8,10,2012,-877789
8,10,2012,-936501
8,10,2012,-896531
8,10,2012,-900749
8,10,2012,-838641
8,10,2012,-859579
8,10,2012,-807196
8,10,2012,-654813
8,10,2012,-694374
8,10,2012,-644744
8,10,2012,-757541
8,10,2012,-761251
8,10,2012,-713354
8,10,2012,-729134
8,10,2012,-668221
8,10,2012,-734223
8,10,2012,-776703
8,10,2012,-793967
8,10,2012,-770269
8,10,2012,-771278
8,10,2012,-771612
8,10,2012,-783733
8,10,2012,-854959
8,10,2012,-919584
8,10,2012,-999716
8,10,2012,-976325
8,10,2012,-1056898
8,10,2012,-1192021
8,10,2012,-1036004
8,10,2012,-994171
8,10,2012,-779940
8,10,2012,-787098
8,10,2012,-723616
8,10,2012,-858421
8,10,2012,-1108001
8,10,2012,-1262627
8,10,2012,-1148307
8,10,2012,-1143435
8,10,2012,-1049935
8,10,2012,-962320
8,10,2012,-912220
8,10,2012,-946578
8,10,2012,-943440
8,10,2012,-838964
8,10,2012,-881589
8,10,2012,-896449
8,10,2012,-1013045
8,10,2012,-956229
8,10,2012,-768408
8,10,2012,-866486
8,10,2012,-815961
8,10,2012,-752117
8,10,2012,-623090
8,10,2012,-647820
9,10,2012,-842685
9,10,2012,-724473
9,10,2012,-852393
9,10,2012,-788459
9,10,2012,-963487
9,10,2012,-913533
9,10,2012,-868977
9,10,2012,-978462
9,10,2012,-1152983
9,10,2012,-1255731
9,10,2012,-1227874
9,10,2012,-1274778
9,10,2012,-1571886
9,10,2012,-1656704
9,10,2012,-1641558
9,10,2012,-1614057
9,10,2012,-1560269
9,10,2012,-1584376
9,10,2012,-1609265
9,10,2012,-1561811
9,10,2012,-1380848
9,10,2012,-1243130
9,10,2012,-1190952
9,10,2012,-1162706
9,10,2012,-703844
9,10,2012,-781212
9,10,2012,-857439
9,10,2012,-522871
9,10,2012,-364226
9,10,2012,-301965
9,10,2012,-303731
9,10,2012,-119487
9,10,2012,-53739
9,10,2012,42999
9,10,2012,15872
9,10,2012,-36653
9,10,2012,-380593
9,10,2012,-393431
9,10,2012,-370753
9,10,2012,-298961
9,10,2012,-440794
9,10,2012,-283877
