year,month,day,hour,min,Vertical load [kW]
2012,10,1,0,0,3809551
2012,10,1,0,15,3799065
2012,10,1,0,30,3685043
2012,10,1,0,45,3658359
2012,10,1,1,0,3590353
2012,10,1,1,15,3576380
2012,10,1,1,30,3475386
2012,10,1,1,45,3459655
2012,10,1,2,0,3466274
2012,10,1,2,15,3416452
2012,10,1,2,30,3377414
2012,10,1,2,45,3354360
2012,10,1,3,0,3376411
2012,10,1,3,15,3350079
2012,10,1,3,30,3338949
2012,10,1,3,45,3394159
2012,10,1,4,0,3393797
2012,10,1,4,15,3312681
2012,10,1,4,30,3367790
2012,10,1,4,45,3464883
2012,10,1,5,0,3515256
2012,10,1,5,15,3564256
2012,10,1,5,30,3562896
2012,10,1,5,45,3737592
2012,10,1,6,0,3804647
2012,10,1,6,15,3972584
2012,10,1,6,30,4172970
2012,10,1,6,45,4354304
2012,10,1,7,0,4430022
2012,10,1,7,15,4492021
2012,10,1,7,30,4706630
2012,10,1,7,45,4712736
2012,10,1,8,0,4686852
2012,10,1,8,15,4654008
2012,10,1,8,30,4674785
2012,10,1,8,45,4644440
2012,10,1,9,0,4652157
2012,10,1,9,15,4661369
2012,10,1,9,30,4653313
2012,10,1,9,45,4664749
2012,10,1,10,0,4618335
2012,10,1,10,15,4633088
2012,10,1,10,30,4579186
2012,10,1,10,45,4562332
2012,10,1,11,0,4473029
2012,10,1,11,15,4449651
2012,10,1,11,30,4456418
2012,10,1,11,45,4455602
2012,10,1,12,0,4411045
2012,10,1,12,15,4329816
2012,10,1,12,30,4204409
2012,10,1,12,45,4173029
2012,10,1,13,0,4191163
2012,10,1,13,15,4209349
2012,10,1,13,30,4183022
2012,10,1,13,45,4207135
2012,10,1,14,0,4181442
2012,10,1,14,15,4202704
2012,10,1,14,30,4234191
2012,10,1,14,45,4287839
2012,10,1,15,0,4328124
2012,10,1,15,15,4297422
2012,10,1,15,30,4324436
2012,10,1,15,45,4318584
2012,10,1,16,0,4359026
2012,10,1,16,15,4377936
2012,10,1,16,30,4447712
2012,10,1,16,45,4467366
2012,10,1,17,0,4518284
2012,10,1,17,15,4562903
2012,10,1,17,30,4642070
2012,10,1,17,45,4714405
2012,10,1,18,0,4786576
2012,10,1,18,15,4816433
2012,10,1,18,30,4792924
2012,10,1,18,45,4803508
2012,10,1,19,0,4824028
2012,10,1,19,15,4869140
2012,10,1,19,30,4828826
2012,10,1,19,45,4960694
2012,10,1,20,0,4981036
2012,10,1,20,15,5010129
2012,10,1,20,30,4894227
2012,10,1,20,45,4836355
2012,10,1,21,0,4682483
2012,10,1,21,15,4665414
2012,10,1,21,30,4557163
2012,10,1,21,45,4521940
2012,10,1,22,0,4430546
2012,10,1,22,15,4475574
2012,10,1,22,30,4482869
2012,10,1,22,45,4547285
2012,10,1,23,0,4537398
2012,10,1,23,15,4466927
2012,10,1,23,30,4370744
2012,10,1,23,45,4227900
2012,10,2,0,0,4160198
2012,10,2,0,15,4108980
2012,10,2,0,30,4009413
2012,10,2,0,45,3971108
2012,10,2,1,0,3906231
2012,10,2,1,15,3833147
2012,10,2,1,30,3816239
2012,10,2,1,45,3771915
2012,10,2,2,0,3706006
2012,10,2,2,15,3696380
2012,10,2,2,30,3616445
2012,10,2,2,45,3633264
2012,10,2,3,0,3651862
2012,10,2,3,15,3639148
2012,10,2,3,30,3649879
2012,10,2,3,45,3579402
2012,10,2,4,0,3616020
2012,10,2,4,15,3598312
2012,10,2,4,30,3685806
2012,10,2,4,45,3680394
2012,10,2,5,0,3680637
2012,10,2,5,15,3801455
2012,10,2,5,30,3814236
2012,10,2,5,45,3864065
2012,10,2,6,0,4006784
2012,10,2,6,15,4223603
2012,10,2,6,30,4339766
2012,10,2,6,45,4513126
2012,10,2,7,0,4606282
2012,10,2,7,15,4786908
2012,10,2,7,30,4932891
2012,10,2,7,45,4985645
2012,10,2,8,0,4984198
2012,10,2,8,15,4870246
2012,10,2,8,30,4905784
2012,10,2,8,45,5031143
2012,10,2,9,0,5018153
2012,10,2,9,15,4887143
2012,10,2,9,30,4917252
2012,10,2,9,45,5000719
2012,10,2,10,0,4974283
2012,10,2,10,15,5013365
2012,10,2,10,30,5001230
2012,10,2,10,45,5032820
2012,10,2,11,0,5000225
2012,10,2,11,15,5027492
2012,10,2,11,30,5057929
2012,10,2,11,45,5034725
2012,10,2,12,0,5031444
2012,10,2,12,15,4882414
2012,10,2,12,30,4842331
2012,10,2,12,45,4804782
2012,10,2,13,0,4767220
2012,10,2,13,15,4790926
2012,10,2,13,30,4753634
2012,10,2,13,45,4697363
2012,10,2,14,0,4737413
2012,10,2,14,15,4701336
2012,10,2,14,30,4649474
2012,10,2,14,45,4698887
2012,10,2,15,0,4704879
2012,10,2,15,15,4727257
2012,10,2,15,30,4717629
2012,10,2,15,45,4698543
2012,10,2,16,0,4722947
2012,10,2,16,15,4662899
2012,10,2,16,30,4708300
2012,10,2,16,45,4685601
2012,10,2,17,0,4745812
2012,10,2,17,15,4693481
2012,10,2,17,30,4751690
2012,10,2,17,45,4795610
2012,10,2,18,0,4830888
2012,10,2,18,15,4742803
2012,10,2,18,30,4779680
2012,10,2,18,45,4803385
2012,10,2,19,0,4777497
2012,10,2,19,15,4851086
2012,10,2,19,30,4902639
2012,10,2,19,45,5005959
2012,10,2,20,0,5018284
2012,10,2,20,15,4981552
2012,10,2,20,30,4936800
2012,10,2,20,45,4848406
2012,10,2,21,0,4710638
2012,10,2,21,15,4695797
2012,10,2,21,30,4609775
2012,10,2,21,45,4550971
2012,10,2,22,0,4402189
2012,10,2,22,15,4414766
2012,10,2,22,30,4439148
2012,10,2,22,45,4553950
2012,10,2,23,0,4450148
2012,10,2,23,15,4462870
2012,10,2,23,30,4403067
2012,10,2,23,45,4256274
2012,10,3,0,0,4118851
2012,10,3,0,15,4113739
2012,10,3,0,30,4034400
2012,10,3,0,45,3971988
2012,10,3,1,0,3893071
2012,10,3,1,15,3783847
2012,10,3,1,30,3811353
2012,10,3,1,45,3726339
2012,10,3,2,0,3626675
2012,10,3,2,15,3674472
2012,10,3,2,30,3609071
2012,10,3,2,45,3582009
2012,10,3,3,0,3556625
2012,10,3,3,15,3550281
2012,10,3,3,30,3587341
2012,10,3,3,45,3609362
2012,10,3,4,0,3530660
2012,10,3,4,15,3556011
2012,10,3,4,30,3535245
2012,10,3,4,45,3568910
2012,10,3,5,0,3562193
2012,10,3,5,15,3688458
2012,10,3,5,30,3694353
2012,10,3,5,45,3742371
2012,10,3,6,0,3825986
2012,10,3,6,15,3981901
2012,10,3,6,30,4077665
2012,10,3,6,45,4264665
2012,10,3,7,0,4326976
2012,10,3,7,15,4416619
2012,10,3,7,30,4566265
2012,10,3,7,45,4662919
2012,10,3,8,0,4678255
2012,10,3,8,15,4600277
2012,10,3,8,30,4582422
2012,10,3,8,45,4646201
2012,10,3,9,0,4713878
2012,10,3,9,15,4724041
2012,10,3,9,30,4792106
2012,10,3,9,45,4758510
2012,10,3,10,0,4754855
2012,10,3,10,15,4782076
2012,10,3,10,30,4822070
2012,10,3,10,45,4834428
2012,10,3,11,0,4870928
2012,10,3,11,15,4789266
2012,10,3,11,30,4830603
2012,10,3,11,45,4866896
2012,10,3,12,0,4820739
2012,10,3,12,15,4701963
2012,10,3,12,30,4619967
2012,10,3,12,45,4655838
2012,10,3,13,0,4693711
2012,10,3,13,15,4686882
2012,10,3,13,30,4724049
2012,10,3,13,45,4681582
2012,10,3,14,0,4634812
2012,10,3,14,15,4657912
2012,10,3,14,30,4619168
2012,10,3,14,45,4617470
2012,10,3,15,0,4580549
2012,10,3,15,15,4605366
2012,10,3,15,30,4579045
2012,10,3,15,45,4659711
2012,10,3,16,0,4696649
2012,10,3,16,15,4671851
2012,10,3,16,30,4711416
2012,10,3,16,45,4710135
2012,10,3,17,0,4687883
2012,10,3,17,15,4745058
2012,10,3,17,30,4765152
2012,10,3,17,45,4833209
2012,10,3,18,0,4846896
2012,10,3,18,15,4858541
2012,10,3,18,30,4871150
2012,10,3,18,45,4909089
2012,10,3,19,0,4911411
2012,10,3,19,15,4926623
2012,10,3,19,30,5013885
2012,10,3,19,45,5067213
2012,10,3,20,0,5050609
2012,10,3,20,15,4969017
2012,10,3,20,30,4903523
2012,10,3,20,45,4841470
2012,10,3,21,0,4738779
2012,10,3,21,15,4619532
2012,10,3,21,30,4572591
2012,10,3,21,45,4473300
2012,10,3,22,0,4411547
2012,10,3,22,15,4469045
2012,10,3,22,30,4528372
2012,10,3,22,45,4554550
2012,10,3,23,0,4478312
2012,10,3,23,15,4542921
2012,10,3,23,30,4437324
2012,10,3,23,45,4262219
2012,10,4,0,0,4267460
2012,10,4,0,15,4188467
2012,10,4,0,30,4149488
2012,10,4,0,45,4026969
2012,10,4,1,0,3933903
2012,10,4,1,15,3922961
2012,10,4,1,30,3887840
2012,10,4,1,45,3834361
2012,10,4,2,0,3730251
2012,10,4,2,15,3701289
2012,10,4,2,30,3698395
2012,10,4,2,45,3665086
2012,10,4,3,0,3680163
2012,10,4,3,15,3671618
2012,10,4,3,30,3688823
2012,10,4,3,45,3687247
2012,10,4,4,0,3702636
2012,10,4,4,15,3725362
2012,10,4,4,30,3751118
2012,10,4,4,45,3724039
2012,10,4,5,0,3791934
2012,10,4,5,15,3874510
2012,10,4,5,30,3937980
2012,10,4,5,45,4006520
2012,10,4,6,0,4051458
2012,10,4,6,15,4219911
2012,10,4,6,30,4352110
2012,10,4,6,45,4501971
2012,10,4,7,0,4613521
2012,10,4,7,15,4711949
2012,10,4,7,30,4837939
2012,10,4,7,45,5018573
2012,10,4,8,0,5039423
2012,10,4,8,15,4961255
2012,10,4,8,30,4992913
2012,10,4,8,45,5049708
2012,10,4,9,0,5089299
2012,10,4,9,15,5084620
2012,10,4,9,30,5106164
