Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity ,Total Forecast ,Total Measured & Upscaled ,Monitored Capacity
137970,94665,493190,88453,79220,179359,49518,15445,313831
139285,93512,493190,88786,78759,179359,50498,14754,313831
140641,95472,493190,89147,81301,179359,51494,14171,313831
141977,99207,493190,89497,82887,179359,52480,16321,313831
143323,95956,493190,89846,79657,179359,53476,16299,313831
144791,92683,493190,90265,77365,179359,54526,15317,313831
146227,92701,493190,90668,77870,179359,55559,14830,313831
147684,94865,493190,91092,79395,179359,56592,15471,313831
149184,97523,493190,91510,82376,179359,57674,15148,313831
149952,103029,493190,91685,86255,179359,58267,16774,313831
150721,106817,493190,91876,89914,179359,58845,16903,313831
151500,110207,493190,92061,93041,179359,59438,17166,313831
152263,110122,493190,92236,93707,179359,60026,16415,313831
152878,112121,493190,92316,94692,179359,60562,17428,313831
153498,113715,493190,92390,96156,179359,61108,17559,313831
154118,108575,493190,92470,91225,179359,61648,17350,313831
154738,105960,493190,92549,89666,179359,62189,16293,313831
155305,106818,493190,92538,91920,179359,62766,14899,313831
155861,103982,493190,92533,88499,179359,63328,15483,313831
156428,106177,493190,92533,91112,179359,63895,15065,313831
157022,106691,493190,92523,91529,179359,64499,15162,313831
158384,105902,493190,92660,89784,179359,65723,16118,313831
159740,103853,493190,92798,89417,179359,66942,14435,313831
161118,105601,493190,92931,89801,179359,68188,15800,313831
162496,106310,493190,93074,90480,179359,69422,15830,313831
164081,105298,493190,93429,89325,179359,70652,15972,313831
165654,93429,493190,93794,78620,179359,71860,14809,313831
167223,90760,493190,94144,77322,179359,73079,13438,313831
168802,94756,493190,94520,79023,179359,74282,15732,313831
170132,85839,493190,94542,70377,179359,75591,15463,313831
171494,84086,493190,94563,69060,179359,76932,15026,313831
172851,85974,493190,94579,69571,179359,78272,16403,313831
174197,198128,493190,94621,97450,179359,79576,100678,313831
172613,198096,493190,94446,100719,179359,78166,97377,313831
171023,97696,493190,94287,82104,179359,76736,15591,313831
169481,86123,493190,94128,71178,179359,75352,14945,313831
167917,81764,493190,93980,67322,179359,73937,14442,313831
166285,79528,493190,93975,66980,179359,72311,12548,313831
164632,139039,493190,93959,85489,179359,70673,53551,313831
162968,78639,493190,93959,66065,179359,69009,12574,313831
161335,71543,493190,93959,59706,179359,67377,11837,313831
156889,100421,493190,93370,57885,179359,63519,42535,313831
152432,89923,493190,92782,53013,179359,59650,36910,313831
147960,89566,493190,92194,53267,179359,55766,36299,313831
143524,95310,493190,91622,58044,179359,51902,37267,313831
146004,102156,493190,92523,59506,179359,53482,42650,313831
148495,115284,493190,93429,66057,179359,55066,49227,313831
150986,128019,493190,94335,74331,179359,56651,53688,313831
153498,125204,493190,95236,78884,179359,58262,46320,313831
156047,124725,493190,95782,79103,179359,60265,45621,313831
158569,151857,493190,96317,90779,179359,62252,61078,313831
161118,163132,493190,96857,95315,179359,64261,67817,313831
163646,166052,493190,97382,97813,179359,66264,68240,313831
166508,166332,493190,98225,97007,179359,68283,69325,313831
169364,167295,493190,99046,97052,179359,70318,70243,313831
172226,159063,493190,99883,92989,179359,72342,66074,313831
175087,151350,493190,100710,89176,179359,74377,62174,313831
176974,143200,493190,101335,83990,179359,75639,59210,313831
178855,151627,493190,101955,89859,179359,76900,61768,313831
180747,162231,493190,102581,99240,179359,78166,62991,313831
182634,169303,493190,103206,102294,179359,79428,67009,313831
185400,186247,493190,104483,105876,179359,80917,80371,313831
188172,188988,493190,105787,106825,179359,82385,82162,313831
190906,196775,493190,107075,107531,179359,83831,89244,313831
193704,187963,493190,108368,105750,179359,85337,82213,313831
196513,184158,493190,109995,104768,179359,86518,79390,313831
199396,200973,493190,111616,109871,179359,87780,91103,313831
202199,192013,493190,113206,110331,179359,88993,81682,313831
205066,192903,493190,114838,109966,179359,90228,82938,313831
205246,187662,493190,114865,108335,179359,90382,79327,313831
205458,197655,493190,114881,112803,179359,90578,84852,313831
205649,198317,493190,114907,114933,179359,90742,83384,313831
205840,202789,493190,114928,115126,179359,90911,87664,313831
206476,206847,493190,115019,114965,179359,91457,91882,313831
207101,216711,493190,115114,117716,179359,91987,98995,313831
207732,215548,493190,115204,119692,179359,92528,95856,313831
208378,219190,493190,115299,123349,179359,93079,95841,313831
209014,235969,493190,115183,130359,179359,93831,105610,313831
209671,234598,493190,115061,132273,179359,94610,102325,313831
210323,236506,493190,114939,134480,179359,95384,102026,313831
210986,233455,493190,114828,132248,179359,96158,101207,313831
211977,246434,493190,114065,137169,179359,97912,109265,313831
212968,261478,493190,113291,137355,179359,99677,124123,313831
213943,264585,493190,112533,137654,179359,101410,126931,313831
214934,264947,493190,111770,136901,179359,103164,128046,313831
216047,262716,493190,111187,138252,179359,104860,124464,313831
217175,261912,493190,110609,129834,179359,106566,132078,313831
218294,248116,493190,110021,120481,179359,108272,127635,313831
219406,231902,493190,109438,110080,179359,109968,121821,313831
219152,237784,493190,107917,115990,179359,111235,121794,313831
218892,241771,493190,106391,114663,179359,112501,127107,313831
218643,254149,493190,104881,119585,179359,113763,134564,313831
218400,249120,493190,103349,115477,179359,115050,133643,313831
216932,247937,493190,102263,115352,179359,114669,132584,313831
215453,251217,493190,101166,118972,179359,114287,132245,313831
214028,237430,493190,100085,113982,179359,113943,123448,313831
219189,246150,493190,98336,122824,179359,120853,123326,313831
217817,255457,493190,96995,123028,179359,120821,132429,313831
216428,243026,493190,95649,114634,179359,120779,128392,313831
215024,240151,493190,94308,110633,179359,120715,129518,313831
213577,228400,493190,92973,107704,179359,120604,120696,313831
211526,220244,493190,91627,103775,179359,119899,116469,313831
209534,209436,493190,90302,94914,179359,119232,114522,313831
207520,211538,493190,88951,96485,179359,118569,115053,313831
