Day-Ahead forecast [MW],Intraday forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,1,0,870
0,18,4,0,870
0,36,13,0,870
0,51,26,0,870
0,65,40,0,870
0,88,56,0,870
0,111,79,0,870
0,134,106,0,870
0,157,133,0,870
0,179,158,0,870
0,201,184,0,870
0,222,205,0,870
0,244,225,0,870
0,260,243,0,870
0,277,254,0,870
0,293,271,0,870
0,310,288,0,870
0,318,297,0,870
0,326,309,0,870
0,333,321,0,870
0,341,324,0,870
0,345,323,0,870
0,349,327,0,870
0,352,330,0,870
0,355,326,0,870
0,350,323,0,870
0,345,317,0,870
0,339,311,0,870
0,334,299,0,870
0,323,294,0,870
0,313,285,0,870
0,302,276,0,870
0,291,260,0,870
0,272,240,0,870
0,254,222,0,870
0,235,200,0,870
0,216,175,0,870
0,193,152,0,870
0,170,125,0,870
0,147,104,0,870
0,124,83,0,870
0,103,63,0,870
0,83,41,0,870
0,62,24,0,870
0,42,11,0,870
0,25,5,0,870
0,8,2,0,870
0,4,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,0,0,870
0,0,3,0,870
0,10,10,0,870
0,19,24,0,870
0,27,38,0,870
0,35,54,0,870
0,49,73,0,870
0,64,95,0,870
0,78,122,0,870
0,92,150,0,870
0,107,182,0,870
0,121,210,0,870
0,135,240,0,870
0,150,259,0,870
0,159,285,0,870
0,168,307,0,870
0,177,320,0,870
0,186,342,0,870
0,191,358,0,870
0,195,356,0,870
0,200,379,0,870
0,204,388,0,870
0,208,400,0,870
0,212,405,0,870
