year,month,day,hour,min,Vertical load [kW]
2012,10,1,0,0,5187107
2012,10,1,0,15,5107150
2012,10,1,0,30,4905972
2012,10,1,0,45,4921190
2012,10,1,1,0,4799778
2012,10,1,1,15,4739777
2012,10,1,1,30,4705594
2012,10,1,1,45,4571821
2012,10,1,2,0,4548520
2012,10,1,2,15,4472513
2012,10,1,2,30,4453872
2012,10,1,2,45,4436484
2012,10,1,3,0,4433668
2012,10,1,3,15,4401060
2012,10,1,3,30,4429018
2012,10,1,3,45,4409186
2012,10,1,4,0,4460380
2012,10,1,4,15,4397516
2012,10,1,4,30,4436735
2012,10,1,4,45,4471698
2012,10,1,5,0,4468772
2012,10,1,5,15,4520953
2012,10,1,5,30,4488506
2012,10,1,5,45,4657999
2012,10,1,6,0,4696780
2012,10,1,6,15,4932029
2012,10,1,6,30,5151041
2012,10,1,6,45,5248753
2012,10,1,7,0,5398494
2012,10,1,7,15,5579712
2012,10,1,7,30,5713862
2012,10,1,7,45,5765303
2012,10,1,8,0,5797933
2012,10,1,8,15,5743464
2012,10,1,8,30,5868618
2012,10,1,8,45,5815012
2012,10,1,9,0,5867470
2012,10,1,9,15,6000946
2012,10,1,9,30,6016390
2012,10,1,9,45,6007236
2012,10,1,10,0,6067066
2012,10,1,10,15,6038573
2012,10,1,10,30,6022858
2012,10,1,10,45,6012888
2012,10,1,11,0,6015710
2012,10,1,11,15,5995640
2012,10,1,11,30,6064615
2012,10,1,11,45,6080015
2012,10,1,12,0,6069877
2012,10,1,12,15,5989999
2012,10,1,12,30,5938234
2012,10,1,12,45,5949778
2012,10,1,13,0,5830627
2012,10,1,13,15,5868346
2012,10,1,13,30,5849389
2012,10,1,13,45,5828023
2012,10,1,14,0,5780496
2012,10,1,14,15,5738615
2012,10,1,14,30,5781359
2012,10,1,14,45,5724791
2012,10,1,15,0,5714642
2012,10,1,15,15,5739828
2012,10,1,15,30,5629712
2012,10,1,15,45,5600317
2012,10,1,16,0,5509330
2012,10,1,16,15,5538940
2012,10,1,16,30,5477100
2012,10,1,16,45,5481175
2012,10,1,17,0,5497296
2012,10,1,17,15,5504701
2012,10,1,17,30,5618767
2012,10,1,17,45,5679564
2012,10,1,18,0,5744748
2012,10,1,18,15,5715473
2012,10,1,18,30,5713261
2012,10,1,18,45,5745954
2012,10,1,19,0,5725517
2012,10,1,19,15,5850258
2012,10,1,19,30,5925030
2012,10,1,19,45,5944793
2012,10,1,20,0,5901047
2012,10,1,20,15,5817328
2012,10,1,20,30,5765788
2012,10,1,20,45,5718708
2012,10,1,21,0,5459088
2012,10,1,21,15,5478715
2012,10,1,21,30,5393687
2012,10,1,21,45,5372759
2012,10,1,22,0,5265216
2012,10,1,22,15,5371511
2012,10,1,22,30,5513142
2012,10,1,22,45,5547524
2012,10,1,23,0,5478851
2012,10,1,23,15,5536816
2012,10,1,23,30,5365625
2012,10,1,23,45,5243160
2012,10,2,0,0,5168356
2012,10,2,0,15,5063047
2012,10,2,0,30,4931802
2012,10,2,0,45,4879322
2012,10,2,1,0,4748996
2012,10,2,1,15,4671835
2012,10,2,1,30,4666939
2012,10,2,1,45,4492404
2012,10,2,2,0,4482289
2012,10,2,2,15,4359302
2012,10,2,2,30,4309288
2012,10,2,2,45,4303615
2012,10,2,3,0,4265334
2012,10,2,3,15,4192763
2012,10,2,3,30,4189567
2012,10,2,3,45,4132092
2012,10,2,4,0,4125448
2012,10,2,4,15,4133370
2012,10,2,4,30,4132564
2012,10,2,4,45,4102008
2012,10,2,5,0,4083862
2012,10,2,5,15,4057776
2012,10,2,5,30,4191724
2012,10,2,5,45,4174224
2012,10,2,6,0,4146972
2012,10,2,6,15,4177423
2012,10,2,6,30,4227403
2012,10,2,6,45,4391858
2012,10,2,7,0,4405714
2012,10,2,7,15,4439807
2012,10,2,7,30,4475796
2012,10,2,7,45,4592808
2012,10,2,8,0,4568706
2012,10,2,8,15,4600496
2012,10,2,8,30,4652491
2012,10,2,8,45,4812991
2012,10,2,9,0,4907809
2012,10,2,9,15,5000314
2012,10,2,9,30,5036848
2012,10,2,9,45,5081870
2012,10,2,10,0,5082511
2012,10,2,10,15,5232397
2012,10,2,10,30,5316743
2012,10,2,10,45,5295036
2012,10,2,11,0,5307224
2012,10,2,11,15,5395514
2012,10,2,11,30,5373822
2012,10,2,11,45,5346234
2012,10,2,12,0,5391820
2012,10,2,12,15,5320586
2012,10,2,12,30,5357173
2012,10,2,12,45,5344548
2012,10,2,13,0,5329841
2012,10,2,13,15,5323055
2012,10,2,13,30,5268637
2012,10,2,13,45,5199773
2012,10,2,14,0,5228148
2012,10,2,14,15,5151845
2012,10,2,14,30,5138263
2012,10,2,14,45,5049725
2012,10,2,15,0,5045461
2012,10,2,15,15,5012312
2012,10,2,15,30,4965503
2012,10,2,15,45,4902685
2012,10,2,16,0,4958406
2012,10,2,16,15,5009316
2012,10,2,16,30,4945012
2012,10,2,16,45,4968800
2012,10,2,17,0,5083399
2012,10,2,17,15,5047028
2012,10,2,17,30,5091715
2012,10,2,17,45,5248882
2012,10,2,18,0,5183005
2012,10,2,18,15,5257771
2012,10,2,18,30,5267074
2012,10,2,18,45,5329447
2012,10,2,19,0,5309344
2012,10,2,19,15,5381839
2012,10,2,19,30,5467753
2012,10,2,19,45,5620856
2012,10,2,20,0,5541066
2012,10,2,20,15,5541660
2012,10,2,20,30,5394132
2012,10,2,20,45,5337241
2012,10,2,21,0,5274755
2012,10,2,21,15,5163246
2012,10,2,21,30,5112798
2012,10,2,21,45,4991304
2012,10,2,22,0,5015129
2012,10,2,22,15,5011348
2012,10,2,22,30,5073822
2012,10,2,22,45,5110976
2012,10,2,23,0,5126074
2012,10,2,23,15,5000740
2012,10,2,23,30,5038304
2012,10,2,23,45,4999086
2012,10,3,0,0,4873552
2012,10,3,0,15,4807422
2012,10,3,0,30,4727880
2012,10,3,0,45,4616102
2012,10,3,1,0,4462260
2012,10,3,1,15,4468423
2012,10,3,1,30,4430142
2012,10,3,1,45,4385107
2012,10,3,2,0,4296312
2012,10,3,2,15,4319215
2012,10,3,2,30,4260239
2012,10,3,2,45,4236734
2012,10,3,3,0,4180081
2012,10,3,3,15,4177486
2012,10,3,3,30,4179898
2012,10,3,3,45,4109758
2012,10,3,4,0,4114825
2012,10,3,4,15,4129714
2012,10,3,4,30,4091345
2012,10,3,4,45,4140475
2012,10,3,5,0,4104013
2012,10,3,5,15,4166658
2012,10,3,5,30,4099175
2012,10,3,5,45,4133012
2012,10,3,6,0,4081391
2012,10,3,6,15,4219584
2012,10,3,6,30,4250406
2012,10,3,6,45,4288246
