,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
AT_STUR_BIO,145.4718892,AT_STUR_BIO,AT,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,,,,,145.4718892,2
AT_COMC_GAS,406.1605294,AT_COMC_GAS,AT,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,9
AT_GTUR_GAS,52.77463649,AT_GTUR_GAS,AT,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,3
AT_STUR_HRD,660.4994908,AT_STUR_HRD,AT,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,1
AT_PHOT_SUN,1031,AT_PHOT_SUN,AT,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
AT_HROR_WAT,5574.7,AT_HROR_WAT,AT,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
AT_HPHS_WAT,5936,AT_HPHS_WAT,AT,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,1735630.76,0,2971.1,0.8,,1
AT_WTON_WIN,2730,AT_WTON_WIN,AT,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
AT_STUR_WST,36.025,AT_STUR_WST,AT,STUR,WST,0.2,0,0,0.02,0.02,0,0,0,0,0.2,0,0,,,,,,,,,4
