,HE Piva,HE Perucica,HE Pljevlja,HDAM
2014-12-31 23:00:00+00:00,0.832860875,0.824694995,1,0.833253902
2015-01-01 00:00:00+00:00,0.832860875,0.824694995,1,0.833253902
2015-01-01 01:00:00+00:00,0.832485039,0.825866,1,0.83395524
2015-01-01 02:00:00+00:00,0.83221563,0.827042426,1,0.834405488
2015-01-01 03:00:00+00:00,0.832727269,0.827290321,1,0.834940602
2015-01-01 04:00:00+00:00,0.832631497,0.828477589,1,0.835538995
2015-01-01 05:00:00+00:00,0.831970369,0.829529867,1,0.836196754
2015-01-01 06:00:00+00:00,0.832487562,0.829909366,1,0.836861593
2015-01-01 07:00:00+00:00,0.832394078,0.831112897,1,0.837540047
2015-01-01 08:00:00+00:00,0.832914975,0.83131408,1,0.83804875
2015-01-01 09:00:00+00:00,0.832261253,0.831098233,1,0.838275443
2015-01-01 10:00:00+00:00,0.832785853,0.831042669,1,0.838291638
2015-01-01 11:00:00+00:00,0.832366442,0.832267884,1,0.839188642
2015-01-01 12:00:00+00:00,0.831718274,0.832818317,1,0.839513603
2015-01-01 13:00:00+00:00,0.832248429,0.832737493,1,0.839865251
2015-01-01 14:00:00+00:00,0.831870521,0.833978971,1,0.840243586
2015-01-01 15:00:00+00:00,0.832404379,0.833941284,1,0.841311302
2015-01-01 16:00:00+00:00,0.831935402,0.835193604,1,0.841652206
2015-01-01 17:00:00+00:00,0.83136383,0.836451346,1,0.841677517
2015-01-01 18:00:00+00:00,0.830784305,0.837714508,1,0.8418369
2015-01-01 19:00:00+00:00,0.830196827,0.838983091,1,0.842212295
2015-01-01 20:00:00+00:00,0.82961447,0.840257095,1,0.84268076
2015-01-01 21:00:00+00:00,0.829092787,0.841536521,1,0.843239575
2015-01-01 22:00:00+00:00,0.829639607,0.84220503,1,0.844333214
2015-01-01 23:00:00+00:00,0.830188278,0.842159961,1,0.845232947
2015-01-02 00:00:00+00:00,0.829897513,0.843442316,1,0.845478331
2015-01-02 01:00:00+00:00,0.829734051,0.844716757,1,0.846003856
2015-01-02 02:00:00+00:00,0.830284276,0.845113925,1,0.846630306
2015-01-02 03:00:00+00:00,0.830834353,0.845590838,1,0.847305392
2015-01-02 04:00:00+00:00,0.830869792,0.846841541,1,0.848405249
2015-01-02 05:00:00+00:00,0.831419572,0.847357992,1,0.849099176
2015-01-02 06:00:00+00:00,0.831969203,0.847806553,1,0.850198439
2015-01-02 07:00:00+00:00,0.832518686,0.849033517,1,0.850756993
2015-01-02 08:00:00+00:00,0.831891549,0.84882235,1,0.850963025
2015-01-02 09:00:00+00:00,0.831566768,0.850033488,1,0.85190802
2015-01-02 10:00:00+00:00,0.832115805,0.849938287,1,0.852703624
2015-01-02 11:00:00+00:00,0.832664693,0.849835017,1,0.853436738
2015-01-02 12:00:00+00:00,0.833213433,0.849774197,1,0.854136237
2015-01-02 13:00:00+00:00,0.832585554,0.849523465,1,0.85523342
2015-01-02 14:00:00+00:00,0.832285243,0.850695039,1,0.855928827
2015-01-02 15:00:00+00:00,0.831958366,0.8518587,1,0.85655827
2015-01-02 16:00:00+00:00,0.832506512,0.85163089,1,0.856744714
2015-01-02 17:00:00+00:00,0.831959964,0.852778725,1,0.856932021
2015-01-02 18:00:00+00:00,0.831406458,0.853918647,1,0.858027719
2015-01-02 19:00:00+00:00,0.830777687,0.853620437,1,0.858231956
2015-01-02 20:00:00+00:00,0.830262553,0.854744533,1,0.858390723
2015-01-02 21:00:00+00:00,0.830809956,0.854433706,1,0.859485529
2015-01-02 22:00:00+00:00,0.830277382,0.855541977,1,0.859940242
2015-01-02 23:00:00+00:00,0.830824488,0.855376028,1,0.861034454
2015-01-03 00:00:00+00:00,0.831371445,0.855333286,1,0.861135441
2015-01-03 01:00:00+00:00,0.831916745,0.855473914,1,0.862226041
2015-01-03 02:00:00+00:00,0.832460388,0.855761003,1,0.862778285
2015-01-03 03:00:00+00:00,0.833002373,0.856120736,1,0.863363003
2015-01-03 04:00:00+00:00,0.833082804,0.857170084,1,0.863986729
2015-01-03 05:00:00+00:00,0.8331549,0.85820923,1,0.86506407
2015-01-03 06:00:00+00:00,0.833691913,0.85851469,1,0.866138097
