,HE Piva,HE Perucica,HE Pljevlja,HDAM,HROR
2009-12-31 23:00:00+00:00,0.888901067,0.981687099,1,0.938396695,0.669254284
2010-01-01 00:00:00+00:00,0.888901067,0.981687099,1,0.938396695,0.669254284
2010-01-01 01:00:00+00:00,0.88891701,0.982994551,1,0.938890709,0.673094257
2010-01-01 02:00:00+00:00,0.888936718,0.984314513,1,0.939390542,0.676934231
2010-01-01 03:00:00+00:00,0.888960191,0.985646985,1,0.939896191,0.680774204
2010-01-01 04:00:00+00:00,0.888987428,0.986991967,1,0.940407658,0.684614178
2010-01-01 05:00:00+00:00,0.889018431,0.988349459,1,0.940924942,0.688454151
2010-01-01 06:00:00+00:00,0.889053199,0.989719461,1,0.941448044,0.692294125
2010-01-01 07:00:00+00:00,0.889091732,0.991101974,1,0.941976963,0.696134098
2010-01-01 08:00:00+00:00,0.889134029,0.992496996,1,0.942511699,0.699974072
2010-01-01 09:00:00+00:00,0.889180092,0.993904529,1,0.943052252,0.703814045
2010-01-01 10:00:00+00:00,0.890040608,0.995324571,1,0.943898242,0.707654019
2010-01-01 11:00:00+00:00,0.890571928,0.99815199,1,0.945103731,0.711493992
2010-01-01 12:00:00+00:00,0.890629286,0.999597053,1,0.945637934,0.715333966
2010-01-01 13:00:00+00:00,0.890690408,1,1,0.945703913,0.719173939
2010-01-01 14:00:00+00:00,0.890755296,1,1,0.945771435,0.723013913
2010-01-01 15:00:00+00:00,0.891529016,1,1,0.946101083,0.726853886
2010-01-01 16:00:00+00:00,0.892232914,1,1,0.946405077,0.73069386
2010-01-01 17:00:00+00:00,0.892309096,1,1,0.946477228,0.734533833
2010-01-01 18:00:00+00:00,0.892982402,1,1,0.946770219,0.738373807
2010-01-01 19:00:00+00:00,0.893066114,1,1,0.946845456,0.74221378
2010-01-01 20:00:00+00:00,0.893153592,1,1,0.946922235,0.746053754
2010-01-01 21:00:00+00:00,0.893867959,1,1,0.947230857,0.749893727
2010-01-01 22:00:00+00:00,0.894338605,1,1,0.947449554,0.753733701
2010-01-01 23:00:00+00:00,0.894437377,1,1,0.947530962,0.757573674
