,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
CH_STUR_GEO,CH_STUR_GEO,36.875,8.0,CH,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
CH_COMC_GAS,CH_COMC_GAS,412.0,21.0,CH,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
CH_HDAM_WAT,CH_HDAM_WAT,8303.0,1,CH,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,5732197.1,0.0,0.0,0.9,
CH_HPHS_WAT,CH_HPHS_WAT,1835.0000000000002,1,CH,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,9175.000000000002,0.0,1835.0000000000002,0.9,
CH_HROR_WAT,CH_HROR_WAT,3456.000000000001,1,CH,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
CH_WTON_WIN,CH_WTON_WIN,12125.0,1,CH,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
CH_PHOT_SUN,CH_PHOT_SUN,15550.0,1,CH,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
CH_BATS_OTH,CH_BATS_OTH,1593611.1111111112,1,CH,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,6006111.111111111,0.0,0.0,0.9,
CH_BEVS_OTH,CH_BEVS_OTH,38671.0,1,CH,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,158551.09999999998,0.0,38671.0,0.88,
CH_STUR_BIO_CHP,CH_STUR_BIO_CHP,150.0,3.0,CH,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4000.0,0.03,,,
CH_COMC_GAS_CHP,CH_COMC_GAS_CHP,68.0,1.0,CH,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,858.9473684210527,0.03,,,
