,RO_P2HT_OTH,RO_STUR_BIO_CHP,RO_COMC_GAS_CHP
2016-01-01 00:00:00,2751.136148967953,2501.4842974475864,1656.8048133848984
2016-01-01 01:00:00,2870.2693458488043,2609.8067523046366,1728.5498828174557
2016-01-01 02:00:00,3105.6650601675947,2823.8414823836288,1870.3112248287748
2016-01-01 03:00:00,4072.468886834055,3702.9126952080583,2452.545308089548
2016-01-01 04:00:00,5384.164343713239,4895.578347050661,3242.481984785023
2016-01-01 05:00:00,4915.833497455296,4469.746183722772,2960.4411266370685
2016-01-01 06:00:00,4733.340304298743,4303.813335490801,2850.5390409314296
2016-01-01 07:00:00,4510.6575989414205,4101.337972367295,2716.433799272638
2016-01-01 08:00:00,4345.183433910703,3950.8797605434747,2616.781009200222
2016-01-01 09:00:00,4172.532570272705,3793.89609963188,2512.8062269933143
2016-01-01 10:00:00,4039.866170303839,3673.2685122093126,2432.911115250001
2016-01-01 11:00:00,3978.556659344503,3617.522532859471,2395.9889538724888
2016-01-01 12:00:00,3954.15588407975,3595.3360059610386,2381.2941806152176
2016-01-01 13:00:00,4098.510050351901,3726.5907533265527,2468.227965263274
2016-01-01 14:00:00,4310.530232064121,3919.3711635196514,2595.9119614651063
2016-01-01 15:00:00,4435.81488489407,4033.2868604519367,2671.361595584371
2016-01-01 16:00:00,4343.748094189246,3949.5746707259204,2615.9166107733236
2016-01-01 17:00:00,4353.1803266445295,3958.150975241281,2621.596943292941
2016-01-01 18:00:00,4253.11664320588,3867.167570817458,2561.336024389175
2016-01-01 19:00:00,3932.420739726273,3575.5732172952085,2368.204718722187
2016-01-01 20:00:00,3392.7330044588025,3084.859445894593,2043.1909102084312
2016-01-01 21:00:00,2812.855756990563,2557.603159602444,1693.9739457415244
2016-01-01 22:00:00,2598.3749928987036,2362.5854525792515,1564.8081236650096
2016-01-01 23:00:00,2592.01848841797,2356.8057691015088,1560.9800734887458
2016-01-02 00:00:00,2633.848388871831,2394.8398152131067,1586.1711133583528
2016-01-02 01:00:00,2742.1140135759438,2493.2808757372422,1651.3714518443949
2016-01-02 02:00:00,2989.6075912612923,2718.3156485641957,1800.4184377395707
2016-01-02 03:00:00,3940.8277295233734,3583.21731479803,2373.2676237940195
2016-01-02 04:00:00,5152.25445443227,4684.713120814304,3102.819896096172
2016-01-02 05:00:00,4732.110013108924,4302.694687075755,2849.7981279940886
2016-01-02 06:00:00,4575.042837875306,4159.880572754755,2755.2082429935044
2016-01-02 07:00:00,4382.0921696052865,3984.4392129948847,2639.0083973204637
2016-01-02 08:00:00,4216.207907511296,3833.6081183660485,2539.1086362689334
