,HE Piva,HE Perucica,HE Pljevlja,HDAM
2010-01-03 18:00:00+00:00,1.097204232,1.72081234,7.787391958,3.535136177
2010-01-03 19:00:00+00:00,1.093687761,1.70144624,7.775244206,3.523459402
2010-01-03 20:00:00+00:00,1.090171289,1.682080141,7.763096454,3.511782628
2010-01-03 21:00:00+00:00,1.086654817,1.662714041,7.750948702,3.500105853
2010-01-03 22:00:00+00:00,1.083138345,1.643347941,7.73880095,3.488429079
2010-01-03 23:00:00+00:00,1.079621873,1.623981841,7.726653197,3.476752304
2010-01-04 00:00:00+00:00,1.076105402,1.634753169,7.714505445,3.475121339
2010-01-04 01:00:00+00:00,1.072497508,1.645524496,7.683965164,3.467329056
2010-01-04 02:00:00+00:00,1.068889614,1.656295824,7.653424882,3.459536773
2010-01-04 03:00:00+00:00,1.065281721,1.667067152,7.6228846,3.451744491
2010-01-04 04:00:00+00:00,1.061673827,1.67783848,7.592344319,3.443952209
2010-01-04 05:00:00+00:00,1.058065934,1.688609807,7.561804037,3.436159926
2010-01-04 06:00:00+00:00,1.05445804,1.699381135,7.531263755,3.428367643
2010-01-04 07:00:00+00:00,1.050850147,1.710152463,7.500723474,3.420575361
2010-01-04 08:00:00+00:00,1.047242253,1.720923791,7.470183192,3.412783079
2010-01-04 09:00:00+00:00,1.043634359,1.731695118,7.43964291,3.404990796
2010-01-04 10:00:00+00:00,1.040026466,1.742466446,7.409102628,3.397198513
2010-01-04 11:00:00+00:00,1.036418572,1.753237774,7.378562347,3.389406231
2010-01-04 12:00:00+00:00,1.032810679,1.764009102,7.348022065,3.381613949
2010-01-04 13:00:00+00:00,1.029202785,1.774780429,7.317481783,3.373821666
2010-01-04 14:00:00+00:00,1.025594891,1.785551757,7.286941502,3.366029383
2010-01-04 15:00:00+00:00,1.021986998,1.796323085,7.25640122,3.358237101
2010-01-04 16:00:00+00:00,1.018379104,1.807094413,7.225860938,3.350444818
2010-01-04 17:00:00+00:00,1.014771211,1.817865741,7.195320657,3.342652536
2010-01-04 18:00:00+00:00,1.011163317,1.828637068,7.164780375,3.334860253
2010-01-04 19:00:00+00:00,1.007555424,1.839408396,7.134240093,3.327067971
2010-01-04 20:00:00+00:00,1.00394753,1.850179724,7.103699812,3.319275689
2010-01-04 21:00:00+00:00,1.000339636,1.860951052,7.07315953,3.311483406
2010-01-04 22:00:00+00:00,0.996731743,1.871722379,7.042619248,3.303691123
2010-01-04 23:00:00+00:00,0.993123849,1.882493707,7.012078967,3.295898841
2010-01-05 00:00:00+00:00,0.989515956,1.90164628,6.981538685,3.290900307
2010-01-05 01:00:00+00:00,0.986837031,1.920798854,6.966515352,3.291383746
2010-01-05 02:00:00+00:00,0.984158106,1.939951427,6.951492018,3.291867184
2010-01-05 03:00:00+00:00,0.981479181,1.959104,6.936468685,3.292350622
2010-01-05 04:00:00+00:00,0.978800257,1.978256574,6.921445352,3.292834061
2010-01-05 05:00:00+00:00,0.976121332,1.997409147,6.906422018,3.293317499
2010-01-05 06:00:00+00:00,0.973442407,2.01656172,6.891398685,3.293800937
2010-01-05 07:00:00+00:00,0.970763482,2.035714294,6.876375352,3.294284376
2010-01-05 08:00:00+00:00,0.968084557,2.054866867,6.861352019,3.294767814
2010-01-05 09:00:00+00:00,0.965405633,2.07401944,6.846328685,3.295251253
2010-01-05 10:00:00+00:00,0.962726708,2.093172013,6.831305352,3.295734691
2010-01-05 11:00:00+00:00,0.960047783,2.112324587,6.816282019,3.29621813
2010-01-05 12:00:00+00:00,0.957368858,2.13147716,6.801258685,3.296701568
2010-01-05 13:00:00+00:00,0.954689934,2.150629733,6.786235352,3.297185006
2010-01-05 14:00:00+00:00,0.952011009,2.169782307,6.771212019,3.297668445
2010-01-05 15:00:00+00:00,0.949332084,2.18893488,6.756188686,3.298151883
2010-01-05 16:00:00+00:00,0.946653159,2.208087453,6.741165352,3.298635321
2010-01-05 17:00:00+00:00,0.943974235,2.227240027,6.726142019,3.29911876
2010-01-05 18:00:00+00:00,0.94129531,2.2463926,6.711118686,3.299602199
2010-01-05 19:00:00+00:00,0.938616385,2.265545173,6.696095352,3.300085637
2010-01-05 20:00:00+00:00,0.93593746,2.284697747,6.681072019,3.300569075
2010-01-05 21:00:00+00:00,0.933258535,2.30385032,6.666048686,3.301052514
2010-01-05 22:00:00+00:00,0.930579611,2.323002893,6.651025353,3.301535952
2010-01-05 23:00:00+00:00,0.927900686,2.342155467,6.636002019,3.302019391
2010-01-06 00:00:00+00:00,0.925221761,2.334888548,6.620978686,3.293696332
2010-01-06 01:00:00+00:00,0.923456287,2.327621628,6.648498775,3.299858897
2010-01-06 02:00:00+00:00,0.921690814,2.320354709,6.676018863,3.306021462
2010-01-06 03:00:00+00:00,0.91992534,2.31308779,6.703538952,3.312184027
2010-01-06 04:00:00+00:00,0.918159866,2.305820871,6.731059041,3.318346593
2010-01-06 05:00:00+00:00,0.916394393,2.298553952,6.758579129,3.324509158
2010-01-06 06:00:00+00:00,0.914628919,2.291287033,6.786099218,3.330671723
2010-01-06 07:00:00+00:00,0.912863445,2.284020114,6.813619307,3.336834289
2010-01-06 08:00:00+00:00,0.911097971,2.276753195,6.841139395,3.342996854
2010-01-06 09:00:00+00:00,0.909332498,2.269486276,6.868659484,3.349159419
2010-01-06 10:00:00+00:00,0.907567024,2.262219357,6.896179573,3.355321985
2010-01-06 11:00:00+00:00,0.90580155,2.254952438,6.923699661,3.36148455
2010-01-06 12:00:00+00:00,0.904036076,2.247685519,6.95121975,3.367647115
2010-01-06 13:00:00+00:00,0.902270603,2.2404186,6.978739839,3.373809681
2010-01-06 14:00:00+00:00,0.900505129,2.233151681,7.006259928,3.379972246
2010-01-06 15:00:00+00:00,0.898739655,2.225884762,7.033780016,3.386134811
2010-01-06 16:00:00+00:00,0.896974182,2.218617843,7.061300105,3.392297377
2010-01-06 17:00:00+00:00,0.895208708,2.211350924,7.088820194,3.398459942
2010-01-06 18:00:00+00:00,0.893443234,2.204084005,7.116340282,3.404622507
2010-01-06 19:00:00+00:00,0.89167776,2.196817086,7.143860371,3.410785072
2010-01-06 20:00:00+00:00,0.889912287,2.189550167,7.17138046,3.416947638
2010-01-06 21:00:00+00:00,0.888146813,2.182283248,7.198900548,3.423110203
2010-01-06 22:00:00+00:00,0.886381339,2.175016329,7.226420637,3.429272768
2010-01-06 23:00:00+00:00,0.884615866,2.16774941,7.253940726,3.435435334
2010-01-07 00:00:00+00:00,0.882850392,2.162257716,7.281460814,3.442189641
2010-01-07 01:00:00+00:00,0.882483216,2.156766023,7.294896406,3.444715215
2010-01-07 02:00:00+00:00,0.88211604,2.151274329,7.308331997,3.447240789
2010-01-07 03:00:00+00:00,0.881748864,2.145782635,7.321767589,3.449766363
2010-01-07 04:00:00+00:00,0.881381688,2.140290941,7.33520318,3.452291936
2010-01-07 05:00:00+00:00,0.881014513,2.134799247,7.348638771,3.45481751
2010-01-07 06:00:00+00:00,0.880647337,2.129307553,7.362074363,3.457343084
2010-01-07 07:00:00+00:00,0.880280161,2.12381586,7.375509954,3.459868658
2010-01-07 08:00:00+00:00,0.879912985,2.118324166,7.388945546,3.462394232
2010-01-07 09:00:00+00:00,0.879545809,2.112832472,7.402381137,3.464919806
2010-01-07 10:00:00+00:00,0.879178633,2.107340778,7.415816729,3.46744538
2010-01-07 11:00:00+00:00,0.878811457,2.101849084,7.42925232,3.469970954
2010-01-07 12:00:00+00:00,0.878444282,2.09635739,7.442687912,3.472496528
2010-01-07 13:00:00+00:00,0.878077106,2.090865697,7.456123503,3.475022102
2010-01-07 14:00:00+00:00,0.87770993,2.085374003,7.469559095,3.477547676
2010-01-07 15:00:00+00:00,0.877342754,2.079882309,7.482994686,3.48007325
2010-01-07 16:00:00+00:00,0.876975578,2.074390615,7.496430277,3.482598823
2010-01-07 17:00:00+00:00,0.876608402,2.068898921,7.509865869,3.485124397
2010-01-07 18:00:00+00:00,0.876241226,2.063407227,7.52330146,3.487649971
2010-01-07 19:00:00+00:00,0.875874051,2.057915534,7.536737052,3.490175546
2010-01-07 20:00:00+00:00,0.875506875,2.05242384,7.550172643,3.492701119
2010-01-07 21:00:00+00:00,0.875139699,2.046932146,7.563608235,3.495226693
2010-01-07 22:00:00+00:00,0.874772523,2.041440452,7.577043826,3.497752267
2010-01-07 23:00:00+00:00,0.874405347,2.035948758,7.590479418,3.500277841
2010-01-08 00:00:00+00:00,0.874038171,2.06844625,7.603915009,3.515466477
2010-01-08 01:00:00+00:00,0.881864168,2.100943741,7.607849121,3.53021901
2010-01-08 02:00:00+00:00,0.889690165,2.133441232,7.611783233,3.544971543
2010-01-08 03:00:00+00:00,0.897516162,2.165938723,7.615717345,3.559724077
2010-01-08 04:00:00+00:00,0.905342159,2.198436215,7.619651457,3.57447661
2010-01-08 05:00:00+00:00,0.913168155,2.230933706,7.623585568,3.589229143
2010-01-08 06:00:00+00:00,0.920994152,2.263431197,7.62751968,3.603981676
2010-01-08 07:00:00+00:00,0.928820149,2.295928688,7.631453792,3.61873421
2010-01-08 08:00:00+00:00,0.936646146,2.32842618,7.635387904,3.633486743
2010-01-08 09:00:00+00:00,0.944472143,2.360923671,7.639322016,3.648239277
2010-01-08 10:00:00+00:00,0.952298139,2.393421162,7.643256128,3.66299181
2010-01-08 11:00:00+00:00,0.960124136,2.425918654,7.64719024,3.677744343
2010-01-08 12:00:00+00:00,0.967950133,2.458416145,7.651124352,3.692496877
2010-01-08 13:00:00+00:00,0.97577613,2.490913636,7.655058464,3.70724941
2010-01-08 14:00:00+00:00,0.983602127,2.523411127,7.658992576,3.722001943
2010-01-08 15:00:00+00:00,0.991428124,2.555908619,7.662926688,3.736754477
2010-01-08 16:00:00+00:00,0.99925412,2.58840611,7.666860799,3.75150701
2010-01-08 17:00:00+00:00,1.007080117,2.620903601,7.670794911,3.766259543
2010-01-08 18:00:00+00:00,1.014906114,2.653401093,7.674729023,3.781012077
2010-01-08 19:00:00+00:00,1.022732111,2.685898584,7.678663135,3.79576461
2010-01-08 20:00:00+00:00,1.030558108,2.718396075,7.682597247,3.810517143
2010-01-08 21:00:00+00:00,1.038384104,2.750893566,7.686531359,3.825269676
2010-01-08 22:00:00+00:00,1.046210101,2.783391058,7.690465471,3.84002221
2010-01-08 23:00:00+00:00,1.054036098,2.815888549,7.694399583,3.854774743
2010-01-09 00:00:00+00:00,1.061862095,2.809976738,7.698333695,3.856724176
2010-01-09 01:00:00+00:00,1.070380495,2.804064927,7.743717808,3.872721077
2010-01-09 02:00:00+00:00,1.078898896,2.798153115,7.789101922,3.888717978
2010-01-09 03:00:00+00:00,1.087417296,2.792241304,7.834486036,3.904714879
2010-01-09 04:00:00+00:00,1.095935697,2.786329493,7.879870149,3.92071178
2010-01-09 05:00:00+00:00,1.104454097,2.780417682,7.925254263,3.936708681
2010-01-09 06:00:00+00:00,1.112972498,2.774505871,7.970638376,3.952705582
2010-01-09 07:00:00+00:00,1.121490898,2.76859406,8.01602249,3.968702483
2010-01-09 08:00:00+00:00,1.130009299,2.762682249,8.061406604,3.984699384
2010-01-09 09:00:00+00:00,1.138527699,2.756770437,8.106790717,4.000696284
2010-01-09 10:00:00+00:00,1.147046099,2.750858626,8.152174831,4.016693185
2010-01-09 11:00:00+00:00,1.1555645,2.744946815,8.197558945,4.032690087
2010-01-09 12:00:00+00:00,1.1640829,2.739035004,8.242943058,4.048686987
2010-01-09 13:00:00+00:00,1.172601301,2.733123193,8.288327172,4.064683889
2010-01-09 14:00:00+00:00,1.181119701,2.727211382,8.333711285,4.080680789
2010-01-09 15:00:00+00:00,1.189638102,2.72129957,8.379095399,4.09667769
2010-01-09 16:00:00+00:00,1.198156502,2.715387759,8.424479513,4.112674591
2010-01-09 17:00:00+00:00,1.206674903,2.709475948,8.469863626,4.128671492
2010-01-09 18:00:00+00:00,1.215193303,2.703564137,8.51524774,4.144668393
2010-01-09 19:00:00+00:00,1.223711704,2.697652326,8.560631854,4.160665295
2010-01-09 20:00:00+00:00,1.232230104,2.691740515,8.606015967,4.176662195
2010-01-09 21:00:00+00:00,1.240748505,2.685828703,8.651400081,4.192659096
2010-01-09 22:00:00+00:00,1.249266905,2.679916892,8.696784194,4.208655997
2010-01-09 23:00:00+00:00,1.257785305,2.674005081,8.742168308,4.224652898
2010-01-10 00:00:00+00:00,1.266303706,2.652984658,8.787552422,4.235613595
2010-01-10 01:00:00+00:00,1.26679616,2.631964236,8.811196846,4.236652414
2010-01-10 02:00:00+00:00,1.267288615,2.610943813,8.834841271,4.237691233
2010-01-10 03:00:00+00:00,1.267781069,2.58992339,8.858485696,4.238730052
2010-01-10 04:00:00+00:00,1.268273523,2.568902967,8.882130121,4.23976887
2010-01-10 05:00:00+00:00,1.268765978,2.547882545,8.905774545,4.240807689
2010-01-10 06:00:00+00:00,1.269258432,2.526862122,8.92941897,4.241846508
2010-01-10 07:00:00+00:00,1.269750886,2.505841699,8.953063395,4.242885327
2010-01-10 08:00:00+00:00,1.270243341,2.484821277,8.97670782,4.243924146
2010-01-10 09:00:00+00:00,1.270735795,2.463800854,9.000352245,4.244962965
2010-01-10 10:00:00+00:00,1.271228249,2.442780431,9.023996669,4.246001783
2010-01-10 11:00:00+00:00,1.271720704,2.421760008,9.047641094,4.247040602
2010-01-10 12:00:00+00:00,1.272213158,2.400739586,9.071285519,4.248079421
2010-01-10 13:00:00+00:00,1.272705612,2.379719163,9.094929944,4.24911824
2010-01-10 14:00:00+00:00,1.273198067,2.35869874,9.118574368,4.250157058
2010-01-10 15:00:00+00:00,1.273690521,2.337678317,9.142218793,4.251195877
2010-01-10 16:00:00+00:00,1.274182975,2.316657895,9.165863218,4.252234696
2010-01-10 17:00:00+00:00,1.27467543,2.295637472,9.189507643,4.253273515
2010-01-10 18:00:00+00:00,1.275167884,2.274617049,9.213152067,4.254312333
2010-01-10 19:00:00+00:00,1.275660338,2.253596627,9.236796492,4.255351152
2010-01-10 20:00:00+00:00,1.276152793,2.232576204,9.260440917,4.256389971
2010-01-10 21:00:00+00:00,1.276645247,2.211555781,9.284085342,4.25742879
2010-01-10 22:00:00+00:00,1.277137701,2.190535358,9.307729766,4.258467608
2010-01-10 23:00:00+00:00,1.277630156,2.169514936,9.331374191,4.259506428
2010-01-11 00:00:00+00:00,1.27812261,2.147689903,9.355018616,4.260277043
2010-01-11 01:00:00+00:00,1.27346698,2.12586487,9.343065337,4.247465729
2010-01-11 02:00:00+00:00,1.26881135,2.104039838,9.331112058,4.234654415
2010-01-11 03:00:00+00:00,1.26415572,2.082214805,9.319158779,4.221843101
2010-01-11 04:00:00+00:00,1.25950009,2.060389772,9.307205501,4.209031788
2010-01-11 05:00:00+00:00,1.25484446,2.03856474,9.295252222,4.196220474
2010-01-11 06:00:00+00:00,1.25018883,2.016739707,9.283298943,4.18340916
2010-01-11 07:00:00+00:00,1.245533199,1.994914674,9.271345664,4.170597846
2010-01-11 08:00:00+00:00,1.240877569,1.973089642,9.259392386,4.157786532
2010-01-11 09:00:00+00:00,1.236221939,1.951264609,9.247439107,4.144975218
2010-01-11 10:00:00+00:00,1.231566309,1.929439576,9.235485828,4.132163904
2010-01-11 11:00:00+00:00,1.226910679,1.907614544,9.223532549,4.119352591
2010-01-11 12:00:00+00:00,1.222255049,1.885789511,9.21157927,4.106541277
