,HE Piva,HE Perucica,HE Pljevlja
2009-12-31 23:00:00+00:00,1.073777827,2.212584484,3.646064255
2010-01-01 00:00:00+00:00,1.073777827,2.212584484,3.646064255
2010-01-01 01:00:00+00:00,1.077706485,2.222875025,3.635789895
2010-01-01 02:00:00+00:00,1.081635142,2.233165566,3.625515535
2010-01-01 03:00:00+00:00,1.0855638,2.243456107,3.615241175
2010-01-01 04:00:00+00:00,1.089492458,2.253746648,3.604966816
2010-01-01 05:00:00+00:00,1.093421115,2.264037189,3.594692456
2010-01-01 06:00:00+00:00,1.097349773,2.27432773,3.584418096
2010-01-01 07:00:00+00:00,1.10127843,2.284618271,3.574143736
2010-01-01 08:00:00+00:00,1.105207088,2.294908811,3.563869377
2010-01-01 09:00:00+00:00,1.109135746,2.305199352,3.553595017
2010-01-01 10:00:00+00:00,1.113064403,2.315489893,3.543320657
2010-01-01 11:00:00+00:00,1.116993061,2.325780434,3.533046298
2010-01-01 12:00:00+00:00,1.120921718,2.336070975,3.522771938
2010-01-01 13:00:00+00:00,1.124850376,2.346361516,3.512497578
2010-01-01 14:00:00+00:00,1.128779034,2.356652057,3.502223218
2010-01-01 15:00:00+00:00,1.132707691,2.366942598,3.491948859
2010-01-01 16:00:00+00:00,1.136636349,2.377233138,3.481674499
2010-01-01 17:00:00+00:00,1.140565006,2.387523679,3.471400139
2010-01-01 18:00:00+00:00,1.144493664,2.39781422,3.461125779
2010-01-01 19:00:00+00:00,1.148422322,2.408104761,3.45085142
2010-01-01 20:00:00+00:00,1.152350979,2.418395302,3.44057706
2010-01-01 21:00:00+00:00,1.156279637,2.428685843,3.4303027
2010-01-01 22:00:00+00:00,1.160208294,2.438976384,3.420028341
2010-01-01 23:00:00+00:00,1.164136952,2.449266925,3.409753981
2010-01-02 00:00:00+00:00,1.16806561,2.434246146,7.432704311
2010-01-02 01:00:00+00:00,1.167750406,2.419225367,7.456593777
2010-01-02 02:00:00+00:00,1.167435203,2.404204589,7.480483243
2010-01-02 03:00:00+00:00,1.167119999,2.38918381,7.504372709
2010-01-02 04:00:00+00:00,1.166804796,2.374163032,7.528262175
2010-01-02 05:00:00+00:00,1.166489592,2.359142253,7.552151641
2010-01-02 06:00:00+00:00,1.166174388,2.344121475,7.576041108
2010-01-02 07:00:00+00:00,1.165859185,2.329100696,7.599930574
2010-01-02 08:00:00+00:00,1.165543981,2.314079917,7.62382004
2010-01-02 09:00:00+00:00,1.165228778,2.299059139,7.647709506
2010-01-02 10:00:00+00:00,1.164913574,2.28403836,7.671598972
2010-01-02 11:00:00+00:00,1.164598371,2.269017582,7.695488438
2010-01-02 12:00:00+00:00,1.164283167,2.253996803,7.719377904
2010-01-02 13:00:00+00:00,1.163967964,2.238976025,7.74326737
2010-01-02 14:00:00+00:00,1.16365276,2.223955246,7.767156836
2010-01-02 15:00:00+00:00,1.163337557,2.208934467,7.791046302
2010-01-02 16:00:00+00:00,1.163022353,2.193913689,7.814935769
2010-01-02 17:00:00+00:00,1.16270715,2.17889291,7.838825235
2010-01-02 18:00:00+00:00,1.162391946,2.163872132,7.862714701
2010-01-02 19:00:00+00:00,1.162076743,2.148851353,7.886604167
2010-01-02 20:00:00+00:00,1.161761539,2.133830575,7.910493633
2010-01-02 21:00:00+00:00,1.161446336,2.118809796,7.934383099
2010-01-02 22:00:00+00:00,1.161131132,2.103789017,7.958272565
2010-01-02 23:00:00+00:00,1.160815929,2.088768239,7.982162031
2010-01-03 00:00:00+00:00,1.160500725,2.069402139,8.006051497
2010-01-03 01:00:00+00:00,1.156984253,2.050036039,7.993903745
2010-01-03 02:00:00+00:00,1.153467781,2.030669939,7.981755993
2010-01-03 03:00:00+00:00,1.14995131,2.011303839,7.969608241
2010-01-03 04:00:00+00:00,1.146434838,1.991937739,7.957460489
2010-01-03 05:00:00+00:00,1.142918366,1.972571639,7.945312737
2010-01-03 06:00:00+00:00,1.139401894,1.953205539,7.933164984
2010-01-03 07:00:00+00:00,1.135885422,1.93383944,7.921017232
2010-01-03 08:00:00+00:00,1.132368951,1.91447334,7.90886948
2010-01-03 09:00:00+00:00,1.128852479,1.89510724,7.896721728
2010-01-03 10:00:00+00:00,1.125336007,1.87574114,7.884573976
2010-01-03 11:00:00+00:00,1.121819535,1.85637504,7.872426224
2010-01-03 12:00:00+00:00,1.118303063,1.83700894,7.860278471
2010-01-03 13:00:00+00:00,1.114786592,1.81764284,7.848130719
2010-01-03 14:00:00+00:00,1.11127012,1.79827674,7.835982967
2010-01-03 15:00:00+00:00,1.107753648,1.77891064,7.823835215
2010-01-03 16:00:00+00:00,1.104237176,1.75954454,7.811687463
2010-01-03 17:00:00+00:00,1.100720704,1.74017844,7.79953971
2010-01-03 18:00:00+00:00,1.097204232,1.72081234,7.787391958
2010-01-03 19:00:00+00:00,1.093687761,1.70144624,7.775244206
2010-01-03 20:00:00+00:00,1.090171289,1.682080141,7.763096454
2010-01-03 21:00:00+00:00,1.086654817,1.662714041,7.750948702
2010-01-03 22:00:00+00:00,1.083138345,1.643347941,7.73880095
2010-01-03 23:00:00+00:00,1.079621873,1.623981841,7.726653197
2010-01-04 00:00:00+00:00,1.076105402,1.634753169,7.714505445
2010-01-04 01:00:00+00:00,1.072497508,1.645524496,7.683965164
2010-01-04 02:00:00+00:00,1.068889614,1.656295824,7.653424882
2010-01-04 03:00:00+00:00,1.065281721,1.667067152,7.6228846
2010-01-04 04:00:00+00:00,1.061673827,1.67783848,7.592344319
2010-01-04 05:00:00+00:00,1.058065934,1.688609807,7.561804037
2010-01-04 06:00:00+00:00,1.05445804,1.699381135,7.531263755
2010-01-04 07:00:00+00:00,1.050850147,1.710152463,7.500723474
2010-01-04 08:00:00+00:00,1.047242253,1.720923791,7.470183192
2010-01-04 09:00:00+00:00,1.043634359,1.731695118,7.43964291
2010-01-04 10:00:00+00:00,1.040026466,1.742466446,7.409102628
2010-01-04 11:00:00+00:00,1.036418572,1.753237774,7.378562347
2010-01-04 12:00:00+00:00,1.032810679,1.764009102,7.348022065
2010-01-04 13:00:00+00:00,1.029202785,1.774780429,7.317481783
2010-01-04 14:00:00+00:00,1.025594891,1.785551757,7.286941502
2010-01-04 15:00:00+00:00,1.021986998,1.796323085,7.25640122
2010-01-04 16:00:00+00:00,1.018379104,1.807094413,7.225860938
2010-01-04 17:00:00+00:00,1.014771211,1.817865741,7.195320657
2010-01-04 18:00:00+00:00,1.011163317,1.828637068,7.164780375
2010-01-04 19:00:00+00:00,1.007555424,1.839408396,7.134240093
2010-01-04 20:00:00+00:00,1.00394753,1.850179724,7.103699812
2010-01-04 21:00:00+00:00,1.000339636,1.860951052,7.07315953
2010-01-04 22:00:00+00:00,0.996731743,1.871722379,7.042619248
2010-01-04 23:00:00+00:00,0.993123849,1.882493707,7.012078967
2010-01-05 00:00:00+00:00,0.989515956,1.90164628,6.981538685
2010-01-05 01:00:00+00:00,0.986837031,1.920798854,6.966515352
2010-01-05 02:00:00+00:00,0.984158106,1.939951427,6.951492018
2010-01-05 03:00:00+00:00,0.981479181,1.959104,6.936468685
2010-01-05 04:00:00+00:00,0.978800257,1.978256574,6.921445352
2010-01-05 05:00:00+00:00,0.976121332,1.997409147,6.906422018
2010-01-05 06:00:00+00:00,0.973442407,2.01656172,6.891398685
2010-01-05 07:00:00+00:00,0.970763482,2.035714294,6.876375352
2010-01-05 08:00:00+00:00,0.968084557,2.054866867,6.861352019
2010-01-05 09:00:00+00:00,0.965405633,2.07401944,6.846328685
2010-01-05 10:00:00+00:00,0.962726708,2.093172013,6.831305352
2010-01-05 11:00:00+00:00,0.960047783,2.112324587,6.816282019
2010-01-05 12:00:00+00:00,0.957368858,2.13147716,6.801258685
2010-01-05 13:00:00+00:00,0.954689934,2.150629733,6.786235352
2010-01-05 14:00:00+00:00,0.952011009,2.169782307,6.771212019
2010-01-05 15:00:00+00:00,0.949332084,2.18893488,6.756188686
2010-01-05 16:00:00+00:00,0.946653159,2.208087453,6.741165352
2010-01-05 17:00:00+00:00,0.943974235,2.227240027,6.726142019
2010-01-05 18:00:00+00:00,0.94129531,2.2463926,6.711118686
2010-01-05 19:00:00+00:00,0.938616385,2.265545173,6.696095352
2010-01-05 20:00:00+00:00,0.93593746,2.284697747,6.681072019
2010-01-05 21:00:00+00:00,0.933258535,2.30385032,6.666048686
2010-01-05 22:00:00+00:00,0.930579611,2.323002893,6.651025353
2010-01-05 23:00:00+00:00,0.927900686,2.342155467,6.636002019
2010-01-06 00:00:00+00:00,0.925221761,2.334888548,6.620978686
2010-01-06 01:00:00+00:00,0.923456287,2.327621628,6.648498775
2010-01-06 02:00:00+00:00,0.921690814,2.320354709,6.676018863
2010-01-06 03:00:00+00:00,0.91992534,2.31308779,6.703538952
2010-01-06 04:00:00+00:00,0.918159866,2.305820871,6.731059041
2010-01-06 05:00:00+00:00,0.916394393,2.298553952,6.758579129
2010-01-06 06:00:00+00:00,0.914628919,2.291287033,6.786099218
2010-01-06 07:00:00+00:00,0.912863445,2.284020114,6.813619307
2010-01-06 08:00:00+00:00,0.911097971,2.276753195,6.841139395
2010-01-06 09:00:00+00:00,0.909332498,2.269486276,6.868659484
2010-01-06 10:00:00+00:00,0.907567024,2.262219357,6.896179573
2010-01-06 11:00:00+00:00,0.90580155,2.254952438,6.923699661
2010-01-06 12:00:00+00:00,0.904036076,2.247685519,6.95121975
2010-01-06 13:00:00+00:00,0.902270603,2.2404186,6.978739839
2010-01-06 14:00:00+00:00,0.900505129,2.233151681,7.006259928
2010-01-06 15:00:00+00:00,0.898739655,2.225884762,7.033780016
2010-01-06 16:00:00+00:00,0.896974182,2.218617843,7.061300105
2010-01-06 17:00:00+00:00,0.895208708,2.211350924,7.088820194
2010-01-06 18:00:00+00:00,0.893443234,2.204084005,7.116340282
2010-01-06 19:00:00+00:00,0.89167776,2.196817086,7.143860371
2010-01-06 20:00:00+00:00,0.889912287,2.189550167,7.17138046
2010-01-06 21:00:00+00:00,0.888146813,2.182283248,7.198900548
2010-01-06 22:00:00+00:00,0.886381339,2.175016329,7.226420637
2010-01-06 23:00:00+00:00,0.884615866,2.16774941,7.253940726
2010-01-07 00:00:00+00:00,0.882850392,2.162257716,7.281460814
2010-01-07 01:00:00+00:00,0.882483216,2.156766023,7.294896406
2010-01-07 02:00:00+00:00,0.88211604,2.151274329,7.308331997
2010-01-07 03:00:00+00:00,0.881748864,2.145782635,7.321767589
2010-01-07 04:00:00+00:00,0.881381688,2.140290941,7.33520318
2010-01-07 05:00:00+00:00,0.881014513,2.134799247,7.348638771
2010-01-07 06:00:00+00:00,0.880647337,2.129307553,7.362074363
2010-01-07 07:00:00+00:00,0.880280161,2.12381586,7.375509954
2010-01-07 08:00:00+00:00,0.879912985,2.118324166,7.388945546
2010-01-07 09:00:00+00:00,0.879545809,2.112832472,7.402381137
2010-01-07 10:00:00+00:00,0.879178633,2.107340778,7.415816729
2010-01-07 11:00:00+00:00,0.878811457,2.101849084,7.42925232
2010-01-07 12:00:00+00:00,0.878444282,2.09635739,7.442687912
2010-01-07 13:00:00+00:00,0.878077106,2.090865697,7.456123503
2010-01-07 14:00:00+00:00,0.87770993,2.085374003,7.469559095
2010-01-07 15:00:00+00:00,0.877342754,2.079882309,7.482994686
2010-01-07 16:00:00+00:00,0.876975578,2.074390615,7.496430277
2010-01-07 17:00:00+00:00,0.876608402,2.068898921,7.509865869
2010-01-07 18:00:00+00:00,0.876241226,2.063407227,7.52330146
2010-01-07 19:00:00+00:00,0.875874051,2.057915534,7.536737052
2010-01-07 20:00:00+00:00,0.875506875,2.05242384,7.550172643
2010-01-07 21:00:00+00:00,0.875139699,2.046932146,7.563608235
2010-01-07 22:00:00+00:00,0.874772523,2.041440452,7.577043826
2010-01-07 23:00:00+00:00,0.874405347,2.035948758,7.590479418
2010-01-08 00:00:00+00:00,0.874038171,2.06844625,7.603915009
2010-01-08 01:00:00+00:00,0.881864168,2.100943741,7.607849121
2010-01-08 02:00:00+00:00,0.889690165,2.133441232,7.611783233
2010-01-08 03:00:00+00:00,0.897516162,2.165938723,7.615717345
2010-01-08 04:00:00+00:00,0.905342159,2.198436215,7.619651457
2010-01-08 05:00:00+00:00,0.913168155,2.230933706,7.623585568
2010-01-08 06:00:00+00:00,0.920994152,2.263431197,7.62751968
2010-01-08 07:00:00+00:00,0.928820149,2.295928688,7.631453792
2010-01-08 08:00:00+00:00,0.936646146,2.32842618,7.635387904
2010-01-08 09:00:00+00:00,0.944472143,2.360923671,7.639322016
2010-01-08 10:00:00+00:00,0.952298139,2.393421162,7.643256128
2010-01-08 11:00:00+00:00,0.960124136,2.425918654,7.64719024
2010-01-08 12:00:00+00:00,0.967950133,2.458416145,7.651124352
2010-01-08 13:00:00+00:00,0.97577613,2.490913636,7.655058464
2010-01-08 14:00:00+00:00,0.983602127,2.523411127,7.658992576
2010-01-08 15:00:00+00:00,0.991428124,2.555908619,7.662926688
2010-01-08 16:00:00+00:00,0.99925412,2.58840611,7.666860799
2010-01-08 17:00:00+00:00,1.007080117,2.620903601,7.670794911
2010-01-08 18:00:00+00:00,1.014906114,2.653401093,7.674729023
2010-01-08 19:00:00+00:00,1.022732111,2.685898584,7.678663135
2010-01-08 20:00:00+00:00,1.030558108,2.718396075,7.682597247
2010-01-08 21:00:00+00:00,1.038384104,2.750893566,7.686531359
2010-01-08 22:00:00+00:00,1.046210101,2.783391058,7.690465471
2010-01-08 23:00:00+00:00,1.054036098,2.815888549,7.694399583
2010-01-09 00:00:00+00:00,1.061862095,2.809976738,7.698333695
2010-01-09 01:00:00+00:00,1.070380495,2.804064927,7.743717808
2010-01-09 02:00:00+00:00,1.078898896,2.798153115,7.789101922
2010-01-09 03:00:00+00:00,1.087417296,2.792241304,7.834486036
2010-01-09 04:00:00+00:00,1.095935697,2.786329493,7.879870149
2010-01-09 05:00:00+00:00,1.104454097,2.780417682,7.925254263
2010-01-09 06:00:00+00:00,1.112972498,2.774505871,7.970638376
2010-01-09 07:00:00+00:00,1.121490898,2.76859406,8.01602249
2010-01-09 08:00:00+00:00,1.130009299,2.762682249,8.061406604
2010-01-09 09:00:00+00:00,1.138527699,2.756770437,8.106790717
2010-01-09 10:00:00+00:00,1.147046099,2.750858626,8.152174831
2010-01-09 11:00:00+00:00,1.1555645,2.744946815,8.197558945
2010-01-09 12:00:00+00:00,1.1640829,2.739035004,8.242943058
2010-01-09 13:00:00+00:00,1.172601301,2.733123193,8.288327172
2010-01-09 14:00:00+00:00,1.181119701,2.727211382,8.333711285
2010-01-09 15:00:00+00:00,1.189638102,2.72129957,8.379095399
2010-01-09 16:00:00+00:00,1.198156502,2.715387759,8.424479513
2010-01-09 17:00:00+00:00,1.206674903,2.709475948,8.469863626
2010-01-09 18:00:00+00:00,1.215193303,2.703564137,8.51524774
2010-01-09 19:00:00+00:00,1.223711704,2.697652326,8.560631854
2010-01-09 20:00:00+00:00,1.232230104,2.691740515,8.606015967
2010-01-09 21:00:00+00:00,1.240748505,2.685828703,8.651400081
2010-01-09 22:00:00+00:00,1.249266905,2.679916892,8.696784194
2010-01-09 23:00:00+00:00,1.257785305,2.674005081,8.742168308
2010-01-10 00:00:00+00:00,1.266303706,2.652984658,8.787552422
2010-01-10 01:00:00+00:00,1.26679616,2.631964236,8.811196846
2010-01-10 02:00:00+00:00,1.267288615,2.610943813,8.834841271
2010-01-10 03:00:00+00:00,1.267781069,2.58992339,8.858485696
2010-01-10 04:00:00+00:00,1.268273523,2.568902967,8.882130121
2010-01-10 05:00:00+00:00,1.268765978,2.547882545,8.905774545
2010-01-10 06:00:00+00:00,1.269258432,2.526862122,8.92941897
2010-01-10 07:00:00+00:00,1.269750886,2.505841699,8.953063395
2010-01-10 08:00:00+00:00,1.270243341,2.484821277,8.97670782
2010-01-10 09:00:00+00:00,1.270735795,2.463800854,9.000352245
2010-01-10 10:00:00+00:00,1.271228249,2.442780431,9.023996669
2010-01-10 11:00:00+00:00,1.271720704,2.421760008,9.047641094
2010-01-10 12:00:00+00:00,1.272213158,2.400739586,9.071285519
2010-01-10 13:00:00+00:00,1.272705612,2.379719163,9.094929944
2010-01-10 14:00:00+00:00,1.273198067,2.35869874,9.118574368
2010-01-10 15:00:00+00:00,1.273690521,2.337678317,9.142218793
2010-01-10 16:00:00+00:00,1.274182975,2.316657895,9.165863218
2010-01-10 17:00:00+00:00,1.27467543,2.295637472,9.189507643
2010-01-10 18:00:00+00:00,1.275167884,2.274617049,9.213152067
2010-01-10 19:00:00+00:00,1.275660338,2.253596627,9.236796492
2010-01-10 20:00:00+00:00,1.276152793,2.232576204,9.260440917
2010-01-10 21:00:00+00:00,1.276645247,2.211555781,9.284085342
2010-01-10 22:00:00+00:00,1.277137701,2.190535358,9.307729766
2010-01-10 23:00:00+00:00,1.277630156,2.169514936,9.331374191
2010-01-11 00:00:00+00:00,1.27812261,2.147689903,9.355018616
2010-01-11 01:00:00+00:00,1.27346698,2.12586487,9.343065337
2010-01-11 02:00:00+00:00,1.26881135,2.104039838,9.331112058
2010-01-11 03:00:00+00:00,1.26415572,2.082214805,9.319158779
2010-01-11 04:00:00+00:00,1.25950009,2.060389772,9.307205501
2010-01-11 05:00:00+00:00,1.25484446,2.03856474,9.295252222
2010-01-11 06:00:00+00:00,1.25018883,2.016739707,9.283298943
2010-01-11 07:00:00+00:00,1.245533199,1.994914674,9.271345664
2010-01-11 08:00:00+00:00,1.240877569,1.973089642,9.259392386
2010-01-11 09:00:00+00:00,1.236221939,1.951264609,9.247439107
2010-01-11 10:00:00+00:00,1.231566309,1.929439576,9.235485828
2010-01-11 11:00:00+00:00,1.226910679,1.907614544,9.223532549
2010-01-11 12:00:00+00:00,1.222255049,1.885789511,9.21157927
2010-01-11 13:00:00+00:00,1.217599419,1.863964478,9.199625992
2010-01-11 14:00:00+00:00,1.212943789,1.842139445,9.187672713
2010-01-11 15:00:00+00:00,1.208288159,1.820314413,9.175719434
2010-01-11 16:00:00+00:00,1.203632529,1.79848938,9.163766155
2010-01-11 17:00:00+00:00,1.198976899,1.776664347,9.151812876
2010-01-11 18:00:00+00:00,1.194321269,1.754839315,9.139859598
2010-01-11 19:00:00+00:00,1.189665639,1.733014282,9.127906319
2010-01-11 20:00:00+00:00,1.185010009,1.711189249,9.11595304
2010-01-11 21:00:00+00:00,1.180354379,1.689364217,9.103999761
2010-01-11 22:00:00+00:00,1.175698749,1.667539184,9.092046482
2010-01-11 23:00:00+00:00,1.171043118,1.645714151,9.080093204
2010-01-12 00:00:00+00:00,1.166387488,1.633370526,9.068139925
2010-01-12 01:00:00+00:00,1.160564538,1.6210269,9.034197623
2010-01-12 02:00:00+00:00,1.154741587,1.608683274,9.00025532
2010-01-12 03:00:00+00:00,1.148918637,1.596339648,8.966313018
2010-01-12 04:00:00+00:00,1.143095686,1.583996023,8.932370716
2010-01-12 05:00:00+00:00,1.137272736,1.571652397,8.898428414
2010-01-12 06:00:00+00:00,1.131449785,1.559308771,8.864486111
2010-01-12 07:00:00+00:00,1.125626835,1.546965146,8.830543809
2010-01-12 08:00:00+00:00,1.119803884,1.53462152,8.796601507
2010-01-12 09:00:00+00:00,1.113980934,1.522277894,8.762659204
2010-01-12 10:00:00+00:00,1.108157983,1.509934268,8.728716902
2010-01-12 11:00:00+00:00,1.102335032,1.497590643,8.6947746
2010-01-12 12:00:00+00:00,1.096512082,1.485247017,8.660832298
2010-01-12 13:00:00+00:00,1.090689131,1.472903391,8.626889995
2010-01-12 14:00:00+00:00,1.084866181,1.460559765,8.592947693
2010-01-12 15:00:00+00:00,1.07904323,1.44821614,8.559005391
2010-01-12 16:00:00+00:00,1.07322028,1.435872514,8.525063089
2010-01-12 17:00:00+00:00,1.067397329,1.423528888,8.491120786
2010-01-12 18:00:00+00:00,1.061574379,1.411185262,8.457178484
2010-01-12 19:00:00+00:00,1.055751428,1.398841637,8.423236182
2010-01-12 20:00:00+00:00,1.049928478,1.386498011,8.38929388
2010-01-12 21:00:00+00:00,1.044105527,1.374154385,8.355351577
2010-01-12 22:00:00+00:00,1.038282577,1.36181076,8.321409275
2010-01-12 23:00:00+00:00,1.032459626,1.349467134,8.287466973
2010-01-13 00:00:00+00:00,1.026636675,1.340654142,8.253524671
2010-01-13 01:00:00+00:00,1.021168668,1.331841149,8.213762813
2010-01-13 02:00:00+00:00,1.015700661,1.323028157,8.174000955
2010-01-13 03:00:00+00:00,1.010232654,1.314215165,8.134239098
2010-01-13 04:00:00+00:00,1.004764646,1.305402173,8.09447724
2010-01-13 05:00:00+00:00,0.999296639,1.29658918,8.054715383
2010-01-13 06:00:00+00:00,0.993828632,1.287776188,8.014953525
2010-01-13 07:00:00+00:00,0.988360625,1.278963196,7.975191667
2010-01-13 08:00:00+00:00,0.982892617,1.270150204,7.93542981
2010-01-13 09:00:00+00:00,0.97742461,1.261337211,7.895667952
2010-01-13 10:00:00+00:00,0.971956603,1.252524219,7.855906095
2010-01-13 11:00:00+00:00,0.966488596,1.243711227,7.816144237
2010-01-13 12:00:00+00:00,0.961020588,1.234898235,7.776382379
2010-01-13 13:00:00+00:00,0.955552581,1.226085242,7.736620522
2010-01-13 14:00:00+00:00,0.950084574,1.21727225,7.696858664
2010-01-13 15:00:00+00:00,0.944616566,1.208459258,7.657096807
2010-01-13 16:00:00+00:00,0.939148559,1.199646266,7.617334949
2010-01-13 17:00:00+00:00,0.933680552,1.190833273,7.577573091
2010-01-13 18:00:00+00:00,0.928212545,1.182020281,7.537811234
2010-01-13 19:00:00+00:00,0.922744537,1.173207289,7.498049376
2010-01-13 20:00:00+00:00,0.91727653,1.164394297,7.458287519
2010-01-13 21:00:00+00:00,0.911808523,1.155581305,7.418525661
2010-01-13 22:00:00+00:00,0.906340516,1.146768312,7.378763803
2010-01-13 23:00:00+00:00,0.900872508,1.13795532,7.339001946
2010-01-14 00:00:00+00:00,0.895404501,1.131064687,7.299240088
2010-01-14 01:00:00+00:00,0.890665583,1.124174053,7.260979781
2010-01-14 02:00:00+00:00,0.885926665,1.11728342,7.222719475
2010-01-14 03:00:00+00:00,0.881187746,1.110392786,7.184459168
2010-01-14 04:00:00+00:00,0.876448828,1.103502153,7.146198861
2010-01-14 05:00:00+00:00,0.87170991,1.096611519,7.107938554
2010-01-14 06:00:00+00:00,0.866970991,1.089720886,7.069678247
2010-01-14 07:00:00+00:00,0.862232073,1.082830253,7.03141794
2010-01-14 08:00:00+00:00,0.857493155,1.075939619,6.993157634
2010-01-14 09:00:00+00:00,0.852754236,1.069048986,6.954897327
2010-01-14 10:00:00+00:00,0.848015318,1.062158352,6.91663702
2010-01-14 11:00:00+00:00,0.8432764,1.055267719,6.878376713
2010-01-14 12:00:00+00:00,0.838537482,1.048377085,6.840116406
2010-01-14 13:00:00+00:00,0.833798563,1.041486452,6.801856099
2010-01-14 14:00:00+00:00,0.829059645,1.034595819,6.763595793
2010-01-14 15:00:00+00:00,0.824320727,1.027705185,6.725335486
2010-01-14 16:00:00+00:00,0.819581808,1.020814552,6.687075179
2010-01-14 17:00:00+00:00,0.81484289,1.013923918,6.648814872
2010-01-14 18:00:00+00:00,0.810103972,1.007033285,6.610554565
2010-01-14 19:00:00+00:00,0.805365054,1.000142651,6.572294258
2010-01-14 20:00:00+00:00,0.800626135,0.993252018,6.534033952
2010-01-14 21:00:00+00:00,0.795887217,0.986361384,6.495773645
2010-01-14 22:00:00+00:00,0.791148299,0.979470751,6.457513338
2010-01-14 23:00:00+00:00,0.78640938,0.972580118,6.419253031
2010-01-15 00:00:00+00:00,0.781670462,0.966949748,6.380992724
2010-01-15 01:00:00+00:00,0.77764583,0.961319379,6.351609229
2010-01-15 02:00:00+00:00,0.773621197,0.955689009,6.322225734
