,PHOT,WTOF,WTON,HE Bistrica 1,HE Bistrica 2,HE Borsh,HE Kerpice,HE Dukagjin,HE Arras,HE Homesh,HE Orenje,HE Funares,HE Selce,HE Orgjos i Ri,HE Tucep,HE Lenia,HE Bogova,HE Leskovik,HE Smokthina,HE Lozhan,HE Treske 2,HE Velcan,HE Tervol,HROR
2009-12-31 23:00:00+00:00,0,0,0,1,1,1,1,0.86049279,0.788891662,1,0.321337527,1,0.392496416,0.099866773,1,1,1,1,1,1,1,0.07238365,1,0.880338911
2010-01-01 00:00:00+00:00,0,0,0,1,1,1,1,0.86049279,0.788891662,1,0.321337527,1,0.392496416,0.099866773,1,1,1,1,1,1,1,0.07238365,1,0.880338911
2010-01-01 01:00:00+00:00,0,0,0,1,1,1,1,0.86152197,0.796950076,1,0.326810036,1,0.396339549,0.100262977,1,1,1,1,1,1,1,0.072843409,1,0.881116814
2010-01-01 02:00:00+00:00,0,0,0,1,1,1,1,0.862551149,0.805008489,1,0.332282545,1,0.400182682,0.100659182,1,1,1,1,1,1,1,0.073303169,1,0.881894717
2010-01-01 03:00:00+00:00,0,0,0,1,1,1,1,0.863580329,0.813066903,1,0.337755054,1,0.404025816,0.101055386,1,1,1,1,1,1,1,0.073762928,1,0.88267262
2010-01-01 04:00:00+00:00,0,0,0,1,1,1,1,0.864609509,0.821125316,1,0.343227563,1,0.407868949,0.101451591,1,1,1,1,1,1,1,0.074222688,1,0.883450524
2010-01-01 05:00:00+00:00,0,0,0,1,1,1,1,0.865638689,0.82918373,1,0.348700072,1,0.411712082,0.101847795,1,1,1,1,1,1,1,0.074682447,1,0.884228427
2010-01-01 06:00:00+00:00,0,0,0,1,1,1,1,0.866667868,0.837242143,1,0.354172582,1,0.415555215,0.102244,1,1,1,1,1,1,1,0.075142206,1,0.88500633
2010-01-01 07:00:00+00:00,0,0,0,1,1,1,1,0.867697048,0.845300556,1,0.359645091,1,0.419398349,0.102640204,1,1,1,1,1,1,1,0.075601966,1,0.885784233
2010-01-01 08:00:00+00:00,0,0,0,1,1,1,1,0.868726228,0.85335897,1,0.3651176,1,0.423241482,0.103036408,1,1,1,1,1,1,1,0.076061725,1,0.886562137
2010-01-01 09:00:00+00:00,0,0,0,1,1,1,1,0.869755407,0.861417383,1,0.370590109,1,0.427084615,0.103432613,1,1,1,1,1,1,1,0.076521485,1,0.88734004
2010-01-01 10:00:00+00:00,0,0,0,1,1,1,1,0.870784587,0.869475797,1,0.376062618,1,0.430927749,0.103828817,1,1,1,1,1,1,1,0.076981244,1,0.888117943
2010-01-01 11:00:00+00:00,0,0,0,1,1,1,1,0.871813767,0.87753421,1,0.381535127,1,0.434770882,0.104225022,1,1,1,1,1,1,1,0.077441004,1,0.888895846
2010-01-01 12:00:00+00:00,0,0,0,1,1,1,1,0.872842947,0.885592624,1,0.387007636,1,0.438614015,0.104621226,1,1,1,1,1,1,1,0.077900763,1,0.88967375
2010-01-01 13:00:00+00:00,0,0,0,1,1,1,1,0.873872126,0.893651037,1,0.392480145,1,0.442457148,0.105017431,1,1,1,1,1,1,1,0.078360523,1,0.890451653
2010-01-01 14:00:00+00:00,0,0,0,1,1,1,1,0.874901306,0.90170945,1,0.397952654,1,0.446300282,0.105413635,1,1,1,1,1,1,1,0.078820282,1,0.891229556
2010-01-01 15:00:00+00:00,0,0,0,1,1,1,1,0.875930486,0.909767864,1,0.403425163,1,0.450143415,0.10580984,1,1,1,1,1,1,1,0.079280041,1,0.892007459
2010-01-01 16:00:00+00:00,0,0,0,1,1,1,1,0.876959666,0.917826277,1,0.408897672,1,0.453986548,0.106206044,1,1,1,1,1,1,1,0.079739801,1,0.892785363
2010-01-01 17:00:00+00:00,0,0,0,1,1,1,1,0.877988845,0.925884691,1,0.414370181,1,0.457829682,0.106602249,1,1,1,1,1,1,1,0.08019956,1,0.893563266
2010-01-01 18:00:00+00:00,0,0,0,1,1,1,1,0.879018025,0.933943104,1,0.41984269,1,0.461672815,0.106998453,1,1,1,1,1,1,1,0.08065932,1,0.894341169
2010-01-01 19:00:00+00:00,0,0,0,1,1,1,1,0.880047205,0.942001518,1,0.425315199,1,0.465515948,0.107394657,1,1,1,1,1,1,1,0.081119079,1,0.895119072
2010-01-01 20:00:00+00:00,0,0,0,1,1,1,1,0.881076384,0.950059931,1,0.430787708,1,0.469359082,0.107790862,1,1,1,1,1,1,1,0.081578839,1,0.895896976
2010-01-01 21:00:00+00:00,0,0,0,1,1,1,1,0.882105564,0.958118344,1,0.436260217,1,0.473202215,0.108187066,1,1,1,1,1,1,1,0.082038598,1,0.896674879
