,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
LT_STUR_GEO,LT_STUR_GEO,28.0,3.0,LT,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
LT_STUR_NUC,LT_STUR_NUC,675.0,2.0,LT,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
LT_COMC_GAS,LT_COMC_GAS,409.0,2.0,LT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
LT_STUR_OIL,LT_STUR_OIL,100.0,1.0,LT,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
LT_HDAM_WAT,LT_HDAM_WAT,116.0,1,LT,HDAM,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,12096.7,0.0,0.0,0.89
LT_WTON_WIN,LT_WTON_WIN,2743.0,1,LT,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
LT_PHOT_SUN,LT_PHOT_SUN,1771.0,1,LT,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
LT_BEVS_OTH,LT_BEVS_OTH,7085.5,1,LT,BEVS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,31792.6385,0.0,7085.5,0.89
LT_P2HT_OTH,LT_P2HT_OTH,0.0029999972041032585,357667.0,LT,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.4255677039529016,5.0,0.03591918197031859,0.0005033574068342286,0.014999986020516293,0.03,,
LT_P2GS_HYD,LT_P2GS_HYD,486.0,1,LT,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,266111.1111111111,0.0,3287.0,0.72
LT_STUR_BIO_CHP,LT_STUR_BIO_CHP,53.0,1.0,LT,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,1413.3333333333333,0.03,,
LT_COMC_GAS_CHP,LT_COMC_GAS_CHP,223.0,1.0,LT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,2816.8421052631584,0.03,,
