Indice,unit,type,fuel,pmax,part-load,rampup,rampdown,startup,minuptime,mindowntime,heatrate,noloadcost,startupcost,fuelcost,variablecost,efficiency,index (ancien)
59,IVBO,IS,WR,16,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
60,Incinerateur THUMAIDE (IPALLE),IS,WR,32,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
61,Wilrijk Isvag,IS,WR,10.5,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
62,DOEL 1,NU,NU,433,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,34
63,DOEL 2,NU,NU,433,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,35
64,DOEL 3,NU,NU,1006,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,36
65,DOEL 4,NU,NU,1038,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,37
66,TIHANGE 1N,NU,NU,481,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,75
67,TIHANGE 1S,NU,NU,481,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,76
68,TIHANGE 2,NU,NU,1008,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,77
69,TIHANGE 3,NU,NU,1045.8,0.9,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33,78
70,AALTER TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,15
71,BEERSE TJ,TJ,LV,32,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,19
72,BUDA TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,27
73,CIERREUX TJ,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,29
74,Deux-Acren TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,33
75,IXELLES TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,49
76,Noordschote TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,59
77,Turon TJ,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,79
78,Zedelgem TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,84
79,Zeebrugge TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,86
80,Zelzate TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,88
81,IZEGEM,WKK,NG,22,0,0,0,0,0,0,3.6,0,0,0,0,1,8
82,Taminco (Gent) WKK,WKK,NG,6.3,0,0,0,0,0,0,3.6,0,0,0,0,1,12
83,Aalst Syral GT,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,13
84,Aalst Syral ST,WKK,NG,5,0,0,0,0,0,0,3.6,0,0,0,0,1,14
85,Beveren Ineos Phenolchemie,WKK,NG,22.8,0,0,0,0,0,0,3.6,0,0,0,0,1,25
86,DAMPREMY CS,WKK,BF,44,0,0,0,0,0,0,3.6,0,0,0,0,1,32
87,Geel BP Chembel,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,44
88,Jemeppe-sur-Sambre GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,50
89,Jemeppe-sur-Sambre GT2,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,51
90,Jemeppe-sur-Sambre ST,WKK,NG,8,0,0,0,0,0,0,3.6,0,0,0,0,1,52
91,Lanaken Sappi,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,53
92,LANGERBRUGGE STORA ST 1,WKK,WR,10,0,0,0,0,0,0,3.6,0,0,0,0,1,54
93,LANGERBRUGGE STORA ST 2,WKK,WR,40,0,0,0,0,0,0,3.6,0,0,0,0,1,55
94,Lillo Degussa GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,56
95,Lillo Degussa GT2,WKK,NG,32,0,0,0,0,0,0,3.6,0,0,0,0,1,57
96,Lillo Degussa ST,WKK,NG,10,0,0,0,0,0,0,3.6,0,0,0,0,1,58
97,Oorderen Bayer,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,60
98,Oud-Lillo Monsanto,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,61
99,Oudegem VPK GT1 (no out),WKK,NG,7.2,0,0,0,0,0,0,3.6,0,0,0,0,1,62
100,Oudegem VPK GT2 (no out),WKK,NG,7.2,0,0,0,0,0,0,3.6,0,0,0,0,1,63
101,Scheldelaan Exxonmobil,WKK,NG,140,0,0,0,0,0,0,3.6,0,0,0,0,1,74
102,Wilmarsdonk Total GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,80
103,Wilmarsdonk Total GT2,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,81
104,Wilmarsdonk Total GT3,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,82
105,Zeebrugge 2 Fluxys,WKK,NG,40,0,0,0,0,0,0,3.6,0,0,0,0,1,85
106,Zwijndrecht Lanxess GT,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,89
107,Zwijndrecht Lanxess ST,WKK,NG,15,0,0,0,0,0,0,3.6,0,0,0,0,1,90
108,Eurolsilo,WKK,NG,12.9,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
109,Electrawinds biomassa Oostende,WKK,WR,17.9,0,0,0,0,0,0,3.6,0,0,0,0,1,91
110,Belwind Phase 1,WT,WI,165,0,0,0,0,0,0,3.6,0,0,0,0,1,20
111,Froidchapelle Wind,WT,WI,25,0,0,0,0,0,0,3.6,0,0,0,0,1,43
112,HERDERSBRUG WIND,WT,WI,3,0,0,0,0,0,0,3.6,0,0,0,0,1,48
113,RODENHUIZE WIND,WT,WI,4.5,0,0,0,0,0,0,3.6,0,0,0,0,1,66
114,Thorntonbank - C-Power - Area SW,WT,WI,30,0,0,0,0,0,0,3.6,0,0,0,0,1,93
115,Windvision Estinnes WIND,WT,WI,66,0,0,0,0,0,0,3.6,0,0,0,0,1,94
116,ZEEBRUGGE WIND,WT,WI,12,0,0,0,0,0,0,3.6,0,0,0,0,1,95
117,Thorntonbank - C-Power - Area NE,WT,WI,18.4,0,0,0,0,0,0,3.6,0,0,0,0,1,105
118,Northwind,WT,WI,54,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
119,Schelle wind,WT,WI,4.5,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
120,Aspiravi Wuustwezel,WT,WI,22.1,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
121,AllSol,PV,SOL,0,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN
