Indice,unit,type,fuel,pmax,part-load,rampup,rampdown,startup,minuptime,mindowntime,heatrate,noloadcost,startupcost,fuelcost,variablecost,efficiency,index (ancien),
47,COO II T,HUSTO,WA,690,0.43,0.33,0.33,0.3,0,0,3.6,0,0,0,0,1,31,12
48,HEID-DE-GOREUX 1,HU,WA,4,0,0,0,0,0,0,3.6,0,0,0,0,1,45,7
49,HEID-DE-GOREUX 2,HU,WA,4,0,0,0,0,0,0,3.6,0,0,0,0,1,46,7
50,PLATE TAILLE T,HUSTO,WA,144,0.43,0.33,0.33,0.3,0,0,3.6,0,0,0,0,1,64,12
51,La Vierre,HU,WA,1.9,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,7
52,Beveren 2 Indaver,IS,WR,20,0,0,0,0,0,0,3.6,0,0,0,0,1,24,8
53,Beveren Sleco,IS,WR,39,0,0,0,0,0,0,3.6,0,0,0,0,1,26,8
54,Schaerbeek Siomab ST1,IS,WR,15,0,0,0,0,0,0,3.6,0,0,0,0,1,71,8
55,Schaerbeek Siomab ST2,IS,WR,15,0,0,0,0,0,0,3.6,0,0,0,0,1,72,8
56,Schaerbeek Siomab ST3,IS,WR,15,0,0,0,0,0,0,3.6,0,0,0,0,1,73,8
57,Greenpower Oostende,IS,WR,20,0,0,0,0,0,0,3.6,0,0,0,0,1,92,8
58,Intradel Herstal,IS,WR,48.5,0,0,0,0,0,0,3.6,0,0,0,0,1,102,8
59,IVBO,IS,WR,16,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,8
60,Incinerateur THUMAIDE (IPALLE),IS,WR,32,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,8
61,Wilrijk Isvag,IS,WR,10.5,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,8
62,DOEL 1,CCGT,NG,433,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,34,9
63,DOEL 2,CCGT,NG,433,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,35,9
64,DOEL 3,CCGT,NG,1006,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,36,9
65,DOEL 4,CCGT,NG,1038,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,37,9
66,TIHANGE 1N,CCGT,NG,481,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,75,9
67,TIHANGE 1S,CCGT,NG,481,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,76,9
68,TIHANGE 2,CCGT,NG,1008,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,77,9
69,TIHANGE 3,CCGT,NG,1045.8,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,78,9
70,AALTER TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,15,10
71,BEERSE TJ,TJ,LV,32,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,19,10
72,BUDA TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,27,10
73,CIERREUX TJ,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,29,10
74,Deux-Acren TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,33,10
75,IXELLES TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,49,10
76,Noordschote TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,59,10
77,Turon TJ,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,79,10
78,Zedelgem TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,84,10
79,Zeebrugge TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,86,10
80,Zelzate TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2,88,10
81,IZEGEM,WKK,NG,22,0,0,0,0,0,0,3.6,0,0,0,0,1,8,3
82,Taminco (Gent) WKK,WKK,NG,6.3,0,0,0,0,0,0,3.6,0,0,0,0,1,12,3
83,Aalst Syral GT,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,13,3
84,Aalst Syral ST,WKK,NG,5,0,0,0,0,0,0,3.6,0,0,0,0,1,14,3
85,Beveren Ineos Phenolchemie,WKK,NG,22.8,0,0,0,0,0,0,3.6,0,0,0,0,1,25,3
86,DAMPREMY CS,WKK,BF,44,0,0,0,0,0,0,3.6,0,0,0,0,1,32,3
87,Geel BP Chembel,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,44,3
88,Jemeppe-sur-Sambre GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,50,3
89,Jemeppe-sur-Sambre GT2,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,51,3
90,Jemeppe-sur-Sambre ST,WKK,NG,8,0,0,0,0,0,0,3.6,0,0,0,0,1,52,3
91,Lanaken Sappi,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,53,3
92,LANGERBRUGGE STORA ST 1,WKK,WR,10,0,0,0,0,0,0,3.6,0,0,0,0,1,54,3
93,LANGERBRUGGE STORA ST 2,WKK,WR,40,0,0,0,0,0,0,3.6,0,0,0,0,1,55,3
94,Lillo Degussa GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,56,3
95,Lillo Degussa GT2,WKK,NG,32,0,0,0,0,0,0,3.6,0,0,0,0,1,57,3
96,Lillo Degussa ST,WKK,NG,10,0,0,0,0,0,0,3.6,0,0,0,0,1,58,3
97,Oorderen Bayer,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,60,3
98,Oud-Lillo Monsanto,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,61,3
99,Oudegem VPK GT1 (no out),WKK,NG,7.2,0,0,0,0,0,0,3.6,0,0,0,0,1,62,3
100,Oudegem VPK GT2 (no out),WKK,NG,7.2,0,0,0,0,0,0,3.6,0,0,0,0,1,63,3
101,Scheldelaan Exxonmobil,WKK,NG,140,0,0,0,0,0,0,3.6,0,0,0,0,1,74,3
102,Wilmarsdonk Total GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,80,3
103,Wilmarsdonk Total GT2,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,81,3
104,Wilmarsdonk Total GT3,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,82,3
105,Zeebrugge 2 Fluxys,WKK,NG,40,0,0,0,0,0,0,3.6,0,0,0,0,1,85,3
106,Zwijndrecht Lanxess GT,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1,89,3
107,Zwijndrecht Lanxess ST,WKK,NG,15,0,0,0,0,0,0,3.6,0,0,0,0,1,90,3
108,Eurolsilo,WKK,NG,12.9,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,3
109,Electrawinds biomassa Oostende,WKK,WR,17.9,0,0,0,0,0,0,3.6,0,0,0,0,1,91,3
110,Belwind Phase 1,WT,WI,165,0,0,0,0,0,0,3.6,0,0,0,0,1,20,11
111,Froidchapelle Wind,WT,WI,25,0,0,0,0,0,0,3.6,0,0,0,0,1,43,11
112,HERDERSBRUG WIND,WT,WI,3,0,0,0,0,0,0,3.6,0,0,0,0,1,48,11
113,RODENHUIZE WIND,WT,WI,4.5,0,0,0,0,0,0,3.6,0,0,0,0,1,66,11
114,Thorntonbank - C-Power - Area SW,WT,WI,30,0,0,0,0,0,0,3.6,0,0,0,0,1,93,11
115,Windvision Estinnes WIND,WT,WI,66,0,0,0,0,0,0,3.6,0,0,0,0,1,94,11
116,ZEEBRUGGE WIND,WT,WI,12,0,0,0,0,0,0,3.6,0,0,0,0,1,95,11
117,Thorntonbank - C-Power - Area NE,WT,WI,18.4,0,0,0,0,0,0,3.6,0,0,0,0,1,105,11
118,Northwind,WT,WI,54,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,11
119,Schelle wind,WT,WI,4.5,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,11
120,Aspiravi Wuustwezel,WT,WI,22.1,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,11
121,AllSol,PV,SOL,0,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,11
