Indice,unit,type,fuel,pmax,part-load,rampup,rampdown,startup,minuptime,mindowntime,heatrate,noloadcost,startupcost,fuelcost,variablecost,efficiency,index (ancien),
1,ANGLEUR TGV3,CCGT,NG,110,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,3,4
2,HAM-GENT WKK,CCGT,NG,52,0.8,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,4,4
3,RINGVAART STEG,CCGT,NG,357,0.45,0.0286,0.0286,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,10,4
4,SERAING TGV,CCGT,NG,485,0.46,0.0444,0.0444,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,11,4
5,Amercoeur 1 R TGV,CCGT,NG,420,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,16,4
6,DROGENBOS TGV,CCGT,NG,460,0.46,0.0444,0.0444,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,41,4
7,ESCH-SUR-ALZETTE STEG,CCGT,NG,376.4,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,42,4
8,RUIEN 5 REPOWERING (09/13),CCGT,NG,43,0.8,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,68,4
9,HERDERSBRUG STEG,CCGT,NG,460,0.46,0.0444,0.0444,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,47,4
10,SAINT-GHISLAIN STEG,CCGT,NG,350,0.45,0.0286,0.0286,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,70,4
11,Zandvliet Power,CCGT,NG,395,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,83,4
12,Marcinelle Energie (Carsid),CCGT,NG,410,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,96,4
13,LANGERLO 3 REPOWERING,CCGT,NG,43,0.8,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,99,4
14,LANGERLO 4 REPOWERING,CCGT,NG,43,0.8,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,100,4
15,VILVOORDE TGV,CCGT,NG,385,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,101,4
16,Biostoom Oostende,CCGT,WR,19.4,0.1,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,103,4
17,INESCO WKK,CCGT,NG,138,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57,104,4
18,T-power Beringen,CCGT,NG,422,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57,106,4
19,AWIRS 4,CL,WP,95,0.5,0.02,0.02,2,5,1,9,0,0,7.825937393,70.43343653,0.4,17,13
20,AWIRS 5 (d�but 2013),CL,NG,294,0.35,0.007,0.007,7,5,1,10.90909091,0,0,11.60266667,126.5745455,0.33,18,2
21,RODENHUIZE 4,CL,WP,268,0.35,0.007,0.007,7,5,1,9,0,0,7.825937393,70.43343653,0.4,65,13
22,RUIEN 5 (09/13),CL,CP,290,0.2,0.003,0.003,7,5,1,10.90909091,0,0,6.51125,71.03181818,0.33,67,14
23,RUIEN 6 (09/13),CL,NG,294,0.2,0.003,0.003,7,5,1,10.90909091,0,0,11.60266667,126.5745455,0.33,69,2
24,Zelzate 2 Knippegroen,CL,NG/BF,305,0.2,0.003,0.003,7,5,1,10.90909091,0,0,11.60266667,126.5745455,0.33,87,2
25,LANGERLO 1,CL,CP,235,0.35,0.007,0.007,7,5,1,10.90909091,0,0,6.51125,71.03181818,0.33,97,14
26,LANGERLO 2,CL,CP,235,0.35,0.007,0.007,7,5,1,10.90909091,0,0,6.51125,71.03181818,0.33,98,14
27,DROGENBOS DM 51,D,GO,2.5,0.1,0.07,0.07,0.25,0,0,9,0,0,18,162,0.4,38,5
28,DROGENBOS DM 52,D,GO,2.5,0.1,0.07,0.07,0.25,0,0,9,0,0,18,162,0.4,39,5
29,ANGLEUR TG 41,GT,NG,64,0.4,0.128,0.128,0.25,0,0,8.780487805,0,0,9.76125,85.70853659,0.41,1,6
30,ANGLEUR TG 42,GT,NG,64,0.4,0.128,0.128,0.25,0,0,8.780487805,0,0,9.76125,85.70853659,0.41,2,6
31,HAM31,GT,NG,52,0.4,0.128,0.128,0.25,0,0,10.28571429,0,0,9.76125,100.4014286,0.35,5,6
32,HAM32,GT,NG,52,0.4,0.128,0.128,0.25,0,0,10.28571429,0,0,9.76125,100.4014286,0.35,6,6
33,MONSIN TG2,GT,GO,70,0.4,0.128,0.128,0.25,0,0,10.28571429,0,0,9.76125,100.4014286,0.35,9,6
34,DROGENBOS GT0,GT,NG,78,0.4,0.128,0.128,0.25,0,0,10.28571429,0,0,9.76125,100.4014286,0.35,40,6
35,HU AMPSIN-NEUVILLE,HU,WA,9.9,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,7
36,HU ANDENNE,HU,WA,9,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,7
37,HU FLORIFFOUX,HU,WA,0.8,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,7
38,HU GRAND-MALADES,HU,WA,5,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,7
39,HU IVOZ-RAMET,HU,WA,10,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,7
40,HU MONSIN,HU,WA,19.7,0,0,0,0,0,0,3.6,0,0,0,0,1,NaN,7
41,HU LIXHE,HU,WA,20,0,0,0,0,0,0,3.6,0,0,0,0,1,7,7
42,BEVERCE 1,HU,WA,3.1,0,0,0,0,0,0,3.6,0,0,0,0,1,21,7
43,BEVERCE 2,HU,WA,3.1,0,0,0,0,0,0,3.6,0,0,0,0,1,22,7
44,BEVERCE 3,HU,WA,3.1,0,0,0,0,0,0,3.6,0,0,0,0,1,23,7
45,BUTGENBACH,HU,WA,1.8,0,0,0,0,0,0,3.6,0,0,0,0,1,28,7
46,COO I T,HUSTO,WA,474,0.43,0.33,0.33,0.3,0,0,3.6,0,0,0,0,1,30,12
