Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other,,
6934177,529000,0,2497714,2864000,355733,220491,467239,-313998,-1864997
6917040,530800,0,2561334,2861600,225170,239103,499033,-249556,-1775385
6822351,529600,0,2538235,2862400,129591,241543,520982,-48571,-1793949
6742241,532200,0,2443366,2860000,124052,258462,524161,61718,-1914146
6802553,530200,0,2491613,2859600,126074,265996,529070,-35776,-1792215
6733674,530400,0,2397698,2854400,140560,270498,540118,-212127,-1724492
6688807,528200,0,2403752,2856200,129149,254532,516974,-309168,-1611695
6726683,510200,0,2449173,2854200,148350,240114,524646,-276918,-1655447
6673837,504600,0,2381524,2856000,140501,228385,562827,-279778,-1656519
6618633,501400,0,2459664,2853200,56306,226601,521462,-212851,-1826247
6616953,501200,0,2521559,2852200,11032,224059,506903,-263530,-1845768
6712118,501400,0,2591988,2851600,10678,242155,514297,-331502,-1798518
6799712,505600,0,2598974,2849200,11330,271207,563401,-429631,-1703626
6734856,505800,0,2528158,2847600,12903,271197,569198,-512061,-1627566
6740959,506200,0,2593056,2848400,11154,261067,521082,-575591,-1617516
6775815,506600,0,2582926,2848000,11378,274657,552254,-530912,-1618387
6821707,504000,0,2602088,2848400,11882,291812,563525,-484590,-1695867
6735305,506600,0,2541432,2846600,11881,277602,551190,-655479,-1654192
6911597,527600,0,2704951,2846400,12012,278530,542104,-724033,-1564988
6917467,520800,0,2714032,2847800,11807,297841,525187,-813613,-1519919
6947970,534000,0,2722115,2843800,11862,306327,529866,-875947,-1533097
6933515,557200,0,2673373,2844200,11890,312384,534468,-1160346,-1355280
6977946,587000,0,2697382,2842800,11460,320282,519022,-1342720,-1298432
7058985,602200,0,2763866,2843800,11311,328808,509000,-1265623,-1444792
7251768,602400,0,2929645,2844400,19774,331034,524515,-1284884,-1388059
7585008,596200,0,2950179,2842800,326072,331442,538315,-1027378,-1374007
7631628,598000,0,2945071,2844400,369083,335424,539650,-921662,-1383859
7650568,601600,0,2949213,2845800,389479,337939,526537,-946158,-1362458
7684286,600600,0,2968154,2845000,386530,340186,543816,-916640,-1403884
8020218,598200,0,2998685,2845000,667934,351243,559156,-828688,-1244508
7996611,595400,0,2942696,2844000,739133,359222,516160,-892959,-1118350
8101865,597600,0,2864931,2844600,917401,364683,512650,-1004143,-1185931
8131175,598600,0,2855294,2844200,968811,363323,500947,-937904,-1262471
8121676,601800,0,2880500,2848400,928123,359195,503658,-921626,-1353029
7930886,603800,0,2852374,2849200,740521,369327,515664,-806191,-1397234
7869258,604600,0,2837598,2851600,696140,360636,518684,-754526,-1386036
7623170,599800,0,2803485,2850600,498605,355159,515521,-637402,-1421122
7106503,600800,0,2647794,2849800,131336,357866,518907,-1170815,-1362232
7086505,597800,0,2554080,2851000,177577,359473,546575,-981518,-1339443
6942071,597000,0,2420983,2851400,163905,346785,561998,-949394,-1443693
6810099,598000,0,2385689,2853400,76031,331359,565620,-984948,-1346889
6710419,598400,0,2373036,2854000,33016,290018,561949,-870268,-1670160
6697180,601600,0,2299742,2851600,141441,282943,519854,-690172,-1874509
6756005,598800,0,2385460,2853000,138074,267931,512740,-622840,-2019506
6717714,599200,0,2338294,2853600,110084,298961,517575,-677940,-1980683
6761062,598400,0,2217876,2853800,276672,293981,520333,-607970,-1859073
6580495,593400,0,2164610,2851200,161199,281134,528952,-661025,-1784541
6371153,594800,0,2051528,2852800,48986,294620,528419,-566615,-1777116
6328047,586200,0,2038992,2853800,14717,312466,521872,-643521,-1655935
6201586,463800,0,2035028,2852400,12603,319987,517768,-788032,-1688845
6165798,422200,0,2063473,2852800,11991,297151,518183,-557750,-1732807
6076946,426000,0,1995076,2853200,12013,270913,519744,-609068,-1687225
5930732,413800,0,1875802,2853800,11993,255269,520068,-693396,-1632091
5923761,371800,0,1925713,2853800,11864,238207,522377,-1143855,-1618906
5942572,365400,0,1959724,2852400,11900,231444,521704,-1234211,-1601901
5882850,366200,0,1915801,2853000,11303,210869,525677,-1235652,-1568029
5836717,355200,0,1871529,2855000,13480,219060,522448,-1318776,-1427249
5892908,304400,0,1971098,2858000,13488,223226,522696,-1354720,-1315841
5833918,315000,0,1893144,2855400,13617,229416,527341,-1329295,-1228413
5858390,311800,0,1917339,2857000,13570,223633,535048,-1453434,-1234758
5985643,311600,0,2065253,2856400,13467,213407,525516,-1351949,-1283669
5939279,309800,0,2008931,2856000,13615,225539,525394,-1645814,-995778
5932205,311200,0,2016829,2855400,13589,208176,527011,-1706810,-935091
5819058,309600,0,1917884,2855000,13508,199826,523240,-1725809,-868376
5816245,318200,0,1920540,2857600,13406,177311,529188,-1797016,-872593
5845688,400800,0,1883287,2856600,13367,155095,536539,-1666733,-936155
5932889,413000,0,1935605,2857600,13449,174792,538443,-1815465,-876795
5928039,406000,0,1936105,2856600,12848,171233,545253,-1802484,-880549
6006703,442400,0,1949904,2857000,12685,176062,568652,-1812935,-787713
6060996,482400,0,1950533,2857400,12526,192627,565510,-1246034,-953955
5999000,488800,0,1911227,2857400,12583,194162,534828,-1153084,-1087384
6056762,490600,0,1998005,2857800,12606,183838,513913,-1047770,-1129416
6139650,496600,0,2085893,2857000,12637,178682,508838,-1093761,-1257410
6162253,560000,0,2040590,2858400,12553,180483,510227,-1312157,-1562574
6190165,585000,0,2042358,2858000,11537,174423,518847,-1409207,-1578956
6399326,579800,0,2168741,2861000,92800,166955,530030,-1442460,-1559228
6635812,584200,0,2280083,2859200,215854,165841,530634,-1363521,-1551240
7213208,595200,0,2501050,2862000,544634,160789,549535,-1180966,-1542329
7518476,596000,0,2685672,2861200,653155,156576,565873,-1164960,-1558826
7597060,601400,0,2744027,2859800,653108,170016,568709,-1182733,-1574439
7658898,599600,0,2783530,2862200,704372,153088,556108,-1161761,-1527174
7472009,605465,0,2796184,2860800,506504,163600,539456,-1276771,-1355927
7467247,613922,0,2805790,2855800,490827,167996,532912,-1335751,-1373571
7559397,612058,0,2845580,2851800,572089,132615,545255,-1456971,-1428153
7645539,613570,0,2854496,2847000,667550,107873,555050,-1348582,-1426878
7199004,612800,0,2493089,2847000,601626,93055,551434,-1245982,-1705687
7242160,615400,0,2468771,2843000,681921,89250,543818,-1146814,-1825921
7279100,612200,0,2500357,2837800,679802,101803,547138,-1215483,-1896395
7343583,593200,4122,2503635,2838600,752952,113357,537717,-1125801,-1868121
7278215,601800,14055,2495207,2834200,638149,129272,565532,-1184498,-1963184
7295834,610800,14113,2579517,2839200,561487,117713,573004,-1092570,-2007201
7401851,626400,14132,2694199,2835800,531614,121349,578357,-1090241,-1971371
7352586,622600,14152,2783568,2836400,378554,140625,576687,-1066783,-1973932
7175585,623400,14177,2742058,2837800,250839,129492,577819,-1244503,-2028280
7170856,627600,14193,2776028,2837400,194492,139508,581635,-1310205,-2027572
7224086,626600,14223,2805976,2839000,209722,145520,583045,-1210553,-2028562
7254023,629800,14204,2689736,2839400,342118,152530,586235,-1185586,-2015941
7053144,625600,14167,2615706,2838400,215826,149731,593714,-1200844,-1886004
6886670,625000,14213,2602541,2838800,49385,166771,589960,-1269921,-1896136
6851412,626000,14219,2603635,2837800,9320,177475,582963,-1239624,-1882438
6757809,624200,19924,2501288,2840800,8612,171911,591074,-1291464,-1842674
6921973,625800,1412,2529561,2838800,173199,174458,578743,-1262023,-1745809
6962548,621800,0,2552973,2839600,197397,162903,587875,-1219994,-1657962
6727934,586600,0,2518287,2838800,23712,172804,587731,-1279097,-1706312
6699677,545600,0,2537021,2838400,7815,189824,581017,-1319946,-1779079
6761272,488800,0,2704181,2840200,6858,187890,533343,-1270040,-1686751
6737477,491600,0,2653817,2839200,7042,223185,522633,-1272228,-1589244
6767814,494200,0,2642654,2839600,6372,224032,560956,-1372579,-1570851
6708961,505200,0,2560066,2840200,6067,238375,559053,-1399565,-1620379
6719762,497600,0,2587151,2836800,6993,239947,551271,-1359818,-1704895
6736181,499600,0,2609704,2837800,7221,242338,539518,-1385197,-1648065
6717741,496600,0,2576317,2834600,6942,249301,553981,-1397326,-1615548
