Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other,,
5954307,558200,0,1760441,2855400,274573,1691,504002,-1112354,-1476159
6017610,569800,0,1796629,2853400,297598,2208,497975,-1024215,-1627133
6060533,587000,0,1809375,2856000,290562,2433,515163,-883649,-1804917
6078891,600800,0,1859815,2855000,247565,2602,513109,-870655,-1833017
6076993,598000,0,1903375,2855600,190106,3194,526718,-883398,-1815920
6044526,596000,0,1946798,2851000,143073,3452,504203,-804739,-1815024
5881103,599200,0,1806624,2851000,119511,4027,500741,-602556,-1897833
5582411,563200,0,1648893,2848600,23018,4047,494653,-783572,-1861036
5727319,548000,0,1806373,2852200,22092,5144,493510,-852919,-1613988
5699564,553200,0,1771920,2855600,20915,4529,493400,-780861,-1545436
5624067,549800,0,1665904,2857200,19507,4970,526686,-847278,-1510801
5617292,541800,0,1658273,2857200,20701,7882,531436,-873948,-1513505
5575351,463800,0,1686373,2858200,20836,10869,535273,-1278529,-1448290
5581872,445000,0,1759111,2857800,24492,13704,481765,-1378196,-1422854
5552095,444800,0,1759103,2858400,26560,18913,444319,-1390306,-1412224
5449934,442400,0,1663901,2857200,29544,24992,431897,-1384773,-1337997
5452987,353400,0,1742119,2858000,30192,30794,438482,-1527983,-1423541
5540734,333200,0,1814419,2858800,31022,37246,466047,-1603402,-1309118
5487907,332800,0,1718404,2858000,31013,43576,504114,-1559107,-1303507
5485075,329200,0,1737205,2858800,32370,45632,481868,-1579637,-1270505
5442530,312600,0,1725677,2859400,39727,47375,457751,-1713839,-1092321
5505142,329000,0,1747748,2862400,43469,54858,467667,-1842846,-990252
5559016,332800,0,1760987,2863400,44150,66521,491158,-1730357,-918331
5615942,375600,0,1770959,2864000,46649,77295,481439,-1766073,-902901
5651383,390800,0,1799581,2864800,49090,78958,468154,-1784166,-924529
5648947,337000,0,1843351,2867400,49742,79370,472084,-1907155,-802740
5683821,288200,0,1932065,2866000,52618,87453,457485,-1916151,-800690
5684097,290600,0,1920232,2869200,53273,100594,450198,-1842067,-814082
5738336,303200,0,1948470,2866800,52841,110713,456312,-1690082,-1190166
5767686,349600,0,1953320,2866400,51990,97060,449316,-1731889,-1108754
5844968,381600,0,2004068,2867200,51636,83750,456714,-1771305,-1156808
5972566,372800,0,2128738,2867800,51354,91057,460817,-1795088,-1202790
6037986,414200,0,2140233,2865200,50814,102249,465290,-1715767,-1136721
6067823,472200,0,2106073,2867200,50270,102440,469640,-1697731,-1052377
6241079,495400,0,2252668,2869200,52293,101827,469691,-1718731,-1192274
6499978,509000,0,2468619,2873000,62917,104363,482079,-1613499,-1410408
6564949,527800,0,2373255,2876600,175129,108793,503372,-1221470,-2027235
6664723,552400,0,2426247,2874600,191020,116643,503813,-1276942,-2173080
6758533,558800,0,2451680,2876000,248541,117302,506210,-1361697,-2104387
6930451,542200,0,2444631,2876400,463336,111632,492252,-1145349,-2111355
6833771,542600,0,2309004,2877600,526562,116409,461596,-1128718,-2126171
6687659,547800,0,2271720,2875600,429663,111819,451057,-1261052,-2157970
6758539,558400,0,2314075,2876400,436855,108185,464624,-1267228,-2113987
6814469,571200,0,2303026,2875800,474874,107815,481754,-1257347,-2099351
6758719,571800,0,2326962,2876000,366281,115396,502280,-1483428,-2002199
6846729,579600,0,2484269,2875600,282790,121631,502839,-1417615,-2095986
6827555,583600,0,2485414,2878400,261821,128993,489327,-1254719,-2195319
6794649,583600,0,2477188,2876000,268614,113824,475423,-1244423,-2199925
6841125,585200,0,2528463,2876400,278987,101694,470381,-1236013,-2171668
6805529,583400,0,2554097,2873000,247836,97616,449580,-1160233,-2196825
6823893,586800,0,2572363,2875800,248403,91211,449316,-1087774,-2269300
6750993,585800,0,2506795,2875000,257677,80874,444847,-1160531,-2179516
6787523,591600,0,2446413,2873000,357340,69820,449350,-1110999,-2271137
6833900,580800,0,2561144,2874800,303609,63249,450298,-1116226,-2264190
6846998,577800,0,2474992,2873600,404648,61669,454289,-1039261,-2212888
6876775,585200,0,2520394,2874000,388306,53535,455340,-1065207,-2184117
6884931,582000,0,2583530,2872000,332766,45675,468960,-1000294,-2066191
6825630,577800,0,2553513,2873000,304536,40091,476690,-811457,-2039988
6724636,587200,0,2472656,2872200,287491,38279,466810,-860482,-2145741
6713364,584200,0,2533234,2872600,237011,36423,449896,-798980,-2199655
6615309,576600,0,2490962,2872800,181974,41950,451023,-938760,-2142473
6434470,578000,0,2456433,2872800,26957,45409,454871,-943357,-2169130
6424431,590600,0,2438451,2871800,27702,40706,455172,-884002,-2210474
6448700,585800,0,2482893,2873200,29010,36583,441214,-903557,-2268839
6508152,576600,0,2552387,2871200,28841,32927,446197,-828073,-2269204
6562825,576600,0,2565211,2872600,29249,39302,479863,-909864,-2128996
6476504,565800,0,2479960,2871200,30217,43726,485601,-962506,-2089858
6475929,567200,0,2496620,2870600,29417,46090,466002,-983900,-2102083
6492262,571200,0,2518048,2873000,29338,42758,457918,-954533,-2152789
6587124,570800,0,2610313,2875000,29958,45159,455894,-955783,-2084003
6570865,573000,0,2582494,2875400,29364,63390,447217,-956197,-2119933
6621406,577400,0,2605527,2874000,47058,72586,444835,-971218,-2176254
6636015,577200,0,2511174,2874200,144501,75722,453218,-1059482,-2117071
6626397,578400,0,2497696,2873800,147001,74504,454996,-1139567,-2139295
6656401,577000,0,2632235,2873800,38309,79903,455154,-1238868,-2155271
6667329,578600,0,2675200,2872400,31924,70287,438918,-1209882,-2134850
6659135,577800,0,2664624,2873000,36469,67910,439332,-1309729,-2062225
6837742,608000,0,2750590,2872400,84196,69484,453072,-1477176,-1982926
7054961,626600,0,2756600,2869800,259381,82208,460372,-1283837,-1972442
7184045,624600,0,2815335,2871200,333496,76020,463394,-1231997,-2027957
7423938,622000,0,2760771,2873200,629826,63690,474451,-966517,-1999788
7456898,620400,0,2812781,2871000,591158,61040,500519,-975387,-2047602
7664215,621200,0,2835446,2872000,772332,55234,508003,-896720,-1886406
7894256,622000,0,2968174,2870200,870152,50712,513018,-1063773,-1819341
7914463,622200,0,2980363,2870000,888069,50860,502971,-1373057,-1586555
7886563,622600,0,2990301,2870000,867663,40837,495162,-1564673,-1451803
7853164,625200,0,3003001,2871400,828171,33948,491444,-1423005,-1470723
7748641,626800,0,2972629,2871200,747999,31792,498221,-1416967,-1513823
7712922,634600,0,2985480,2872600,692650,31078,496514,-1301101,-1717772
7562931,637000,0,2965244,2872600,564081,28999,495007,-1192526,-1736506
7392073,633800,0,2907992,2872000,464932,20646,492703,-1130441,-1788349
7224500,625200,0,2892297,2875800,330811,12150,488242,-1173019,-1855704
6943698,623000,0,2719886,2879400,218975,13116,489321,-1169130,-1875605
6846362,624400,0,2658723,2874600,183600,12602,492437,-1039661,-2049317
6707557,624200,0,2546745,2856000,169278,11924,499410,-1092483,-2020665
6619894,619800,0,2581726,2854800,54889,10165,498514,-1110897,-1900905
6675187,628600,0,2649572,2859600,37913,6680,492822,-1255386,-1880869
6854838,631000,0,2781008,2861400,74235,6995,500200,-1184978,-2017597
6803581,631600,0,2702619,2857400,101107,5899,504956,-952227,-2154611
6760365,626600,0,2732726,2859400,34929,3379,503331,-1073767,-2083449
6752843,624000,0,2658111,2857800,103244,4732,504956,-1011155,-2222289
6747639,631400,0,2586815,2859000,158352,6457,505615,-932039,-2114273
6675836,632200,0,2571751,2861000,103222,8328,499335,-772146,-2128167
6410968,629600,0,2376668,2861000,30869,10578,502253,-802791,-2104479
6320580,627800,0,2287829,2860600,32295,9645,502411,-1044272,-1773375
6267135,631200,0,2224651,2860600,38655,11414,500615,-897781,-1768807
6281889,631600,0,2220392,2859600,47002,14284,509011,-1056303,-1698403
6199164,629000,0,2138367,2861600,50563,14503,505131,-977074,-1688608
6333192,583600,0,2301051,2860200,56696,17744,513901,-1193972,-1459147
6365768,566800,0,2345197,2862600,55732,22766,512673,-1132068,-1346104
6260967,565800,0,2240969,2860400,54478,27548,511772,-1076854,-1348888
6291034,562800,0,2271867,2859800,53395,33060,510112,-1212530,-1268390
6285185,496400,0,2311138,2861200,50766,37375,528306,-1428800,-1401248
6260684,450200,0,2314675,2860400,49995,53628,531786,-1556127,-1293741
6166133,448400,0,2223162,2859400,45365,56606,533200,-1521606,-1298159
6182671,435000,0,2257577,2859800,40802,58410,531082,-1579731,-1234440
6070839,354000,0,2213543,2860800,39410,74675,528411,-1947913,-954811
6050756,333800,0,2203338,2859000,39347,94522,520749,-2053021,-914423
6059112,327600,0,2196976,2859800,39295,109879,525562,-2034251,-951310
6082226,361600,0,2228409,2860400,39464,100630,491723,-2000172,-965716
6216847,432800,0,2294794,2860400,39824,98390,490639,-1933516,-898438
6152745,431000,0,2244478,2861400,38815,99302,477750,-1963390,-841302
6253408,427400,0,2340814,2861000,38608,90435,495151,-1994233,-858329
6282358,457200,0,2341216,2857400,38386,78548,509608,-1935428,-936316
6310785,531400,0,2278070,2860600,38400,85134,517181,-1711175,-1287703
6249067,548000,0,2198860,2860800,38694,90772,511941,-1540512,-1445082
6321854,543800,0,2323199,2857600,39278,79929,478048,-1475851,-1613646
6544342,578000,0,2518792,2858200,39059,74733,475558,-1440848,-1709286
6597591,626400,0,2518260,2858600,38910,66806,488615,-872217,-2087557
6715763,622000,0,2614291,2860400,38958,59380,520734,-968093,-2248464
6745533,618600,0,2656371,2857800,38877,49306,524579,-1062555,-2216704
7072172,626200,0,2869419,2861600,139683,50791,524479,-647952,-2250307
7348340,629200,0,2949102,2862400,318720,60555,528363,-451356,-2338156
7681747,626600,0,3180617,2861600,420771,66908,525251,-374201,-2347845
7800537,617000,0,3235098,2860200,480370,80583,527286,-376390,-2451226
7909027,623800,0,3198112,2863000,630548,90991,502576,-148071,-2366697
8434190,627600,0,3317440,2859000,1060806,84902,484442,-66595,-1833880
8551302,626600,0,3446565,2860000,1039209,78183,500745,53285,-1850453
8535914,627400,0,3497333,2860000,979530,71034,500617,19669,-1861095
8322552,616600,0,3542304,2859600,737219,63566,503263,-45421,-1989389
7671564,603800,0,3508917,2859000,133441,59776,506630,-471638,-2177618
7544728,577400,0,3513933,2860000,41209,59920,492266,-487547,-2204002
7530529,598400,0,3492148,2858000,40520,60569,480892,-459444,-2173295
7449398,621600,0,3396187,2860400,39574,53369,478268,-370479,-2202174
7448274,625200,0,3398427,2859400,39677,42155,483415,-546241,-1954760
7424703,633800,0,3365695,2860400,39144,42769,482895,-351786,-2101778
7339635,613600,0,3307839,2859400,38761,40755,479280,-378818,-2159996
7287764,577400,0,3299535,2859400,38572,38752,474105,-281308,-2270046
7877666,564400,11180,3226461,2860000,708011,30301,477313,267047,-2140018
7922778,551800,14880,3254023,2860000,743102,21130,477843,322733,-2061048
8043748,570400,14960,3296875,2859600,776440,24020,501453,401520,-2086567
8094008,628000,1740,3286734,2860000,791181,35214,491139,494787,-2097776
7941326,636600,0,3304401,2860400,641236,43773,454916,479855,-2041937
7643061,592200,0,3181144,2860800,509208,42774,456935,313899,-2119634
7612551,544600,0,3268677,2861800,419239,47813,470422,425531,-2228405
7712010,533800,0,3448041,2860800,333285,46338,489746,356854,-2101058
7784374,533200,0,3428731,2861800,418347,38076,504220,411089,-2088204
7840284,532400,0,3507758,2860200,418021,32967,488938,383158,-2053119
7799543,522600,0,3509882,2860800,395207,34350,476704,397619,-2086099
7721275,500200,0,3529684,2860800,324767,32492,473332,327924,-2037192
7541696,491800,0,3502015,2860400,189346,25813,472322,177146,-2114877
7444525,499000,0,3523796,2859400,49840,21890,490599,182104,-2189907
7547660,529800,0,3615407,2860800,28206,21911,491536,-5161,-2137273
7593468,561400,0,3614374,2861000,27793,22365,506536,94297,-2080028
7597426,587000,0,3593666,2858400,28502,21928,507930,-150089,-1919434
7522748,534400,0,3572153,2858000,29025,22078,507092,-187003,-1909795
7510542,507600,0,3612888,2856600,29166,20679,483609,-151511,-1960943
7504612,506000,0,3597156,2859400,29473,18699,493884,-209523,-1954735
7378824,504000,0,3456065,2857200,29399,18782,513378,-187119,-1974920
7378141,505200,0,3454533,2856600,30204,15479,516125,-355457,-1971856
7492802,506200,0,3581111,2858600,31992,13271,501628,-470207,-1874550
7554557,506400,0,3626210,2857600,32349,16085,515913,-489012,-1873180
7526973,504800,0,3601422,2858000,33229,17198,512324,-591294,-1943335
7579790,505000,0,3653397,2856000,33882,17480,514031,-658549,-1841461
7594870,507800,0,3667718,2857600,34587,22840,504325,-751691,-1742492
7666821,507400,0,3728951,2858000,35686,25729,511055,-757894,-1765253
7635686,510000,0,3681038,2856200,35959,24047,528442,-470490,-2112588
7811769,583200,0,3791706,2855000,38250,22343,521270,-542183,-2060879
7883687,595600,0,3853143,2854000,38529,19974,522441,-523252,-1969059
7878830,590000,0,3849870,2856400,40718,14911,526931,-907323,-1610865
8475849,593000,0,3911117,2855400,588168,9713,518451,-935313,-1206514
8850111,593800,0,4029187,2855000,837862,11084,523178,-904870,-1109086
8903543,593000,0,4118269,2855800,803486,13128,519860,-804524,-1228293
8790091,595600,0,4159571,2856200,639217,18034,521469,-825151,-1300795
8546696,593600,0,4242576,2857600,303253,20612,529055,-937638,-1320883
8358474,589000,0,4145280,2858000,229658,19987,516549,-910463,-1190803
8286102,593000,0,4059772,2857400,239187,20693,516050,-955116,-1108017
8012690,592200,0,3962331,2857000,67015,21366,512778,-1045530,-1159858
7823350,588600,0,3805327,2857000,38242,24163,510018,-1059403,-1163025
7433053,547400,0,3450394,2858600,38018,20012,518629,-1135957,-1379445
7239545,530000,0,3282998,2858000,37682,14053,516812,-1035605,-1427966
7113612,575400,0,3102365,2860400,57826,12441,505180,-1083458,-1344431
7009034,598800,0,3023799,2858400,37049,12447,478539,-1371249,-1424909
7016235,601600,0,3007847,2859400,37005,11997,498386,-1392802,-1461119
7094658,595600,0,3099344,2860400,37293,10416,491605,-1370613,-1566577
6982359,596000,0,2968587,2860200,37062,11280,509230,-1339734,-1506098
6892399,594600,0,2874759,2858800,37230,12800,514210,-1463895,-1532379
6836396,593200,0,2809929,2862400,37212,16768,516887,-1341029,-1463056
6694153,597200,0,2666380,2860000,37582,17246,515745,-1256969,-1497613
6685321,596600,0,2656871,2861400,37434,18100,514916,-1346279,-1437281
6679066,592200,0,2649447,2862400,38175,21707,515137,-1301438,-1225625
6642967,596000,0,2608404,2861200,39233,22221,515909,-1131652,-1121075
6524855,598800,0,2494049,2861400,38716,20761,511129,-953123,-1223362
6418036,544400,0,2436412,2861800,38692,21916,514816,-1102658,-1222886
6332448,432200,0,2481215,2861400,39353,19868,498412,-1583635,-1239606
6427995,431400,0,2621325,2861400,39558,17461,456851,-1745651,-1233713
6441049,410400,0,2652932,2860800,39618,15356,461943,-1682710,-1191720
6283735,404200,0,2494340,2861400,40119,13906,469770,-1832973,-1086482
6353339,347800,0,2619403,2861000,40141,14638,470357,-2113182,-873663
6425583,314000,0,2716356,2860000,40557,14617,480053,-2102048,-748748
6267659,304400,0,2560874,2861600,40712,10929,489144,-2148820,-719233
6276829,286000,0,2582058,2861000,40543,6429,500799,-2303801,-626731
6256423,274200,0,2573917,2860600,40074,4452,503180,-2431191,-369468
6202718,270000,0,2528707,2861600,40527,5139,496745,-2534228,-308259
6181737,277200,0,2497501,2860200,40241,5816,500779,-2520514,-276675
6183276,299800,0,2473194,2862600,40049,6247,501386,-2454141,-289848
6240849,353600,0,2480877,2860200,40027,5920,500225,-2428670,-305781
6297076,370400,0,2518330,2862000,39849,4692,501805,-2449557,-299192
6312600,370800,0,2536028,2862200,39899,3490,500183,-2525234,-301993
6403904,396800,0,2606261,2860200,39740,3815,497088,-2425503,-335271
6420906,482800,0,2526279,2862200,39739,2977,506911,-1833915,-1009612
6504497,495600,0,2632528,2861200,39732,3792,471645,-1768678,-1104669
6603289,495800,0,2741524,2859400,39703,4403,462459,-1513413,-1215117
6720215,553600,0,2746391,2861200,39593,4732,514699,-1333123,-1390917
6772834,605800,0,2739420,2862200,39470,5458,520486,-807861,-1925711
6917421,610800,0,2890483,2859800,39538,6599,510201,-549217,-1984419
7165122,608600,0,3144333,2861400,39434,7283,504072,-705760,-2026408
7403404,610800,0,3373034,2860600,39458,7700,511812,-625927,-2034895
7798272,604600,0,3646524,2859200,163197,7756,516995,-624744,-1704524
8269616,606600,0,3908814,2860200,364029,9004,520969,-600311,-1618903
8405645,607000,0,4018705,2859400,401390,9135,510015,-592635,-1675149
8361507,601000,0,3998191,2856400,394615,8961,502340,-423040,-1739577
8518316,605200,9200,3992910,2861200,533163,9876,506767,-311850,-1581431
8580714,618600,3600,3973525,2863800,595913,11145,514131,-210041,-1609174
8617199,621800,0,3985535,2863600,624338,12616,509310,-197237,-1611062
8565863,623200,0,3907644,2863600,655481,11261,504677,-99713,-1611250
8497740,622200,0,3945347,2863600,552275,11395,502923,-255636,-1591007
8640714,624600,0,4082578,2862000,567934,12828,490774,-187985,-1574624
8567555,623600,0,4016864,2861000,557979,11522,496590,-105208,-1600906
8503996,622400,0,3978374,2860400,521712,10693,510417,-82136,-1640030
8187758,623200,0,3816178,2860800,365840,8477,513263,-197914,-1609989
8005138,626000,0,3739386,2860400,259848,7248,512256,-250025,-1627014
7928949,623200,0,3675684,2862400,252060,4491,511114,-181633,-1624210
7869024,620400,0,3631152,2859400,250807,2903,504362,-117998,-1713652
7969942,622800,0,3706193,2860400,265872,2947,511730,23716,-1677531
7932636,622200,0,3536851,2860400,389278,4019,519888,-17149,-1621083
7915516,622800,0,3478183,2859400,431965,5776,517392,72459,-1723320
7919885,621200,0,3452568,2860800,462689,8015,514613,171498,-1750950
7709814,611000,0,3417141,2860400,294880,10808,515585,210562,-1851350
7599109,591000,0,3387308,2859800,233042,10677,517282,238032,-1839383
7562524,553000,0,3462588,2858400,162862,10306,515368,261641,-1961883
7640120,521600,0,3562421,2860000,174781,8199,513119,244126,-1853758
7581653,525600,0,3503782,2858400,169534,6517,517820,182593,-1735784
7535791,564200,0,3544446,2858400,48795,4829,515121,61444,-1750736
7420492,556200,0,3451143,2859400,29878,4637,519234,40803,-1844724
7545183,553200,0,3582163,2859400,29841,3534,517045,11823,-1817458
7471756,547600,0,3523056,2859400,29533,3062,509105,142387,-1953781
7428587,544400,0,3516201,2860000,29497,3493,474996,85627,-1862061
7384465,548000,0,3455794,2859600,28998,4224,487849,67174,-1838505
7421548,596800,0,3460852,2859000,28869,4928,471099,18085,-1877044
7399859,617800,0,3403230,2859000,53870,5366,460593,-232298,-1663585
7520940,616000,0,3378427,2859600,202840,5569,458504,-224020,-1580153
7521335,619400,0,3412017,2858200,164638,5684,461396,-285419,-1620251
7490587,617200,0,3385703,2860000,156505,6579,464600,-359932,-1439092
7316731,619000,0,3226435,2858200,144743,6551,461802,-569757,-1519665
7274487,618000,0,3207899,2859200,104466,6749,478173,-706897,-1509792
7115294,561600,0,3130258,2859200,57816,7998,498422,-784464,-1523617
7195428,533200,0,3239728,2858200,74058,7217,483025,-804240,-1529110
7509713,595000,0,3354640,2858200,225771,7160,468942,-742514,-1282178
7485357,591600,0,3360012,2858200,195006,7150,473389,-963946,-1257573
7617627,558600,0,3540973,2860600,177701,7176,472577,-1035144,-1223725
7763794,561200,0,3679338,2857800,181651,8768,475037,-997551,-1244495
7795300,593400,0,3665865,2858600,186146,8187,483102,-996138,-1279893
7869314,627400,0,3687629,2858600,216575,6733,472377,-1079948,-1144542
7964591,620000,0,3791922,2858200,215288,7061,472120,-1222357,-1063613
8375112,618000,0,3879487,2858600,539528,11895,467602,-969703,-901270
8705035,616400,0,3852879,2859600,890074,14100,471982,-879931,-886480
8751667,617000,0,3859966,2858200,917708,17799,480994,-1078202,-963546
8942157,618800,0,3954354,2859200,995712,18355,495736,-926277,-913444
8910612,619800,0,3939137,2859600,952911,22735,516429,-780207,-916752
8621741,621200,0,3926942,2857800,670067,28763,516969,-1197037,-743447
8392654,624600,0,3856197,2858400,502738,33525,517194,-1187079,-839596
8211959,622400,0,3785226,2859000,383773,40725,520835,-1235562,-812477
8012997,622000,0,3767768,2857000,220281,43795,502153,-1240222,-771199
7665648,622400,0,3536118,2857600,95720,50957,502853,-1424730,-809701
7291165,621200,0,3232944,2858000,18888,55716,504417,-1490139,-1080761
7171408,624400,0,3084617,2857600,18707,63561,522523,-1331600,-1034704
7095362,627000,0,2999521,2858800,18690,63026,528325,-1373621,-1127365
6951826,630200,0,2850369,2858200,19707,64488,528862,-1468553,-1249578
6924024,627200,0,2818385,2860600,20702,63073,534064,-1533788,-1315619
6906218,626000,0,2799676,2859400,20942,64393,535807,-1325584,-1593670
6835765,625200,0,2725408,2859600,21234,71537,532786,-1393939,-1556331
6926546,621400,0,2809686,2862200,20966,72625,539669,-1292824,-1560641
6794037,620600,0,2714584,2862200,22582,72940,501131,-1260102,-1429142
6639930,619600,0,2573167,2861600,24740,79374,481449,-1280123,-1442906
6694121,616800,0,2604808,2862600,27222,83047,499644,-1410128,-1443973
6724562,604800,0,2625322,2862600,30594,93704,507542,-1421893,-1139579
6630493,601800,0,2541514,2865200,36160,97374,488445,-1379662,-1094213
6565851,607000,0,2486636,2862600,36752,99950,472913,-1363223,-1107162
6564176,607400,0,2485400,2863600,36921,93075,477780,-1436603,-982707
6449951,545200,0,2422013,2863800,38876,92051,488011,-1577558,-950081
6442955,495000,0,2458519,2864200,37559,94223,493454,-1550297,-890328
6399140,462800,0,2402760,2864800,36035,101407,531338,-1629535,-961141
6486927,456200,0,2482631,2864200,35837,113060,534999,-1757360,-761014
6238858,393600,0,2297112,2863400,35353,118968,530425,-2254732,-572784
6089717,346000,0,2216848,2863800,33654,113999,515416,-2484600,-441416
6062697,293000,0,2225275,2863000,33689,119178,528555,-2503814,-396047
6015160,282000,0,2204179,2864400,33169,113093,518319,-2483816,-323484
6001392,274800,0,2211900,2863400,31405,112066,507821,-2914031,47823
5997449,270400,0,2208921,2863000,31337,117780,506011,-3012221,124028
5997028,271000,0,2204152,2863000,31228,122561,505087,-2874681,50402
6028159,298400,0,2202893,2864000,30142,119216,513508,-2954368,103279
6037666,278800,0,2240698,2863000,29520,110530,515118,-3180296,202384
6078271,264800,0,2318943,2862000,29068,95736,507724,-3187880,254674
6026693,292600,0,2251295,2862600,27830,87111,505257,-3120825,258183
6084550,309400,0,2319566,2863200,26547,88360,477477,-3153919,165311
6167514,382800,0,2347507,2863200,26049,82660,465298,-2743664,-255664
6252641,414800,0,2361376,2863000,26169,78948,508348,-2709145,-319881
6212625,447800,0,2283030,2863600,25875,80506,511814,-2460302,-429580
6299807,532400,0,2298533,2861200,26073,78547,503054,-2475163,-322791
6493713,591000,0,2476529,2864000,25819,74103,462262,-1822808,-679562
6703961,616400,0,2640908,2863200,25936,79173,478344,-1835887,-663547
6885081,618800,0,2832695,2864600,24867,72953,471166,-1807274,-742768
7333185,623000,0,3053334,2862800,234428,80864,478759,-1618225,-868936
7584307,620800,0,3315558,2862200,222363,80575,482811,-1360016,-1065712
7895974,619200,0,3586139,2861800,252316,79678,496841,-1435893,-971245
7986068,614800,0,3702550,2861800,229542,87371,490005,-1465161,-1091813
8055712,614600,0,3743245,2862800,238407,82302,514358,-1321465,-1169267
8316748,619800,0,3739296,2863800,503838,75269,514745,-863844,-1202592
8338643,627000,0,3748459,2860800,507069,73436,521879,-702717,-1321151
8349919,630400,0,3736836,2861400,536426,78891,505966,-736504,-1286153
8345904,623600,0,3748068,2863800,544197,76499,489740,-686592,-1328793
8095924,619200,0,3664513,2861400,373786,79100,497925,-801157,-1425753
8205832,628000,0,3687913,2861800,425450,80984,521685,-728742,-1410905
8091668,632600,0,3573308,2862400,423207,80887,519266,-733274,-1373626
8036038,629600,0,3522577,2862400,428543,83282,509636,-725089,-1436180
7912617,629000,0,3576527,2862000,255016,83536,506538,-842308,-1449387
7780787,623800,0,3533537,2861200,188083,81951,492216,-696465,-1552977
7790993,626000,0,3516437,2859400,221049,84993,483114,-654719,-1592070
7702278,627400,0,3432698,2861200,216140,90569,474271,-590996,-1606526
7657422,622200,0,3471995,2858800,152093,92130,460204,-441939,-1880158
7622595,628200,0,3406963,2857800,142379,90492,496761,-223060,-1973956
7555307,623800,0,3376474,2858200,88538,90675,517620,-196392,-2038041
7424065,622200,0,3340145,2859000,23852,82461,496407,-237886,-2017003
7390934,621600,0,3309268,2859600,23362,81816,495288,-36101,-2022956
7368022,624600,0,3291447,2862600,22416,77872,489087,36826,-2024001
7003308,565600,0,2978133,2859600,21081,81047,497847,-71466,-2222413
7006574,550800,0,2992549,2860600,20440,86819,495366,-86789,-2145193
6946152,588800,0,2880555,2859200,19019,94685,503893,-69096,-2139342
7006018,594600,0,2910618,2860000,17617,119955,503228,-34664,-2081707
6970857,563200,0,2909658,2857600,16659,122979,500761,-266331,-1944201
6874163,537600,0,2841168,2858000,15547,117606,504242,-304617,-1902873
6874936,529000,0,2843820,2857600,15690,133273,495553,-302108,-1961343
6902043,524800,0,2887795,2856600,15479,143908,473461,-250122,-1938929
6967006,527800,0,2944238,2855600,15726,142953,480689,-352511,-1905366
6920545,528400,0,2882339,2855400,16733,143813,493860,-299984,-1961513
6901494,526600,0,2884610,2854400,15996,149198,470690,-439043,-1833069
6962174,526600,0,2949197,2848400,17368,164157,456452,-442200,-1822398
6971455,527600,0,2957917,2846400,17788,172110,449640,-553687,-1862245
7079384,530600,0,3082274,2841000,19237,163226,443047,-471839,-1898602
7064534,529400,0,3058699,2842400,19549,161486,453000,-616524,-1865836
7123277,534600,0,3106242,2841400,19685,157264,464086,-739295,-1787049
7182481,534200,0,3138058,2841400,21068,158202,489553,-810819,-1806882
7024191,531000,0,2900795,2838800,98108,161487,494001,-1043185,-1931057
7561813,605200,0,3065622,2839400,393958,157320,500313,-767031,-1681292
7707958,619800,0,3184424,2840400,439285,145060,478989,-874486,-1605767
7857284,615800,0,3218547,2840400,566478,125102,490957,-825024,-1584640
7901582,606200,0,3290522,2841400,567702,120510,475248,-896163,-1567206
7762896,610000,0,3251097,2840800,466758,117150,477091,-873052,-1754024
7732429,612000,0,3301373,2839000,356777,140920,482359,-1016292,-1601120
7763699,614400,0,3325760,2840000,331570,146250,505719,-1005264,-1540566
7835106,609400,0,3354634,2842000,408636,132700,487736,-959627,-1574904
8286288,608200,0,3416664,2842000,778185,152571,488668,-754414,-1592331
8534157,608800,0,3501882,2844000,904963,184232,490280,-633754,-1597734
8666526,612600,0,3470959,2843000,1034537,217968,487462,-506950,-1610890
8592943,607800,0,3414972,2844400,999616,235709,490446,-362458,-1654630
8292930,606400,0,3493613,2843000,613063,246105,490749,-770256,-1484286
8153116,609400,0,3515474,2842000,468735,226753,490754,-673670,-1597998
8003655,614400,0,3453747,2843000,359114,232259,501135,-758992,-1491812
7864710,609600,0,3469448,2845800,249839,219384,470639,-750737,-1413019
7433033,605400,0,3204277,2846200,116259,195068,465829,-1146509,-1270075
7077873,600400,0,2957633,2845600,21109,184070,469061,-1314968,-1335354
6925150,611800,0,2789789,2848000,19488,193805,462268,-1345887,-1342067
6868545,610000,0,2733452,2848200,19283,184971,472639,-1438839,-1214389
6716521,597800,0,2603097,2848600,18869,177793,470362,-1423237,-1579045
6833685,597800,0,2711790,2848800,18089,179198,478008,-1331283,-1688957
6909927,598400,0,2774168,2849200,26427,194700,467032,-1027934,-1914129
6915243,600200,0,2708668,2848200,104963,190179,463033,-1082012,-1809078
7003866,597000,0,2784190,2848400,106681,184435,483160,-1127017,-1748303
6826097,600000,0,2672457,2848600,46313,189484,469243,-1051976,-1841977
6729211,601000,0,2607676,2849800,17175,177761,475799,-908924,-1794729
6581303,588800,0,2483369,2849800,17069,179443,462822,-1142818,-1737199
6616565,501800,0,2579856,2848800,17228,180686,488195,-1400189,-1168767
6757187,488400,0,2599315,2848800,135262,194383,491027,-989622,-1116896
6513968,480200,0,2463875,2848600,27927,201677,491689,-1103480,-1106746
6536926,472600,0,2530010,2847200,17651,188149,481316,-1217483,-998572
