Day-Ahead forecast [MW],Intraday forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0.670812662,0,1600
0,0,1.341625323,0,1600
0,33.09342464,6.484522395,0,1600
0,66.18684928,24.82006848,0,1600
0,93.01935574,48.07490741,0,1600
0,120.0754664,74.23660122,0,1600
0,162.3366641,102.410733,0,1600
0,204.821466,145.7899518,0,1600
0,247.0826637,195.653693,0,1600
0,289.5674656,245.2938299,0,1600
0,329.1454126,291.3562994,0,1600
0,368.9469639,338.3131857,0,1600
0,408.5249109,377.6675285,0,1600
0,448.1028579,414.7858291,0,1600
0,478.5130319,446.7612326,0,1600
0,508.9232059,467.7800293,0,1600
0,539.1097757,497.9665991,0,1600
0,569.5199497,529.0475858,0,1600
0,584.2778282,547.3831319,0,1600
0,599.259311,569.0727412,0,1600
0,613.5699811,589.8679338,0,1600
0,628.1042555,595.6816435,0,1600
0,634.5887779,594.1164139,0,1600
0,641.2969045,600.8245406,0,1600
0,647.3342184,607.309063,0,1600
0,653.3715324,599.0357068,0,1600
0,643.7565509,594.3400182,0,1600
0,633.9179652,584.054224,0,1600
0,624.0793795,572.4268046,0,1600
0,614.2407938,550.2899867,0,1600
0,595.0108308,540.2277968,0,1600
0,575.7808679,524.1282929,0,1600
0,555.4328838,507.3579764,0,1600
0,535.3085039,478.7366362,0,1600
0,501.3206624,441.8419398,0,1600
0,467.3328209,408.5249109,0,1600
0,432.4505625,367.6053386,0,1600
0,397.5683041,321.3192649,0,1600
0,355.0835022,280.1760883,0,1600
0,312.5987003,230.0887429,0,1600
0,270.3375026,191.1816086,0,1600
0,228.2999092,151.8272657,0,1600
0,190.0635875,115.3797778,0,1600
0,151.8272657,76.02543498,0,1600
0,114.4853609,44.72084411,0,1600
0,77.14345608,20.57158829,0,1600
0,46.06246943,8.944168821,0,1600
0,14.75787855,4.24848019,0,1600
0,7.378939277,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0.447208441,0,1600
0,0,6.037313954,0,1600
0,17.66473342,18.11194186,0,1600
0,35.10586262,44.05003144,0,1600
0,50.0873454,69.76451681,0,1600
0,64.84522395,99.95108658,0,1600
0,91.00691776,134.833345,0,1600
0,117.1686116,174.411292,0,1600
0,143.5539096,225.1694501,0,1600
0,169.9392076,276.1512124,0,1600
0,196.1009014,334.7355181,0,1600
0,222.4861994,386.3880931,0,1600
0,248.8714974,441.3947313,0,1600
0,275.4803997,477.3950108,0,1600
0,292.027112,525.0227098,0,1600
0,308.7974286,564.3770526,0,1600
0,325.5677451,588.7499127,0,1600
0,342.1144574,629.4458808,0,1600
0,350.835022,659.4088463,0,1600
0,359.3319824,655.3839704,0,1600
0,367.6053386,696.7507512,0,1600
0,376.1022989,714.1918804,0,1600
0,382.5868213,735.6578855,0,1600
0,389.2949479,744.6020544,0,1600
0,395.5558661,751.310181,0,1600
0,401.8167843,726.2665083,0,1600
0,401.1459716,702.3408567,0,1600
0,400.475159,669.9182447,0,1600
0,399.5807421,625.1974006,0,1600
0,398.6863252,595.4580393,0,1600
0,389.2949479,572.6504088,0,1600
0,379.6799665,531.283628,0,1600
0,369.1705681,504.0039131,0,1600
0,358.4375655,466.438404,0,1600
0,338.7603941,440.053106,0,1600
0,319.3068269,409.1957236,0,1600
0,298.5116344,372.9718398,0,1600
0,277.9400461,333.617497,0,1600
0,250.6603312,302.5365104,0,1600
0,223.3806163,252.8963734,0,1600
0,196.5481098,204.1506533,0,1600
0,169.4919992,151.1564531,0,1600
0,138.1874083,100.8455035,0,1600
0,106.6592132,67.5284746,0,1600
0,76.02543498,38.45992593,0,1600
0,45.61526099,14.98148278,0,1600
0,24.14925582,4.695688631,0,1600
0,2.683250646,2.236042205,0,1600
0,1.341625323,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0.223604221,0,1600
0,0,1.565229544,0,1600
0,0,8.049751939,0,1600
0,22.80763049,17.4411292,0,1600
0,45.83886521,43.15561456,0,1600
0,64.84522395,71.32974635,0,1600
0,84.07518692,102.1871288,0,1600
0,117.3922158,140.1998463,0,1600
0,150.4856404,199.6785689,0,1600
0,183.8026693,262.7349591,0,1600
0,217.1196981,307.232199,0,1600
0,250.2131228,371.6302145,0,1600
0,283.0829432,425.2952274,0,1600
0,316.1763678,469.3452589,0,1600
0,349.2697925,511.6064566,0,1600
0,374.5370694,548.7247572,0,1600
0,399.8043463,564.1534484,0,1600
0,425.0716232,600.8245406,0,1600
0,450.5625044,622.9613584,0,1600
0,459.283069,625.1974006,0,1600
0,468.0036336,637.719237,0,1600
0,476.5005939,625.8682133,0,1600
0,485.2211585,592.5511844,0,1600
0,484.1031374,563.9298442,0,1600
0,482.9851163,549.8427783,0,1600
0,481.4198868,529.4947942,0,1600
0,480.0782615,494.1653274,0,1600
0,473.5937391,494.83614,0,1600
0,467.3328209,499.7554329,0,1600
0,460.8482985,490.1404514,0,1600
0,454.3637761,471.3576969,0,1600
0,430.885333,474.0409475,0,1600
0,407.4068898,448.3264622,0,1600
0,383.4812382,452.1277339,0,1600
0,359.5555866,431.1089372,0,1600
0,330.0398295,385.270072,0,1600
0,300.5240724,332.2758717,0,1600
0,270.5611068,304.3253441,0,1600
0,240.5981413,273.4679617,0,1600
0,209.5171546,250.2131228,0,1600
0,178.436168,205.7158829,0,1600
0,148.025994,180.0013975,0,1600
0,117.61582,129.9140521,0,1600
0,95.03179373,92.79575152,0,1600
0,72.67137167,53.88861715,0,1600
0,47.40409475,25.26727692,0,1600
0,22.13681783,9.838585703,0,1600
0,11.40381525,3.130459087,0,1600
0,0.670812662,1.341625323,0,1600
0,0.223604221,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0.670812662,0,1600
0,0,1.565229544,0,1600
0,0,3.577667528,0,1600
0,8.27335616,11.85102369,0,1600
0,16.3231081,22.58402627,0,1600
0,22.36042205,40.69596814,0,1600
0,28.39773601,59.70232688,0,1600
0,39.57794703,76.02543498,0,1600
0,50.75815806,91.00691776,0,1600
0,61.93836909,120.2990706,0,1600
0,73.11858011,125.8891762,0,1600
0,76.69624764,144.001118,0,1600
0,80.05031095,137.7401998,0,1600
0,83.62797848,142.8830969,0,1600
0,87.20564601,148.2495982,0,1600
0,93.24295996,154.0633079,0,1600
0,99.28027392,160.7714346,0,1600
0,105.7647963,154.9577248,0,1600
0,112.0257145,140.4234505,0,1600
0,115.603382,144.001118,0,1600
0,118.9574453,187.1567326,0,1600
0,122.5351129,217.3433024,0,1600
0,126.3363846,201.0201943,0,1600
0,132.1500943,184.6970862,0,1600
0,138.1874083,172.8460625,0,1600
0,144.2247222,192.5232339,0,1600
0,150.2620362,197.8897352,0,1600
0,156.7465586,210.1879673,0,1600
0,163.0074768,235.6788484,0,1600
0,168.3739781,263.629376,0,1600
0,173.7404794,284.6481727,0,1600
0,173.2932709,301.6420935,0,1600
0,172.8460625,332.9466844,0,1600
0,171.2808329,358.2139613,0,1600
0,169.4919992,328.2509957,0,1600
0,175.5293131,307.232199,0,1600
0,181.3430228,299.6296555,0,1600
0,186.9331284,274.809587,0,1600
0,192.2996297,249.3187059,0,1600
0,179.1069806,222.7098036,0,1600
0,165.9143316,193.641255,0,1600
0,153.3924953,162.5602683,0,1600
0,140.6470547,119.4046538,0,1600
0,111.1312976,99.28027392,0,1600
0,81.61554049,64.62161973,0,1600
0,51.42897072,37.11830061,0,1600
0,21.01879673,16.99392076,0,1600
0,12.29823213,5.813709734,0,1600
0,3.577667528,2.459646426,0,1600
0,1.788833764,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
0,0,0,0,1600
