year,month,day,hour,min,Vertical load [kW]
2012,10,3,22,45,9517000
2012,10,3,23,0,9517000
2012,10,3,23,15,9386000
2012,10,3,23,30,9386000
2012,10,3,23,45,8911000
2012,10,4,0,0,8911000
2012,10,4,0,15,8678000
2012,10,4,0,30,8678000
2012,10,4,0,45,8343000
2012,10,4,1,0,8343000
2012,10,4,1,15,8098000
2012,10,4,1,30,8098000
2012,10,4,1,45,7859000
2012,10,4,2,0,7859000
2012,10,4,2,15,7698000
2012,10,4,2,30,7698000
2012,10,4,2,45,7583000
2012,10,4,3,0,7583000
2012,10,4,3,15,7549000
2012,10,4,3,30,7549000
2012,10,4,3,45,7550000
2012,10,4,4,0,7550000
2012,10,4,4,15,7544000
2012,10,4,4,30,7544000
2012,10,4,4,45,7597000
2012,10,4,5,0,7597000
2012,10,4,5,15,7849000
2012,10,4,5,30,7849000
2012,10,4,5,45,8011000
2012,10,4,6,0,8011000
2012,10,4,6,15,8610000
2012,10,4,6,30,8610000
2012,10,4,6,45,9121000
2012,10,4,7,0,9121000
2012,10,4,7,15,9585000
2012,10,4,7,30,9585000
2012,10,4,7,45,9904000
2012,10,4,8,0,9904000
2012,10,4,8,15,9842000
2012,10,4,8,30,9842000
2012,10,4,8,45,9959000
2012,10,4,9,0,9959000
2012,10,4,9,15,9924000
2012,10,4,9,30,9924000
2012,10,4,9,45,9955000
2012,10,4,10,0,9955000
2012,10,4,10,15,9903000
2012,10,4,10,30,9903000
2012,10,4,10,45,9892000
2012,10,4,11,0,9892000
2012,10,4,11,15,9811000
2012,10,4,11,30,9811000
2012,10,4,11,45,9862000
2012,10,4,12,0,9862000
2012,10,4,12,15,9572000
2012,10,4,12,30,9572000
2012,10,4,12,45,9387000
2012,10,4,13,0,9387000
2012,10,4,13,15,9338000
2012,10,4,13,30,9338000
2012,10,4,13,45,9335000
2012,10,4,14,0,9335000
2012,10,4,14,15,9248000
2012,10,4,14,30,9248000
2012,10,4,14,45,9235000
2012,10,4,15,0,9235000
2012,10,4,15,15,9215000
2012,10,4,15,30,9215000
2012,10,4,15,45,9269000
2012,10,4,16,0,9269000
2012,10,4,16,15,9289000
2012,10,4,16,30,9289000
2012,10,4,16,45,9396000
2012,10,4,17,0,9396000
2012,10,4,17,15,9542000
2012,10,4,17,30,9542000
2012,10,4,17,45,9803000
2012,10,4,18,0,9803000
2012,10,4,18,15,9914000
2012,10,4,18,30,9914000
2012,10,4,18,45,10047000
2012,10,4,19,0,10047000
2012,10,4,19,15,10080000
2012,10,4,19,30,10080000
2012,10,4,19,45,10301000
2012,10,4,20,0,10301000
2012,10,4,20,15,10384000
2012,10,4,20,30,10384000
2012,10,4,20,45,10155000
2012,10,4,21,0,10155000
2012,10,4,21,15,9794000
2012,10,4,21,30,9794000
2012,10,4,21,45,9448000
2012,10,4,22,0,9448000
2012,10,4,22,15,9426000
2012,10,4,22,30,9426000
2012,10,4,22,45,9502000
2012,10,4,23,0,9502000
2012,10,4,23,15,9415000
2012,10,4,23,30,9415000
2012,10,4,23,45,8966000
2012,10,5,0,0,8966000
2012,10,5,0,15,8615000
2012,10,5,0,30,8615000
2012,10,5,0,45,8255000
2012,10,5,1,0,8255000
2012,10,5,1,15,8039000
2012,10,5,1,30,8039000
2012,10,5,1,45,7837000
2012,10,5,2,0,7837000
2012,10,5,2,15,7661000
2012,10,5,2,30,7661000
2012,10,5,2,45,7540000
2012,10,5,3,0,7540000
2012,10,5,3,15,7532000
2012,10,5,3,30,7532000
2012,10,5,3,45,7557000
2012,10,5,4,0,7557000
2012,10,5,4,15,7558000
2012,10,5,4,30,7558000
2012,10,5,4,45,7618000
2012,10,5,5,0,7618000
2012,10,5,5,15,7819000
2012,10,5,5,30,7819000
2012,10,5,5,45,7987000
2012,10,5,6,0,7987000
2012,10,5,6,15,8567000
2012,10,5,6,30,8567000
2012,10,5,6,45,9136000
2012,10,5,7,0,9136000
2012,10,5,7,15,9694000
2012,10,5,7,30,9694000
2012,10,5,7,45,10057000
2012,10,5,8,0,10057000
2012,10,5,8,15,10084000
2012,10,5,8,30,10084000
2012,10,5,8,45,10121000
2012,10,5,9,0,10121000
2012,10,5,9,15,10217000
2012,10,5,9,30,10217000
2012,10,5,9,45,10183000
2012,10,5,10,0,10183000
2012,10,5,10,15,10172000
2012,10,5,10,30,10172000
2012,10,5,10,45,10078000
2012,10,5,11,0,10078000
2012,10,5,11,15,10045000
2012,10,5,11,30,10045000
2012,10,5,11,45,10001000
2012,10,5,12,0,10001000
2012,10,5,12,15,9719000
2012,10,5,12,30,9719000
2012,10,5,12,45,9431000
2012,10,5,13,0,9431000
2012,10,5,13,15,9336000
2012,10,5,13,30,9336000
2012,10,5,13,45,9278000
2012,10,5,14,0,9278000
2012,10,5,14,15,9182000
2012,10,5,14,30,9182000
2012,10,5,14,45,9123000
2012,10,5,15,0,9123000
2012,10,5,15,15,9045000
2012,10,5,15,30,9045000
2012,10,5,15,45,9045000
2012,10,5,16,0,9045000
2012,10,5,16,15,9072000
2012,10,5,16,30,9072000
2012,10,5,16,45,9178000
2012,10,5,17,0,9178000
2012,10,5,17,15,9392000
2012,10,5,17,30,9392000
2012,10,5,17,45,9683000
2012,10,5,18,0,9683000
2012,10,5,18,15,9751000
2012,10,5,18,30,9751000
2012,10,5,18,45,9818000
2012,10,5,19,0,9818000
2012,10,5,19,15,9793000
2012,10,5,19,30,9793000
2012,10,5,19,45,10065000
2012,10,5,20,0,10065000
2012,10,5,20,15,10121000
2012,10,5,20,30,10121000
2012,10,5,20,45,9886000
2012,10,5,21,0,9886000
2012,10,5,21,15,9454000
2012,10,5,21,30,9454000
2012,10,5,21,45,9141000
2012,10,5,22,0,9141000
2012,10,5,22,15,9179000
2012,10,5,22,30,9179000
2012,10,5,22,45,9253000
2012,10,5,23,0,9253000
2012,10,5,23,15,9264000
2012,10,5,23,30,9264000
2012,10,5,23,45,8832000
2012,10,6,0,0,8832000
2012,10,6,0,15,8592000
2012,10,6,0,30,8592000
2012,10,6,0,45,8136000
2012,10,6,1,0,8136000
2012,10,6,1,15,7881000
2012,10,6,1,30,7881000
2012,10,6,1,45,7604000
2012,10,6,2,0,7604000
2012,10,6,2,15,7466000
2012,10,6,2,30,7466000
2012,10,6,2,45,7259000
2012,10,6,3,0,7259000
2012,10,6,3,15,7259000
2012,10,6,3,30,7259000
2012,10,6,3,45,7212000
2012,10,6,4,0,7212000
2012,10,6,4,15,7171000
2012,10,6,4,30,7171000
2012,10,6,4,45,7122000
2012,10,6,5,0,7122000
2012,10,6,5,15,7141000
2012,10,6,5,30,7141000
2012,10,6,5,45,7191000
2012,10,6,6,0,7191000
2012,10,6,6,15,7402000
2012,10,6,6,30,7402000
2012,10,6,6,45,7621000
2012,10,6,7,0,7621000
2012,10,6,7,15,7787000
2012,10,6,7,30,7787000
2012,10,6,7,45,8013000
2012,10,6,8,0,8013000
2012,10,6,8,15,8038000
2012,10,6,8,30,8038000
2012,10,6,8,45,8215000
2012,10,6,9,0,8215000
2012,10,6,9,15,8371000
2012,10,6,9,30,8371000
2012,10,6,9,45,8512000
2012,10,6,10,0,8512000
2012,10,6,10,15,8587000
2012,10,6,10,30,8587000
2012,10,6,10,45,8552000
2012,10,6,11,0,8552000
2012,10,6,11,15,8504000
2012,10,6,11,30,8504000
2012,10,6,11,45,8592000
2012,10,6,12,0,8592000
2012,10,6,12,15,8501000
2012,10,6,12,30,8501000
2012,10,6,12,45,8277000
2012,10,6,13,0,8277000
2012,10,6,13,15,8175000
2012,10,6,13,30,8175000
2012,10,6,13,45,8008000
2012,10,6,14,0,8008000
2012,10,6,14,15,7928000
2012,10,6,14,30,7928000
2012,10,6,14,45,7810000
2012,10,6,15,0,7810000
2012,10,6,15,15,7840000
2012,10,6,15,30,7840000
2012,10,6,15,45,7742000
2012,10,6,16,0,7742000
2012,10,6,16,15,7835000
2012,10,6,16,30,7835000
2012,10,6,16,45,7849000
2012,10,6,17,0,7849000
2012,10,6,17,15,8099000
2012,10,6,17,30,8099000
2012,10,6,17,45,8429000
2012,10,6,18,0,8429000
2012,10,6,18,15,8620000
2012,10,6,18,30,8620000
2012,10,6,18,45,8842000
2012,10,6,19,0,8842000
2012,10,6,19,15,8997000
2012,10,6,19,30,8997000
2012,10,6,19,45,9357000
2012,10,6,20,0,9357000
2012,10,6,20,15,9396000
2012,10,6,20,30,9396000
2012,10,6,20,45,9238000
2012,10,6,21,0,9238000
2012,10,6,21,15,8796000
2012,10,6,21,30,8796000
2012,10,6,21,45,8643000
2012,10,6,22,0,8643000
2012,10,6,22,15,8514000
2012,10,6,22,30,8514000
2012,10,6,22,45,8627000
2012,10,6,23,0,8627000
2012,10,6,23,15,8708000
2012,10,6,23,30,8708000
2012,10,6,23,45,8346000
2012,10,7,0,0,8346000
2012,10,7,0,15,8176000
2012,10,7,0,30,8176000
2012,10,7,0,45,7999000
2012,10,7,1,0,7999000
2012,10,7,1,15,7706000
2012,10,7,1,30,7706000
2012,10,7,1,45,7534000
2012,10,7,2,0,7534000
2012,10,7,2,15,7302000
2012,10,7,2,30,7302000
2012,10,7,2,45,7157000
2012,10,7,3,0,7157000
2012,10,7,3,15,7042000
2012,10,7,3,30,7042000
2012,10,7,3,45,7008000
2012,10,7,4,0,7008000
2012,10,7,4,15,7008000
2012,10,7,4,30,7008000
2012,10,7,4,45,6984000
2012,10,7,5,0,6984000
2012,10,7,5,15,6990000
2012,10,7,5,30,6990000
2012,10,7,5,45,7016000
2012,10,7,6,0,7016000
2012,10,7,6,15,7075000
2012,10,7,6,30,7075000
2012,10,7,6,45,7206000
2012,10,7,7,0,7206000
2012,10,7,7,15,7264000
2012,10,7,7,30,7264000
2012,10,7,7,45,7261000
2012,10,7,8,0,7261000
2012,10,7,8,15,7177000
2012,10,7,8,30,7177000
2012,10,7,8,45,7359000
2012,10,7,9,0,7359000
2012,10,7,9,15,7479000
2012,10,7,9,30,7479000
2012,10,7,9,45,7579000
2012,10,7,10,0,7579000
2012,10,7,10,15,7690000
2012,10,7,10,30,7690000
2012,10,7,10,45,7802000
2012,10,7,11,0,7802000
2012,10,7,11,15,7788000
2012,10,7,11,30,7788000
2012,10,7,11,45,7895000
2012,10,7,12,0,7895000
2012,10,7,12,15,7873000
2012,10,7,12,30,7873000
2012,10,7,12,45,7859000
2012,10,7,13,0,7859000
2012,10,7,13,15,7632000
2012,10,7,13,30,7632000
2012,10,7,13,45,7473000
2012,10,7,14,0,7473000
2012,10,7,14,15,7337000
2012,10,7,14,30,7337000
2012,10,7,14,45,7226000
2012,10,7,15,0,7226000
2012,10,7,15,15,7148000
2012,10,7,15,30,7148000
2012,10,7,15,45,7088000
2012,10,7,16,0,7088000
2012,10,7,16,15,7164000
2012,10,7,16,30,7164000
2012,10,7,16,45,7188000
2012,10,7,17,0,7188000
2012,10,7,17,15,7513000
2012,10,7,17,30,7513000
2012,10,7,17,45,7821000
2012,10,7,18,0,7821000
2012,10,7,18,15,8190000
2012,10,7,18,30,8190000
2012,10,7,18,45,8477000
2012,10,7,19,0,8477000
2012,10,7,19,15,8824000
2012,10,7,19,30,8824000
2012,10,7,19,45,9326000
2012,10,7,20,0,9326000
2012,10,7,20,15,9395000
2012,10,7,20,30,9395000
2012,10,7,20,45,9267000
2012,10,7,21,0,9267000
2012,10,7,21,15,8844000
2012,10,7,21,30,8844000
2012,10,7,21,45,8679000
2012,10,7,22,0,8679000
2012,10,7,22,15,8605000
2012,10,7,22,30,8605000
2012,10,7,22,45,8723000
2012,10,7,23,0,8723000
2012,10,7,23,15,8629000
2012,10,7,23,30,8629000
2012,10,7,23,45,8406000
2012,10,8,0,0,8406000
2012,10,8,0,15,8109000
2012,10,8,0,30,8109000
2012,10,8,0,45,7813000
2012,10,8,1,0,7813000
2012,10,8,1,15,7682000
2012,10,8,1,30,7682000
2012,10,8,1,45,7463000
2012,10,8,2,0,7463000
2012,10,8,2,15,7335000
2012,10,8,2,30,7335000
2012,10,8,2,45,7226000
2012,10,8,3,0,7226000
2012,10,8,3,15,7155000
2012,10,8,3,30,7155000
2012,10,8,3,45,7131000
2012,10,8,4,0,7131000
2012,10,8,4,15,7225000
2012,10,8,4,30,7225000
2012,10,8,4,45,7390000
2012,10,8,5,0,7390000
2012,10,8,5,15,7612000
2012,10,8,5,30,7612000
2012,10,8,5,45,7892000
2012,10,8,6,0,7892000
2012,10,8,6,15,8436000
2012,10,8,6,30,8436000
2012,10,8,6,45,9183000
2012,10,8,7,0,9183000
2012,10,8,7,15,9551000
2012,10,8,7,30,9551000
2012,10,8,7,45,9977000
2012,10,8,8,0,9977000
2012,10,8,8,15,9862000
2012,10,8,8,30,9862000
2012,10,8,8,45,10082000
2012,10,8,9,0,10082000
2012,10,8,9,15,10126000
2012,10,8,9,30,10126000
2012,10,8,9,45,10143000
2012,10,8,10,0,10143000
2012,10,8,10,15,10054000
2012,10,8,10,30,10054000
2012,10,8,10,45,10030000
2012,10,8,11,0,10030000
2012,10,8,11,15,9937000
2012,10,8,11,30,9937000
2012,10,8,11,45,9920000
2012,10,8,12,0,9920000
2012,10,8,12,15,9697000
2012,10,8,12,30,9697000
2012,10,8,12,45,9533000
2012,10,8,13,0,9533000
2012,10,8,13,15,9560000
2012,10,8,13,30,9560000
2012,10,8,13,45,9516000
2012,10,8,14,0,9516000
2012,10,8,14,15,9463000
2012,10,8,14,30,9463000
2012,10,8,14,45,9461000
2012,10,8,15,0,9461000
2012,10,8,15,15,9486000
2012,10,8,15,30,9486000
2012,10,8,15,45,9474000
2012,10,8,16,0,9474000
2012,10,8,16,15,9525000
2012,10,8,16,30,9525000
2012,10,8,16,45,9610000
2012,10,8,17,0,9610000
2012,10,8,17,15,9817000
2012,10,8,17,30,9817000
2012,10,8,17,45,10008000
2012,10,8,18,0,10008000
2012,10,8,18,15,10131000
2012,10,8,18,30,10131000
2012,10,8,18,45,10149000
2012,10,8,19,0,10149000
2012,10,8,19,15,10208000
2012,10,8,19,30,10208000
2012,10,8,19,45,10553000
2012,10,8,20,0,10553000
2012,10,8,20,15,10482000
2012,10,8,20,30,10482000
2012,10,8,20,45,10118000
2012,10,8,21,0,10118000
2012,10,8,21,15,9734000
2012,10,8,21,30,9734000
2012,10,8,21,45,9478000
2012,10,8,22,0,9478000
2012,10,8,22,15,9402000
2012,10,8,22,30,9402000
2012,10,8,22,45,9602000
2012,10,8,23,0,9602000
2012,10,8,23,15,9593000
2012,10,8,23,30,9593000
2012,10,8,23,45,9169000
2012,10,9,0,0,9169000
2012,10,9,0,15,9007000
2012,10,9,0,30,9007000
2012,10,9,0,45,8635000
2012,10,9,1,0,8635000
2012,10,9,1,15,8360000
2012,10,9,1,30,8360000
2012,10,9,1,45,8128000
2012,10,9,2,0,8128000
2012,10,9,2,15,7976000
2012,10,9,2,30,7976000
2012,10,9,2,45,7831000
2012,10,9,3,0,7831000
2012,10,9,3,15,7794000
2012,10,9,3,30,7794000
2012,10,9,3,45,7726000
2012,10,9,4,0,7726000
2012,10,9,4,15,7800000
2012,10,9,4,30,7800000
2012,10,9,4,45,7810000
2012,10,9,5,0,7810000
2012,10,9,5,15,8035000
2012,10,9,5,30,8035000
2012,10,9,5,45,8265000
2012,10,9,6,0,8265000
2012,10,9,6,15,8877000
2012,10,9,6,30,8877000
2012,10,9,6,45,9476000
2012,10,9,7,0,9476000
2012,10,9,7,15,9948000
2012,10,9,7,30,9948000
2012,10,9,7,45,10426000
2012,10,9,8,0,10426000
2012,10,9,8,15,10309000
2012,10,9,8,30,10309000
2012,10,9,8,45,10450000
