year,month,day,hour,min,Vertical load [kW],index
2012,10,2,16,45,9953623,164
2012,10,2,17,0,10081528,165
2012,10,2,17,15,9970362,166
2012,10,2,17,30,10094015,167
2012,10,2,17,45,10187315,168
2012,10,2,18,0,10262255,169
2012,10,2,18,15,10075136,170
2012,10,2,18,30,10153474,171
2012,10,2,18,45,10203830,172
2012,10,2,19,0,10148836,173
2012,10,2,19,15,10305161,174
2012,10,2,19,30,10414677,175
2012,10,2,19,45,10634158,176
2012,10,2,20,0,10660341,177
2012,10,2,20,15,10582310,178
2012,10,2,20,30,10487244,179
2012,10,2,20,45,10299468,180
2012,10,2,21,0,10006809,181
2012,10,2,21,15,9975282,182
2012,10,2,21,30,9792544,183
2012,10,2,21,45,9667627,184
2012,10,2,22,0,9351571,185
2012,10,2,22,15,9378287,186
2012,10,2,22,30,9430082,187
2012,10,2,22,45,9673957,188
2012,10,2,23,0,9453449,189
2012,10,2,23,15,9480475,190
2012,10,2,23,30,9353435,191
2012,10,2,23,45,9041602,192
2012,10,3,0,0,8749675,193
2012,10,3,0,15,8738816,194
2012,10,3,0,30,8570275,195
2012,10,3,0,45,8437695,196
2012,10,3,1,0,8270051,197
2012,10,3,1,15,8038027,198
2012,10,3,1,30,8096457,199
2012,10,3,1,45,7915861,200
2012,10,3,2,0,7704145,201
2012,10,3,2,15,7805680,202
2012,10,3,2,30,7666750,203
2012,10,3,2,45,7609262,204
2012,10,3,3,0,7555339,205
2012,10,3,3,15,7541861,206
2012,10,3,3,30,7620588,207
2012,10,3,3,45,7667368,208
2012,10,3,4,0,7500182,209
2012,10,3,4,15,7554035,210
2012,10,3,4,30,7509921,211
2012,10,3,4,45,7581436,212
2012,10,3,5,0,7567166,213
2012,10,3,5,15,7835391,214
2012,10,3,5,30,7847914,215
2012,10,3,5,45,7949919,216
2012,10,3,6,0,8127541,217
2012,10,3,6,15,8458753,218
2012,10,3,6,30,8662184,219
2012,10,3,6,45,9059428,220
2012,10,3,7,0,9191795,221
2012,10,3,7,15,9382223,222
2012,10,3,7,30,9700116,223
2012,10,3,7,45,9905439,224
2012,10,3,8,0,9938018,225
2012,10,3,8,15,9772369,226
2012,10,3,8,30,9734440,227
2012,10,3,8,45,9869924,228
2012,10,3,9,0,10013691,229
2012,10,3,9,15,10035280,230
2012,10,3,9,30,10179870,231
2012,10,3,9,45,10108502,232
2012,10,3,10,0,10100739,233
2012,10,3,10,15,10158563,234
2012,10,3,10,30,10243523,235
2012,10,3,10,45,10269775,236
2012,10,3,11,0,10347312,237
2012,10,3,11,15,10173838,238
2012,10,3,11,30,10261651,239
2012,10,3,11,45,10338747,240
2012,10,3,12,0,10240696,241
2012,10,3,12,15,9988381,242
2012,10,3,12,30,9814196,243
2012,10,3,12,45,9890396,244
2012,10,3,13,0,9970850,245
2012,10,3,13,15,9956343,246
2012,10,3,13,30,10035297,247
2012,10,3,13,45,9945084,248
2012,10,3,14,0,9845732,249
2012,10,3,14,15,9894802,250
2012,10,3,14,30,9812498,251
2012,10,3,14,45,9808892,252
2012,10,3,15,0,9730461,253
2012,10,3,15,15,9783179,254
2012,10,3,15,30,9727266,255
2012,10,3,15,45,9898625,256
2012,10,3,16,0,9977091,257
2012,10,3,16,15,9924413,258
2012,10,3,16,30,10008460,259
2012,10,3,16,45,10005739,260
2012,10,3,17,0,9958469,261
2012,10,3,17,15,10079927,262
2012,10,3,17,30,10122613,263
2012,10,3,17,45,10267185,264
2012,10,3,18,0,10296262,265
2012,10,3,18,15,10320998,266
2012,10,3,18,30,10347784,267
