Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity ,Total Forecast ,Total Measured & Upscaled ,Monitored Capacity
413610,464485,930650,185560,231768.8,338450,228050,232716.2,592200
411020,482047.4,930650,183030,232154,338450,227990,249893.4,592200
408400,458590.3,930650,180490,216314.1,338450,227910,242276.2,592200
405750,453165.2,930650,177960,208764,338450,227790,244401.2,592200
403020,430990,930650,175440,203236.9,338450,227580,227753.1,592200
399150,415600.5,930650,172900,195824.1,338450,226250,219776.4,592200
395390,395205.8,930650,170400,179101.9,338450,224990,216103.9,592200
391590,399172.5,930650,167850,182066.8,338450,223740,217105.7,592200
387790,384027.3,930650,165320,171839.1,338450,222470,212188.2,592200
381010,348451.7,930650,162800,161607.3,338450,218210,186844.4,592200
374130,342603.4,930650,160260,157359.3,338450,213870,185244.1,592200
367290,338547.9,930650,157740,152876.1,338450,209550,185671.8,592200
360460,332564.1,930650,155210,158074.6,338450,205250,174489.5,592200
353380,319716.6,930650,152480,148207.4,338450,200900,171509.2,592200
346210,327350.1,930650,149720,150981.1,338450,196490,176369,592200
339110,315364.1,930650,147000,137817.8,338450,192110,177546.3,592200
332000,286394,930650,144250,114752.9,338450,187750,171641.1,592200
324900,308179.8,930650,141230,126744.3,338450,183670,181435.5,592200
317790,313765,930650,138170,122884.1,338450,179620,190880.9,592200
310720,318365.7,930650,135160,127679.4,338450,175560,190686.3,592200
303690,319888.9,930650,132130,132709.5,338450,171560,187179.4,592200
299750,296271.9,930650,130840,131396.2,338450,168910,164875.7,592200
295930,286486.6,930650,129590,127522.5,338450,166340,158964.1,592200
292140,260284.7,930650,128360,111245.9,338450,163780,149038.8,592200
288280,290129.4,930650,127100,122444,338450,161180,167685.4,592200
285550,295088.8,930650,126890,131677.4,338450,158660,163411.4,592200
282770,279681.2,930650,126680,121747,338450,156090,157934.2,592200
280070,257676.4,930650,126490,112212.2,338450,153580,145464.2,592200
277290,260269.2,930650,126290,110420.8,338450,151000,149848.4,592200
274040,270084.6,930650,125360,118198.1,338450,148680,151886.5,592200
270820,273700,930650,124430,120296.1,338450,146390,153403.9,592200
267500,272510.8,930650,123470,117041.4,338450,144030,155469.4,592200
264260,282652.7,930650,122550,123365.3,338450,141710,159287.4,592200
265710,277778.5,930650,123410,116064.9,338450,142300,161713.6,592200
267080,256683.8,930650,124290,101833.5,338450,142790,154850.3,592200
268550,230199.4,930650,125160,85692.9,338450,143390,144506.5,592200
269980,207593.6,930650,126040,72134.7,338450,143940,135458.9,592200
271540,199315.7,930650,127420,67040.9,338450,144120,132274.8,592200
273000,197078.2,930650,128840,69259.8,338450,144160,127818.4,592200
274610,213345,930650,130270,79768.3,338450,144340,133576.7,592200
276130,231376.2,930650,131680,90855.2,338450,144450,140521,592200
278250,219831.3,930650,133040,77552.1,338450,145210,142279.2,592200
280420,223438.9,930650,134360,78962.1,338450,146060,144476.8,592200
282530,250148.2,930650,135720,94498.8,338450,146810,155649.4,592200
284710,239368.6,930650,137050,87871.7,338450,147660,151496.9,592200
290820,256046,930650,141200,99679.5,338450,149620,156366.5,592200
296870,269730.5,930650,145370,110777.1,338450,151500,158953.4,592200
303000,271993.2,930650,149520,114312.1,338450,153480,157681.1,592200
309100,272507,930650,153700,112246.8,338450,155400,160260.2,592200
314530,294815,930650,157500,122816.6,338450,157030,171998.4,592200
319950,304081.1,930650,161330,130449.7,338450,158620,173631.4,592200
325400,313125.4,930650,165150,133037.8,338450,160250,180087.6,592200
330850,314948.6,930650,168980,131708.5,338450,161870,183240.1,592200
337690,293278.1,930650,174090,116400.9,338450,163600,176877.2,592200
344610,332480.9,930650,179240,140926.6,338450,165370,191554.3,592200
351490,292396,930650,184360,118961.9,338450,167130,173434.1,592200
358350,281121.2,930650,189460,104516.8,338450,168890,176604.4,592200
361120,320852.4,930650,191340,134756.4,338450,169780,186096,592200
363910,337325.7,930650,193220,142110.6,338450,170690,195215.1,592200
366660,360110.8,930650,195080,161581.7,338450,171580,198529.1,592200
369400,360518.9,930650,196970,171262.6,338450,172430,189256.3,592200
371280,363724.7,930650,198270,168589,338450,173010,195135.7,592200
373290,360757.1,930650,199580,168975.5,338450,173710,191781.6,592200
375190,350973.9,930650,200890,173128.1,338450,174300,177845.8,592200
377080,359434.1,930650,202190,179303,338450,174890,180131.1,592200
378810,383417.4,930650,203680,194070.3,338450,175130,189347.1,592200
380460,393678.8,930650,205150,201603.1,338450,175310,192075.7,592200
382070,403497.9,930650,206620,207729.1,338450,175450,195768.8,592200
383780,397524.8,930650,208090,210773.1,338450,175690,186751.7,592200
383010,409685.6,930650,208450,211729.3,338450,174560,197956.3,592200
382170,420701.8,930650,208830,216905.1,338450,173340,203796.7,592200
381440,408498.4,930650,209220,212553,338450,172220,195945.4,592200
380620,399164.7,930650,209590,204476.9,338450,171030,194687.8,592200
380130,393048.2,930650,209960,202209.4,338450,170170,190838.8,592200
379720,380160.1,930650,210340,198316.9,338450,169380,181843.2,592200
379240,380735.7,930650,210710,200735.4,338450,168530,180000.3,592200
378820,384438.7,930650,211100,204335.3,338450,167720,180103.4,592200
379180,407812.6,930650,211640,215041.9,338450,167540,192770.7,592200
379460,388370.8,930650,212200,207321.6,338450,167260,181049.2,592200
379820,382808.4,930650,212770,206167.8,338450,167050,176640.6,592200
380250,414724.3,930650,213350,219758.6,338450,166900,194965.7,592200
390200,425703.9,930650,215930,219581.6,338450,174270,206122.3,592200
400120,415800.2,930650,218500,208763.8,338450,181620,207036.4,592200
410150,418175.6,930650,221090,208175.5,338450,189060,210000.1,592200
420060,448225.9,930650,223660,234351.6,338450,196400,213874.3,592200
429690,467522.3,930650,225920,242760.1,338450,203770,224762.2,592200
439170,475229.2,930650,228170,244653.8,338450,211000,230575.4,592200
448680,504038.7,930650,230430,256635.8,338450,218250,247402.9,592200
458290,514259.5,930650,232670,262150,338450,225620,252109.5,592200
467810,513216.9,930650,235030,259302.9,338450,232780,253914,592200
477400,512975.9,930650,237400,258055.7,338450,240000,254920.2,592200
486980,525958.7,930650,239760,259661.4,338450,247220,266297.3,592200
496560,557185.5,930650,242120,273197.1,338450,254440,283988.4,592200
503000,559638.8,930650,243670,264566.5,338450,259330,295072.3,592200
509520,538788.1,930650,245200,251017.8,338450,264320,287770.3,592200
515920,541793,930650,246740,253791.9,338450,269180,288001.1,592200
534700,544296.4,930650,252680,255377.2,338450,282020,288919.2,592200
543590,559985,930650,254950,260783.7,338450,288640,299201.3,592200
552430,529559.9,930650,257230,235367,338450,295200,294192.9,592200
561280,551543.7,930650,259480,245469,338450,301800,306074.7,592200
570150,596068.7,930650,261740,271583.5,338450,308410,324485.2,592200
579080,624715.2,930650,264230,275973.1,338450,314850,348742.1,592200
587920,631590.7,930650,266670,277084.7,338450,321250,354506,592200
596830,617358.9,930650,269130,271234.5,338450,327700,346124.4,592200
605730,616723.2,930650,271610,274893.4,338450,334120,341829.8,592200
608280,602553.9,930650,271970,268453.5,338450,336310,334100.4,592200
610790,587164.3,930650,272330,261056.1,338450,338460,326108.2,592200
613400,591218,930650,272700,260533.1,338450,340700,330684.9,592200
615890,591562.7,930650,273040,268562.4,338450,342850,323000.3,592200
618550,581402.3,930650,273370,262988.5,338450,345180,318413.8,592200
621230,584330.9,930650,273700,263407.7,338450,347530,320923.2,592200
623960,601467.6,930650,274020,274717.6,338450,349940,326750,592200
626580,609673.2,930650,274340,278988.3,338450,352240,330684.9,592200
629510,613204.2,930650,274740,274773.9,338450,354770,338430.3,592200
632390,606707.8,930650,275100,270247.8,338450,357290,336460,592200
635280,632125.1,930650,275490,275848.8,338450,359790,356276.3,592200
638170,633738.9,930650,275860,278211.5,338450,362310,355527.4,592200
634750,645101.8,930650,273660,274228.7,338450,361090,370873.1,592200
631340,654259.2,930650,271460,274346.5,338450,359880,379912.7,592200
627970,658218.2,930650,269260,275467.5,338450,358710,382750.7,592200
624540,631558.8,930650,267060,256149.3,338450,357480,375409.5,592200
621240,666008.1,930650,264360,278756.7,338450,356880,387251.4,592200
617920,677006.4,930650,261660,284968.7,338450,356260,392037.7,592200
614640,686275,930650,258970,288529.9,338450,355670,397745.1,592200
611380,680905.8,930650,256250,287230,338450,355130,393675.8,592200
607640,682473.1,930650,253990,290495,338450,353650,391978.1,592200
603940,679064.2,930650,251720,287390.6,338450,352220,391673.6,592200
600200,654298.6,930650,249430,280108.6,338450,350770,374190,592200
596440,661536.2,930650,247160,278579.2,338450,349280,382957,592200
593750,691804,930650,243760,285357.7,338450,349990,406446.3,592200
591080,687839.5,930650,240360,279803.2,338450,350720,408036.3,592200
588370,655718,930650,236950,260117.6,338450,351420,395600.4,592200
585710,650458.9,930650,233560,259401.4,338450,352150,391057.5,592200
582280,698730,930650,230000,282673,338450,352280,416057,592200
578910,688675.5,930650,226450,275810.1,338450,352460,412865.4,592200
575530,661583.1,930650,222920,262706,338450,352610,398877.1,592200
572130,656164.9,930650,219350,263318.2,338450,352780,392846.7,592200
569630,653614.1,930650,215940,248233.9,338450,353690,405380.2,592200
567050,640075.6,930650,212480,244585.4,338450,354570,395490.2,592200
564490,629013.5,930650,209060,242160.6,338450,355430,386852.9,592200
561940,636172.9,930650,205600,238424.7,338450,356340,397748.2,592200
570650,640988,930650,210260,251955.4,338450,360390,389032.6,592200
579390,663934.3,930650,214910,272317.4,338450,364480,391616.9,592200
588150,655892.3,930650,219560,268127.1,338450,368590,387765.2,592200
596890,665004.2,930650,224210,273401.4,338450,372680,391602.8,592200
604260,660067.1,930650,227740,271077,338450,376520,388990.1,592200
611620,656410.4,930650,231240,264884.5,338450,380380,391525.9,592200
618950,673269.6,930650,234760,272363.9,338450,384190,400905.7,592200
626370,631174.9,930650,238290,243866,338450,388080,387308.9,592200
636270,555243.2,930650,244100,206449.9,338450,392170,348793.3,592200
646180,481134.5,930650,249910,163045.7,338450,396270,318088.8,592200
656030,512961.7,930650,255710,185611,338450,400320,327350.7,592200
665890,497797.9,930650,261480,184150,338450,404410,313647.9,592200
673750,496348.6,930650,264810,186556.5,338450,408940,309792.1,592200
681570,514690.1,930650,268120,200568,338450,413450,314122.1,592200
689430,517768.3,930650,271430,210633.8,338450,418000,307134.5,592200
697200,454423.9,930650,274720,169223.5,338450,422480,285200.4,592200
705090,509885.8,930650,278510,200684,338450,426580,309201.8,592200
712890,558918.8,930650,282240,221245.6,338450,430650,337673.2,592200
720760,533269.2,930650,286000,210557.8,338450,434760,322711.4,592200
728570,508452.3,930650,289750,206993.6,338450,438820,301458.7,592200
736070,527299.6,930650,292370,212440.9,338450,443700,314858.7,592200
743680,540288.7,930650,295030,221655.3,338450,448650,318633.4,592200
751290,538030.1,930650,297670,238687.4,338450,453620,299342.7,592200
758800,570792.5,930650,300320,252205,338450,458480,318587.5,592200
758470,557354.1,930650,299440,250707.4,338450,459030,306646.7,592200
758170,534929.7,930650,298540,236620.6,338450,459630,298309.1,592200
757800,515254.8,930650,297640,227141.3,338450,460160,288113.5,592200
757500,505847.4,930650,296730,219516.2,338450,460770,286331.2,592200
752590,515521.3,930650,291710,217827,338450,460880,297694.3,592200
747730,482627.2,930650,286670,205172.2,338450,461060,277455,592200
742910,483736,930650,281650,202920.5,338450,461260,280815.5,592200
738040,477920.8,930650,276610,199829.8,338450,461430,278091,592200
735410,467523.6,930650,274230,195058.9,338450,461180,272464.7,592200
732820,457983.7,930650,271800,181800,338450,461020,276183.7,592200
730210,507556.7,930650,269400,208939.1,338450,460810,298617.6,592200
727560,537632.7,930650,267000,223170.7,338450,460560,314462,592200
723160,551403.7,930650,267430,230196,338450,455730,321207.7,592200
718850,551146.8,930650,267850,226214,338450,451000,324932.8,592200
714440,520913.5,930650,268290,215149.9,338450,446150,305763.6,592200
710070,547333.4,930650,268700,212916.4,338450,441370,334417,592200
703130,570228.1,930650,266920,232435.3,338450,436210,337792.8,592200
696070,581703.4,930650,265170,244914,338450,430900,336789.4,592200
689010,553051.9,930650,263340,224835.9,338450,425670,328216,592200
682020,545710,930650,261560,226580.2,338450,420460,319129.8,592200
675930,583021,930650,260270,249353.7,338450,415660,333667.3,592200
669900,555067.4,930650,259000,224352.7,338450,410900,330714.7,592200
663850,573472.1,930650,257720,230753.4,338450,406130,342718.7,592200
657770,610651.7,930650,256420,243231.8,338450,401350,367419.9,592200
646010,653872.7,930650,252730,263598.7,338450,393280,390274,592200
634160,645979.5,930650,249010,255236.6,338450,385150,390742.9,592200
622390,619256,930650,245280,239022.6,338450,377110,380233.4,592200
501930,583841.3,930650,177410,216513.8,338450,324520,367327.5,592200
504780,566408.3,930650,176120,207318.6,338450,328660,359089.7,592200
507530,549884.4,930650,174810,206055.5,338450,332720,343828.9,592200
