Index,Unit,Technology,Fuel,PowerCapacity,PartLoadMin,RampUpRate,RampDownRate,StartUpTime,MinUpTime,MinDownTime,NoLoadCost,StartUpCost,RampingCost,Efficiency,MinEfficiency,OldIndex
89,Jemeppe-sur-Sambre ST,WKK,NG,8,0,0,0,0,0,0,0,0,0,1,1,52
90,Lanaken Sappi,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,53
91,LANGERBRUGGE STORA ST 1,WKK,WR,10,0,0,0,0,0,0,0,0,0,1,1,54
92,LANGERBRUGGE STORA ST 2,WKK,WR,40,0,0,0,0,0,0,0,0,0,1,1,55
93,Lillo Degussa GT1,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,56
94,Lillo Degussa GT2,WKK,NG,32,0,0,0,0,0,0,0,0,0,1,1,57
95,Lillo Degussa ST,WKK,NG,10,0,0,0,0,0,0,0,0,0,1,1,58
96,Oorderen Bayer,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,60
97,Oud-Lillo Monsanto,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,61
98,Oudegem VPK GT1 (no out),WKK,NG,7.2,0,0,0,0,0,0,0,0,0,1,1,62
99,Oudegem VPK GT2 (no out),WKK,NG,7.2,0,0,0,0,0,0,0,0,0,1,1,63
100,Scheldelaan Exxonmobil,WKK,NG,140,0,0,0,0,0,0,0,0,0,1,1,74
101,Wilmarsdonk Total GT1,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,80
102,Wilmarsdonk Total GT2,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,81
103,Wilmarsdonk Total GT3,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,82
104,Zeebrugge 2 Fluxys,WKK,NG,40,0,0,0,0,0,0,0,0,0,1,1,85
105,Zwijndrecht Lanxess GT,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,89
106,Zwijndrecht Lanxess ST,WKK,NG,15,0,0,0,0,0,0,0,0,0,1,1,90
107,Eurolsilo,WKK,NG,12.9,0,0,0,0,0,0,0,0,0,1,1,NaN
108,Electrawinds biomassa Oostende,WKK,WR,17.9,0,0,0,0,0,0,0,0,0,1,1,91
109,Belwind Phase 1,WT,WI,165,0,0,0,0,0,0,0,0,0,1,1,20
110,Froidchapelle Wind,WT,WI,25,0,0,0,0,0,0,0,0,0,1,1,43
111,HERDERSBRUG WIND,WT,WI,3,0,0,0,0,0,0,0,0,0,1,1,48
112,RODENHUIZE WIND,WT,WI,4.5,0,0,0,0,0,0,0,0,0,1,1,66
113,Thorntonbank - C-Power - Area SW,WT,WI,30,0,0,0,0,0,0,0,0,0,1,1,93
114,Windvision Estinnes WIND,WT,WI,66,0,0,0,0,0,0,0,0,0,1,1,94
115,ZEEBRUGGE WIND,WT,WI,12,0,0,0,0,0,0,0,0,0,1,1,95
116,Thorntonbank - C-Power - Area NE,WT,WI,18.4,0,0,0,0,0,0,0,0,0,1,1,105
117,Northwind,WT,WI,54,0,0,0,0,0,0,0,0,0,1,1,NaN
118,Schelle wind,WT,WI,4.5,0,0,0,0,0,0,0,0,0,1,1,NaN
119,Aspiravi Wuustwezel,WT,WI,22.1,0,0,0,0,0,0,0,0,0,1,1,NaN
120,AllSol,PV,SOL,0,0,0,0,0,0,0,0,0,0,1,1,NaN
