Index,Unit,Technology,Fuel,PowerCapacity,PartLoadMin,RampUpRate,RampDownRate,StartUpTime,MinUpTime,MinDownTime,NoLoadCost,StartUpCost,RampingCost,Efficiency,MinEfficiency,OldIndex
0,ANGLEUR TGV3,CCGT,NG,110,0.31,0.0153,0.0153,1,5,1,0,0,0,0.57,0.57,3
1,HAM-GENT WKK,CCGT,NG,52,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,4
2,RINGVAART STEG,CCGT,NG,357,0.45,0.0286,0.0286,2,5,1,0,0,0,0.57,0.57,10
3,SERAING TGV,CCGT,NG,485,0.46,0.0444,0.0444,2,5,1,0,0,0,0.57,0.57,11
4,Amercoeur 1 R TGV,CCGT,NG,420,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,16
5,DROGENBOS TGV,CCGT,NG,460,0.46,0.0444,0.0444,2,5,1,0,0,0,0.57,0.57,41
6,ESCH-SUR-ALZETTE STEG,CCGT,NG,376.4,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,42
7,RUIEN 5 REPOWERING (09/13),CCGT,NG,43,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,68
8,HERDERSBRUG STEG,CCGT,NG,460,0.46,0.0444,0.0444,2,5,1,0,0,0,0.57,0.57,47
9,SAINT-GHISLAIN STEG,CCGT,NG,350,0.45,0.0286,0.0286,2,5,1,0,0,0,0.57,0.57,70
10,Zandvliet Power,CCGT,NG,395,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,83
11,Marcinelle Energie (Carsid),CCGT,NG,410,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,96
12,LANGERLO 3 REPOWERING,CCGT,NG,43,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,99
13,LANGERLO 4 REPOWERING,CCGT,NG,43,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,100
14,VILVOORDE TGV,CCGT,NG,385,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,101
15,Biostoom Oostende,CCGT,WR,19.4,0.1,0.025,0.025,1,5,1,0,0,0,0.57,0.57,103
16,INESCO WKK,CCGT,NG,138,0.31,0.0153,0.0153,1,5,1,0,0,0,0.57,0.57,104
17,T-power Beringen,CCGT,NG,422,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,106
18,AWIRS 4,CL,WP,95,0.5,0.02,0.02,2,5,1,0,0,0,0.4,0.4,17
19,AWIRS 5 (debut 2013),CL,NG,294,0.35,0.007,0.007,7,5,1,0,0,0,0.33,0.33,18
20,RODENHUIZE 4,CL,WP,268,0.35,0.007,0.007,7,5,1,0,0,0,0.4,0.4,65
21,RUIEN 5 (09/13),CL,CP,290,0.2,0.003,0.003,7,5,1,0,0,0,0.33,0.33,67
22,RUIEN 6 (09/13),CL,NG,294,0.2,0.003,0.003,7,5,1,0,0,0,0.33,0.33,69
23,Zelzate 2 Knippegroen,CL,NG/BF,305,0.2,0.003,0.003,7,5,1,0,0,0,0.33,0.33,87
24,LANGERLO 1,CL,CP,235,0.35,0.007,0.007,7,5,1,0,0,0,0.33,0.33,97
25,LANGERLO 2,CL,CP,235,0.35,0.007,0.007,7,5,1,0,0,0,0.33,0.33,98
26,DROGENBOS DM 51,D,GO,2.5,0.1,0.07,0.07,0.25,0,0,0,0,0,0.4,0.4,38
27,DROGENBOS DM 52,D,GO,2.5,0.1,0.07,0.07,0.25,0,0,0,0,0,0.4,0.4,39
28,ANGLEUR TG 41,GT,NG,64,0.4,0.128,0.128,0.25,0,0,0,0,0,0.41,0.41,1
29,ANGLEUR TG 42,GT,NG,64,0.4,0.128,0.128,0.25,0,0,0,0,0,0.41,0.41,2
30,HAM31,GT,NG,52,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,5
31,HAM32,GT,NG,52,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,6
32,MONSIN TG2,GT,GO,70,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,9
33,DROGENBOS GT0,GT,NG,78,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,40
34,HU AMPSIN-NEUVILLE,HU,WA,9.9,0,0,0,0,0,0,0,0,0,1,1,NaN
35,HU ANDENNE,HU,WA,9,0,0,0,0,0,0,0,0,0,1,1,NaN
36,HU FLORIFFOUX,HU,WA,0.8,0,0,0,0,0,0,0,0,0,1,1,NaN
37,HU GRAND-MALADES,HU,WA,5,0,0,0,0,0,0,0,0,0,1,1,NaN
38,HU IVOZ-RAMET,HU,WA,10,0,0,0,0,0,0,0,0,0,1,1,NaN
39,HU MONSIN,HU,WA,19.7,0,0,0,0,0,0,0,0,0,1,1,NaN
40,HU LIXHE,HU,WA,20,0,0,0,0,0,0,0,0,0,1,1,7
41,BEVERCE 1,HU,WA,3.1,0,0,0,0,0,0,0,0,0,1,1,21
42,BEVERCE 2,HU,WA,3.1,0,0,0,0,0,0,0,0,0,1,1,22
43,BEVERCE 3,HU,WA,3.1,0,0,0,0,0,0,0,0,0,1,1,23
44,BUTGENBACH,HU,WA,1.8,0,0,0,0,0,0,0,0,0,1,1,28
45,COO I T,HUSTO,WA,474,0.43,0.33,0.33,0.3,0,0,0,0,0,1,1,30
46,COO II T,HUSTO,WA,690,0.43,0.33,0.33,0.3,0,0,0,0,0,1,1,31
47,HEID-DE-GOREUX 1,HU,WA,4,0,0,0,0,0,0,0,0,0,1,1,45
48,HEID-DE-GOREUX 2,HU,WA,4,0,0,0,0,0,0,0,0,0,1,1,46
49,PLATE TAILLE T,HUSTO,WA,144,0.43,0.33,0.33,0.3,0,0,0,0,0,1,1,64
50,La Vierre,HU,WA,1.9,0,0,0,0,0,0,0,0,0,1,1,NaN
51,Beveren 2 Indaver,IS,WR,20,0,0,0,0,0,0,0,0,0,1,1,24
52,Beveren Sleco,IS,WR,39,0,0,0,0,0,0,0,0,0,1,1,26
53,Schaerbeek Siomab ST1,IS,WR,15,0,0,0,0,0,0,0,0,0,1,1,71
54,Schaerbeek Siomab ST2,IS,WR,15,0,0,0,0,0,0,0,0,0,1,1,72
55,Schaerbeek Siomab ST3,IS,WR,15,0,0,0,0,0,0,0,0,0,1,1,73
56,Greenpower Oostende,IS,WR,20,0,0,0,0,0,0,0,0,0,1,1,92
57,Intradel Herstal,IS,WR,48.5,0,0,0,0,0,0,0,0,0,1,1,102
58,IVBO,IS,WR,16,0,0,0,0,0,0,0,0,0,1,1,NaN
59,Incinerateur THUMAIDE (IPALLE),IS,WR,32,0,0,0,0,0,0,0,0,0,1,1,NaN
60,Wilrijk Isvag,IS,WR,10.5,0,0,0,0,0,0,0,0,0,1,1,NaN
61,DOEL 1,NU,NU,433,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,34
62,DOEL 2,NU,NU,433,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,35
63,DOEL 3,NU,NU,1006,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,36
64,DOEL 4,NU,NU,1038,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,37
65,TIHANGE 1N,NU,NU,481,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,75
66,TIHANGE 1S,NU,NU,481,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,76
67,TIHANGE 2,NU,NU,1008,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,77
68,TIHANGE 3,NU,NU,1045.8,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,78
69,AALTER TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,15
70,BEERSE TJ,TJ,LV,32,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,19
71,BUDA TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,27
72,CIERREUX TJ,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,29
73,Deux-Acren TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,33
74,IXELLES TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,49
75,Noordschote TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,59
76,Turon TJ,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,79
77,Zedelgem TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,84
78,Zeebrugge TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,86
79,Zelzate TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,88
80,IZEGEM,WKK,NG,22,0,0,0,0,0,0,0,0,0,1,1,8
81,Taminco (Gent) WKK,WKK,NG,6.3,0,0,0,0,0,0,0,0,0,1,1,12
82,Aalst Syral GT,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,13
83,Aalst Syral ST,WKK,NG,5,0,0,0,0,0,0,0,0,0,1,1,14
84,Beveren Ineos Phenolchemie,WKK,NG,22.8,0,0,0,0,0,0,0,0,0,1,1,25
85,DAMPREMY CS,WKK,BF,44,0,0,0,0,0,0,0,0,0,1,1,32
86,Geel BP Chembel,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,44
87,Jemeppe-sur-Sambre GT1,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,50
88,Jemeppe-sur-Sambre GT2,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,51
