,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
BG_STUR_BIO,47,BG_STUR_BIO,BG,STUR,BIO,0.35,4,6,0.02,0.02,65,,0,0.5,0.35,,0,,,,,,,,,1
BG_COMC_GAS,53.95920986,BG_COMC_GAS,BG,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,1
BG_GTUR_GAS,54.49880195,BG_GTUR_GAS,BG,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,1
BG_STUR_GAS,110.8861763,BG_STUR_GAS,BG,STUR,GAS,0.38,0,0,0.02,0.02,0,0,0,0.4,0.38,0,0,,,,,,,,,4
BG_STUR_LIG,697.4285714,BG_STUR_LIG,BG,STUR,LIG,0.393,8,8,0.01520979,0.017482517,65,12.56164384,0,0.389,0.4075,5,1.05,,,,,,,,,7
BG_STUR_NUC,1000,BG_STUR_NUC,BG,STUR,NUC,1,24,24,0.003333333,0.003333333,300,0,0,0.5,1,12,0,,,,,,,,,2
BG_PHOT_SUN,1043,BG_PHOT_SUN,BG,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
BG_HPHS_WAT,2943,BG_HPHS_WAT,BG,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,2240914,0,1399,0.8,,1
BG_WTON_WIN,701,BG_WTON_WIN,BG,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
