,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Salakovac,HE Bocac,HE Visegrad,RHE Capljina
2010-01-02 15:00:00+00:00,0.329884883,1.331469339,1.785126136,0,0.866688739,0.712850582,0.46072665,0.519657852,1.752999968
2010-01-02 16:00:00+00:00,0.329963327,1.315935667,1.780720964,0,0.866859863,0.712827183,0.46105692,0.519942658,1.744319884
2010-01-02 17:00:00+00:00,0.33004177,1.300401996,1.776315792,0,0.867030988,0.712803784,0.46138719,0.520227465,1.7356398
2010-01-02 18:00:00+00:00,0.330120213,1.284868324,1.77191062,0,0.867202112,0.712780385,0.46171746,0.520512271,1.726959715
2010-01-02 19:00:00+00:00,0.330198656,1.269334653,1.767505448,0,0.867373236,0.712756986,0.46204773,0.520797077,1.718279631
2010-01-02 20:00:00+00:00,0.330277099,1.253800982,1.763100276,0,0.867544361,0.712733587,0.462378,0.521081884,1.709599547
2010-01-02 21:00:00+00:00,0.330355542,1.23826731,1.758695104,0,0.867715485,0.712710188,0.46270827,0.52136669,1.700919463
2010-01-02 22:00:00+00:00,0.330433986,1.222733639,1.754289932,0,0.867886609,0.712686789,0.46303854,0.521651497,1.692239378
2010-01-02 23:00:00+00:00,0.330512429,1.207199967,1.74988476,0,0.868057734,0.71266339,0.46336881,0.521936303,1.683559294
2010-01-03 00:00:00+00:00,0.330590872,1.19591849,1.735671295,0,0.865560857,0.712639991,0.46369908,0.52222111,1.67016771
2010-01-03 01:00:00+00:00,0.330669315,1.184637013,1.72145783,0,0.86306398,0.712616592,0.46402935,0.522505916,1.656776126
2010-01-03 02:00:00+00:00,0.330747758,1.173355535,1.707244365,0,0.860567102,0.712593193,0.46435962,0.522790723,1.643384542
2010-01-03 03:00:00+00:00,0.330826201,1.162074058,1.6930309,0,0.858070225,0.712569794,0.46468989,0.523075529,1.629992958
2010-01-03 04:00:00+00:00,0.330904645,1.15079258,1.678817435,0,0.855573348,0.712546395,0.46502016,0.523360335,1.616601374
2010-01-03 05:00:00+00:00,0.330983088,1.139511103,1.66460397,0,0.853076471,0.712522996,0.46535043,0.523645142,1.60320979
2010-01-03 06:00:00+00:00,0.331061531,1.128229626,1.650390505,0,0.850579594,0.712499597,0.4656807,0.523929948,1.589818206
2010-01-03 07:00:00+00:00,0.331139974,1.116948148,1.63617704,0,0.848082717,0.712476198,0.46601097,0.524214755,1.576426622
2010-01-03 08:00:00+00:00,0.331218417,1.105666671,1.621963575,0,0.84558584,0.712452799,0.46634124,0.524499561,1.563035038
2010-01-03 09:00:00+00:00,0.33129686,1.094385194,1.60775011,0,0.843088963,0.7124294,0.46667151,0.524784368,1.549643454
2010-01-03 10:00:00+00:00,0.331375304,1.083103716,1.593536645,0,0.840592085,0.712406001,0.46700178,0.525069174,1.53625187
2010-01-03 11:00:00+00:00,0.331453747,1.071822239,1.57932318,0,0.838095208,0.712382602,0.46733205,0.525353981,1.522860286
2010-01-03 12:00:00+00:00,0.33153219,1.060540762,1.565109715,0,0.835598331,0.712359203,0.46766232,0.525638787,1.509468702
2010-01-03 13:00:00+00:00,0.331610633,1.049259284,1.55089625,0,0.833101454,0.712335804,0.46799259,0.525923594,1.496077117
2010-01-03 14:00:00+00:00,0.331689076,1.037977807,1.536682785,0,0.830604577,0.712312405,0.46832286,0.5262084,1.482685533
2010-01-03 15:00:00+00:00,0.331767519,1.026696329,1.52246932,0,0.8281077,0.712289006,0.46865313,0.526493206,1.469293949
2010-01-03 16:00:00+00:00,0.331845963,1.015414852,1.508255855,0,0.825610823,0.712265607,0.4689834,0.526778013,1.455902365
2010-01-03 17:00:00+00:00,0.331924406,1.004133375,1.49404239,0,0.823113946,0.712242208,0.46931367,0.527062819,1.442510781
2010-01-03 18:00:00+00:00,0.332002849,0.992851897,1.479828924,0,0.820617069,0.712218809,0.46964394,0.527347626,1.429119197
2010-01-03 19:00:00+00:00,0.332081292,0.98157042,1.465615459,0,0.818120191,0.71219541,0.46997421,0.527632432,1.415727613
2010-01-03 20:00:00+00:00,0.332159735,0.970288943,1.451401994,0,0.815623314,0.712172011,0.47030448,0.527917239,1.402336029
2010-01-03 21:00:00+00:00,0.332238178,0.959007465,1.437188529,0,0.813126437,0.712148612,0.47063475,0.528202045,1.388944445
2010-01-03 22:00:00+00:00,0.332316622,0.947725988,1.422975064,0,0.81062956,0.712125213,0.47096502,0.528486852,1.375552861
2010-01-03 23:00:00+00:00,0.332395065,0.936444511,1.408761599,0,0.808132683,0.712101814,0.47129529,0.528771658,1.362161277
2010-01-04 00:00:00+00:00,0.332473508,0.952284592,1.404898493,0,0.806636958,0.712078415,0.47162556,0.529056465,1.366537951
2010-01-04 01:00:00+00:00,0.332551951,0.968124674,1.401035387,0,0.805141234,0.712055016,0.47195583,0.529341271,1.370914625
2010-01-04 02:00:00+00:00,0.332630394,0.983964755,1.397172281,0,0.803645509,0.712031617,0.4722861,0.529626077,1.375291299
2010-01-04 03:00:00+00:00,0.332708837,0.999804837,1.393309175,0,0.802149784,0.712008218,0.47261637,0.529910884,1.379667973
2010-01-04 04:00:00+00:00,0.33278728,1.015644918,1.389446069,0,0.80065406,0.711984819,0.47294664,0.53019569,1.384044647
2010-01-04 05:00:00+00:00,0.332865724,1.031485,1.385582963,0,0.799158335,0.71196142,0.47327691,0.530480497,1.388421321
2010-01-04 06:00:00+00:00,0.332944167,1.047325081,1.381719856,0,0.79766261,0.711938021,0.47360718,0.530765303,1.392797995
2010-01-04 07:00:00+00:00,0.33302261,1.063165163,1.37785675,0,0.796166886,0.711914622,0.47393745,0.53105011,1.397174669
2010-01-04 08:00:00+00:00,0.333101053,1.079005244,1.373993644,0,0.794671161,0.711891223,0.47426772,0.531334916,1.401551343
2010-01-04 09:00:00+00:00,0.333179496,1.094845326,1.370130538,0,0.793175436,0.711867824,0.47459799,0.531619723,1.405928017
2010-01-04 10:00:00+00:00,0.333257939,1.110685407,1.366267432,0,0.791679712,0.711844425,0.47492826,0.531904529,1.410304691
2010-01-04 11:00:00+00:00,0.333336383,1.126525489,1.362404326,0,0.790183987,0.711821026,0.47525853,0.532189335,1.414681365
2010-01-04 12:00:00+00:00,0.333414826,1.14236557,1.35854122,0,0.788688262,0.711797627,0.4755888,0.532474142,1.419058039
2010-01-04 13:00:00+00:00,0.333493269,1.158205652,1.354678114,0,0.787192538,0.711774228,0.47591907,0.532758948,1.423434713
2010-01-04 14:00:00+00:00,0.333571712,1.174045733,1.350815007,0,0.785696813,0.711750829,0.47624934,0.533043755,1.427811387
2010-01-04 15:00:00+00:00,0.333650155,1.189885815,1.346951901,0,0.784201088,0.71172743,0.47657961,0.533328561,1.432188061
2010-01-04 16:00:00+00:00,0.333728598,1.205725896,1.343088795,0,0.782705364,0.711704031,0.47690988,0.533613368,1.436564735
2010-01-04 17:00:00+00:00,0.333807042,1.221565978,1.339225689,0,0.781209639,0.711680632,0.47724015,0.533898174,1.440941409
2010-01-04 18:00:00+00:00,0.333885485,1.237406059,1.335362583,0,0.779713914,0.711657233,0.47757042,0.534182981,1.445318083
2010-01-04 19:00:00+00:00,0.333963928,1.253246141,1.331499477,0,0.77821819,0.711633834,0.47790069,0.534467787,1.449694757
2010-01-04 20:00:00+00:00,0.334042371,1.269086222,1.327636371,0,0.776722465,0.711610435,0.47823096,0.534752594,1.454071431
2010-01-04 21:00:00+00:00,0.334120814,1.284926304,1.323773265,0,0.77522674,0.711587036,0.47856123,0.5350374,1.458448105
2010-01-04 22:00:00+00:00,0.334199257,1.300766385,1.319910158,0,0.773731016,0.711563637,0.4788915,0.535322206,1.462824779
2010-01-04 23:00:00+00:00,0.334277701,1.316606467,1.316047052,0,0.772235291,0.711540238,0.47922177,0.535607013,1.467201453
2010-01-05 00:00:00+00:00,0.334356144,1.332617822,1.326366457,0,0.769101749,0.711516839,0.47955204,0.535891819,1.479365475
2010-01-05 01:00:00+00:00,0.334434587,1.348629176,1.336685862,0,0.765968207,0.71149344,0.47988231,0.536176626,1.491529498
2010-01-05 02:00:00+00:00,0.33451303,1.364640531,1.347005267,0,0.762834665,0.711470041,0.48021258,0.536461432,1.503693521
2010-01-05 03:00:00+00:00,0.334591473,1.380651886,1.357324672,0,0.759701123,0.711446642,0.48054285,0.536746239,1.515857543
2010-01-05 04:00:00+00:00,0.334669916,1.396663241,1.367644077,0,0.756567581,0.711423243,0.48087312,0.537031045,1.528021566
2010-01-05 05:00:00+00:00,0.33474836,1.412674596,1.377963482,0,0.753434039,0.711399844,0.48120339,0.537315852,1.540185588
2010-01-05 06:00:00+00:00,0.334826803,1.428685951,1.388282887,0,0.750300497,0.711376445,0.48153366,0.537600658,1.552349611
2010-01-05 07:00:00+00:00,0.334905246,1.444697306,1.398602292,0,0.747166955,0.711353046,0.48186393,0.537885465,1.564513634
2010-01-05 08:00:00+00:00,0.334983689,1.460708661,1.408921697,0,0.744033413,0.711329647,0.4821942,0.538170271,1.576677656
2010-01-05 09:00:00+00:00,0.335062132,1.476720015,1.419241102,0,0.740899871,0.711306248,0.48252447,0.538455077,1.588841679
2010-01-05 10:00:00+00:00,0.335140575,1.49273137,1.429560507,0,0.737766329,0.711282849,0.48285474,0.538739884,1.601005701
2010-01-05 11:00:00+00:00,0.335219019,1.508742725,1.439879912,0,0.734632787,0.71125945,0.48318501,0.53902469,1.613169724
2010-01-05 12:00:00+00:00,0.335297462,1.52475408,1.450199317,0,0.731499245,0.711236051,0.48351528,0.539309497,1.625333747
2010-01-05 13:00:00+00:00,0.335375905,1.540765435,1.460518722,0,0.728365703,0.711212652,0.48384555,0.539594303,1.637497769
2010-01-05 14:00:00+00:00,0.335454348,1.55677679,1.470838127,0,0.725232161,0.711189253,0.48417582,0.53987911,1.649661792
2010-01-05 15:00:00+00:00,0.335532791,1.572788145,1.481157532,0,0.722098619,0.711165854,0.48450609,0.540163916,1.661825814
2010-01-05 16:00:00+00:00,0.335611234,1.588799499,1.491476937,0,0.718965077,0.711142455,0.48483636,0.540448723,1.673989837
2010-01-05 17:00:00+00:00,0.335689678,1.604810854,1.501796342,0,0.715831535,0.711119056,0.48516663,0.540733529,1.68615386
2010-01-05 18:00:00+00:00,0.335768121,1.620822209,1.512115747,0,0.712697994,0.711095657,0.4854969,0.541018335,1.698317882
2010-01-05 19:00:00+00:00,0.335846564,1.636833564,1.522435152,0,0.709564452,0.711072258,0.48582717,0.541303142,1.710481905
2010-01-05 20:00:00+00:00,0.335925007,1.652844919,1.532754557,0,0.70643091,0.711048859,0.48615744,0.541587948,1.722645927
2010-01-05 21:00:00+00:00,0.33600345,1.668856274,1.543073962,0,0.703297368,0.71102546,0.48648771,0.541872755,1.73480995
2010-01-05 22:00:00+00:00,0.336081893,1.684867629,1.553393367,0,0.700163826,0.711002061,0.48681798,0.542157561,1.746973973
2010-01-05 23:00:00+00:00,0.336160337,1.700878983,1.563712772,0,0.697030284,0.710978662,0.48714825,0.542442368,1.759137995
