,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
UK_STUR_GEO,UK_STUR_GEO,39.24,25.0,UK,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
UK_STUR_LIG,UK_STUR_LIG,448.0,1.0,UK,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,,
UK_COMC_GAS,UK_COMC_GAS,419.7992125984252,254.0,UK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
UK_HDAM_WAT,UK_HDAM_WAT,1501.0,1,UK,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,7505.0,0.0,0.0,0.9,
UK_HPHS_WAT,UK_HPHS_WAT,671.0,1,UK,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,3355.0,0.0,671.0,0.9,
UK_HROR_WAT,UK_HROR_WAT,13500.0,1,UK,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
UK_WTOF_WIN,UK_WTOF_WIN,43451.0,1,UK,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
UK_WTON_WIN,UK_WTON_WIN,220196.0,1,UK,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
UK_PHOT_SUN,UK_PHOT_SUN,124678.0,1,UK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
UK_BATS_OTH,UK_BATS_OTH,6313333.333333334,1,UK,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,25253333.333333336,0.0,0.0,0.9,
UK_BEVS_OTH,UK_BEVS_OTH,308377.0,1,UK,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,1264345.7,0.0,308377.0,0.88,
UK_STUR_BIO_CHP,UK_STUR_BIO_CHP,177.22222222222223,36.0,UK,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4725.925925925925,0.03,,,
UK_COMC_GAS_CHP,UK_COMC_GAS_CHP,374.0,8.0,UK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4724.210526315789,0.03,,,
