,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
NO_COMC_GAS,302.326732673,NO_COMC_GAS,NO,COMC,GAS,0.57,2,4,0.03,0.03,55,0.0,0,0.36,0.57,1.0,0.42,,,,,,,2.0
NO_HDAM_WAT,26909.5,NO_HDAM_WAT,NO,HDAM,WAT,0.8,0,0,0.0666666666667,0.0666666666667,0,0.0,0,0.0,1.0,0.0,0.0,,,76191000.0,0.0,0.0,0.8,1
NO_HROR_WAT,1351.8,NO_HROR_WAT,NO,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
NO_WTON_WIN,872.6,NO_WTON_WIN,NO,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
