date,AT,BE,BG,CZ,DK,DE,EE,IE,ES,FR,HR,IT,LV,LT,LU,HU,NL,PL,PT,RO,SI,SK,FI,SE,NO,CH,UK,EL
2016-01-01 00:00:00,-2.4090000000000003,4.527,-9.218,-3.91,3.9160000000000004,1.715,-8.206,1.749,6.585,4.899,-2.542,2.7939999999999996,-10.290999999999999,-13.062999999999999,2.702,-6.627999999999999,5.081,-8.698,8.241,-9.633,-3.978,-9.988999999999999,-6.327999999999999,-3.5060000000000002,-2.575,-0.272,2.628,-1.9909999999999999
2016-01-01 01:00:00,-2.319,4.402,-9.485,-3.72,3.897,1.651,-8.133,1.882,6.48,4.772,-2.428,2.7560000000000002,-10.25,-12.970999999999998,2.517,-6.8420000000000005,5.148,-8.746,8.049,-9.861,-3.873,-9.924,-6.577999999999999,-3.397,-2.523,-0.45299999999999996,2.397,-1.9809999999999999
2016-01-01 02:00:00,-2.242,4.258,-9.77,-3.5439999999999996,3.786,1.59,-8.116,2.092,6.405,4.6819999999999995,-2.358,2.705,-10.227,-12.831,2.342,-7.032,5.242000000000001,-8.753,7.877000000000001,-10.072000000000001,-3.6660000000000004,-9.777000000000001,-6.875,-3.321,-2.488,-0.6409999999999999,2.267,-1.994
2016-01-01 03:00:00,-2.237,4.224,-10.048,-3.377,3.6239999999999997,1.564,-8.124,2.3280000000000003,6.364,4.563,-2.358,2.641,-10.229,-12.704,2.37,-7.225,5.141,-8.811,7.7989999999999995,-10.238,-3.572,-9.686,-7.229,-3.273,-2.4459999999999997,-0.778,2.1519999999999997,-2.0269999999999997
2016-01-01 04:00:00,-2.325,4.251,-10.292,-3.248,3.502,1.521,-8.187999999999999,2.5780000000000003,6.38,4.454,-2.3609999999999998,2.53,-10.241,-12.540999999999999,2.463,-7.42,5.066,-8.856,7.862,-10.411,-3.5810000000000004,-9.656,-7.59,-3.2460000000000004,-2.4019999999999997,-0.855,2.096,-2.082
2016-01-01 05:00:00,-2.332,4.207,-10.49,-3.135,3.4960000000000004,1.49,-8.263,2.886,6.405,4.351,-2.327,2.43,-10.208,-12.31,2.4819999999999998,-7.601,5.024,-8.895,7.999,-10.572000000000001,-3.7110000000000003,-9.682,-7.88,-3.2239999999999998,-2.344,-0.9390000000000001,2.161,-2.096
2016-01-01 06:00:00,-2.313,4.042,-9.487,-3.071,3.595,1.443,-8.372,3.247,6.445,4.245,-2.249,2.391,-10.118,-12.04,2.464,-7.6979999999999995,4.956,-8.904,8.325,-10.149,-3.804,-9.732999999999999,-8.171,-3.193,-2.3,-1.094,2.293,-1.197
2016-01-01 07:00:00,-1.982,3.821,-7.065,-2.844,3.748,1.47,-8.415,3.605,6.546,4.208,-1.5330000000000001,3.1,-9.888,-11.466,2.515,-6.79,4.827,-8.401,8.767000000000001,-8.312999999999999,-3.063,-8.759,-8.442,-3.137,-2.307,-1.1909999999999998,2.4219999999999997,0.39899999999999997
2016-01-01 08:00:00,-0.98,3.971,-4.5169999999999995,-2.245,3.889,1.9969999999999999,-8.187000000000001,4.067,7.391,4.769,-0.354,4.574,-9.252,-9.992,2.759,-5.39,4.864,-7.353,9.56,-6.29,-1.7890000000000001,-7.066,-8.62,-3.056,-2.376,-0.243,2.5810000000000004,1.775
2016-01-01 09:00:00,0.07200000000000001,4.53,-2.56,-1.518,4.117,2.6010000000000004,-8.016,4.577,8.624,5.57,0.851,6.011,-8.658999999999999,-8.831,3.182,-3.63,5.468999999999999,-6.247000000000001,10.81,-4.856,-0.326,-5.468999999999999,-8.679,-2.878,-2.398,0.98,3.0639999999999996,2.9730000000000003
2016-01-01 10:00:00,1.1420000000000001,5.183,-1.4040000000000001,-0.698,4.447,3.156,-7.99,5.19,10.142999999999999,6.545,1.817,7.297000000000001,-8.332,-8.369,3.779,-2.597,6.067,-5.297000000000001,12.255,-4.0489999999999995,1.26,-4.1530000000000005,-8.781,-2.676,-2.334,2.167,3.6710000000000003,3.867
