,LT_P2HT_OTH,LT_STUR_BIO_CHP,LT_COMC_GAS_CHP
2016-01-01 00:00:00,553.3390694404567,420.5591726317911,838.1948952055659
2016-01-01 01:00:00,587.5549945693073,446.5646039445878,890.0249852202461
2016-01-01 02:00:00,665.1401496385482,505.53233354557955,1007.5505396484391
2016-01-01 03:00:00,874.3585453308831,664.5464358403883,1324.4733830503073
2016-01-01 04:00:00,1032.5799570732113,784.8008507008374,1564.14628337297
2016-01-01 05:00:00,987.2493046732054,750.3477952036288,1495.479667302565
2016-01-01 06:00:00,983.7623314116665,747.6975601653821,1490.1976199125343
2016-01-01 07:00:00,947.5849838232002,720.2013716435713,1435.396378240961
2016-01-01 08:00:00,911.8435078924263,693.0364625015415,1381.255392493142
2016-01-01 09:00:00,876.3199677904986,666.037193049402,1327.4445347071996
2016-01-01 10:00:00,857.359550680881,651.626540028935,1298.7234020239052
2016-01-01 11:00:00,842.5399143193404,640.3630411163861,1276.274700616273
2016-01-01 12:00:00,853.2187699328034,648.479385921017,1292.4509707482434
2016-01-01 13:00:00,864.769368861651,657.2582894852095,1309.9477527277215
2016-01-01 14:00:00,895.9341923866551,680.9447651395404,1357.1560512761248
2016-01-01 15:00:00,912.2793795501186,693.3677418813222,1381.9156484168955
2016-01-01 16:00:00,911.6255720635802,692.870822811651,1380.925264531265
2016-01-01 17:00:00,900.7287806212712,684.5888383171297,1364.4188664374176
2016-01-01 18:00:00,866.5128554924205,658.5834070043329,1312.588776422737
2016-01-01 19:00:00,782.171689728948,594.4808470167382,1184.829255176359
2016-01-01 20:00:00,646.1797325289303,491.1216805251125,978.8294069651448
2016-01-01 21:00:00,544.8395721154554,414.09922472606445,825.3199046923648
2016-01-01 22:00:00,599.3235293270011,455.5091471986709,907.8518951616014
2016-01-01 23:00:00,599.9773368135396,456.0060662683421,908.8422790472321
2016-01-02 00:00:00,611.3099999135411,464.6193301426443,926.0089330648333
2016-01-02 01:00:00,637.8981710327754,484.8273723092762,966.2845444138208
2016-01-02 02:00:00,694.9973581904751,528.2249710605678,1052.7780704255806
2016-01-02 03:00:00,905.7413046847332,688.3985511846095,1372.0118095605872
2016-01-02 04:00:00,1157.8930586597662,880.0436723878321,1753.9698614522138
2016-01-02 05:00:00,1075.077443698217,817.1005902294705,1628.5212359389745
2016-01-02 06:00:00,1050.8865666962906,798.7145846516331,1591.8770321706334
2016-01-02 07:00:00,1007.0814650982079,765.4210069836574,1525.521311833367
2016-01-02 08:00:00,969.1606308789721,736.5997009427234,1468.0790464667787
2016-01-02 09:00:00,930.3680533443519,707.1158361422275,1409.316269252682
2016-01-02 10:00:00,902.0363955943483,685.5826764564724,1366.3996342086796
2016-01-02 11:00:00,889.6140533501159,676.1412141327181,1347.5823403816935
2016-01-02 12:00:00,893.1010266116546,678.7914491709647,1352.8643877717243
2016-01-02 13:00:00,916.6380961270423,696.6805356791309,1388.5182076544347
2016-01-02 14:00:00,956.9562244635861,727.3238783088595,1449.5918806016696
2016-01-02 15:00:00,976.7883848885888,742.3970900888884,1479.6335251324717
2016-01-02 16:00:00,969.3785667078185,736.7653406326139,1468.4091744286557
2016-01-02 17:00:00,963.9301709866639,732.6243483853532,1460.1559753817319
2016-01-02 18:00:00,934.7267699212756,710.4286299400362,1415.9188284902211
2016-01-02 19:00:00,860.8465239424198,654.2767750671819,1304.0054494139367
2016-01-02 20:00:00,734.8796148693265,558.5370343105157,1113.1914874490617
2016-01-02 21:00:00,616.9763314635418,468.9259620797954,934.592260073634
2016-01-02 22:00:00,582.5424705058451,442.75489107710814,882.4320420970765
2016-01-02 23:00:00,584.7218287943069,444.4112879760124,885.733321715846
2016-01-03 00:00:00,592.3495828039232,450.2086771221772,897.287800381539
2016-01-03 01:00:00,618.9377539231575,470.41671928880925,937.5634117305266
2016-01-03 02:00:00,679.3059785135499,516.2989133884572,1029.0088571704405
2016-01-03 03:00:00,893.3189624405011,678.9570888608553,1353.1945157336015
2016-01-03 04:00:00,1131.9586950270705,860.3325492908714,1714.684633988857
2016-01-03 05:00:00,1041.2973902270585,791.4264382964543,1577.3514018480475
2016-01-03 06:00:00,1009.2608233866699,767.0774038825617,1528.8225914521365
2016-01-03 07:00:00,972.2117324828189,738.9186566011895,1472.700837933056
2016-01-03 08:00:00,935.8164490655065,711.2568283894883,1417.569468299606
2016-01-03 09:00:00,902.6902030808868,686.0795955261436,1367.39001809431
2016-01-03 10:00:00,878.2813902501143,667.5279502584158,1330.415686364092
2016-01-03 11:00:00,865.2052405193435,657.5895688649904,1310.6080086514753
2016-01-03 12:00:00,864.9873046904972,657.4239291750998,1310.2778806895983
2016-01-03 13:00:00,885.2553367731921,672.8284203349095,1340.9797811441545
2016-01-03 14:00:00,927.5348875693516,704.962520173652,1405.0246057482818
2016-01-03 15:00:00,949.7643421116621,721.8577685424755,1438.6976578597303
2016-01-03 16:00:00,940.6110373001227,714.9009015670777,1424.8322834608987
2016-01-03 17:00:00,936.9061282097373,712.0850268389405,1419.2201081089909
2016-01-03 18:00:00,913.3690586943496,694.1959403307743,1383.5662882262802
2016-01-03 19:00:00,842.7578501481865,640.5286808062764,1276.6048285781499
2016-01-03 20:00:00,720.059978507786,547.2735353979668,1090.7427860414293
2016-01-03 21:00:00,602.3746309308476,457.82810285713686,912.4736866278786
2016-01-03 22:00:00,700.4457539116297,532.3659633078285,1061.0312694725044
2016-01-03 23:00:00,696.3049731635522,529.2188091999104,1054.7588381968424
2016-01-04 00:00:00,705.0224063173994,535.8443967955274,1067.9639566719202
2016-01-04 01:00:00,728.1236041750948,553.4022039239126,1102.9575206308764
2016-01-04 02:00:00,779.992331440486,592.8244501178339,1181.5279755575893
2016-01-04 03:00:00,1020.375550657825,775.5250280669735,1545.6591175078609
2016-01-04 04:00:00,1293.4491442020915,983.071559499677,1959.3094537396742
2016-01-04 05:00:00,1172.058887534768,890.81025223071,1775.4281789742156
2016-01-04 06:00:00,1120.8439677559152,851.8849251064598,1697.848107933133
2016-01-04 07:00:00,1074.4236362116783,816.603671159799,1627.5308520533433
2016-01-04 08:00:00,1038.246288623212,789.1074826379885,1572.7296103817707
2016-01-04 09:00:00,1010.3505025309007,767.9056023320139,1530.4732312615215
2016-01-04 10:00:00,975.6987057443578,741.5688916394362,1477.9828853230867
2016-01-04 11:00:00,968.9426950501261,736.434061252833,1467.7489185049017
2016-01-04 12:00:00,961.5328768693561,730.8023117965586,1456.5245678010856
2016-01-04 13:00:00,1000.7613260616689,760.6174559768351,1515.9476009389357
2016-01-04 14:00:00,1055.4632191020605,802.193018139332,1598.8097193700492
2016-01-04 15:00:00,1087.9356576001417,826.8733319330054,1647.998785689714
2016-01-04 16:00:00,1071.1545987789855,814.1190758114426,1622.578932625189
2016-01-04 17:00:00,1073.987764553986,816.2723917800183,1626.8705961295898
2016-01-04 18:00:00,1055.2452832732145,802.0273784494416,1598.4795914081722
2016-01-04 19:00:00,992.9156362232062,754.65442714078,1504.0629943113659
2016-01-04 20:00:00,855.1801923924189,649.9701431300308,1295.422122405136
2016-01-04 21:00:00,724.854566742402,550.9176085755561,1098.0056012027221
2016-01-04 22:00:00,794.158160315488,603.5910299607116,1202.9862930795912
2016-01-04 23:00:00,793.2864170001033,602.9284712011499,1201.6657812320834
2016-01-05 00:00:00,803.9652726135662,611.0448160057806,1217.8420513640533
2016-01-05 01:00:00,837.5273902558783,636.5533282489063,1268.681757493103
2016-01-05 02:00:00,889.1781816924234,675.8099347529371,1346.9220844579393
2016-01-05 03:00:00,1124.7668126751464,854.8664395244875,1703.7904112469182
2016-01-05 04:00:00,1446.6580318809577,1099.5162614926462,2191.389410939167
2016-01-05 05:00:00,1352.9456254770992,1028.2911948397634,2049.4343873320804
2016-01-05 06:00:00,1308.0508447347856,994.1694187223355,1981.4280271854295
2016-01-05 07:00:00,1248.99023511747,949.2810627620302,1891.963349516777
2016-01-05 08:00:00,1202.3519677443874,913.834169125479,1821.3159656751109
2016-01-05 09:00:00,1158.5468661463046,880.5405914575034,1754.9602453378448
2016-01-05 10:00:00,1119.3184169539918,850.7254472772269,1695.5372121999944
2016-01-05 11:00:00,1109.9471763136062,843.6029406119385,1681.3417098392856
2016-01-05 12:00:00,1100.57593567322,836.4804339466501,1667.146207478577
2016-01-05 13:00:00,1141.5478714963024,867.6206956460502,1729.2102643114429
2016-01-05 14:00:00,1194.5062779059247,907.8711402894237,1809.4313590475406
2016-01-05 15:00:00,1222.8379356559285,929.4042999751791,1852.3479940915438
2016-01-05 16:00:00,1198.429122825156,910.8526547074513,1815.3736623613256
2016-01-05 17:00:00,1193.852470419386,907.3742212197525,1808.44097516191
2016-01-05 18:00:00,1170.3154009039984,889.4851347115863,1772.7871552791994
2016-01-05 19:00:00,1099.268320700143,835.4865958073075,1665.165439707315
2016-01-05 20:00:00,962.622556013587,731.6305102460108,1458.1752076104704
2016-01-05 21:00:00,818.5669731462604,622.1426752284392,1239.960624809809
2016-01-05 22:00:00,776.0694865212549,589.8429356998062,1175.5856722438043
2016-01-05 23:00:00,774.9798073770239,589.0147372503541,1173.9350324344198
2016-01-06 00:00:00,785.2227913327945,596.799802675204,1189.4510466426361
2016-01-06 01:00:00,816.8234865154909,620.8175577093158,1237.3196011147934
2016-01-06 02:00:00,867.166662978959,659.0803260740042,1313.579160308368
2016-01-06 03:00:00,1101.4476789886048,837.1429927062118,1668.4667193260846
2016-01-06 04:00:00,1424.4285773386468,1082.6210131238229,2157.7163588277185
2016-01-06 05:00:00,1325.9215827001726,1007.7518732933504,2008.498520059339
2016-01-06 06:00:00,1284.2958393905517,976.1146925242791,1945.4440793408426
2016-01-06 07:00:00,1222.402063998236,929.0730205953982,1851.6877381677898
2016-01-06 08:00:00,1178.5969624001534,895.7794429274226,1785.3320178305235
2016-01-06 09:00:00,1133.4842458289938,861.4920271201046,1716.995529721996
2016-01-06 10:00:00,1094.2557966366808,831.6768829398278,1657.5724965841455
2016-01-06 11:00:00,1082.487261878987,822.7323396857448,1639.7455866427904
