,HU_P2HT_OTH,HU_STUR_BIO_CHP,HU_STUR_OIL_CHP,HU_COMC_GAS_CHP
2016-03-26 21:00:00,2035.3861442661516,816.4769923563837,21.75338345532106,487.7337553666721
2016-03-26 22:00:00,1672.3401497350594,670.8443306932327,17.87329477868293,400.73808293257514
2016-03-26 23:00:00,1328.1697244045638,532.7834352098469,14.194940547331624,318.26550911385635
2016-03-27 00:00:00,1397.6741567880672,560.6645181521606,14.937775794462539,334.92065728637056
2016-03-27 01:00:00,1429.9566723367507,573.6143612446565,15.28279825696243,342.65642407715757
2016-03-27 02:00:00,1562.791285496086,626.8997811826317,16.70248084856035,374.48720218351093
2016-03-27 03:00:00,1882.0882972071045,754.9829287095042,20.11499810060846,450.9994310978528
2016-03-27 04:00:00,2562.6672315613087,1027.9910962004842,27.3887503428193,614.0846129495274
2016-03-27 05:00:00,3128.228678824031,1254.8610249138287,33.433242226833805,749.6084836121684
2016-03-27 06:00:00,3052.902809210437,1224.6447243646712,32.62818981433405,731.5583611003317
2016-03-27 07:00:00,2956.408076941969,1185.936723426992,31.596893164129455,708.4356046273234
2016-03-27 08:00:00,2783.529031927163,1116.5878369207296,29.749231889539868,667.0090939444201
2016-03-27 09:00:00,2631.6424423784406,1055.6598866330849,28.125929484007592,630.6129452730122
2016-03-27 10:00:00,2511.3327396232394,1007.3987227583186,26.840108066385042,601.7834755936856
2016-03-27 11:00:00,2434.242798121739,976.4747805101179,26.01620196740989,583.3106335850848
2016-03-27 12:00:00,2398.0793244196625,961.9681256797262,25.62970139466411,574.6448839014163
2016-03-27 13:00:00,2427.5393249476956,973.7857420537525,25.944557958803355,581.7042994973804
2016-03-27 14:00:00,2466.172499292841,989.2830952628052,26.357453692614705,590.9618564765191
2016-03-27 15:00:00,2570.4291478680966,1031.1047196762756,27.471706563311074,615.9445787352903
2016-03-27 16:00:00,2657.0450775642903,1065.8499270993113,28.39742256925341,636.7001060264184
2016-03-27 17:00:00,2687.7399284138573,1078.162892662668,28.725476713925435,644.0554252701174
2016-03-27 18:00:00,2675.567832387305,1073.280164939268,28.59538627724515,641.1386607424438
2016-03-27 19:00:00,2600.5947771512924,1043.2053927299194,27.79410460204048,623.1730821299601
2016-03-27 20:00:00,2352.2134553341016,943.5694415045954,25.13950554630361,563.6541769855439
2016-03-27 21:00:00,1829.5189549475006,733.895206078008,19.55315824364142,438.40239009427603
2016-03-27 22:00:00,1460.8279303751085,585.9980909779177,15.612737770282,350.05401527053317
2016-03-27 23:00:00,886.4461236728561,355.58995376935593,9.473977453890479,212.4165471240707
2016-03-28 00:00:00,935.6637293454384,375.3331571726694,9.999995306554247,224.2104210837952
2016-03-28 01:00:00,961.7719932864499,385.80625431851314,10.279029866390225,230.46666963590712
2016-03-28 02:00:00,1081.376067286489,433.7843615136621,11.557309809422614,259.127051516528
2016-03-28 03:00:00,1368.0377490712435,548.7761376082299,14.621033861675752,327.81896974073
2016-03-28 04:00:00,1925.3080584608056,772.3201503360697,20.576913419255852,461.3560587685785
2016-03-28 05:00:00,2286.9427954815733,917.386698639986,24.441919146713662,548.0135556052641
2016-03-28 06:00:00,2198.386386708683,881.8630853480026,23.495464085648383,526.7930368676953
2016-03-28 07:00:00,2101.5388400626334,843.0135560705148,22.460396698148706,503.5857364953341
2016-03-28 08:00:00,1960.2366818413484,786.3314559771309,20.95021641146885,469.725904804512
2016-03-28 09:00:00,1802.7050622513261,723.1390522525469,19.266582209215283,431.9770537434584
2016-03-28 10:00:00,1761.9550016406936,706.7925290046422,18.831062051633452,422.2122333682026
2016-03-28 11:00:00,1706.386737171649,684.5018154847721,18.237170927658227,408.8965692201265
2016-03-28 12:00:00,1620.476436230618,650.0396647413539,17.318996396306055,388.3101297277041
2016-03-28 13:00:00,1591.1928428913752,638.292812537232,17.00602520081435,381.2929860814164
2016-03-28 14:00:00,1650.112843947442,661.9280452852846,17.635738329092842,395.41181727334464
2016-03-28 15:00:00,1754.3694925226969,703.749669698755,18.749991199789214,420.39453953211597
2016-03-28 16:00:00,1876.9724887321763,752.9307677822779,20.060322409829787,449.7735445572362
2016-03-28 17:00:00,1933.069974767593,775.4337738118612,20.659869639747637,463.21602455434163
2016-03-28 18:00:00,1928.3069806702465,773.5231412244437,20.608964686264045,462.074681913078
2016-03-28 19:00:00,1897.612129820679,761.2101756610869,20.280910541592014,454.71936266937877
2016-03-28 20:00:00,1704.7990724725332,683.864937955633,18.220202609830363,408.51612167303864
2016-03-28 21:00:00,1334.3439760122353,535.2601811564991,14.260928449995536,319.74502735253145
2016-03-28 22:00:00,1022.2796590416319,410.078364595705,10.925711312496581,244.9659483749233
2016-03-28 23:00:00,647.590790050359,259.77526771886676,6.9211883051207845,155.18032726218178
2016-03-29 00:00:00,699.27809636601,280.50916950084115,7.47360131885012,167.56600851737636
2016-03-29 01:00:00,808.6505534161932,324.38295484153775,8.642529880325164,193.77461731676414
2016-03-29 02:00:00,1128.6531938823748,452.7491590480277,12.06258860696344,270.4559340298118
