,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
HR_STUR_BIO,26,HR_STUR_BIO,HR,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,,,,,,,1
HR_COMC_GAS,289.6643166,HR_COMC_GAS,HR,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,2
HR_GTUR_GAS,47.93429808,HR_GTUR_GAS,HR,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,3
HR_STUR_HRD,325,HR_STUR_HRD,HR,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,1
HR_STUR_OIL,316.6666667,HR_STUR_OIL,HR,STUR,OIL,0.33,4,4,0.02,0.02,65,0,0,0.4,0.33,0,0.799636364,,,,,,,3
HR_PHOT_SUN,48,HR_PHOT_SUN,HR,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,1
HR_HROR_WAT,421,HR_HROR_WAT,HR,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,1
HR_HPHS_WAT,1669,HR_HPHS_WAT,HR,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,1247290,0,281,0.8,1
HR_WTON_WIN,489,HR_WTON_WIN,HR,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,1
