,PL_P2HT_OTH,PL_STUR_BIO_CHP,PL_ICEN_GAS_CHP
2016-01-01 00:00:00,13396.125939546691,7544.719987928094,1101.0373526122166
2016-01-01 01:00:00,13613.43829234369,7667.110659617066,1118.89841324223
2016-01-01 02:00:00,14394.642183061436,8107.08596557816,1183.1061302768264
2016-01-01 03:00:00,16078.312658599123,9055.331924685903,1321.4882335373527
2016-01-01 04:00:00,21683.210450352217,12212.01950664548,1782.1588672819855
2016-01-01 05:00:00,27306.91796693305,15379.30075632031,2244.3754860166932
2016-01-01 06:00:00,25648.06031989152,14445.029422709284,2108.0327672111594
2016-01-01 07:00:00,24734.38794155719,13930.447648370566,2032.9373686507167
2016-01-01 08:00:00,23641.022660081326,13314.662537773382,1943.0728794404106
2016-01-01 09:00:00,22651.711175524833,12757.480695388229,1861.7606476220078
2016-01-01 10:00:00,21844.093628666014,12302.629175188697,1795.3819729417744
2016-01-01 11:00:00,21212.166915836446,11946.727019393325,1743.4434559347928
2016-01-01 12:00:00,20618.25985957357,11612.237596213889,1694.6298022056221
2016-01-01 13:00:00,20626.263997798134,11616.745539922505,1695.2876681588452
2016-01-01 14:00:00,20990.05208010471,11821.631581479183,1725.1876757328457
2016-01-01 15:00:00,21879.712043765343,12322.689524692047,1798.3094764336183
2016-01-01 16:00:00,22535.25096435738,12691.890114427839,1852.1886980026084
2016-01-01 17:00:00,22233.094746379982,12521.71523942752,1827.354258268428
2016-01-01 18:00:00,22215.48564228593,12511.797763268562,1825.9069531713367
2016-01-01 19:00:00,21651.594104365176,12194.21312899644,1779.5602967667535
2016-01-01 20:00:00,19819.847071673,11162.57021127927,1629.0076733715957
2016-01-01 21:00:00,16749.8598556403,9433.54840183893,1376.6831870127896
2016-01-01 22:00:00,13858.765128926672,7805.279134286201,1139.062004708525
2016-01-01 23:00:00,12946.293371326023,7291.373551503776,1064.0652860410657
2016-01-02 00:00:00,13056.750478825048,7353.583174682702,1073.1438361955477
2016-01-02 01:00:00,13298.475453206975,7489.723074682959,1093.0113879828923
2016-01-02 02:00:00,14000.438375501508,7885.069737928735,1150.7062320805778
2016-01-02 03:00:00,15698.916506754642,8841.655392897423,1290.3053873545673
2016-01-02 04:00:00,21259.391331361392,11973.323887274171,1747.3248650588107
2016-01-02 05:00:00,26813.462845388487,15101.386026684024,2203.818050000475
2016-01-02 06:00:00,25243.851339550885,14217.378265424086,2074.8105365733813
2016-01-02 07:00:00,24394.612273924315,13739.085437939742,2005.0109589363867
2016-01-02 08:00:00,23408.902651568882,13183.932170223467,1923.9947667969343
2016-01-02 09:00:00,22419.190960101165,12626.524930652884,1842.6496416808704
2016-01-02 10:00:00,21612.774033976028,12172.349602009645,1776.3696468936203
2016-01-02 11:00:00,20984.44918334751,11818.47602088315,1724.7271695655893
2016-01-02 12:00:00,20385.739644149897,11481.281831478544,1675.5187962644848
2016-01-02 13:00:00,20489.79344106927,11539.885099690573,1684.071053656388
2016-01-02 14:00:00,20737.121312208394,11679.180560286863,1704.3991116109887
2016-01-02 15:00:00,21614.77506853217,12173.476587936797,1776.5341133819259
2016-01-02 16:00:00,22169.46184749467,12485.877086944009,1822.1242239403025
2016-01-02 17:00:00,22079.41529246829,12435.162720222059,1814.7232319665402
2016-01-02 18:00:00,21966.55694350189,12371.600713930547,1805.4473220260911
2016-01-02 19:00:00,21359.84326607971,12029.898580817326,1755.5810827717637
2016-01-02 20:00:00,19554.109682617374,11012.906480153159,1607.166523724581
2016-01-02 21:00:00,16388.07280788987,9229.789346209407,1346.9476459270952
2016-01-02 22:00:00,13568.615118286114,7641.866174848807,1115.2143639041792
2016-01-02 23:00:00,13354.104213867715,7521.053283457851,1097.5835563577941
2016-01-03 00:00:00,13368.111455760707,7528.942184947932,1098.734821775935
2016-01-03 01:00:00,13445.751596539008,7572.669238921525,1105.1161215222014
2016-01-03 02:00:00,14046.06196338154,7910.765017067856,1154.4560680139507
2016-01-03 03:00:00,15458.3921531064,8706.191684453457,1270.5365154602061
2016-01-03 04:00:00,21103.71084289356,11885.644382141554,1734.5293722686167
2016-01-03 05:00:00,27531.834251043383,15505.97397453247,2262.861519302269
2016-01-03 06:00:00,25128.19154220589,14152.23847883456,2065.3043735493043
2016-01-03 07:00:00,23834.32259820462,13423.5293783365,1958.9603422107539
2016-01-03 08:00:00,22891.435115350618,12892.493609461328,1881.4637329210461
2016-01-03 09:00:00,21880.912664499025,12323.36571624834,1798.4081563266018
2016-01-03 10:00:00,21228.175192285584,11955.742906810563,1744.7591878412397
2016-01-03 11:00:00,20577.838961539506,11589.472480485369,1691.3075791418444
2016-01-03 12:00:00,20015.9484581749,11273.014832140405,1645.1253892255672
2016-01-03 13:00:00,19865.07045264181,11188.04009323296,1632.7246160073075
2016-01-03 14:00:00,20268.879226071214,11415.465853332724,1665.913953347424
2016-01-03 15:00:00,21277.800849277894,11983.692157803991,1748.8379567512243
2016-01-03 16:00:00,21997.372875666475,12388.956297208726,1807.980105946001
2016-01-03 17:00:00,21675.60651903888,12207.736960122294,1781.5338946264235
2016-01-03 18:00:00,21749.64479761612,12249.435439427007,1787.6191546937391
2016-01-03 19:00:00,21416.672647474137,12061.904981148511,1760.251931039649
2016-01-03 20:00:00,19891.08390187165,11202.690910285966,1634.8626803552834
2016-01-03 21:00:00,17058.019177286133,9607.104234620714,1402.0110262118876
2016-01-03 22:00:00,14029.653480021178,7901.523732465189,1153.107442809843
2016-01-03 23:00:00,12917.878680628808,7275.370351338184,1061.7298619071232
2016-01-04 00:00:00,13096.370963036657,7375.897496040361,1076.4002726640033
2016-01-04 01:00:00,13240.445451078864,7457.040482795479,1088.2418598220231
2016-01-04 02:00:00,13986.030926697287,7876.955439253223,1149.5220733647757
2016-01-04 03:00:00,15837.388098039653,8919.642819056508,1301.6864683453305
2016-01-04 04:00:00,21639.988103939555,12187.676610618943,1778.6063911345793
2016-01-04 05:00:00,25687.680804103133,14467.34374406694,2111.2892036796147
2016-01-04 06:00:00,23915.164394272746,13469.05960979354,1965.6047883383096
2016-01-04 07:00:00,22837.807389246016,12862.29038661359,1877.05603103445
2016-01-04 08:00:00,22020.98508342895,12402.25473114915,1809.92081050801
2016-01-04 09:00:00,21192.956984097487,11935.907954492643,1741.8645776470569
2016-01-04 10:00:00,20704.704552398893,11660.923388266961,1701.7347545004343
2016-01-04 11:00:00,20098.791288799166,11319.672049524597,1651.9343018414286
2016-01-04 12:00:00,19628.948375017077,11055.055753828736,1613.3175703872193
2016-01-04 13:00:00,19652.960789690776,11068.579584954587,1615.2911682468891
2016-01-04 14:00:00,20015.548251263666,11272.789434954972,1645.092495927906
2016-01-04 15:00:00,21001.65808053033,11828.168099856679,1726.1415813650194
2016-01-04 16:00:00,21738.439004101732,12243.124318234943,1786.6981423592265
