,AT_P2HT_OTH,AT_STUR_BIO_CHP,AT_COMC_GAS_CHP
2016-01-01 00:00:00,5264.852872178149,2581.5529401547815,142.87273387913544
2016-01-01 01:00:00,5362.803623288441,2629.581832064637,145.53083125363096
2016-01-01 02:00:00,5629.447334644232,2760.3271489303575,152.7667629953133
2016-01-01 03:00:00,6282.452342046174,3080.5197616627333,170.4874121586169
2016-01-01 04:00:00,8325.360368675163,4082.2334563567288,225.92597082575773
2016-01-01 05:00:00,10102.531635347528,4953.6465461471325,274.1532097639431
2016-01-01 06:00:00,9514.827128685782,4665.473194687995,258.2046255169698
2016-01-01 07:00:00,9262.694639716698,4541.843269216326,251.36248597891642
2016-01-01 08:00:00,8975.19104618001,4400.869577221656,243.56047794451752
2016-01-01 09:00:00,8601.073594022648,4217.425892843732,233.40802269470817
2016-01-01 10:00:00,8361.638424641937,4100.0219348418605,226.91045133483013
2016-01-01 11:00:00,8143.063137442121,3992.846351968941,220.97895626766882
2016-01-01 12:00:00,7982.532739789142,3914.132334672231,216.6226300150233
2016-01-01 13:00:00,7967.568041702849,3906.794587297115,216.21653180503097
2016-01-01 14:00:00,8039.217202237229,3941.926832305251,218.16088081044904
2016-01-01 15:00:00,8401.544286205388,4119.589261175505,227.9933798948098
2016-01-01 16:00:00,8611.503535113097,4222.540080408208,233.69106084106653
2016-01-01 17:00:00,8572.051149249228,4203.195110055626,232.62043828745018
2016-01-01 18:00:00,8499.948513015264,4167.840509066427,230.66378327566878
2016-01-01 19:00:00,8270.03633332583,4055.106026666902,224.42463804942224
2016-01-01 20:00:00,7581.2067456567,3717.3472914304593,205.73181438340967
2016-01-01 21:00:00,6419.8554790203325,3147.893623925171,174.21613208672872
2016-01-01 22:00:00,5424.476318431956,2659.8222454893616,147.2044481190541
2016-01-01 23:00:00,5094.3460091343095,2497.9470912746606,138.24567548649503
2016-01-02 00:00:00,5178.692489257059,2539.3053037525924,140.53459267008844
2016-01-02 01:00:00,5233.109573207221,2565.988021480291,142.01131343369707
2016-01-02 02:00:00,5516.985361147232,2705.1828656264483,149.71487341718878
2016-01-02 03:00:00,6199.466289022177,3039.8286171279938,168.23541299411372
2016-01-02 04:00:00,8280.466274416278,4060.2202142313777,224.7076761957806
2016-01-02 05:00:00,9468.572607328144,4642.792884619451,256.9494128679025
2016-01-02 06:00:00,8884.495906263073,4356.398381008826,241.09927667183644
2016-01-02 07:00:00,8728.046789906359,4279.685567541695,236.85370447646164
2016-01-02 08:00:00,8435.55496367424,4136.265959755318,228.91633037206526
2016-01-02 09:00:00,8134.900574849596,3988.8439443097864,220.75744815312754
2016-01-02 10:00:00,7953.056819316138,3899.679195903061,215.82273960140193
2016-01-02 11:00:00,7723.144639626706,3786.944713503538,209.5835943751555
2016-01-02 12:00:00,7614.310471726381,3733.5792780481415,206.63015284793823
2016-01-02 13:00:00,7662.832371581943,3757.3713680220053,207.94689552882258
2016-01-02 14:00:00,7823.36276923492,3836.085385318715,212.3032217814681
2016-01-02 15:00:00,8158.027835528415,4000.1840993440574,221.38505447766116
2016-01-02 16:00:00,8388.846966617017,4113.36329370571,227.64881171663447
2016-01-02 17:00:00,8348.941105053565,4093.7959673720643,226.5658831566548
2016-01-02 18:00:00,8265.95505202957,4053.1048228373256,224.31388399215166
2016-01-02 19:00:00,8048.286716228922,3946.3739519265337,218.40700093771713
2016-01-02 20:00:00,7435.641046090019,3645.971021508867,201.78158634075658
2016-01-02 21:00:00,6236.651296388121,3058.0618075752545,169.24450551591298
2016-01-02 22:00:00,5275.736288968181,2586.8894837003204,143.16807803185716
2016-01-02 23:00:00,5257.143785285209,2577.7728884766902,142.66353177095755
2016-01-03 00:00:00,5343.757643905883,2620.242880859943,145.01397898636796
2016-01-03 01:00:00,5453.498763205376,2674.0530282774675,147.99203252631204
2016-01-03 02:00:00,5773.199131412576,2830.813994927693,156.66776701251277
2016-01-03 03:00:00,6394.4608398435885,3135.4416889855784,173.526995730378
2016-01-03 04:00:00,8303.140059395513,4071.338013284586,225.3229765139509
2016-01-03 05:00:00,10125.205420326762,4964.76434520034,274.7685100821133
2016-01-03 06:00:00,9661.299779651632,4737.294176571715,262.1794655723497
2016-01-03 07:00:00,9509.385420290766,4662.804922915224,258.05695344060894
2016-01-03 08:00:00,9192.405906281074,4507.378092151384,249.45505499258869
2016-01-03 09:00:00,8806.498085934509,4318.153152265792,238.98264357733078
2016-01-03 10:00:00,8454.600943056797,4145.604910960013,229.43318263932827
2016-01-03 11:00:00,8245.095169848675,4042.8764477083755,223.74780769943504
2016-01-03 12:00:00,8118.121973964963,3980.616773010412,220.30212591768148
2016-01-03 13:00:00,8114.94764406787,3979.060281142963,220.21598387313767
2016-01-03 14:00:00,8220.6074820711,4030.869224730911,223.08328335581115
