,AT_P2HT_OTH,AT_STUR_BIO_CHP,AT_COMC_GAS_CHP,AT_COMC_CCS_GAS_CHP
2016-09-22 17:00:00,2327.237290268584,1141.1308948212175,44.557857102534236,18.59656755446173
2016-09-22 18:00:00,2307.284359486858,1131.347231654395,44.175833386144625,18.43712699086151
2016-09-22 19:00:00,2116.371089961707,1037.7353636263877,40.52056100887125,16.911570689141247
2016-09-22 20:00:00,1593.51360834057,781.358917459423,30.509803168025197,12.733503192981006
2016-09-22 21:00:00,1096.5042415957591,537.6567622131146,20.9939396870475,8.761983699666496
2016-09-22 22:00:00,796.756804170285,390.6794587297115,15.254901584012599,6.366751596490503
2016-09-22 23:00:00,850.2669367212773,416.91746449528114,16.27941973251202,6.794342198872903
2016-09-23 00:00:00,860.6968778117248,422.0316520597566,16.479113947897503,6.877686129845745
2016-09-23 01:00:00,993.5652577900365,487.1819545115526,19.023044604764713,7.939415337456285
2016-09-23 02:00:00,1367.6827099473985,670.6256388894764,26.185989287070004,10.928925904960362
2016-09-23 03:00:00,2120.905846957554,1039.9589234370292,40.60738458077798,16.94780718086857
2016-09-23 04:00:00,2689.1108985371593,1318.5709677104094,51.48637814069136,21.488239594302037
2016-09-23 05:00:00,2621.089543599457,1285.2175705507868,50.18402456209039,20.944692218392206
2016-09-23 06:00:00,2363.5153462353583,1158.9193733063496,45.25244567778809,18.88645948828031
2016-09-23 07:00:00,2198.4501915865344,1077.9817961989988,42.09206766038308,17.56745118940578
2016-09-23 08:00:00,2007.5369220613838,984.3699281709919,38.43679528310972,16.04189488768552
2016-09-23 09:00:00,1866.052503790963,914.9948620789771,35.72789983961972,14.911316345793066
2016-09-23 10:00:00,1803.4728572482773,884.3097366921244,34.52973454730683,14.411252759956021
2016-09-23 11:00:00,1709.6033874342481,838.2820486118453,32.7324866088375,13.66115738120045
2016-09-23 12:00:00,1678.313564162905,822.939485918419,32.13340396268106,13.411125588281928
2016-09-23 13:00:00,1672.871855767889,820.2712141456492,32.02921567639299,13.367641798209142
2016-09-23 14:00:00,1754.044005993547,860.0729347561322,33.58335761352347,14.01627500012821
2016-09-23 15:00:00,1848.3669515071606,906.3229788174751,35.389287909183466,14.769994028056509
2016-09-23 16:00:00,1940.422518522851,951.4612429734977,37.151806418890104,15.505594810121151
2016-09-23 17:00:00,2048.8032107235895,1004.6043224478294,39.22688978746096,16.371646962404146
2016-09-23 18:00:00,2029.3037556414483,995.043015262071,38.85354842826202,16.215830047976663
2016-09-23 19:00:00,1864.6920766922092,914.3277941357846,35.701852768047694,14.90044539827487
2016-09-23 20:00:00,1405.7746687125118,689.3035412988648,26.915307291086542,11.233312435469868
2016-09-23 21:00:00,957.7406775228467,469.61583200748476,18.337138386701543,7.65314705281044
2016-09-23 22:00:00,756.850942606833,371.1121323960663,14.490854151233366,6.047870469290067
2016-09-23 23:00:00,769.5482621952041,377.3380998658625,14.733960152572212,6.149332646126569
2016-09-24 00:00:00,810.81455085741,397.5724941427001,15.524054656923465,6.479084720845202
2016-09-24 01:00:00,916.4743888606407,449.38143773064706,17.54704388235029,7.323394978091807
2016-09-24 02:00:00,1296.4870251126035,635.7157498624047,24.82285920813433,10.360012984841402
2016-09-24 03:00:00,2071.9304714024083,1015.9444774821011,39.66969000418529,16.55645307021349
2016-09-24 04:00:00,2539.0104419746303,1244.9711379781754,48.61251791057856,20.288811718127672
2016-09-24 05:00:00,2462.8265244444037,1207.6153331593985,47.153881902545486,19.68003865710866
2016-09-24 06:00:00,2225.658733561615,1091.323155062848,42.613009091823464,17.784870139769712
2016-09-24 07:00:00,2074.1978499003317,1017.056257387422,39.71310179013866,16.574571316077154
2016-09-24 08:00:00,1882.3776289760117,922.9996773972864,36.040464698483945,15.041767716011426
2016-09-24 09:00:00,1785.7873049644745,875.6378534306226,34.19112261687059,14.269930442219465
2016-09-24 10:00:00,1707.7894846359095,837.3926246875888,32.69775718007481,13.646662784509523
2016-09-24 11:00:00,1583.5371429497068,776.4670858760117,30.318791309830388,12.653782911180896
2016-09-24 12:00:00,1522.3179235057748,746.4490284323515,29.14667308908953,12.16459027286205
2016-09-24 13:00:00,1525.4922534028678,748.0055202998005,29.207449589424236,12.189955817071173
2016-09-24 14:00:00,1608.478306426864,788.6966648345399,30.796320955317405,12.853083615681168
2016-09-24 15:00:00,1731.8236967138976,849.1774916839887,33.15792211118048,13.83871619066433
2016-09-24 16:00:00,1832.4953020216967,898.5405194802299,35.0854054075099,14.643166307010882
2016-09-24 17:00:00,1939.5155671236816,951.0165310113692,37.13444170450875,15.498347511775684
2016-09-24 18:00:00,1924.0973933378023,943.4564276551882,36.83924156002587,15.37514343990279
2016-09-24 19:00:00,1775.3573638740272,870.5236658661471,33.9914284014851,14.186586511246624
2016-09-24 20:00:00,1346.8228277665032,660.3972637605253,25.78660085629904,10.762238043014678
2016-09-24 21:00:00,922.8230486548263,452.49442146554514,17.668596883019713,7.374126066510058
2016-09-24 22:00:00,717.8520324425504,351.9895180245494,13.744171432835483,5.736236640435097
2016-09-24 23:00:00,758.6648454051717,372.00155632032295,14.525583579996061,6.062365065980997
2016-09-25 00:00:00,777.7108247877283,381.34050752501713,14.890242582004328,6.214558331235749
2016-09-25 01:00:00,915.1139617618867,448.71436978745464,17.52099681077827,7.312524030573611
2016-09-25 02:00:00,1345.0089249681644,659.5078398362688,25.75187142753635,10.747743446323751
2016-09-25 03:00:00,2138.137923541772,1048.408450717467,40.93731415402356,17.085505849432394
2016-09-25 04:00:00,2397.52602370421,1175.5960718861606,45.90362246708856,19.15823317623522
2016-09-25 05:00:00,2344.4693668528016,1149.5804221016554,44.887786675779815,18.734266223025553
2016-09-25 06:00:00,2078.7326068961784,1019.2798171980635,39.79992536204539,16.610807807804477
2016-09-25 07:00:00,1903.6909868564917,933.4504085073015,36.44853548644558,15.21207922712984
2016-09-25 08:00:00,1757.2183358906398,861.6294266235811,33.64413411385818,14.041640544337335
