,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
DK_STUR_BIO,98.5,DK_STUR_BIO,DK,STUR,BIO,0.35,4,6,0.02,0.02,65,,0,0.5,0.35,,0.0,,,,,,,2.0
DK_COMC_GAS,126.282392793,DK_COMC_GAS,DK,COMC,GAS,0.57,2,4,0.03,0.03,55,0.0,0,0.36,0.57,1.0,0.42,,,,,,,1.0
DK_GTUR_GAS,59.072097073,DK_GTUR_GAS,DK,GTUR,GAS,0.425,0,0,0.166666666667,0.166666666667,0,0.0,0,0.2,0.425,0.166666666667,0.564705882353,,,,,,,10.0
DK_STUR_GAS,117.051223729,DK_STUR_GAS,DK,STUR,GAS,0.38,0,0,0.02,0.02,0,0.0,0,0.4,0.38,0.0,0.0,,,,,,,19.0
DK_STUR_HRD,692.428571429,DK_STUR_HRD,DK,STUR,HRD,0.46,8,8,0.0177777777778,0.0177777777778,65,0.0,0,0.3,0.46,2.0,0.81,,,,,,,7.0
DK_STUR_OIL,350.333333333,DK_STUR_OIL,DK,STUR,OIL,0.33,4,4,0.02,0.02,65,0.0,0,0.4,0.33,0.0,0.799636363636,,,,,,,3.0
DK_PHOT_SUN,601.0,DK_PHOT_SUN,DK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
DK_WTOF_WIN,1271.0,DK_WTOF_WIN,DK,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
DK_WTON_WIN,3574.0,DK_WTON_WIN,DK,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
