,PT_P2HT_OTH,PT_STUR_BIO_CHP,PT_COMC_GAS_CHP
2016-01-01 00:00:00,707.2142346534059,7717.919056950889,821.9633041820159
2016-01-01 01:00:00,740.2767017238618,8078.733972954296,860.3903229636154
2016-01-01 02:00:00,767.2911565253316,8373.546160420492,891.7880090412636
2016-01-01 03:00:00,866.881758554631,9460.391090333189,1007.5376875663251
2016-01-01 04:00:00,1090.2550116891732,11898.091864307415,1267.1543754322527
2016-01-01 05:00:00,1496.2782353470864,16329.075040105332,1739.0569109575035
2016-01-01 06:00:00,1866.8197870269496,20372.842208484963,2169.7206946195747
2016-01-01 07:00:00,1854.3205616710459,20236.436569508063,2155.1934070314087
2016-01-01 08:00:00,1774.8900005383655,19369.60073471939,2062.8748375195178
2016-01-01 09:00:00,1640.6241281668806,17904.34016119337,1906.8236514918033
2016-01-01 10:00:00,1499.5038418905456,16364.276495325179,1742.805888399611
2016-01-01 11:00:00,1410.7996619454207,15396.236476779455,1639.7090087416614
2016-01-01 12:00:00,1350.7227400734948,14740.609373309853,1569.8843038824136
2016-01-01 13:00:00,1322.4986828182277,14432.596640136213,1537.0807512639751
2016-01-01 14:00:00,1313.2250640057832,14331.392456379162,1526.302441117917
2016-01-01 15:00:00,1314.8378672775125,14348.993183989081,1528.1769298389702
2016-01-01 16:00:00,1374.9147891494383,15004.620287458687,1598.0016346982181
2016-01-01 17:00:00,1436.6045142930932,15677.848118538212,1669.7008282785193
2016-01-01 18:00:00,1461.602965004901,15950.659396492005,1698.7554034548507
2016-01-01 19:00:00,1497.0846369829515,16337.875403910293,1739.9941553180304
2016-01-01 20:00:00,1471.2797846352785,16056.263762151537,1710.0023357811722
2016-01-01 21:00:00,1357.5771539783457,14815.41246565202,1577.8508809468913
2016-01-01 22:00:00,1033.0004955427742,11273.266034155176,1200.6100258348488
2016-01-01 23:00:00,778.9839802453707,8501.151435592428,905.3780522689024
2016-01-02 00:00:00,772.5327671584525,8430.74852515274,897.8800973846878
2016-01-02 01:00:00,811.2400456799618,8853.165987790873,942.8678266899751
2016-01-02 02:00:00,840.2705045710936,9169.979084769473,976.6086236689403
2016-01-02 03:00:00,949.1347254128381,10358.028198439222,1103.13661234006
2016-01-02 04:00:00,1191.8616178081347,13006.937703732516,1385.2471648586313
2016-01-02 05:00:00,1633.366513444098,17825.13688694872,1898.3884522470619
2016-01-02 06:00:00,2033.3417248330254,22190.117334209433,2363.261655068362
2016-01-02 07:00:00,2021.245700295054,22058.111877135012,2349.2029896604595
2016-01-02 08:00:00,1932.1383195319966,21085.671676686812,2245.637487822247
2016-01-02 09:00:00,1784.1636193508102,19470.804918476446,2073.6531476655764
2016-01-02 10:00:00,1632.9633126261656,17820.73670504624,1897.9198300667986
2016-01-02 11:00:00,1534.5823130506633,16747.092320840984,1783.5760180825273
2016-01-02 12:00:00,1470.0701821814814,16043.063216444096,1708.596469240382
