,PHOT,WTOF,WTON,HE Glava Zete,HE Slap Zete,HE Muskovica Rijeka,HE Savnik,HE Lijeva Rijeka,HE Podgor,HE Rijeka Crnojevica,HROR
2015-01-03 12:00:00+00:00,0,0,0,0.750219582,0.748720398,1,1,1,1,1,0.8093715
2015-01-03 13:00:00+00:00,0,0,0,0.743627041,0.742141031,1,1,1,1,1,0.8043475
2015-01-03 14:00:00+00:00,0,0,0,0.737034501,0.735561664,1,1,1,1,1,0.7993235
2015-01-03 15:00:00+00:00,0,0,0,0.73044196,0.728982297,1,1,1,1,1,0.7942996
2015-01-03 16:00:00+00:00,0,0,0,0.723849419,0.722402931,1,1,1,1,1,0.7892756
2015-01-03 17:00:00+00:00,0,0,0,0.717256878,0.715823564,1,1,1,1,1,0.7842516
2015-01-03 18:00:00+00:00,0,0,0,0.710664338,0.709244197,1,1,1,1,1,0.7792276
2015-01-03 19:00:00+00:00,0,0,0,0.704071797,0.702664831,1,1,1,1,1,0.7742037
2015-01-03 20:00:00+00:00,0,0,0,0.697479256,0.696085464,1,1,1,1,1,0.7691797
2015-01-03 21:00:00+00:00,0,0,0,0.690886715,0.689506097,1,1,1,1,1,0.7641557
2015-01-03 22:00:00+00:00,0,0,0,0.684294175,0.682926731,1,1,1,1,1,0.7591318
2015-01-03 23:00:00+00:00,0,0,0,0.677701634,0.676347364,1,1,1,1,1,0.7541078
2015-01-04 00:00:00+00:00,0,0,0,0.671109093,0.669767997,1,1,1,1,1,0.7490838
2015-01-04 01:00:00+00:00,0,0,0,0.670073954,0.668734927,1,1,1,1,1,0.748295
2015-01-04 02:00:00+00:00,0,0,0,0.669038814,0.667701856,1,1,1,1,1,0.7475061
2015-01-04 03:00:00+00:00,0,0,0,0.668003675,0.666668785,1,1,1,1,1,0.7467173
2015-01-04 04:00:00+00:00,0,0,0,0.666968536,0.665635714,1,1,1,1,1,0.7459284
2015-01-04 05:00:00+00:00,0,0,0,0.665933397,0.664602643,1,1,1,1,1,0.7451396
2015-01-04 06:00:00+00:00,0,0,0,0.664898257,0.663569573,1,1,1,1,1,0.7443507
2015-01-04 07:00:00+00:00,0,0,0,0.663863118,0.662536502,1,1,1,1,1,0.7435619
2015-01-04 08:00:00+00:00,0,0,0,0.662827979,0.661503431,1,1,1,1,1,0.742773
2015-01-04 09:00:00+00:00,0,0,0,0.661792839,0.66047036,1,1,1,1,1,0.7419842
2015-01-04 10:00:00+00:00,0,0,0,0.6607577,0.65943729,1,1,1,1,1,0.7411954
2015-01-04 11:00:00+00:00,0,0,0,0.659722561,0.658404219,1,1,1,1,1,0.7404065
2015-01-04 12:00:00+00:00,0,0,0,0.658687421,0.657371148,1,1,1,1,1,0.7396177
2015-01-04 13:00:00+00:00,0,0,0,0.657652282,0.656338077,1,1,1,1,1,0.7388288
2015-01-04 14:00:00+00:00,0,0,0,0.656617143,0.655305006,1,1,1,1,1,0.73804
2015-01-04 15:00:00+00:00,0,0,0,0.655582003,0.654271936,1,1,1,1,1,0.7372511
2015-01-04 16:00:00+00:00,0,0,0,0.654546864,0.653238865,1,1,1,1,1,0.7364623
2015-01-04 17:00:00+00:00,0,0,0,0.653511725,0.652205794,1,1,1,1,1,0.7356734
2015-01-04 18:00:00+00:00,0,0,0,0.652476585,0.651172723,1,1,1,1,1,0.7348846
2015-01-04 19:00:00+00:00,0,0,0,0.651441446,0.650139653,1,1,1,1,1,0.7340957
2015-01-04 20:00:00+00:00,0,0,0,0.650406307,0.649106582,1,1,1,1,1,0.7333069
2015-01-04 21:00:00+00:00,0,0,0,0.649371167,0.648073511,1,1,1,1,1,0.732518
2015-01-04 22:00:00+00:00,0,0,0,0.648336028,0.64704044,1,1,1,1,1,0.7317292
2015-01-04 23:00:00+00:00,0,0,0,0.647300889,0.646007369,1,1,1,1,1,0.7309403
2015-01-05 00:00:00+00:00,0,0,0,0.646265749,0.644974299,1,1,1,1,1,0.7301515
2015-01-05 01:00:00+00:00,0,0,0,0.644621296,0.643333131,1,1,1,1,1,0.7288983
2015-01-05 02:00:00+00:00,0,0,0,0.642976842,0.641691964,1,1,1,1,1,0.7276451
2015-01-05 03:00:00+00:00,0,0,0,0.641332389,0.640050796,1,1,1,1,1,0.7263919
2015-01-05 04:00:00+00:00,0,0,0,0.639687935,0.638409629,1,1,1,1,1,0.7251387
2015-01-05 05:00:00+00:00,0,0,0,0.638043481,0.636768462,1,1,1,1,1,0.7238856
2015-01-05 06:00:00+00:00,0,0,0,0.636399028,0.635127294,1,1,1,1,1,0.7226324
2015-01-05 07:00:00+00:00,0,0,0,0.634754574,0.633486127,1,1,1,1,1,0.7213792
2015-01-05 08:00:00+00:00,0,0,0,0.633110121,0.631844959,1,1,1,1,1,0.720126
2015-01-05 09:00:00+00:00,0,0,0,0.631465667,0.630203792,1,1,1,1,1,0.7188728
2015-01-05 10:00:00+00:00,0,0,0,0.629821214,0.628562624,1,1,1,1,1,0.7176196
2015-01-05 11:00:00+00:00,0,0,0,0.62817676,0.626921457,1,1,1,1,1,0.7163664
2015-01-05 12:00:00+00:00,0,0,0,0.626532306,0.62528029,1,1,1,1,1,0.7151132
2015-01-05 13:00:00+00:00,0,0,0,0.624887853,0.623639122,1,1,1,1,1,0.7138601
2015-01-05 14:00:00+00:00,0,0,0,0.623243399,0.621997955,1,1,1,1,1,0.7126069
2015-01-05 15:00:00+00:00,0,0,0,0.621598946,0.620356787,1,1,1,1,1,0.7113537
2015-01-05 16:00:00+00:00,0,0,0,0.619954492,0.61871562,1,1,1,1,1,0.7101005
2015-01-05 17:00:00+00:00,0,0,0,0.618310038,0.617074452,1,1,1,1,1,0.7088473
2015-01-05 18:00:00+00:00,0,0,0,0.616665585,0.615433285,1,1,1,1,1,0.7075941
2015-01-05 19:00:00+00:00,0,0,0,0.615021131,0.613792118,1,1,1,1,1,0.7063409
2015-01-05 20:00:00+00:00,0,0,0,0.613376678,0.61215095,1,1,1,1,1,0.7050878
2015-01-05 21:00:00+00:00,0,0,0,0.611732224,0.610509783,1,1,1,1,1,0.7038346
2015-01-05 22:00:00+00:00,0,0,0,0.61008777,0.608868615,1,1,1,1,1,0.7025814
2015-01-05 23:00:00+00:00,0,0,0,0.608443317,0.607227448,1,1,1,1,1,0.7013282
2015-01-06 00:00:00+00:00,0,0,0,0.606798863,0.60558628,1,1,1,1,1,0.700075
2015-01-06 01:00:00+00:00,0,0,0,0.604343107,0.603135431,1,1,1,1,1,0.6982036
2015-01-06 02:00:00+00:00,0,0,0,0.60188735,0.600684582,1,1,1,1,1,0.6963321
2015-01-06 03:00:00+00:00,0,0,0,0.599431594,0.598233733,1,1,1,1,1,0.6944606
2015-01-06 04:00:00+00:00,0,0,0,0.596975837,0.595782884,1,1,1,1,1,0.6925892
2015-01-06 05:00:00+00:00,0,0,0,0.594520081,0.593332035,1,1,1,1,1,0.6907177
2015-01-06 06:00:00+00:00,0,0,0,0.592064324,0.590881185,1,1,1,1,1,0.6888463
2015-01-06 07:00:00+00:00,0,0,0,0.589608567,0.588430336,1,1,1,1,1,0.6869748
2015-01-06 08:00:00+00:00,0,0,0,0.587152811,0.585979487,1,1,1,1,1,0.6851034
2015-01-06 09:00:00+00:00,0,0,0,0.584697054,0.583528638,1,1,1,1,1,0.6832319
2015-01-06 10:00:00+00:00,0,0,0,0.582241298,0.581077789,1,1,1,1,1,0.6813605
2015-01-06 11:00:00+00:00,0,0,0,0.579785541,0.57862694,1,1,1,1,1,0.679489
2015-01-06 12:00:00+00:00,0,0,0,0.577329785,0.576176091,1,1,1,1,1,0.6776175
2015-01-06 13:00:00+00:00,0,0,0,0.574874028,0.573725241,1,1,1,1,1,0.6757461
2015-01-06 14:00:00+00:00,0,0,0,0.572418271,0.571274392,1,1,1,1,1,0.6738746
2015-01-06 15:00:00+00:00,0,0,0,0.569962515,0.568823543,1,1,1,1,1,0.6720032
2015-01-06 16:00:00+00:00,0,0,0,0.567506758,0.566372694,1,1,1,1,1,0.6701317
2015-01-06 17:00:00+00:00,0,0,0,0.565051002,0.563921845,1,1,1,1,1,0.6682603
2015-01-06 18:00:00+00:00,0,0,0,0.562595245,0.561470996,1,1,1,1,1,0.6663888
2015-01-06 19:00:00+00:00,0,0,0,0.560139489,0.559020146,1,1,1,1,1,0.6645174
2015-01-06 20:00:00+00:00,0,0,0,0.557683732,0.556569297,1,1,1,1,1,0.6626459
2015-01-06 21:00:00+00:00,0,0,0,0.555227976,0.554118448,1,1,1,1,1,0.6607744
2015-01-06 22:00:00+00:00,0,0,0,0.552772219,0.551667599,1,1,1,1,1,0.658903
2015-01-06 23:00:00+00:00,0,0,0,0.550316462,0.54921675,1,1,1,1,1,0.6570315
2015-01-07 00:00:00+00:00,0,0,0,0.547860706,0.546765901,1,1,1,1,1,0.6551601
2015-01-07 01:00:00+00:00,0,0,0,0.553671873,0.552565455,1,1,1,1,1,0.6595886
2015-01-07 02:00:00+00:00,0,0,0,0.55948304,0.55836501,1,1,1,1,1,0.6640171
2015-01-07 03:00:00+00:00,0,0,0,0.565294207,0.564164564,1,1,1,1,1,0.6684456
2015-01-07 04:00:00+00:00,0,0,0,0.571105374,0.569964119,1,1,1,1,1,0.6728741
