,DK_P2HT_OTH,DK_STUR_BIO_CHP,DK_STUR_HRD_CHP,DK_COMC_GAS_CHP
2016-01-01 00:00:00,1307.4763542264686,4058.6330556212056,96.25216732698512,262.1605083774463
2016-01-01 01:00:00,1349.7900547986535,4189.982110839516,99.3671646839411,270.6447774944185
2016-01-01 02:00:00,1436.9664740497815,4460.592814963988,105.78480984104317,288.1244162775781
2016-01-01 03:00:00,1658.0513111759365,5146.878440823512,122.0603582803995,332.45387057950916
2016-01-01 04:00:00,2263.6980133416673,7026.910701056679,166.6461035823718,453.89136107303904
2016-01-01 05:00:00,2688.194495387121,8344.621303206637,197.89615738829968,539.0066392023425
2016-01-01 06:00:00,2557.514833780654,7938.969000142859,188.2759446674196,512.804217712577
2016-01-01 07:00:00,2489.3710830599866,7727.438995554333,183.25942281947033,499.1407963635574
2016-01-01 08:00:00,2399.8155802425517,7449.443203987871,176.66663724872421,481.18413040113046
2016-01-01 09:00:00,2295.305837865468,7125.02686278602,168.97296907792932,460.2290078833075
2016-01-01 10:00:00,2229.8810397920097,6921.936958131202,164.15660770271626,447.11076045345084
2016-01-01 11:00:00,2162.2470926926935,6711.989472280246,159.17761594340507,433.5495592142743
2016-01-01 12:00:00,2126.0510355767283,6599.630641912777,156.5129796501054,426.2919314154186
2016-01-01 13:00:00,2129.4497263857393,6610.18076682991,156.76318024102554,426.9733988143722
2016-01-01 14:00:00,2158.5085328027817,6700.3843348714,158.90239529339289,432.7999450754254
2016-01-01 15:00:00,2261.1489952349093,7018.998107368828,166.4584531391817,453.38026052382384
2016-01-01 16:00:00,2336.260062114049,7252.1558680374765,171.98788619851723,468.44069004069826
2016-01-01 17:00:00,2348.495349026488,7290.136317739155,172.88860832582978,470.8939726769311
2016-01-01 18:00:00,2322.3254297971043,7208.900355877228,170.96206377574453,465.6466737049884
2016-01-01 19:00:00,2246.0248211348107,6972.050051487585,165.345060509587,450.3477305984804
2016-01-01 20:00:00,2048.9007542121826,6360.142806293849,150.83342623621778,410.82262145917207
2016-01-01 21:00:00,1651.2539295579147,5125.778190989246,121.55995709855918,331.09093578160196
2016-01-01 22:00:00,1362.7050798728947,4230.072585524623,100.3179269294377,273.23435361044216
2016-01-01 23:00:00,1381.5678138629048,4288.625778814714,101.70654020904459,277.0164976746346
2016-01-02 00:00:00,1417.4240018979694,4399.929596690471,104.34615644325227,284.20597873359503
2016-01-02 01:00:00,1432.378241457617,4446.350146325857,105.44703904330096,287.2044352889908
2016-01-02 02:00:00,1532.469685782986,4757.051325135435,112.81544644589964,307.27365018817403
2016-01-02 03:00:00,1780.0643112194252,5525.6279253486,131.04255949443322,356.9185502019431
2016-01-02 04:00:00,2402.0247292684085,7456.300785184007,176.8292676328223,481.6270842104502
2016-01-02 05:00:00,2698.9003714355053,8377.854196695607,198.6842892496982,541.1532615090464
2016-01-02 06:00:00,2547.8285649749732,7908.901144129027,187.56287298329707,510.86203562555914
2016-01-02 07:00:00,2510.782835156755,7793.904782532273,184.83568654226735,503.43404097696504
2016-01-02 08:00:00,2426.325368552836,7531.7341783415095,178.61820185790143,486.4995761129684
2016-01-02 09:00:00,2334.3907821690927,7246.353299333053,171.85027587351112,468.06588297127377
2016-01-02 10:00:00,2272.7045439855465,7054.868532087083,167.30913514831025,455.6972496802661
2016-01-02 11:00:00,2213.057520287406,6869.713839791391,162.91811477766146,443.7374968286305
2016-01-02 12:00:00,2187.0575355984734,6789.0053841753215,161.00408025712224,438.5242712266356
2016-01-02 13:00:00,2217.3058837986696,6882.901495937808,163.23086551631167,444.5893310773226
2016-01-02 14:00:00,2259.2797152899534,7013.195538664405,166.3208428141756,453.00545345439934
2016-01-02 15:00:00,2348.495349026488,7290.136317739155,172.88860832582978,470.8939726769311
2016-01-02 16:00:00,2425.135826769682,7528.041634620513,178.53063165107935,486.2610625233346
2016-01-02 17:00:00,2432.1031429281543,7549.669390700637,179.0435428624657,487.6580706911895
2016-01-02 18:00:00,2402.874401970661,7458.93831641329,176.89181778055234,481.7974510601886
2016-01-02 19:00:00,2332.5215022241373,7240.55073062863,171.71266554850504,467.69107590184933
2016-01-02 20:00:00,2129.9595300070914,6611.763285567481,156.80071032966356,427.0756189242153
2016-01-02 21:00:00,1736.5610688640868,5390.586326409293,127.83999193065519,348.1957674953371
2016-01-02 22:00:00,1452.770386311682,4509.650895828658,106.94824258882191,291.29323968271234
2016-01-02 23:00:00,1542.1559545886669,4787.1191811492645,113.52851813002208,309.21583227519176
2016-01-03 00:00:00,1580.2212916495885,4905.280580221159,116.33076474832787,316.84826714347196
2016-01-03 01:00:00,1617.7768250891581,5021.859460555483,119.09548127799565,324.3784819019092
2016-01-03 02:00:00,1719.7375493594832,5338.363208069483,126.6014990056004,344.82250387051687
2016-01-03 03:00:00,1941.50212464744,6026.758858912436,142.92708756314076,389.28825165223867
2016-01-03 04:00:00,2537.122688926589,7875.6682506400575,186.7747411218986,508.7154133188554
2016-01-03 05:00:00,3008.5211041363923,9338.970576646456,221.47756308252463,603.2349415537184
2016-01-03 06:00:00,2893.985223872727,8983.431366939061,213.04580316851528,580.2694902089823
2016-01-03 07:00:00,2869.6845845882995,8907.997973781557,211.25686894343613,575.3969983064642
2016-01-03 08:00:00,2786.9264633888856,8651.10243204936,205.1644845545303,558.8032671419444
2016-01-03 09:00:00,2672.900386746572,8297.145741079536,196.77025472915898,535.9400359070514
2016-01-03 10:00:00,2560.233786427863,7947.409100076566,188.4761051401557,513.3493916317399
2016-01-03 11:00:00,2508.573686130898,7787.047201336138,184.67305615816926,502.9910871676453
2016-01-03 12:00:00,2472.8874326362848,7676.2708897062375,182.0459499535076,495.8356794786326
2016-01-03 13:00:00,2487.3318685745808,7721.108920604054,183.1093024649183,498.73191592418533
2016-01-03 14:00:00,2506.534471645492,7780.717126385857,184.52293580361717,502.5822067282731
2016-01-03 15:00:00,2604.0768978641026,8083.505711507585,191.70369276302574,522.1403210782412
2016-01-03 16:00:00,2667.6324159926053,8280.793047457979,196.38244381323273,534.8837614386733
2016-01-03 17:00:00,2673.7500594488242,8299.78327230882,196.83280487688899,536.1104027567898
2016-01-03 18:00:00,2634.1553115238485,8176.874317024216,193.91796799266916,528.1713075589805
2016-01-03 19:00:00,2521.318776664689,7826.610169775388,185.6113083741199,505.5465899137213
2016-01-03 20:00:00,2296.495379648622,7128.719406507014,169.06053928475134,460.46752147294114
2016-01-03 21:00:00,1904.2864602887714,5911.234991069825,140.187391092565,381.8261836336968
2016-01-03 22:00:00,1603.5023236913125,4977.548935903522,118.04463879613094,321.51631882630403
2016-01-03 23:00:00,1466.0252804668244,4550.796383005478,107.92402489341053,293.9509625386313
2016-01-04 00:00:00,1503.5808139063938,4667.375263339801,110.68874142307828,301.4811772970685
2016-01-04 01:00:00,1539.4370019414582,4778.679081215557,113.32835765728595,308.6706583560288
2016-01-04 02:00:00,1639.3585117263767,5088.852753779279,120.68425503033862,328.7057998852644
2016-01-04 03:00:00,1847.6982583187412,5735.575411199555,136.02155125374438,370.47975144111956
2016-01-04 04:00:00,2429.8939939022976,7542.811809504499,178.88091247836758,487.21511688186956
