,HU_P2HT_OTH,HU_STUR_BIO_CHP,HU_STUR_OIL_CHP,HU_COMC_GAS_CHP
2016-01-07 18:00:00,4725.723778387244,2428.054739491771,29.842013557999415,1121.8598111253657
2016-01-07 19:00:00,4592.473739978026,2359.5914939722925,29.000565847704152,1090.2270137101032
2016-01-07 20:00:00,4262.698505255772,2190.1545232173835,26.91810028535331,1011.9402580957942
2016-01-07 21:00:00,3739.7479355212727,1921.464970270828,23.615770584334197,887.7947822062862
2016-01-07 22:00:00,3175.85461655489,1631.7392245668914,20.05489549747017,753.9297316919768
2016-01-07 23:00:00,3036.6492691664894,1560.216169191794,19.175841185597466,720.8831779676523
2016-01-08 00:00:00,3040.9296474952766,1562.4154075255203,19.202870930481254,721.8993153147906
2016-01-08 01:00:00,3086.338878461547,1585.7464576746163,19.489621267509246,732.6792071713884
2016-01-08 02:00:00,3251.226495822674,1670.464943052071,20.53085404868467,771.822584978543
2016-01-08 03:00:00,3471.386824646843,1783.5822886519911,21.921123100750723,824.0873885291793
2016-01-08 04:00:00,4456.432150484817,2289.693962582993,28.141490042919465,1057.9315180249678
2016-01-08 05:00:00,5716.724413204402,2937.2262232783924,36.0999871017456,1357.1176969302162
2016-01-08 06:00:00,5353.078358663044,2750.386583969649,33.80363399292306,1270.7902023081174
2016-01-08 07:00:00,5248.116037904945,2696.457435264362,33.140817640120645,1245.8727473608992
2016-01-08 08:00:00,4983.849201953704,2560.678372921263,31.472024695121664,1183.1373111462724
2016-01-08 09:00:00,4778.949352388691,2455.401790076367,30.178122559597803,1134.4952581376074
2016-01-08 10:00:00,4608.664736265179,2367.910352017257,29.10280879574282,1094.0706636753655
2016-01-08 11:00:00,4455.501633456819,2289.2158672930527,28.13561401142299,1057.710618601677
2016-01-08 12:00:00,4385.52675295142,2253.263101489528,27.69373644288805,1041.098981970198
2016-01-08 13:00:00,4382.549098461828,2251.733196561718,27.674933142099327,1040.3921038156673
2016-01-08 14:00:00,4518.590687955038,2321.630727951018,28.534008946884015,1072.6875995008027
2016-01-08 15:00:00,4692.7834755961385,2411.130166227878,29.634002043024193,1114.0399715408666
2016-01-08 16:00:00,4809.470310907003,2471.0833155864148,30.37085639268219,1141.7407592215502
2016-01-08 17:00:00,4703.577473120908,2416.6760715911873,29.702164008383303,1116.6024048510415
2016-01-08 18:00:00,4694.272302840935,2411.8951186917825,29.643403693418552,1114.393410618132
2016-01-08 19:00:00,4560.09174740372,2342.9537778823637,28.796079951626812,1082.5397137795785
2016-01-08 20:00:00,4225.663927541478,2171.126330677752,26.684234231793592,1003.1484610488149
2016-01-08 21:00:00,3702.155047590181,1902.1499205572325,23.378378911876595,878.8704455053323
2016-01-08 22:00:00,3143.6587273861824,1615.1971275349501,19.85158480769212,746.2866116461101
2016-01-08 23:00:00,3253.2736332842687,1671.51675268994,20.54378131797691,772.3085637097829
2016-01-09 00:00:00,3218.6583998427673,1653.7316079041536,20.325192946308032,764.09110516336
2016-01-09 01:00:00,3259.7872524802488,1674.8634197195233,20.584913538452238,773.8548596728194
2016-01-09 02:00:00,3390.245739805475,1741.89237936918,21.408733154258076,804.8249588182092
2016-01-09 03:00:00,3570.7660432369576,1834.642865617635,22.54868326457428,847.6794469366514
2016-01-09 04:00:00,4584.657396942849,2355.5754935367927,28.95120718313376,1088.3714585544594
2016-01-09 05:00:00,6064.737781675403,3116.033861716136,38.297622881427365,1439.734081241028
2016-01-09 06:00:00,5621.253366131876,2888.173646530498,35.49710627020723,1334.453416100566
2016-01-09 07:00:00,5466.415332673119,2808.6185902844013,34.51933462919376,1297.695752064954
2016-01-09 08:00:00,5214.0591146802435,2678.9591476525397,32.92575488734965,1237.7878284684507
2016-01-09 09:00:00,4994.270992667273,2566.033040168596,31.537836247882183,1185.6113846871308
2016-01-09 10:00:00,4813.006275613394,2472.900077688189,30.393185312368797,1142.580177030056
2016-01-09 11:00:00,4622.250284873941,2374.8905432503884,29.188598855591362,1097.2957952554134
2016-01-09 12:00:00,4562.324988270913,2344.101206578221,28.810182427218354,1083.0698723954768
2016-01-09 13:00:00,4587.076741215642,2356.8185412906378,28.966484865024594,1088.9457970550156
2016-01-09 14:00:00,4714.371470645677,2422.221976954497,29.770325973742416,1119.1648381612163
2016-01-09 15:00:00,4908.291219280321,2521.857035378095,30.99489093760787,1165.2002779750483
2016-01-09 16:00:00,5007.298231059237,2572.7263742277632,31.620100688832842,1188.703976613204
2016-01-09 17:00:00,4944.395279966617,2540.4071326277863,31.22288095967111,1173.7711755987366
2016-01-09 18:00:00,4921.5045610778825,2528.6459884952496,31.078330584857813,1168.3370497857793
2016-01-09 19:00:00,4788.068419263065,2460.0871239177836,30.23570766826326,1136.6600724858586
2016-01-09 20:00:00,4483.603247702339,2303.6543450492554,28.313070162616544,1064.3817811850633
2016-01-09 21:00:00,3934.039890967115,2021.2912668104022,24.842685960798235,933.9185817894343
2016-01-09 22:00:00,3343.719888405609,1717.9876148721557,21.114931579434316,793.7799876536624
2016-01-09 23:00:00,3238.943671053109,1664.1540852248565,20.453290432931198,768.9067125911025
2016-01-10 00:00:00,3228.5218803395387,1658.7994179775228,20.38747888017067,766.4326390502439
2016-01-10 01:00:00,3258.484528641053,1674.194086313607,20.576687094357176,773.5456004802122
2016-01-10 02:00:00,3373.6825367071224,1733.3822832082392,21.304139793620813,800.8929490836305
2016-01-10 03:00:00,3570.579939831358,1834.5472465596472,22.54750805827499,847.6352670519934
2016-01-10 04:00:00,4724.793261359247,2427.5766442018303,29.836137526502938,1121.6389117020747
2016-01-10 05:00:00,6189.799270238245,3180.289868684137,39.08736151455364,1469.4229637313301
2016-01-10 06:00:00,5591.84902804716,2873.0658353683784,35.311423674918615,1327.4729943245723
2016-01-10 07:00:00,5404.815105419696,2776.96868209034,34.13034134412708,1283.0722102430934
2016-01-10 08:00:00,5185.213086812327,2664.1381936643847,32.74359791095891,1230.9399463464317
2016-01-10 09:00:00,4925.78493940667,2530.845226828976,31.1053603297416,1169.3531871329178
2016-01-10 10:00:00,4818.775481186977,2475.86426848582,30.429616707646947,1143.9497534544598
2016-01-10 11:00:00,4655.004484259447,2391.7194974562935,29.395435164267294,1105.0714549552545
2016-01-10 12:00:00,4579.074294774865,2352.70692179715,28.915950994154908,1087.0460620147137
2016-01-10 13:00:00,4499.422037178294,2311.7819649782436,28.412962698056624,1068.1370713810093
2016-01-10 14:00:00,4647.932554846668,2388.085973252746,29.35077732489408,1103.392619338243
2016-01-10 15:00:00,4858.043299768465,2496.0398897213086,30.6775852367982,1153.2717091173374
2016-01-10 16:00:00,5018.650538800804,2578.5591367650372,31.691788273089838,1191.3989495773537
2016-01-10 17:00:00,4921.690664483482,2528.741607553238,31.079505791157107,1168.3812296704375
2016-01-10 18:00:00,4936.20673012024,2536.1998940763096,31.17117188250213,1171.8272606737764
2016-01-10 19:00:00,4857.484989551667,2495.7530325473444,30.67405961790032,1153.1391694633628
2016-01-10 20:00:00,4552.64761117974,2339.12901556284,28.749071699655012,1080.772518393251
2016-01-10 21:00:00,4025.6027665220527,2068.3358433405465,25.420887460051407,955.6550850412629
2016-01-10 22:00:00,3395.2705317566606,1744.4740939348585,21.44046372433904,806.0178157039802
2016-01-10 23:00:00,3332.181477258441,1712.0592332768933,21.042068788878016,791.0408348048546
2016-01-11 00:00:00,3298.496760844938,1694.7521837810477,20.82935644870561,783.0442756817225
2016-01-11 01:00:00,3321.201376328074,1706.417708855596,20.972731617219612,788.4342216100216
2016-01-11 02:00:00,3399.923116896647,1746.8645703845611,21.46984388182142,807.122312820435
2016-01-11 03:00:00,3606.684000517654,1853.0973438093379,22.775498080338227,856.2061646756817
2016-01-11 04:00:00,4783.04362731188,2457.5054093521053,30.203977098182293,1135.4672156000877
2016-01-11 05:00:00,5923.671400231008,3043.554615761157,37.406816506561704,1406.2457286701213
2016-01-11 06:00:00,5399.97641687411,2774.4825865826497,34.09978598034541,1281.9235332419805
2016-01-11 07:00:00,5175.907916532353,2659.3572407649795,32.68483759599416,1228.730952113522
2016-01-11 08:00:00,4974.357928268131,2555.8018009638695,31.412089173857613,1180.8841370287048
2016-01-11 09:00:00,4786.57959201827,2459.322171453879,30.2263060178689,1136.3066334085934
2016-01-11 10:00:00,4726.468192009643,2428.4372157237235,29.846714383196595,1122.0365306639985
2016-01-11 11:00:00,4544.272957927765,2334.8261579533755,28.696187416186735,1078.7844235836326
2016-01-11 12:00:00,4503.516312101482,2313.8855842539824,28.438817236641118,1069.1090288434896
2016-01-11 13:00:00,4478.206248939954,2300.8813923676007,28.278989179936985,1063.1005645299758
2016-01-11 14:00:00,4642.163349273083,2385.1217824551145,29.31434592961593,1102.0230429138392
2016-01-11 15:00:00,4871.442744971626,2502.9244618964517,30.762200090347445,1156.452660812727
2016-01-11 16:00:00,5030.002846542371,2584.3918993023112,31.763475857346837,1194.0939225415032
2016-01-11 17:00:00,4952.583829812993,2544.6143711792624,31.27459003684009,1175.7150905236967
2016-01-11 18:00:00,4964.308344365761,2550.638371832513,31.348628033695682,1178.4984232571628
2016-01-11 19:00:00,4892.658533209966,2513.825034507095,30.896173608467084,1161.4891676637603
2016-01-11 20:00:00,4639.930108405891,2383.9743537592576,29.300243454024393,1101.4928842979411
2016-01-11 21:00:00,4022.252905221262,2066.614700296761,25.399733746664097,954.8598471174155
2016-01-11 22:00:00,3471.2007212412427,1783.486669594003,21.91994789445143,824.0432086445211
2016-01-11 23:00:00,3210.65595340199,1649.6199884106654,20.274659075438343,762.1913701230578
2016-01-12 00:00:00,3200.792472905219,1644.5521783372967,20.21237314157571,759.8498362361742
2016-01-12 01:00:00,3248.0627379274824,1668.839419066273,20.51087554159665,771.0715269393536
2016-01-12 02:00:00,3414.625285939005,1754.418475965621,21.562685179465728,810.6125237084318
2016-01-12 03:00:00,3627.899788755993,1863.997916419981,22.909471598457863,861.2426715267151
2016-01-12 04:00:00,4631.741558559514,2379.7671152077814,29.24853437685541,1099.5489693729808
2016-01-12 05:00:00,6023.981135849121,3095.0932880167425,38.04025270188174,1430.0586865008847
2016-01-12 06:00:00,5605.62068006152,2880.141645659498,35.39838894106645,1330.7423057892784
2016-01-12 07:00:00,5445.3856478403795,2797.8136367317456,34.386536317373405,1292.7034250985785
2016-01-12 08:00:00,5201.962393316278,2672.743908883314,32.84936647789547,1234.9161359656687
2016-01-12 09:00:00,4983.476995142506,2560.4871348052866,31.469674282523073,1183.048951376956
2016-01-12 10:00:00,4817.100550536582,2475.003696963927,30.419039850953286,1143.552134492536
2016-01-12 11:00:00,4644.024383329079,2386.077973034996,29.326097992608886,1102.4648417604212
2016-01-12 12:00:00,4587.076741215642,2356.8185412906378,28.966484865024594,1088.9457970550156
2016-01-12 13:00:00,4542.970234088569,2334.1568245474587,28.687960972091666,1078.4751643910251
2016-01-12 14:00:00,4687.200373428155,2408.2615944882346,29.598745854045337,1112.714575001121
2016-01-12 15:00:00,4887.075431041981,2510.9564627674517,30.86091741948823,1160.1637711240146
2016-01-12 16:00:00,5037.074775955151,2588.0254235058587,31.80813369672005,1195.772758158514
2016-01-12 17:00:00,4934.159592658646,2535.1480844384405,31.15824461320988,1171.3412819425362
2016-01-12 18:00:00,4904.010840951533,2519.6577970443686,30.96786119272408,1164.1841406279098
2016-01-12 19:00:00,4753.825392632763,2442.4932172479735,30.01946970919297,1128.530973708752
2016-01-12 20:00:00,4461.270839030402,2292.180058090684,28.172045406701137,1059.0801950260807
2016-01-12 21:00:00,3971.0744686814087,2040.319459350034,25.076552014357958,942.7103788364138
2016-01-12 22:00:00,3339.0673032656223,1715.5971384224536,21.08555142195194,792.6754905372078
2016-01-12 23:00:00,3195.3954741428342,1641.7792256556418,20.178292158896152,758.5686195810866
2016-01-13 00:00:00,3186.0903038628603,1636.9982727562367,20.119531843931398,756.3596253481771
2016-01-13 01:00:00,3228.8940871507384,1658.9906560934994,20.389829292769264,766.5209988195604
2016-01-13 02:00:00,3393.9678079174646,1743.8047605289423,21.43223728024398,805.7085565113731
2016-01-13 03:00:00,3591.0513144472993,1845.065342938338,22.676780751197448,852.4950543643942
2016-01-13 04:00:00,4592.473739978026,2359.5914939722925,29.000565847704152,1090.2270137101032
2016-01-13 05:00:00,5990.668626246816,3077.9774766368723,37.82989077430792,1422.1504871470688
2016-01-13 06:00:00,5569.516619375225,2861.591548409807,35.170398919003205,1322.1714081655896
2016-01-13 07:00:00,5431.241789014821,2790.54658832465,34.29722063862698,1289.3457538645562
2016-01-13 08:00:00,5147.247992070034,2644.6319058348126,32.50385582590272,1221.9272498761613
2016-01-13 09:00:00,4938.253867581835,2537.251703714179,31.18409915179437,1172.3132394050162
2016-01-13 10:00:00,4762.944459507138,2447.1785510893906,30.07705481785843,1130.6957880570035
2016-01-13 11:00:00,4596.195808090016,2361.503875132055,29.024069973690054,1091.110611403267
