,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_COMC_GAS_CHP,SE_GTUR_GAS_CHP
2016-01-01 00:00:00,3896.987824620369,3239.400007106397,290.98500637779495,308.91278002027695
2016-01-01 01:00:00,3987.4452100570147,3314.5933790679437,297.73938798296854,316.08330342608775
2016-01-01 02:00:00,4313.719247701334,3585.811090651788,322.10201296347896,341.94692542161346
2016-01-01 03:00:00,4997.116951549291,4153.890496164744,373.1307803505416,396.1196080308315
2016-01-01 04:00:00,6745.6111532842315,5607.339258242269,503.6894629384051,534.7220951350589
2016-01-01 05:00:00,7998.942672889091,6649.180371489826,597.2747387048851,634.0732200121023
2016-01-01 06:00:00,7800.250149964666,6484.01573943556,582.4385247744459,618.3229373866218
2016-01-01 07:00:00,7625.087004754977,6338.41007696667,569.3592309147167,604.4378198088956
2016-01-01 08:00:00,7298.290092050329,6066.757721614261,544.9575632659684,578.5327497011976
2016-01-01 09:00:00,6941.166425846693,5769.896027685151,518.2914208594161,550.2236890875054
2016-01-01 10:00:00,6639.467516037764,5519.106573223808,495.7638012860916,526.3081283640786
2016-01-01 11:00:00,6458.55274516447,5368.719829300714,482.2550380757445,511.96708155245693
2016-01-01 12:00:00,6415.154115157293,5332.644396509913,479.01449661199064,508.5268882421546
2016-01-01 13:00:00,6469.010246371018,5377.4127046719905,483.0358914405044,512.7960437959032
2016-01-01 14:00:00,6580.90550928109,5470.426471144656,491.39102244343593,521.6659398007791
2016-01-01 15:00:00,6846.003164867099,5690.7908618065285,511.1856552401006,542.6801326721436
2016-01-01 16:00:00,7018.551934775152,5834.223305432602,524.0697357586398,556.3580096890082
2016-01-01 17:00:00,7022.212060197444,5837.265811812546,524.3430344363056,556.6481464742144
2016-01-01 18:00:00,6954.238302354878,5780.762121899246,519.2674875653661,551.2598918918133
2016-01-01 19:00:00,6748.225528585869,5609.51247708509,503.88467627959517,534.9293356959205
2016-01-01 20:00:00,6111.886580167381,5080.551010742879,456.36974903395213,484.48698318221085
2016-01-01 21:00:00,4841.300183571715,4024.3666531327162,361.4960652156184,383.76807060348114
