,LV_P2HT_OTH,LV_STUR_BIO_CHP,LV_ICEN_GAS_CHP
2016-01-01 00:00:00,547.2358341053504,485.2591739621727,281.66130314760903
2016-01-01 01:00:00,583.5430566212881,517.4544574376202,300.3485655127057
2016-01-01 02:00:00,666.6674871183033,591.1647117103553,343.1325609275324
2016-01-01 03:00:00,895.7373975971468,794.2915331113696,461.0344333494255
2016-01-01 04:00:00,1067.0023880177214,946.1600742422634,549.1842170058355
2016-01-01 05:00:00,1022.0960864848512,906.3395920489468,526.0710240805844
2016-01-01 06:00:00,1009.4363312654782,895.1136050476396,519.5550707559127
2016-01-01 07:00:00,971.6959289133849,861.6474551192139,500.1301532974568
2016-01-01 08:00:00,931.5668935010328,826.0631944358242,479.4758106834024
2016-01-01 09:00:00,897.4094407393283,795.7742106398442,461.8950309583444
2016-01-01 10:00:00,877.3449230331522,777.9820802981495,451.5678596513173
2016-01-01 11:00:00,856.8026787149242,759.7663278054621,440.99480331317045
2016-01-01 12:00:00,866.3572109559605,768.2387708253168,445.91250393556436
2016-01-01 13:00:00,873.5231101367376,774.5931030902077,449.60077940235976
2016-01-01 14:00:00,906.9639729803646,804.246653659699,466.8127315807384
2016-01-01 15:00:00,927.9839439106443,822.8860283033789,477.63167295000477
2016-01-01 16:00:00,926.073037462437,821.191539699408,476.64813282552603
2016-01-01 17:00:00,916.2796419153748,812.5072856040571,471.6074896875723
2016-01-01 18:00:00,884.9885488259813,784.7600347140333,455.5020201492324
2016-01-01 19:00:00,798.7588953506292,708.2962364598453,411.1197720321277
2016-01-01 20:00:00,654.485458510982,580.3623468600407,336.8624926339802
2016-01-01 21:00:00,545.324927657143,483.5646853582018,280.67776302313024
2016-01-01 22:00:00,583.0653300092362,517.0308352866275,300.102680481586
2016-01-01 23:00:00,593.0975888623243,525.9269004574749,305.2662661350996
2016-01-02 00:00:00,607.6682505299044,538.8473760627531,312.76575958425025
2016-01-02 01:00:00,644.453199657894,571.4662816891934,331.69890698046663
2016-01-02 02:00:00,732.3548962754273,649.4127574718559,376.9417527064903
2016-01-02 03:00:00,980.5338712363435,869.4844649125793,504.6790263731711
2016-01-02 04:00:00,1189.3004007029851,1054.6073448964025,612.1307849724773
2016-01-02 05:00:00,1132.9286604808715,1004.6199310792605,583.1163513003535
2016-01-02 06:00:00,1117.6414088952135,991.0640222474931,575.2480303045232
2016-01-02 07:00:00,1076.7957835647837,954.8443283376146,554.2248601437894
2016-01-02 08:00:00,1034.0392517861465,916.9301458237651,532.2181498585768
2016-01-02 09:00:00,996.0599861280274,883.252184819843,512.6702898845612
2016-01-02 10:00:00,973.3679720555665,863.1301326476884,500.9907509063757
2016-01-02 11:00:00,948.5261882288721,841.1017807960664,488.20472928815167
2016-01-02 12:00:00,959.9916269181156,851.2687124198919,494.1059700350243
2016-01-02 13:00:00,968.8295692410741,859.1057222132574,498.6548431107386
2016-01-02 14:00:00,1006.8088348991932,892.7836832171795,518.2027030847543
2016-01-02 15:00:00,1025.9178993812654,909.7285692568887,528.0381043295421
2016-01-02 16:00:00,1028.0676691354988,911.634868936356,529.1445869695807
2016-01-02 17:00:00,1014.4524606920221,899.5616376330631,522.1368635826693
2016-01-02 18:00:00,979.100691400188,868.2135984596013,503.9413712798121
2016-01-02 19:00:00,886.1828653561106,785.819090091515,456.1167327270316
2016-01-02 20:00:00,731.3994430513237,648.5655131698704,376.44998264425095
2016-01-02 21:00:00,611.0123368142672,541.8127311197022,314.4869548020881
2016-01-02 22:00:00,619.6114158311998,549.4379298375715,318.9128853622426
2016-01-02 23:00:00,628.4493581541583,557.2749396309368,323.46175843795686
2016-01-03 00:00:00,639.4370702313499,567.0182491037698,329.1171141537099
2016-01-03 01:00:00,674.0722496051062,597.7308550507427,346.9437789098876
2016-01-03 02:00:00,764.3625792828987,677.7954415883687,393.41604979150975
2016-01-03 03:00:00,1029.5008489716542,912.9057353893342,529.8822420629397
2016-01-03 04:00:00,1253.0769034119023,1111.1609020539322,644.9564366269564
2016-01-03 05:00:00,1177.3572354016899,1044.0167911215842,605.9836591944849
2016-01-03 06:00:00,1138.6613798254932,1009.7033968911732,586.0669716737898
2016-01-03 07:00:00,1103.5484738396851,978.5671687932075,567.9944218864923
2016-01-03 08:00:00,1059.8364888369442,939.8057419773726,545.4959415390402
2016-01-03 09:00:00,1027.1122159113952,910.7876246343707,528.6528169073413
2016-01-03 10:00:00,1002.2704320847008,888.7592727827486,515.8667952891171
2016-01-03 11:00:00,978.8618280941621,868.0017873841048,503.8184287642522
2016-01-03 12:00:00,981.4893244604472,870.3317092145649,505.1707964354105
2016-01-03 13:00:00,988.6552236412242,876.6860414794558,508.8590719022059
2016-01-03 14:00:00,1035.7112949283278,918.4128233522396,533.0787474674956
2016-01-03 15:00:00,1062.941711815281,942.5592859588252,547.0941942413182
2016-01-03 16:00:00,1059.8364888369442,939.8057419773726,545.4959415390402
2016-01-03 17:00:00,1052.1928630441153,933.0277875614888,541.5617810411251
2016-01-03 18:00:00,1024.0069929330584,908.0340806529179,527.0545642050633
2016-01-03 19:00:00,934.4332531733437,828.6049273417808,480.9511208701207
2016-01-03 20:00:00,779.6498308685566,691.351350420136,401.28437078733987
2016-01-03 21:00:00,648.7527391663604,575.2788810481279,333.9118722605439
2016-01-03 22:00:00,744.5369248827485,660.2151223221704,383.21182100004245
2016-01-03 23:00:00,739.9985220682563,656.1907118877396,380.87591320440544
2016-01-04 00:00:00,747.1644212490335,662.5450441526303,384.5641886712007
2016-01-04 01:00:00,771.0507518516241,683.7261517022671,396.8584402271855
2016-01-04 02:00:00,833.1552114183596,738.7970313313219,428.8234942727457
2016-01-04 03:00:00,1115.0139125289286,988.734100417033,573.8956626333649
2016-01-04 04:00:00,1406.6660091865597,1247.3554235980948,724.0084741319378
2016-01-04 05:00:00,1279.1130037687258,1134.248309283036,658.3571708229797
2016-01-04 06:00:00,1216.0530909778868,1078.3301853519952,625.9003467151799
2016-01-04 07:00:00,1167.8027031606537,1035.5443481017296,601.065958572091
2016-01-04 08:00:00,1125.0461713820166,997.6301655878802,579.0592482868784
2016-01-04 09:00:00,1100.9209774734,976.2372469627475,566.6420542153339
2016-01-04 10:00:00,1062.4639852032292,942.1356638078324,546.8483092101985
2016-01-04 11:00:00,1048.1321868416749,929.4269992780506,539.4717582766077
2016-01-04 12:00:00,1040.9662876608977,923.0726670131598,535.7834828098124
2016-01-04 13:00:00,1076.7957835647837,954.8443283376146,554.2248601437894
2016-01-04 14:00:00,1135.5561568471564,1006.9498529097203,584.4687189715116
2016-01-04 15:00:00,1174.490875729379,1041.475058215628,604.5083490077667
2016-01-04 16:00:00,1156.814991083462,1025.8010386288968,595.4106028563381
2016-01-04 17:00:00,1161.1145305919283,1029.6136379878315,597.6235681364153
2016-01-04 18:00:00,1143.6775092520375,1014.151429476597,588.6487645005466
2016-01-04 19:00:00,1075.362603728628,953.5734618846363,553.4872050504304
