,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
BE_STUR_BIO,177.3825,BE_STUR_BIO,BE,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,,,,,177.3825,4
BE_COMC_GAS,419.3196257,BE_COMC_GAS,BE,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,10
BE_GTUR_GAS,62.14423604,BE_GTUR_GAS,BE,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,18
BE_STUR_HRD,121.6621253,BE_STUR_HRD,BE,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,1
BE_STUR_NUC,986.5,BE_STUR_NUC,BE,STUR,NUC,1,24,24,0.003333333,0.003333333,300,0,0,0.5,1,12,0,,,,,,,,,6
BE_PHOT_SUN,3087,BE_PHOT_SUN,BE,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
BE_HPHS_WAT,1308,BE_HPHS_WAT,BE,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,6000,0,1308,0.8,,1
BE_WTOF_WIN,712.2,BE_WTOF_WIN,BE,WTOF,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
BE_WTON_WIN,1580,BE_WTON_WIN,BE,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
BE_STUR_WST,42.70363094,BE_STUR_WST,BE,STUR,WST,0.2,0,0,0.02,0.02,0,0,0,0,0.2,0,0,,,,,,,,,4
