Amortization Time,Availability,Bidding,Capacity at 1,Combined Cycle,Commisioning Year,Cost,Decommisioning Year,Efficiency,Exist,Existence,Exp,Expansion,FCR,FRR,Fixed O&M (SR/MW),Fuel 1,Fuel Cons at 1,Fuel Cons at 2,FuelCode1,GenCode,Generator,Hot to Cold,Hot to Warm,INC Heat (MMBTU/MWh),Installed Capacity (MW),Linear Relaxation,MC,Merit Cost (SR/MWh),Minimum Capacity (MW),Minimum load (% of nominal capacity),No Load Heat (MMBTU) /MWh???,No load Cost (SR/h),Node,NodeCode,Operation Reserves,Owner,OwnerCode,PlantCode,Power Plant,RR Offline,RR Online,Ramp-Down (p.u. per Min),Ramp-Up (p.u. per Min),Retirement,Shut-Down Costs,Shut-Down Fuel,Start-Up Costs (Cold),Start-Up Costs (Hot) (SR / MW),Start-Up Costs (Warm),Start-Up Time (Cold),Start-Up Time (Hot),Start-Up Time (Warm),TechCode,Technology,Time Min Offline,Time Min Online,Transportation Costs Fuel 1 (SR/MMBTU) ,Variable O&M (SR/MWh),Warm Starts,Zero Load Costs
0.0,0.9532163742690059,C,0.39928293149291294,PP12 CC-1,1900.0,1.0,2095.93567251462,0.2583906358072209,1.0058479532163742,E,2.0,D,0.0,0.8596491228070176,32.42404051952069,Gas,23.925426748556465,18.2542852606095,3.0,218.0,PP12 GT-01,3.0,1.0,14.455487858644979,73.85304970760237,0.0,1.0,73.9788065779914,31.549707602339183,0.3960211126711261,73.9788065779914,7786.769175510219,RIYADH,1.0,0.7485380116959064,SEC,1.0,20.0,PP12 (1-8),0.0,0.0,0.09853099415204676,0.0974421052631579,5.3391812865497075,0.0,0.0,14.173228346456666,14.173228346456666,14.173228346456666,0.0,0.0,0.0,3.0,GT,14.654970760233919,11.789473684210526,4.404152046783641,9.119298245614026,1.0,3.0
0.0,1.0,C,0.3764304472908156,None,1956.5,1.0,2100.0,0.5977366273559155,1.6666666666666667,P,2.0,D,0.0,0.5,35.188333333333325,Gas,10.540177781023708,8.02207432581982,3.0,180.0,PP12 CC-1,6.0,1.0,6.175330482958433,627.8333333333334,0.0,0.16666666666666666,30.533486204695446,249.33333333333334,0.38500634247431886,30.533486204695446,25395.36804800347,RIYADH,1.0,0.5,SEC,1.0,16.0,PP12 (CC1-CC2),0.0,0.0,0.085,0.085,0.0,0.0,0.0,29.39879464941941,6.173746876378069,24.988975452006503,2.5,0.0,0.5,1.0,CC,48.0,48.0,3.4366666666666674,10.636666666666668,0.0,3.0
0.0,0.9782608695652174,C,0.43634692165664457,PP10 CC-01,1900.874458874459,1.0,2100.0,0.28172384289629576,1.0,E,2.0,D,0.0,0.9565217391304348,28.94112889621279,Crude,19.623653060459954,16.357263852481,1.0,296.0,PP10 GT-01,3.0130434782608697,0.9956521739130435,12.337412849710182,64.19605844155839,0.0,1.0,69.79204522949377,27.647186147186147,0.4366221005229078,69.79204522949377,9229.596985779363,RIYADH,3.0,0.9391304347826087,SEC,1.0,28.0,PP10 (1-40),0.0,0.0,0.07683291304347818,0.0754546521739129,2.5217391304347827,0.0,0.0,14.173228346456664,14.173228346456664,14.173228346456664,0.0,0.0,0.0,3.0,GT,7.2,13.147826086956522,4.789956521739128,10.984782608695681,0.9956521739130435,3.0
0.0,1.0,C,0.43674960783451344,None,1991.2,1.0,2100.0,0.34064290087861576,1.8,P,2.0,D,0.0,0.2,16.35828,Crude,10.9443153436397,10.636618700475443,1.0,204.0,PP10 CC-01,8.6,1.0,10.24174965002343,371.46666666666664,0.0,0.6666666666666666,49.35728017874594,153.13333333333333,0.43674960783451344,49.357280178745924,34149.051509333774,RIYADH,2.0,0.2,SEC,1.0,19.0,PP10 (CC1-CC10),0.0,0.0,0.011059999999999999,0.011059999999999999,0.0,0.0,0.0,29.39879464941941,6.173746876378071,24.988975452006507,5.0,0.0,1.0,1.0,CC,48.0,42.266666666666666,4.319333333333333,6.006666666666666,0.06666666666666667,3.0
0.0,0.9558823529411765,C,0.46463513513821203,None,1901.3188405797102,1.0,2100.0,0.2556888692616029,1.0,E,2.0,D,0.0,1.0,55.91885009424849,Diesel,28.885936294435517,21.161426020708404,2.0,426.0,PP4 GT-12,3.0,1.0,13.797426782538547,48.876768115942006,0.0,1.0,154.21349880497135,21.463768115942027,0.46463513513821203,154.21349880497135,29123.46481951445,RIYADH,3.0,1.0,SEC,1.0,41.0,PP4,0.0,0.0,0.18360757352941187,0.15320235294117632,3.411764705882353,0.0,0.0,14.173228346456668,14.173228346456668,14.173228346456668,0.0,0.0,0.0,3.0,GT,2.3529411764705883,0.04411764705882353,10.13286764705883,14.8485294117647,0.9926470588235294,3.0
0.0,1.0,C,0.5924311198281497,None,1900.0,1.0,2100.0,0.3563750745223022,1.0,E,2.0,D,0.0,1.0,22.7477914322894,Gas,9.945654117796368,9.815802426812635,3.0,277.0,Ghazlan GT-01,80.0,8.0,9.638159642783602,573.0,0.0,0.0,47.30296872465511,343.3333333333333,0.5924311198281497,47.30296872465511,75608.94791902052,EOA,2.0,1.0,SEC,1.0,25.0,Ghazlan (ST1-ST4),0.0,0.0,0.023283333333333336,0.023283333333333336,0.0,0.0,0.0,27.158027458671892,7.6042476884281305,9.0526758195573,8.333333333333334,3.3333333333333335,5.0,4.0,ST,48.0,48.0,4.6899999999999995,2.099999999999999,1.0,3.0
0.0,0.6,C,0.5431372549019606,None,1909.1176470588234,1.0,2079.764705882353,0.2875734371270287,1.0,E,2.0,D,0.0,1.0,50.3249816832531,Diesel,174.22884008834498,100.90757225692248,2.0,444.0,Asir DE1,0.2,0.06666666666666667,15.897062277879323,11.276470588235293,0.0,1.0,213.8781959373622,4.885294117647058,0.5254901960784312,213.8781959373622,12039.52643036382,SOA,3.0,0.8666666666666667,SEC,1.0,47.0,Asir (Diesel),0.0,0.0,0.242652,0.242652,30.666666666666668,0.0,0.0,47.81214848143978,47.81214848143978,47.81214848143978,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,DE,2.0,0.8,12.309999999999999,22.839999999999996,1.0,3.0
0.0,1.0,C,0.4667759190115784,None,1919.0,1.0,2100.0,0.3778747100619966,1.0,E,2.0,D,0.0,1.0,22.747791432289446,Heavy,9.62206033478895,9.319516242077958,4.0,490.0,Shoaiba ST-01,80.0,8.0,9.071152602874655,402.75,0.0,0.0,37.1035403198784,172.5,0.4667759190115784,37.1035403198784,28009.18990637318,WOA,4.0,1.0,SEC,1.0,48.0,Shoaiba (ST1-ST14),0.0,0.0,0.016824166666666675,0.016824166666666675,0.0,0.0,0.0,41.821020882514034,14.576582708923766,24.553877558237577,5.75,2.875,3.8333333333333335,4.0,ST,48.0,48.0,3.683749999999998,3.6416666666666657,0.0,3.0
,1.0,B,0.0,None,1906.2777777777778,2.0,2100.0,0.2875734371270287,1.0,E,2.0,D,0.0,0.0,,Gas,,,3.0,624.0,SWCC-Jubail,,,,975.2777777777778,,1.0,16.449381333333335,,0.5254901960784312,,,EOA,2.0,0.0,IPP,2.0,68.0,SWCC Jubail,0.0,0.0,0.5,0.5,0.0,,,,,,,,,2.0,DE,2.0,0.8,,,,
,,,,,2018.0,,2100.0,0.31537705539614985,,,,,,,,Crude,,,1.0,637.0,Dhuba IPP 2 Power Project,,,10.819245000921065,1800.0,,,,450.0,0.4667759190115784,,,NWOA,6.0,,,,81.0,Dhuba IPP 2 Power Project,,,0.016824166666666675,0.016824166666666675,,,,,,,,,,4.0,ST,48.0,48.0,,,,
