PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Unnamed: 23
616.2685314685315,KW Simmering,AT,COMC,GAS,0.5231590183216784,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664315,340.0637477223776,0,0.41050479248950983,0.5121536713286714,0.8741258741258742,80.07434119952465,0.4500000000000001,,,,,,
498.9111111111111,Malta-Hauptstufe,AT,HPHS,WAT,0.8653333333333332,0.0,0.0,1.0188928751311113,1.0188928751311113,0.0,0.0,0,0.0,0.8431111111111109,0.28444444444444456,2400.0,0.0,,37583.037323076926,4263.604651162791,371.6388422035489,110.83955555555553,0.86
604.8333333333334,Kraftwerk D??rnrohr,AT,STUR,HRD,0.38840909090909065,7.787878787878788,5.803030303030303,0.01649165434242424,0.01673461022121212,114088.10096606056,68.29221112272728,0,0.3049033010454548,0.38780303030303004,6.257575757575758,23.614628596651517,0.95,,,,,,
387.6111111111111,Mayrhofen,AT,HDAM,WAT,0.8833333333333339,0.0,0.0,0.6349632662111112,0.6349632662111112,0.0,0.0,0,0.0,0.7722222222222228,0.4555555555555558,2400.0,0.0,,362364.4370354433,80868.0,0.0,0.24571428571428572,0.8599999999999998
351.59696969696967,Altenwarth,AT,HROR,WAT,1.0,0.0,0.0,1.0500244865848485,1.1374908165848485,25.120748835606058,0.0,0,0.0,0.946969696969697,0.3060606060606063,5600.0,0.0,,111.22222222857144,,,,
6628.625,DispaSET PHOT_AT,AT,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,6750.0,0.0,,,,,,
5167.333333333333,DispaSET WindOn_AT,AT,WTON,WIN,1.0,0.0,0.0,0.6071204590416667,0.6071204590416667,0.0,0.0,0,0.0,0.9583333333333334,0.08333333333333333,675.0,0.0,,,,,,
973.8444444444444,DispaSET Biomass_AT,AT,STUR,BIO,0.4077777777777778,5.888888888888889,4.333333333333333,0.014506289355555554,0.014577973911111113,7796.375709666665,449.2372618888889,0,0.38952283433333335,0.3961111111111111,2.4444444444444446,0.41347428911111106,,,,,,,
285.1860465116279,DispaSET FossilOil_AT,AT,STUR,OIL,0.3765023255813954,7.0588235294117645,5.352941176470588,0.022963324325581392,0.024595969465116278,29508.530031674396,186.1603717705882,0,0.33773143518604676,0.36262790697674424,4.395348837209302,139.80980128755812,0.7899999999999997,,,,,,
1071.423076923077,TIHANGE 3,BE,STUR,NUC,0.40500000000000047,24.0,24.0,0.003552277158974357,0.003552277158974357,200000.0,0.0,0,0.8999999999999995,0.40500000000000047,64.61538461538461,153.03076923076912,0.0,,,,,,
238.86666666666667,Northwind,BE,WTOF,WIN,1.0,0.0,0.0,0.6766721100133332,0.6766721100133332,0.0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,
47.3421052631579,M07GTG_1-37.5MW,CY,GTUR,OIL,0.2899999999999999,0.35714285714285715,0.42857142857142855,0.1796940442631579,0.18228932552631577,6458.016481947367,1146.8035067285716,0,0.17622986510526317,0.169,0.0,0.5717320357368422,,,,,,,
17.274999999999995,DICE1-17.48MW,CY,ICEN,OIL,0.421,,,0.0579,0.0579,900.0,,0,0.8684000000000002,0.40629999999999994,0.0,0.0,,,,,,,
216.0,Vasilikos CCCP1,CY,COMC,OIL,0.4868,6.0,,0.027272727,0.027272727,17500.0,,0,0.272727273,0.4793,0.0,0.0,,,,,,,
932.6206896551724,KW Janschwalde,DE,STUR,LIG,0.37086551724137934,6.896551724137931,6.0,0.010193792813793102,0.01315414995172414,94449.96189655174,0.0,0,0.4368455965172415,0.35481724137931026,6.448275862068965,1.1834482758620688,,,,,,,
404.05,Heizkraftwerk Stuttgart-Manster,DE,STUR,WST,0.52,4.6675,3.9175,0.516733955625,0.5209986613750001,593.99633025,11.350031055,0,0.339843245,0.2325,0.0,0.0,,,,,,,
78.7,THIVA HERON-1 GT 1,EL,GTUR,GAS,0.362,3.1,1.6,0.0620944526,0.0927066974,8652.727910299998,1887.3093268999996,0,0.24609385649999999,0.2559,0.6,0.5910186791,,,,,,,
151.0,RANCE,FR,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
156.0168,Aghada Unit 1,IE,STUR,GAS,0.33799999999999997,1.0,1.0,0.0767211054,0.10385452979999998,31847.015741362604,1174.437686624,0,0.3178000782,0.312,0.0,0.5059098888,,,,,,,
