,FR_P2HT_OTH,FR_STUR_BIO_CHP,FR_COMC_GAS_CHP,FR_GTUR_GAS_CHP
2016-01-01 00:00:00,25261.76293803312,45029.98996172719,2935.6469468278965,3918.0427167263065
2016-01-01 01:00:00,25891.760359716063,46152.98274904315,3008.8583854756926,4015.7539024276393
2016-01-01 02:00:00,27895.44367618428,49724.61944947325,3241.7046371339266,4326.5206863600015
2016-01-01 03:00:00,32051.483222515304,57132.90760065636,3724.674287154426,4971.1130893079735
2016-01-01 04:00:00,42576.16508510856,75893.52695194562,4947.7381822612815,6603.467617325153
2016-01-01 05:00:00,50291.28518128646,89646.0026337343,5844.305409588713,7800.065423093817
2016-01-01 06:00:00,48688.9215591448,86789.73254692089,5658.096161778612,7551.542422752175
2016-01-01 07:00:00,48172.615188881246,85869.39809808714,5598.096658845663,7471.464463879206
2016-01-01 08:00:00,46075.64690714584,82131.47763274856,5354.409844549606,7146.22939126716
2016-01-01 09:00:00,43982.56549896323,78400.48565761448,5111.174720363457,6821.597164016766
2016-01-01 10:00:00,42064.0694945272,74980.6983675001,4888.2280102807335,6524.042740927308
2016-01-01 11:00:00,41025.3025375415,73129.05936034211,4767.513828407479,6362.93231802542
2016-01-01 12:00:00,41008.13551268329,73098.45852860548,4765.518863755379,6360.269751011449
2016-01-01 13:00:00,41508.24657647685,73989.92426825373,4823.636324563708,6437.835854210863
2016-01-01 14:00:00,42444.98310270157,75659.69040754308,4932.493641051844,6583.121586369349
2016-01-01 15:00:00,44105.97373426462,78620.465221608,5125.515881353077,6840.737504249265
2016-01-01 16:00:00,45124.33460509813,80435.72965519225,5243.858690149308,6998.682989002473
2016-01-01 17:00:00,45272.03580010451,80699.01228296403,5261.022914325862,7021.591112745306
2016-01-01 18:00:00,44790.71129181616,79841.03424597095,5205.088622382095,6946.938762127217
2016-01-01 19:00:00,43192.55844935671,76992.27002354579,5019.368705524396,6699.068844260701
2016-01-01 20:00:00,39021.61922107328,69557.42265991202,4534.667576749244,6052.1655340930565
2016-01-01 21:00:00,31047.050315245993,55342.470256971625,3607.950034585369,4815.327800434023
2016-01-01 22:00:00,25675.391065276883,45767.296794324866,2983.7143026907424,3982.1955106289297
2016-01-01 23:00:00,25655.308885254082,45731.49959493484,2981.380570456211,3979.0808095937196
2016-01-02 00:00:00,26591.7215053494,47400.688360040476,3090.2002461018556,4124.316304638734
2016-01-02 01:00:00,27280.345936453734,48628.185874607945,3170.224677240783,4231.12040787834
2016-01-02 02:00:00,29360.47109946035,52336.08288239362,3411.9541677272337,4553.7431505898885
2016-01-02 03:00:00,33675.87246145616,60028.43913196204,3913.4431122540127,5223.052213365651
2016-01-02 04:00:00,44853.22517479035,79952.46746342698,5212.353304983136,6956.634525027143
2016-01-02 05:00:00,52992.98620661161,94461.88070005947,6158.267676818156,8219.09318655645
2016-01-02 06:00:00,51297.661525332165,91439.90422252129,5961.255507212724,7956.152134648595
2016-01-02 07:00:00,50682.88769173102,90344.04802183968,5889.813188162073,7860.802093280404
2016-01-02 08:00:00,48551.58536027921,86544.92589302784,5642.136444561817,7530.241886640419
2016-01-02 09:00:00,46400.848661063406,82711.1613131934,5392.201250412015,7196.667453192166
2016-01-02 10:00:00,44385.50472393679,79118.73914214973,5157.999928424053,6884.092133174843
2016-01-02 11:00:00,43301.390908835085,77186.26774927233,5032.016028601855,6715.948514386996
2016-01-02 12:00:00,43284.22388397688,77155.6669175357,5030.021063949755,6713.285947373026
2016-01-02 13:00:00,43771.054796465054,78023.46031565186,5086.595250215894,6788.792328920124
2016-01-02 14:00:00,44749.575213382355,79767.70772463978,5200.308235385556,6940.5586487163855
2016-01-02 15:00:00,46510.0050266712,82905.73641310367,5404.886214331968,7213.597360431936
2016-01-02 16:00:00,47543.589485586504,84748.1374333223,5524.998142725343,7373.903989518286
2016-01-02 17:00:00,47691.614586722295,85011.99743527776,5542.200007744388,7396.8623503745885
2016-01-02 18:00:00,47162.35197128275,84068.56801909563,5480.694871111742,7314.774906962775
2016-01-02 19:00:00,45495.20712326109,81096.82309554021,5286.957454803151,7056.204483926907
2016-01-02 20:00:00,41111.46156796189,73282.64089320897,4777.526292510467,6376.295390208737
2016-01-02 21:00:00,32705.12579164445,58298.04870338316,3800.63350730417,5072.4915842926985
2016-01-02 22:00:00,27042.598837474154,48204.393223764804,3142.596298851332,4194.246366590537
2016-01-02 23:00:00,24589.009907269377,43830.783782161496,2857.466916971098,3813.7002320467845
2016-01-03 00:00:00,25549.39158094029,45542.698236861674,2969.0720149611834,3962.653273488663
2016-01-03 01:00:00,26188.13446811703,46681.280127137805,3043.299756356275,4061.720861253716
2016-01-03 02:00:00,28231.982144630852,50324.51122634796,3280.8134724835727,4378.7170472564985
2016-01-03 03:00:00,32506.571334322263,57944.11832876892,3777.559670856304,5041.6962337349005
2016-01-03 04:00:00,43411.84289896048,77383.15234591745,5044.851555891777,6733.079370080649
2016-01-03 05:00:00,51269.15778594496,91389.0952943548,5957.94311307339,7951.731268663136
2016-01-03 06:00:00,49685.580719308506,88566.31291019658,5773.91703412785,7706.122020902818
2016-01-03 07:00:00,48999.22363110998,87342.85701491508,5694.15608888637,7599.66957745751
2016-01-03 08:00:00,46909.057378091966,83617.06140743439,5451.259732282653,7275.489484228357
2016-01-03 09:00:00,44767.71395662876,79800.04067892754,5202.416122565132,6943.371927070767
2016-01-03 10:00:00,42804.842812464936,76301.15312564491,4974.312617060946,6638.935019435767
2016-01-03 11:00:00,41729.15055672763,74383.69346154395,4849.307379143551,6472.097565598167
2016-01-03 12:00:00,41756.682577726635,74432.77026715931,4852.506850755409,6476.367720243214
2016-01-03 13:00:00,42245.13302086179,75303.450536194,4909.269241234008,6552.125287357666
2016-01-03 14:00:00,43212.31672325009,77027.48984875208,5021.664796916434,6702.133308182438
2016-01-03 15:00:00,44918.00640067034,80067.94230016897,5219.881473481623,6966.681947721368
2016-01-03 16:00:00,45971.349133479045,81945.56314559393,5342.28949326704,7130.053040729458
2016-01-03 17:00:00,46132.330479790835,82232.51811489782,5360.996991985783,7155.0208861246065
2016-01-03 18:00:00,45647.76691020848,81368.76633606764,5304.686291617092,7079.866164371807
2016-01-03 19:00:00,44058.035627113415,78535.0138424189,5119.945036664196,6833.302411455538
2016-01-03 20:00:00,39809.358927773996,70961.59667469474,4626.210105690858,6174.342194054825
2016-01-03 21:00:00,31529.022635793153,56201.60304233211,3663.9596082141197,4890.080625279053
2016-01-03 22:00:00,25985.69313724205,46320.421262319054,3019.7742297985,4030.322665334265
2016-01-03 23:00:00,20558.645939145543,36646.51681425788,2389.101913837666,3188.5998291256087
2016-01-04 00:00:00,21449.063888866065,38233.71844527669,2492.5765898493837,3326.701654057724
2016-01-04 01:00:00,22018.81477048061,39249.31963442259,2558.786831793586,3415.0687366534285
2016-01-04 02:00:00,23794.46817185125,42414.48490952085,2765.1339303371424,3690.468592702121
2016-01-04 03:00:00,27888.317741337483,49711.91721743163,3240.8765385990932,4325.415469863638
2016-01-04 04:00:00,37289.69314717164,66470.2028996146,4333.401991942167,5783.547688362964
2016-01-04 05:00:00,44758.64458500555,79783.87420178365,5201.362178975343,6941.965287893575
2016-01-04 06:00:00,43330.21855435168,77237.65405162252,5035.366063583682,6720.419617485925
2016-01-04 07:00:00,42574.22164833215,75890.06270684337,4947.512337206327,6603.166194644326
2016-01-04 08:00:00,40397.57245876435,72010.10819231211,4694.565875657129,6265.572792118383
2016-01-04 09:00:00,38512.43878565652,68649.79044311987,4475.496172351128,5973.192791716451
2016-01-04 10:00:00,36767.88037270828,65540.05308965778,4272.762594686847,5702.615698560987
2016-01-04 11:00:00,35774.784179967966,63769.8238424029,4157.355771605025,5548.588708658525
2016-01-04 12:00:00,35672.75374920698,63587.950974534244,4145.4989062199065,5532.764017915122
2016-01-04 13:00:00,36201.04464625833,64529.64826816527,4206.891120325076,5614.700749986523
2016-01-04 14:00:00,37075.91510176765,66089.13593836599,4308.559035897157,5750.391193472024
2016-01-04 15:00:00,38561.996423454715,68738.12869322751,4481.2552212524715,5980.8790700775335
2016-01-04 16:00:00,39555.41652232443,70508.9353146661,4596.699685176785,6134.956297093466
2016-01-04 17:00:00,40008.56119735498,71316.6817976764,4649.35922382371,6205.238018839566
2016-01-04 18:00:00,39670.07929213202,70713.32577569944,4610.02454341911,6152.740235262244
2016-01-04 19:00:00,38229.99264081974,68146.32015492475,4442.67335769772,5929.3860287696325
2016-01-04 20:00:00,34512.19808756688,61519.219274301286,4010.631767569493,5352.76444034809
2016-01-04 21:00:00,27175.400350528143,48441.11663908591,3158.0290442732326,4214.843583113697
2016-01-04 22:00:00,22109.184580583205,39410.407031677685,2569.288626848977,3429.084891311872
2016-01-04 23:00:00,15983.471861370956,28491.10646935403,1857.4250136319497,2479.0006013460056
2016-01-05 00:00:00,16747.242514496087,29852.554794542226,1946.1821202291237,2597.459714910912
2016-01-05 01:00:00,17237.960300537045,30727.276682862877,2003.2079966051697,2673.568941819662
2016-01-05 02:00:00,19150.30208851447,34136.09386348676,2225.4395306805363,2970.168859753169
2016-01-05 03:00:00,23559.31232190687,41995.31125214738,2737.8066786876307,3653.9964483220865
2016-01-05 04:00:00,32320.649216046684,57612.70554731938,3755.953827265644,5012.860130602477
2016-01-05 05:00:00,38122.13189972955,67954.05455174932,4430.138957147738,5912.657069983749
2016-01-05 06:00:00,36542.4417066459,65138.20065779561,4246.564568312108,5667.650667585086
2016-01-05 07:00:00,35329.737158172415,62976.511713985354,4105.637254020413,5479.562914749204
2016-01-05 08:00:00,33003.443336821816,58829.81032658006,3835.3007232397063,5118.759965799602
2016-01-05 09:00:00,30802.17728141962,54905.975374086855,3579.4935576610837,4777.348542649854
2016-01-05 10:00:00,29785.435941233107,53093.59781142115,3461.3389530773147,4619.654243464001
2016-01-05 11:00:00,28908.94595507679,51531.223270301874,3359.4828332927723,4483.712614411144
2016-01-05 12:00:00,28218.054181066655,50299.68413644842,3279.1949162563974,4376.5568513772405
2016-01-05 13:00:00,28118.938905470255,50123.00763623316,3267.6768184537104,4361.184294655077
2016-01-05 14:00:00,29316.09595973255,52256.982619225346,3406.7973723057694,4546.860666044345
2016-01-05 15:00:00,30895.462246686806,55072.25913899534,3590.334120298907,4791.816831329537
2016-01-05 16:00:00,32574.591621496256,58065.36690734802,3785.4642477797165,5052.246027563836
2016-01-05 17:00:00,33502.58268222718,59719.54394367719,3893.3052615205575,5196.175357658602
2016-01-05 18:00:00,33386.624287901985,59512.843985909014,3879.829839908264,5178.19047103594
2016-01-05 19:00:00,32422.679646807668,57794.57841518802,3767.810692650762,5028.68482134588
2016-01-05 20:00:00,29199.16584701916,52048.55053890604,3393.2090281659985,4528.72506808127
