,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
ES_STUR_BIO,153.8018787,ES_STUR_BIO,ES,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,,,,,153.8018787,4
ES_COMC_GAS,414.346826,ES_COMC_GAS,ES,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,64
ES_GTUR_GAS,63.16975697,ES_GTUR_GAS,ES,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,27
ES_ICEN_GAS,9.941612802,ES_ICEN_GAS,ES,ICEN,GAS,0.49,0,0,1,1,0,0,0,0.3,0.49,0,0.489795918,,,,,,,,,72
ES_STUR_HRD,721.278871,ES_STUR_HRD,ES,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,13
ES_STUR_NUC,946.55,ES_STUR_NUC,ES,STUR,NUC,1,24,24,0.003333333,0.003333333,300,0,0,0.5,1,12,0,,,,,,,,,8
ES_PHOT_SUN,6970,ES_PHOT_SUN,ES,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
ES_HROR_WAT,2723,ES_HROR_WAT,ES,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
ES_HPHS_WAT,24669.7,ES_HPHS_WAT,ES,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,13674197.4,0,5593.4,0.8,,1
ES_WTON_WIN,22772.1,ES_WTON_WIN,ES,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
ES_STUR_WST,39.17908676,ES_STUR_WST,ES,STUR,WST,0.2,0,0,0.02,0.02,0,0,0,0,0.2,0,0,,,,,,,,,5
