,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
IT_STUR_GEO,IT_STUR_GEO,38.904761904761905,21.0,IT,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
IT_STUR_LIG,IT_STUR_LIG,150.0,1.0,IT,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
IT_COMC_GAS,IT_COMC_GAS,417.56428571428575,140.0,IT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
IT_HROR_WAT,IT_HROR_WAT,22099.999999999996,1,IT,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
IT_WTON_WIN,IT_WTON_WIN,99807.00000000001,1,IT,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
IT_PHOT_SUN,IT_PHOT_SUN,659975.0,1,IT,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
IT_STUR_SUN,IT_STUR_SUN,149.82142857142858,252.0,IT,STUR,SUN,0.25,0,0,0.02,0.02,0,0.0,0.0,0.0,0.2,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.95
IT_P2HT_OTH,IT_P2HT_OTH,0.003,17636000.0,IT,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0278713297328066,5.0,0.06852482198390404,0.0,,,,
IT_P2GS_HYD,IT_P2GS_HYD,36895.0,1,IT,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,300838055.5555556,0.0,707571.0,0.72
IT_STUR_BIO_CHP,IT_STUR_BIO_CHP,177.26190476190476,42.0,IT,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,back-pressure,0.45,0.0,,,,,,,,
IT_COMC_GAS_CHP,IT_COMC_GAS_CHP,361.1666666666667,6.0,IT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,back-pressure,0.95,0.0,,,,,,,,
