,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
1,348,NE Krsko,SI,STUR,NUC,0.57,10,24,0.025,0.025,17400,0,1.8,0.5,0.49,24,0,,,,,,,,
2,600,TE Sostanj,SI,STUR,HRD,0.42,6,1.5,0.025,0.025,27000,0,1.8,0.02,0.29,6,1.062,,,,,,,,
3,297,TPP Brestanica,SI,COMC,GAS,0.36,2,2,0.06,0.06,16038,0,0.5,0.011616162,0.49,1,0.398,,,,,,,,
4,118,TE TO Ljubljana,SI,STUR,HRD,0.280151947,6,1.5,0.025,0.025,5900,0,1.8,0.45,0.29,6,1.062,extraction,0.336182336,0.18,,,,,350
5,26.63,Biomas_SI,SI,STUR,BIO,0.35,1,1,0.2,0.2,1480,0,0.5,0.2,0.4,1,0.123,,,,,,,,
6,28.51,Biogas_SI,SI,ICEN,BIO,0.35,1,1,0.2,0.2,570.2,0,0.5,0.2,0.4,1,0.123,,,,,,,,
7,8.19,Waste_SI,SI,ICEN,WST,0.35,1,1,0.2,0.2,245.7,0,0.5,0.2,0.4,1,0.123,,,,,,,,
8,180,PHP Avce,SI,HPHS,WAT,0.84777799,0,0,1,1,0,0,0,0,0.5,1,0,,,,2172,0.003,181,0.75,
9,21,HE Moste,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
10,30,HE Doblar,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
11,20,HE Plave,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
12,26.2,HE Dravograd,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
13,55.6,HE Vuzenica,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
14,72.3,HE Vuhred,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
15,73.2,HE Ozbalt,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
16,58,HE Fala,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
17,60,HE Mariborski otok,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
18,126,HE Zlatolicje,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
19,116,HE Formin,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
20,24,mHE_Dravske,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
21,33,HE Solkan,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
22,19.747,mHE SENG,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
23,38,HE Mavcice,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
24,25,HE Medvode,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
25,34,HE Vrhovo,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
26,0.12,mHE Savske,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
27,32.5,HE Bostanj,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
28,39,HE Arto-Blanca,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
29,39,HE Krsko,SI,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
30,6.09,Wind_SI,SI,WTON,WIN,1,0,0,1,1,0,0,0,0,1,1,0,,,,,,,,
31,268.21,Solar_SI,SI,PHOT,SUN,1,0,0,1,1,0,0,0,0,1,1,0,,,,,,,,
