,[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS 1,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4],THISAVROS 2,THISAVROS 3
2014-12-31 23:00:00,0.283354235964,0.32122352384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320180704844,0.523786401334,0.391276811363,0.212837921503,0.429717255554,0.375624984529,0.256448303736,0.403485680765,0.522579681904,0.216115,0.345881,0.388927924413,0.32122352384,0.32122352384
2015-01-01 00:00:00,0.283354235964,0.320106492167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321109822071,0.513688840599,0.390524573262,0.212837921503,0.429739306994,0.375727064469,0.270337952301,0.403486075372,0.524012646163,0.216115,0.372887836494,0.388990446379,0.320106492167,0.320106492167
2015-01-01 01:00:00,0.283354235964,0.318989460494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322038939298,0.503591279863,0.389772335161,0.212837921503,0.429761358434,0.375829144409,0.284227600866,0.403486469979,0.525445610421,0.216115,0.399894672989,0.389052968345,0.318989460494,0.318989460494
2015-01-01 02:00:00,0.283354235964,0.317872428821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322968056525,0.493493719127,0.38902009706,0.212837921503,0.429783409873,0.37593122435,0.298117249431,0.403486864587,0.52687857468,0.216115,0.426901509483,0.38911549031,0.317872428821,0.317872428821
2015-01-01 03:00:00,0.283354235964,0.316755397148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323897173752,0.483396158391,0.388267858958,0.212837921503,0.429805461313,0.37603330429,0.312006897996,0.403487259194,0.528311538938,0.216115,0.453908345977,0.389178012276,0.316755397148,0.316755397148
2015-01-01 04:00:00,0.283354235964,0.315638365475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32482629098,0.473298597655,0.387515620857,0.212837921503,0.429827512753,0.376135384231,0.325896546561,0.403487653801,0.529744503197,0.216115,0.480915182472,0.389240534242,0.315638365475,0.315638365475
2015-01-01 05:00:00,0.283354235964,0.314521333802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325755408207,0.463201036919,0.386763382756,0.212837921503,0.429849564193,0.376237464171,0.339786195126,0.403488048408,0.531177467455,0.216115,0.507922018966,0.389303056207,0.314521333802,0.314521333802
2015-01-01 06:00:00,0.283354235964,0.31340430213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326684525434,0.453103476184,0.386011144655,0.212837921503,0.429871615632,0.376339544112,0.353675843692,0.403488443015,0.532610431713,0.216115,0.53492885546,0.389365578173,0.31340430213,0.31340430213
2015-01-01 07:00:00,0.283354235964,0.312287270457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327613642661,0.443005915448,0.385258906553,0.212837921503,0.429893667072,0.376441624052,0.367565492257,0.403488837622,0.534043395972,0.216115,0.561935691955,0.389428100139,0.312287270457,0.312287270457
2015-01-01 08:00:00,0.283354235964,0.311170238784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328542759888,0.432908354712,0.384506668452,0.212837921503,0.429915718512,0.376543703993,0.381455140822,0.403489232229,0.53547636023,0.216115,0.588942528449,0.389490622104,0.311170238784,0.311170238784
