,DE_P2HT_OTH,DE_STUR_BIO_CHP,DE_ICEN_GAS_CHP
2016-01-01 00:00:00,52638.79732638825,19418.037972301576,2214.141683491161
2016-01-01 01:00:00,53901.75514045416,19883.93316817552,2267.265380890158
2016-01-01 02:00:00,57624.697903544715,21257.297447267,2423.8632360025927
2016-01-01 03:00:00,65243.9725533518,24067.98788827333,2744.352199599188
2016-01-01 04:00:00,86381.17702659313,31865.336230879635,3633.4448056952215
2016-01-01 05:00:00,102205.82437619247,37702.92406989278,4299.0757300881505
2016-01-01 06:00:00,98962.80558244698,36506.5999652334,4162.664879987335
2016-01-01 07:00:00,98244.41805295457,36241.592460597305,4132.4474005854645
2016-01-01 08:00:00,94431.56981835426,34835.0627607826,3972.067858539543
2016-01-01 09:00:00,90366.13002094073,33335.3540217931,3801.063577013821
2016-01-01 10:00:00,86736.08957841029,31996.26067744896,3648.373465065991
2016-01-01 11:00:00,84566.79898726726,31196.02645456987,3557.126761770831
2016-01-01 12:00:00,83700.70961172308,30876.532901602754,3520.6965109782304
2016-01-01 13:00:00,84600.62056940666,31208.50296998481,3558.549396379144
2016-01-01 14:00:00,85914.52481732811,31693.191904268588,3613.8160497071176
2016-01-01 15:00:00,89059.07571370575,32853.19197670728,3746.0850522141127
2016-01-01 16:00:00,90827.21665339802,33505.44525093081,3820.458228572709
2016-01-01 17:00:00,90660.24934916559,33443.85232673053,3813.435095696231
2016-01-01 18:00:00,89498.32816022495,33015.228746526496,3764.5612940891538
2016-01-01 19:00:00,86322.95253075822,31843.857672696973,3630.9957132049626
2016-01-01 20:00:00,78116.72358838016,28816.644413540416,3285.817736342596
2016-01-01 21:00:00,63477.54409883116,23416.366336349292,2670.0510553726585
2016-01-01 22:00:00,53284.832357379935,19656.355209784215,2241.3158053132242
2016-01-01 23:00:00,54426.2037242612,20077.398122394367,2289.325221335505
2016-01-02 00:00:00,55720.41439270906,20554.82225023401,2343.7635051447146
2016-01-02 01:00:00,57033.89051933761,21039.353253942914,2399.012150439672
2016-01-02 02:00:00,60782.94868129528,22422.351298101617,2556.7084955661194
2016-01-02 03:00:00,68018.19853136776,25091.37801344729,2861.044253546816
2016-01-02 04:00:00,89012.41049277925,32835.977544046174,3744.122176615302
2016-01-02 05:00:00,106004.544608127,39104.242060736695,4458.861007044525
2016-01-02 06:00:00,102174.99964310342,37691.553068501955,4297.7791517109545
2016-01-02 07:00:00,101959.22651147997,37611.95605876621,4288.703103070584
2016-01-02 08:00:00,97853.54331253353,36097.40184573869,4116.0060664413
2016-01-02 09:00:00,93821.49697596648,34610.01169158925,3946.4064114908742
2016-01-02 10:00:00,90156.77870871084,33258.12597068044,3792.257648868699
2016-01-02 11:00:00,87966.93829550841,32450.31108020747,3700.146559988742
2016-01-02 12:00:00,86823.42632216266,32028.478514722956,3652.047103801379
2016-01-02 13:00:00,87724.19352243203,32360.764444254753,3689.9360052683255
2016-01-02 14:00:00,89114.30336049035,32873.56502086584,3748.4080884732552
2016-01-02 15:00:00,92249.0074671312,34029.93269008246,3880.262906220868
2016-01-02 16:00:00,94029.56392431768,34686.7659509773,3955.1583155369462
2016-01-02 17:00:00,93636.1204561392,34541.62775266945,3938.608933194683
2016-01-02 18:00:00,92444.2307766953,34101.949032224344,3888.4745692764427
2016-01-02 19:00:00,89021.82916122314,32839.452016693365,3744.518353341667
2016-01-02 20:00:00,80679.02952640879,29761.85890415248,3393.595813947003
2016-01-02 21:00:00,66655.9165773482,24588.842924202916,2803.7426924879655
2016-01-02 22:00:00,56438.80192220147,20819.82975487011,2373.980984546585
2016-01-02 23:00:00,56570.23515912291,20868.31444135597,2379.509450682684
2016-01-03 00:00:00,57867.014555328205,21346.686152644852,2434.0557826899935
2016-01-03 01:00:00,59239.99954167036,21853.169506261038,2491.8075445742597
2016-01-03 02:00:00,62977.498428719635,23231.90342489818,2649.0176728092583
2016-01-03 03:00:00,70255.98852937538,25916.88112830598,2955.172242124633
2016-01-03 04:00:00,91241.6380649288,33658.32204740741,3837.890004532787
2016-01-03 05:00:00,108063.37990570087,39863.730195298675,4545.461637821399
