,DE_P2HT_OTH,DE_STUR_BIO_CHP,DE_COMC_GAS_CHP
2016-01-01 00:00:00,52638.79732638825,19845.67710320948,1786.5025525832607
2016-01-01 01:00:00,53901.75514045416,20321.832605348245,1829.3659437174388
2016-01-01 02:00:00,57624.697903544715,21725.44218046646,1955.7185028031383
2016-01-01 03:00:00,65243.9725533518,24598.03183184397,2214.308256028552
2016-01-01 04:00:00,86381.17702659313,32567.099442554227,2931.6815940206366
2016-01-01 05:00:00,102205.82437619247,38533.247180030594,3468.752619950342
2016-01-01 06:00:00,98962.80558244698,37310.57669572511,3358.6881494956297
2016-01-01 07:00:00,98244.41805295457,37039.732989762786,3334.3068714199853
2016-01-01 08:00:00,94431.56981835426,35602.2275992381,3204.903020084056
2016-01-01 09:00:00,90366.13002094073,34069.49110828564,3066.9264905212913
2016-01-01 10:00:00,86736.08957841029,32700.90720908746,2943.726933427495
2016-01-01 11:00:00,84566.79898726726,31883.049605922322,2870.1036104183827
2016-01-01 12:00:00,83700.70961172308,31556.519917506484,2840.709495074504
2016-01-01 13:00:00,84600.62056940666,31895.800888860966,2871.2514775029936
2016-01-01 14:00:00,85914.52481732811,32391.164019730077,2915.8439342456354
2016-01-01 15:00:00,89059.07571370575,33576.71051573321,3022.5665131881906
2016-01-01 16:00:00,90827.21665339802,34243.32821872748,3082.57526077604
2016-01-01 17:00:00,90660.24934916559,34180.37884725829,3076.908575168471
2016-01-01 18:00:00,89498.32816022495,33742.31578529062,3037.474255325027
2016-01-01 19:00:00,86322.95253075822,32545.147866862404,2929.7055190395354
2016-01-01 20:00:00,78116.72358838016,29451.266963473965,2651.195186409051
2016-01-01 21:00:00,63477.54409883116,23932.059763428868,2154.357628293088
2016-01-01 22:00:00,53284.832357379935,20089.242748201817,1808.428266895625
2016-01-01 23:00:00,54426.2037242612,20519.55819521943,1847.1651485104449
2016-01-02 00:00:00,55720.41439270906,21007.496528428073,1891.0892269506555
2016-01-02 01:00:00,57033.89051933761,21502.69825065239,1935.6671537302007
2016-01-02 02:00:00,60782.94868129528,22916.153753102964,2062.9060405647765
2016-01-02 03:00:00,68018.19853136776,25643.95985010133,2308.4624168927808
2016-01-02 04:00:00,89012.41049277925,33559.11697345079,3020.9827472106904
2016-01-02 05:00:00,106004.544608127,39965.42608527713,3597.6769825040924
2016-01-02 06:00:00,102174.99964310342,38521.625757605514,3467.7064626074057
2016-01-02 07:00:00,101959.22651147997,38440.27580062995,3460.383361206855
2016-01-02 08:00:00,97853.54331253353,36892.36689706697,3321.041015113035
2016-01-02 09:00:00,93821.49697596648,35372.22028040835,3184.1978226717833
2016-01-02 10:00:00,90156.77870871084,33990.562280981954,3059.821338567185
2016-01-02 11:00:00,87966.93829550841,33164.957062866764,2985.5005773294483
2016-01-02 12:00:00,86823.42632216266,32733.83457262519,2946.691045899147
2016-01-02 13:00:00,87724.19352243203,33073.438361269255,2977.262088253829
2016-01-02 14:00:00,89114.30336049035,33597.53223091148,3024.4408784276175
2016-01-02 15:00:00,92249.0074671312,34779.36632808438,3130.829268218957
2016-01-02 16:00:00,94029.56392431768,35450.66488177765,3191.2593847366006
2016-01-02 17:00:00,93636.1204561392,35302.33033721306,3177.906348651072
2016-01-02 18:00:00,92444.2307766953,34852.968670109905,3137.454931390885
2016-01-02 19:00:00,89021.82916122314,33562.66796363623,3021.3024063988096
2016-01-02 20:00:00,80679.02952640879,30417.29770255889,2738.157015540596
2016-01-02 21:00:00,66655.9165773482,25130.35754237063,2262.2280743202537
2016-01-02 22:00:00,56438.80192220147,21278.340234390398,1915.4705050263
2016-01-02 23:00:00,56570.23515912291,21327.892688341788,1919.9312036968738
2016-01-03 00:00:00,57867.014555328205,21816.799473419185,1963.9424619156623
2016-01-03 01:00:00,59239.99954167036,22334.436997269706,2010.5400535655976
2016-01-03 02:00:00,62977.498428719635,23743.53446631087,2137.3866313965723
2016-01-03 03:00:00,70255.98852937538,26487.64283643331,2384.410533997306
2016-01-03 04:00:00,91241.6380649288,34399.57178688692,3096.640265053289
2016-01-03 05:00:00,108063.37990570087,40741.640258085725,3667.551575034351
2016-01-03 06:00:00,104211.1445121534,39289.28527224009,3536.8109670935596
2016-01-03 07:00:00,104834.9172359141,39524.457667703195,3557.9811233249143
2016-01-03 08:00:00,100673.57826889015,37955.56564031715,3416.749882028571
2016-01-03 09:00:00,96570.46379770112,36408.62518862294,3277.494715713329
2016-01-03 10:00:00,92903.17680268806,35025.99873732779,3153.0310518301526
2016-01-03 11:00:00,90697.49590164822,34194.42139935527,3078.172681957852
2016-01-03 12:00:00,89304.38921453958,33669.197669199486,3030.892182042389
2016-01-03 13:00:00,90380.25802360657,34074.81759356379,3067.40597930347
2016-01-03 14:00:00,91577.28515856531,34526.116164404484,3108.031756120814
2016-01-03 15:00:00,94678.59580435968,35695.360387283545,3213.2868087906395
2016-01-03 16:00:00,96304.17235351502,36308.22901156181,3268.4570786674108
2016-01-03 17:00:00,95891.03530586296,36152.46966933675,3254.43566427945
2016-01-03 18:00:00,94535.60329252985,35641.44989992274,3208.4338011164646
2016-01-03 19:00:00,90814.80113590384,34238.6473680285,3082.1538918462466
2016-01-03 20:00:00,82191.58205423757,30987.554444611866,2789.4913751599356
2016-01-03 21:00:00,68347.42380561071,25768.083097946997,2319.63595851386
2016-01-03 22:00:00,58358.92592087455,22002.258006286116,1980.6373895133472
2016-01-03 23:00:00,55031.56723242701,20747.790018956453,1867.7105163286578
2016-01-04 00:00:00,56146.39507914825,21168.09812999691,1905.5465402315053
2016-01-04 01:00:00,57721.88143703385,21762.081942834426,1959.0168044260058
2016-01-04 02:00:00,61223.05737040029,23082.081839949966,2077.8428426278056
2016-01-04 03:00:00,68863.73808485256,25962.74192356712,2337.159094008036
2016-01-04 04:00:00,90199.1627167083,34006.54173681644,3061.2598049137214
2016-01-04 05:00:00,108223.49726924684,40802.00709123823,3672.985781232379
2016-01-04 06:00:00,104164.05116993398,39271.53032131288,3535.2126711529627
2016-01-04 07:00:00,104152.4918950256,39267.17228790347,3534.820362149362
2016-01-04 08:00:00,100196.22302730255,37775.595001373185,3400.548973176162
2016-01-04 09:00:00,96297.32241282857,36305.64647324512,3268.224599257869
2016-01-04 10:00:00,92586.36704593932,34906.55634018111,3142.278879138866
2016-01-04 11:00:00,90339.15837948781,34059.32236366368,3066.011102846222
2016-01-04 12:00:00,88753.39711057254,33461.46474335115,3012.1921195374102
2016-01-04 13:00:00,90036.4766254049,33945.20645179517,3055.7384189371155
2016-01-04 14:00:00,91148.30762307579,34364.38470232209,3093.472733098289
2016-01-04 15:00:00,94385.76084001355,35584.95687424526,3203.3483140327485
2016-01-04 16:00:00,95665.4153845027,36067.40731353095,3246.7783737276836
2016-01-04 17:00:00,95935.55992032494,36169.2561683952,3255.946780441469
2016-01-04 18:00:00,94265.88687800054,35539.762453703275,3199.2799243657755
2016-01-04 19:00:00,90583.18751644292,34151.325291195586,3074.293181811131
2016-01-04 20:00:00,81968.95898192763,30903.621949319597,2781.9357943498426
2016-01-04 21:00:00,67726.21980960744,25533.879154352642,2298.552982061083
2016-01-04 22:00:00,57404.21543769931,21642.316728398167,1948.2355718085278
2016-01-04 23:00:00,47574.978673923324,17936.535652600207,1614.6421490798505
2016-01-05 00:00:00,48394.402828541,18245.471798733633,1642.4524984462291
2016-01-05 01:00:00,50026.8293183828,18860.922961328586,1697.8552477325413
2016-01-05 02:00:00,53113.155718925555,20024.517881639906,1802.6017516939962
2016-01-05 03:00:00,60868.57293987602,22948.43548206153,2065.8120331840432
2016-01-05 04:00:00,82274.63758506087,31018.867721701663,2792.3101880006234
2016-01-05 05:00:00,97270.01399030577,36672.36691421437,3301.2366754127343
2016-01-05 06:00:00,92691.68488399363,34946.26286680015,3145.8532500605647
2016-01-05 07:00:00,90645.69322520685,34174.890953335336,3076.4145564231953
2016-01-05 08:00:00,87465.18014022529,32975.78613116961,2968.4714605805484
2016-01-05 09:00:00,83622.36341512171,31526.982135509406,2838.0505118278757
2016-01-05 10:00:00,81363.1673524689,30675.228716937785,2761.3758965685333
2016-01-05 11:00:00,78856.51718251777,29730.181101675927,2676.302962639512
2016-01-05 12:00:00,77623.95598024802,29265.485613317447,2634.4711988851736
2016-01-05 13:00:00,77569.15645475633,29244.825306783972,2632.6113636088435
2016-01-05 14:00:00,78617.6255010775,29640.115077881546,2668.1952432317594
2016-01-05 15:00:00,82334.1464447745,31041.30352332786,2794.329852871014
2016-01-05 16:00:00,84972.65797293998,32036.06500118591,2883.8780154337055
2016-01-05 17:00:00,85343.41101259456,32175.844887576473,2896.4609634751287
2016-01-05 18:00:00,84284.66705524373,31776.68130900387,2860.5283647379006
2016-01-05 19:00:00,81480.04446543162,30719.293276966222,2765.3425764938324
2016-01-05 20:00:00,74407.48070666252,28052.82246498912,2525.307586142434
2016-01-05 21:00:00,60426.32364430651,22781.700351990563,2050.802581305533
2016-01-05 22:00:00,50323.08925307216,18972.617743525207,1707.9099821952027
2016-01-05 23:00:00,42903.319125758186,16175.244520621141,1456.0911917726796
2016-01-06 00:00:00,44122.608567947915,16634.936340991044,1497.472526671032
2016-01-06 01:00:00,44338.381699571386,16716.28629796662,1504.7956280715835
2016-01-06 02:00:00,47911.91013143853,18063.56425605214,1626.0772300366632
2016-01-06 03:00:00,57024.47185089374,21499.14726046695,1935.3474945420817
2016-01-06 04:00:00,77719.42702856555,29301.479741106246,2637.711380655656
2016-01-06 05:00:00,86494.20104791972,32609.711324779524,2935.517504278068
2016-01-06 06:00:00,81667.56159172342,30789.99026338547,2771.7067003300253
2016-01-06 07:00:00,80316.83891261226,30280.745989064177,2725.864666761099
2016-01-06 08:00:00,77373.50502389936,29171.06155611366,2625.9711704738193
2016-01-06 09:00:00,74034.15893925051,27912.074126729796,2512.637458322433
2016-01-06 10:00:00,72123.45360902132,27191.70734501952,2447.790233023505
2016-01-06 11:00:00,70044.92473197386,26408.06837455046,2377.247262190815
2016-01-06 12:00:00,69540.1697276404,26217.767582339748,2360.1164357002403
2016-01-06 13:00:00,70828.38669798762,26703.44619452129,2403.8370946571017
2016-01-06 14:00:00,72388.4606893287,27291.619296146262,2456.784280180134
2016-01-06 15:00:00,74897.67958703727,28237.63536327688,2541.944393887734
2016-01-06 16:00:00,78068.34588228205,29433.027786612376,2649.5533005791654
2016-01-06 17:00:00,78677.1343607911,29662.55087950774,2670.214908102149
2016-01-06 18:00:00,77798.62946775272,29331.340340392915,2640.3994238284768
2016-01-06 19:00:00,75671.29476331426,28529.300784417475,2568.200037202805
2016-01-06 20:00:00,68975.90586359333,26005.030988502833,2340.9659443392748
2016-01-06 21:00:00,55206.240719931724,20813.644746031914,1873.6387412719612
2016-01-06 22:00:00,46166.88774156307,17405.66261987668,1566.8531004560157
2016-01-06 23:00:00,38713.296032109705,14595.538114033983,1313.8864429488822
2016-01-07 00:00:00,40097.412172067365,15117.372262649114,1360.8618136393222
2016-01-07 01:00:00,41108.206544612985,15498.45807300492,1395.167056509761
2016-01-07 02:00:00,44669.74758027885,16841.21658903625,1516.0418195081443
2016-01-07 03:00:00,51871.60396950484,19556.432811740775,1760.4648587146344
2016-01-07 04:00:00,70235.86682860891,26480.056630128052,2383.727625731779
2016-01-07 05:00:00,83183.53908989542,31361.538274596784,2823.157299654136
2016-01-07 06:00:00,80427.72232747433,30322.550828065512,2729.627927203049
2016-01-07 07:00:00,78719.94649008146,29678.691743987023,2671.6679044117823
2016-01-07 08:00:00,75550.99268000832,28483.944955230694,2564.1171175727354
2016-01-07 09:00:00,72170.11882994781,27209.30088730193,2449.373999001005
2016-01-07 10:00:00,69004.16186892497,26015.683959059155,2341.9249219036324
2016-01-07 11:00:00,67054.06937974865,25280.467582027937,2275.740939999842
2016-01-07 12:00:00,66940.61723712916,25237.694291157848,2271.8904997793143
2016-01-07 13:00:00,67463.78145705747,25434.93565509465,2289.6461146830316
2016-01-07 14:00:00,68690.34896122657,25897.371422426033,2331.2744589540216
2016-01-07 15:00:00,71381.5194084192,26911.986163593592,2422.609806977562
2016-01-07 16:00:00,73788.41731712379,27819.425564618727,2504.2972595051383
2016-01-07 17:00:00,74384.79027813865,28044.2678068151,2524.5374980983283
2016-01-07 18:00:00,73624.8749832346,27757.767462307875,2498.74681360234
2016-01-07 19:00:00,70628.45405420162,26628.06835740305,2397.051601891115
2016-01-07 20:00:00,64200.21284125259,24204.517555839117,2178.884205999696
2016-01-07 21:00:00,50648.46143567897,19095.288313567737,1718.952754148415
2016-01-07 22:00:00,41366.791805526824,15595.948894459774,1403.9431542199457
2016-01-07 23:00:00,36014.8475229377,13578.179425904946,1222.304085552704
2016-01-08 00:00:00,37597.61194280267,14174.907185703938,1276.0213591198421
2016-01-08 01:00:00,38486.81986816365,14510.152940938591,1306.200092470923
2016-01-08 02:00:00,41763.232122755646,15745.41329953791,1417.3979000471486
2016-01-08 03:00:00,48802.40242067823,18399.294237221176,1656.2995532770333
2016-01-08 04:00:00,66156.29902852958,24941.993653897433,2245.271607386835
2016-01-08 05:00:00,78465.21432080379,29582.653600335307,2663.0225763694652
2016-01-08 06:00:00,76319.89852206335,28773.83488127857,2590.2129312937473
2016-01-08 07:00:00,74506.8048466162,28090.26927058105,2528.6785375807826
2016-01-08 08:00:00,71146.05269732219,26823.21140895755,2414.61832727458
2016-01-08 09:00:00,67613.19578828086,25491.267272127345,2294.7170718036514
2016-01-08 10:00:00,64624.90916381306,24364.634931473578,2193.2979293912567
2016-01-08 11:00:00,62921.41453934925,23722.389933843016,2135.4832062309533
2016-01-08 12:00:00,62713.34759099805,23643.945332473708,2128.4216441661356
2016-01-08 13:00:00,63328.12976760777,23875.72814639618,2149.2866711724682
2016-01-08 14:00:00,64600.07812882465,24355.273230075596,2192.4551915316697
2016-01-08 15:00:00,67282.25802886632,25366.498389702505,2283.4854103301873
2016-01-08 16:00:00,69142.87316782578,26067.98035997202,2346.632629946844
2016-01-08 17:00:00,69390.75539641701,26161.435965307057,2355.04547857962
2016-01-08 18:00:00,68819.6415916835,25946.11683315346,2335.662507809114
2016-01-08 19:00:00,66717.56604352634,25153.6003872208,2264.320389006126
2016-01-08 20:00:00,60305.59343970766,22736.18311415899,2046.705131712367
2016-01-08 21:00:00,47285.14055862752,17827.26200007548,1604.8053640636338
2016-01-08 22:00:00,38467.12628869008,14502.728143278122,1305.5317141684916
2016-01-08 23:00:00,36436.11887515494,13737.005532381065,1236.6015692394944
2016-01-09 00:00:00,38008.18026269732,14329.698076060236,1289.9555937292241
2016-01-09 01:00:00,38948.76274320674,14684.312868670022,1321.8779226518645
2016-01-09 02:00:00,42272.69646131105,15937.489586841346,1434.6885561317833
2016-01-09 03:00:00,49414.61586953051,18630.108599274878,1677.077400504787
2016-01-09 04:00:00,66948.32342040142,25240.599646764116,2272.152039115048
2016-01-09 05:00:00,79443.89959638163,29951.633762331654,2696.2380720076794
2016-01-09 06:00:00,77225.80317784757,29115.375573660138,2620.9583332055845
2016-01-09 07:00:00,75420.84380696558,28434.876727213687,2559.7000087914507
2016-01-09 08:00:00,71958.62691125339,27129.56501677429,2442.196197231417
2016-01-09 09:00:00,68412.49824213207,25792.617211955505,2321.8445129045026
2016-01-09 10:00:00,65380.115124495176,24649.35978088808,2218.928784293186
2016-01-09 11:00:00,63699.73904984817,24015.83085007633,2161.8986791400844
2016-01-09 12:00:00,63460.419247115,23925.603417637154,2153.7764297692347
2016-01-09 13:00:00,64049.9422674434,24147.863121516843,2173.784188952883
2016-01-09 14:00:00,65341.58420813386,24634.83300285673,2217.6210876145155
2016-01-09 15:00:00,68082.41672530331,25668.171146820252,2310.6419113572306
2016-01-09 16:00:00,69939.17877262665,26368.20043928664,2373.658361306021
2016-01-09 17:00:00,70229.44500921536,26477.635500456156,2383.5096762853336
2016-01-09 18:00:00,69660.04368965344,26262.96200288173,2364.184825367213
2016-01-09 19:00:00,67519.00910384205,25455.757370272924,2291.5204799224584
2016-01-09 20:00:00,61020.98412014973,23005.896959607762,2070.984700046337
2016-01-09 21:00:00,47857.110605946866,18042.903949518666,1624.2173947603328
2016-01-09 22:00:00,38923.50358692542,14674.789758627248,1321.020654829181
