,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_GTUR_GAS_CHP,SE_ICEN_GAS_CHP
2016-01-01 00:00:00,4530.503034497185,2193.8226193834694,528.9034442046119,170.53388783989996
2016-01-01 01:00:00,4635.6656569268125,2244.7459137821465,541.1804193619175,174.4923425019559
2016-01-01 02:00:00,5014.980549389746,2428.422998780843,585.462688137401,188.77023677434255
2016-01-01 03:00:00,5809.475043699128,2813.144072648305,678.2141709732292,218.67601852756263
2016-01-01 04:00:00,7842.213826385105,3797.4648614874736,915.5217138982557,295.1908878334295
2016-01-01 05:00:00,9299.293629644162,4503.032125496889,1085.6252367425404,350.0372220816839
2016-01-01 06:00:00,9068.300586157118,4391.177490401529,1058.65847050106,341.34235056965355
2016-01-01 07:00:00,8864.661982030384,4292.568798935883,1034.8851371039657,333.67713489457424
2016-01-01 08:00:00,8484.739213137222,4108.597359634303,990.5319031541625,319.3763593813664
2016-01-01 09:00:00,8069.559611290773,3907.553370765538,942.0626890938178,303.748471900533
2016-01-01 10:00:00,7718.814911048605,3737.7109380023203,901.1157835113596,290.5459959467396
2016-01-01 11:00:00,7508.489666189352,3635.8643492049664,876.5618331967486,282.62908662262777
2016-01-01 12:00:00,7458.035922480339,3611.432942065717,870.6717237282148,280.7299436344738
2016-01-01 13:00:00,7520.647194793931,3641.7514352626167,877.9811366831423,283.08671143905036
2016-01-01 14:00:00,7650.7327508629505,3704.743256079478,893.1676839875549,287.98329697477277
2016-01-01 15:00:00,7958.926100989084,3853.9808876409184,929.1470273676351,299.58408607108686
2016-01-01 16:00:00,8159.525322964675,3951.1178075921525,952.5655348931313,307.1348955420606
2016-01-01 17:00:00,8163.780457976277,3953.1782877123296,953.0622911133689,307.2950642278085
2016-01-01 18:00:00,8084.7565220464985,3914.912228337601,943.8368184518098,304.32050292106123
2016-01-01 19:00:00,7845.253208536251,3798.9366330018865,915.8765397698542,295.3052940375352
2016-01-01 20:00:00,7105.467592947483,3440.707446393851,829.5119226227974,267.45882395821695
2016-01-01 21:00:00,5628.327867490868,2725.426490389312,657.066549025963,211.85740876286516
2016-01-01 22:00:00,4617.429364019941,2235.915284695671,539.0514641323269,173.80590527732193
2016-01-01 23:00:00,4702.532064252009,2277.124887099224,548.9865885370828,177.00927899228046
2016-01-02 00:00:00,4885.502869750956,2365.725532266865,570.347106007308,183.89653247944133
2016-01-02 01:00:00,5006.470279366539,2424.302038540488,584.4691756969254,188.4498994028467
2016-01-02 02:00:00,5396.726947573596,2613.2775009910697,630.0288176101631,203.13965601001368
2016-01-02 03:00:00,6208.849858359619,3006.534849642125,724.8382905012622,233.70899374704663
2016-01-02 04:00:00,8364.987556382097,4050.6095619664457,976.5517638131846,314.8687549396033
2016-01-02 05:00:00,9911.425194884825,4799.4469084995935,1157.0871672824633,373.07863158856424
2016-01-02 06:00:00,9656.11709418862,4675.818101288932,1127.2817940681955,363.4685104436886
2016-01-02 07:00:00,9454.9099957828,4578.386827034816,1103.7923213683798,355.89481973189373
2016-01-02 08:00:00,9071.947844738494,4392.943616218824,1059.0842615469783,341.47963801458036
2016-01-02 09:00:00,8649.473725729296,4188.367375715468,1009.7634653947972,325.57717564389327
2016-01-02 10:00:00,8279.2769797198,4009.10560526001,966.5456742341092,311.6424999838237
2016-01-02 11:00:00,8058.617835546649,3902.2549933136524,940.7853159560634,303.3366095657526
2016-01-02 12:00:00,8001.477451105118,3874.585688842695,934.114589570013,301.1857729285661
2016-01-02 13:00:00,8061.049341267566,3903.432410525183,941.0691766533422,303.42813452903715
2016-01-02 14:00:00,8197.213661638876,3969.367774370869,956.9653757009518,308.5535324729708
2016-01-02 15:00:00,8525.466933962569,4128.319097927433,995.2865698335814,320.9094025163823
2016-01-02 16:00:00,8718.16376234518,4221.629411941194,1017.7825300929217,328.16275585668126
2016-01-02 17:00:00,8716.340133054493,4220.746349032546,1017.5696345699625,328.0941121342179
2016-01-02 18:00:00,8619.687780648073,4173.944014874225,1006.2861718531328,324.4559948436579
2016-01-02 19:00:00,8359.516668510036,4047.960373240504,975.9130772443076,314.6628237722132
2016-01-02 20:00:00,7572.924567793632,3667.065905310514,884.0841416746352,285.0544981496678
2016-01-02 21:00:00,6031.957817162964,2920.87774750331,704.1874247742339,227.0505526680971
2016-01-02 22:00:00,4973.64495213417,2408.4069061848313,580.6370562836623,187.2143123985055
2016-01-02 23:00:00,4951.7614006459235,2397.8101512810604,578.0823100081537,186.39058772894478
2016-01-03 00:00:00,5139.595217586703,2488.765630871761,600.0105488729363,193.46089114267468
2016-01-03 01:00:00,5258.1311214813695,2546.164719933853,613.8487578652748,197.9227331027955
2016-01-03 02:00:00,5664.800453304611,2743.0877485622636,661.3244594851441,213.2302832121331
2016-01-03 03:00:00,6502.454174160256,3148.7079779343853,759.11446969767,244.7606330636536
