,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_ICEN_GAS_CHP
2016-01-01 00:00:00,4530.503034497185,2306.2478128209095,587.0121386070721
2016-01-01 01:00:00,4635.6656569268125,2359.7807353511685,600.6379402948521
2016-01-01 02:00:00,5014.980549389746,2552.870583090367,649.78534060222
2016-01-01 03:00:00,5809.475043699128,2957.3071712235924,752.727090925505
2016-01-01 04:00:00,7842.213826385105,3992.070714236221,1016.1067489829381
2016-01-01 05:00:00,9299.293629644162,4733.7956581959315,1204.8989261251832
2016-01-01 06:00:00,9068.300586157118,4616.208891944496,1174.9694195277475
2016-01-01 07:00:00,8864.661982030384,4512.5468743281,1148.584196606324
2016-01-01 08:00:00,8484.739213137222,4319.147587730344,1099.358034439489
2016-01-01 09:00:00,8069.559611290773,4107.800847336318,1045.563684423572
2016-01-01 10:00:00,7718.814911048605,3929.25462594927,1000.1180915111502
2016-01-01 11:00:00,7508.489666189352,3822.1887808887527,972.8664881355904
2016-01-01 12:00:00,7458.035922480339,3796.5053556285716,966.3292537998349
2016-01-01 13:00:00,7520.647194793931,3828.377558059881,974.441725324929
2016-01-01 14:00:00,7650.7327508629505,3894.5974737909532,991.2967632508535
2016-01-01 15:00:00,7958.926100989084,4051.4829750790514,1031.2290260005898
2016-01-01 16:00:00,8159.525322964675,4153.597798402667,1057.2204396246786
2016-01-01 17:00:00,8163.780457976277,4155.763870412561,1057.7717726409471
2016-01-01 18:00:00,8084.7565220464985,4115.536818800228,1047.5327309102454
2016-01-01 19:00:00,7845.253208536251,3993.6179085290037,1016.500558280273
2016-01-01 20:00:00,7105.467592947483,3617.030817665854,920.647375309012
2016-01-01 21:00:00,5628.327867490868,2865.094391373783,729.2560568043581
2016-01-01 22:00:00,4617.429364019941,2350.497569594476,598.275084510844
2016-01-01 23:00:00,4702.532064252009,2393.819009792373,609.3017448362149
2016-01-02 00:00:00,4885.502869750956,2486.960106217852,633.0090645357626
2016-01-02 01:00:00,5006.470279366539,2548.5384390705776,648.682674569683
2016-01-02 02:00:00,5396.726947573596,2747.1981862637913,699.2477883474556
2016-01-02 03:00:00,6208.849858359619,3160.6085012951526,804.4736325952819
2016-01-02 04:00:00,8364.987556382097,4258.1881325947315,1083.8419481245028
2016-01-02 05:00:00,9911.425194884825,5045.400588762234,1284.2121186083873
2016-01-02 06:00:00,9656.11709418862,4915.4362681685425,1251.1321376322744
2016-01-02 07:00:00,9454.9099957828,4813.012005986371,1225.0619621487185
2016-01-02 08:00:00,9071.947844738494,4618.065525095834,1175.441990684549
2016-01-02 09:00:00,8649.473725729296,4403.005518399131,1120.7024983550286
2016-01-02 10:00:00,8279.2769797198,4214.557253538279,1072.736525939665
2016-01-02 11:00:00,8058.617835546649,4102.230947882302,1044.1459709531673
2016-01-02 12:00:00,8001.477451105118,4073.1436951779997,1036.7423561632752
2016-01-02 13:00:00,8061.049341267566,4103.468703316528,1044.461018391035
2016-01-02 14:00:00,8197.213661638876,4172.783007633164,1062.1036749116288
2016-01-02 15:00:00,8525.466933962569,4339.879991253623,1104.6350790237739
2016-01-02 16:00:00,8718.16376234518,4437.972109416005,1129.6025884747926
2016-01-02 17:00:00,8716.340133054493,4437.043792840336,1129.3663028963917
2016-01-02 18:00:00,8619.687780648073,4387.843014329867,1116.843167241149
2016-01-02 19:00:00,8359.516668510036,4255.403182867724,1083.1330913893005
2016-01-02 20:00:00,7572.924567793632,3854.9892998957325,981.2152452390856
2016-01-02 21:00:00,6031.957817162964,3070.561793455238,781.5539314904036
2016-01-02 22:00:00,4973.64495213417,2531.8287407085313,644.4295341584683
2016-01-02 23:00:00,4951.7614006459235,2520.6889418005007,641.5941072176587
2016-01-03 00:00:00,5139.595217586703,2616.3055490944307,665.9315217929418
2016-01-03 01:00:00,5258.1311214813695,2676.64612651293,681.2900843889942
2016-01-03 02:00:00,5664.800453304611,2883.660722887167,733.9817683723743
2016-01-03 03:00:00,6502.454174160256,3310.067469977898,842.5156107178118
2016-01-03 04:00:00,8718.77163877541,4438.281548274561,1129.6813503342594
2016-01-03 05:00:00,10356.998618242726,5272.219272084081,1341.9445615976513
2016-01-03 06:00:00,10078.591213197817,5130.496274865246,1305.8716299617947
2016-01-03 07:00:00,9887.71801410589,5033.332473278534,1281.1404060891768
2016-01-03 08:00:00,9469.499030108298,4820.438538591726,1226.952246775925
2016-01-03 09:00:00,9020.278348169024,4591.76322211854,1168.7472326298598
2016-01-03 10:00:00,8637.924073554945,4397.1261800865595,1119.206023025157
2016-01-03 11:00:00,8403.283771486527,4277.6827806837855,1088.80394527092
2016-01-03 12:00:00,8329.730723428811,4240.24067879846,1079.2737602754205
2016-01-03 13:00:00,8398.420760044693,4275.207269815334,1088.1738503951842
2016-01-03 14:00:00,8539.448091857837,4346.997085000422,1106.4466017915136
2016-01-03 15:00:00,8870.132869902445,4515.331824055107,1149.2930533415263
2016-01-03 16:00:00,9081.06599119193,4622.707107974181,1176.6234185765531
2016-01-03 17:00:00,9070.732091878035,4617.4466473787215,1175.2844669656151
2016-01-03 18:00:00,8978.942750913448,4570.721379736704,1163.3914261861078
2016-01-03 19:00:00,8702.358975159224,4429.926699093539,1127.5547801286525
2016-01-03 20:00:00,7887.804558652285,4015.2786286279515,1022.0138884429583
2016-01-03 21:00:00,6319.483368661308,3216.9263735524187,818.8082910182641
2016-01-03 22:00:00,5226.521547109459,2660.555305867997,677.1944676967136
2016-01-03 23:00:00,4644.783803380248,2364.422318229514,601.8193681868561
2016-01-04 00:00:00,4824.715226728051,2456.0162203622112,625.1328785890692
2016-01-04 01:00:00,4946.8983892040915,2518.213430932049,640.9640123419231
2016-01-04 02:00:00,5307.369112329923,2701.710674055999,687.669795005816
2016-01-04 03:00:00,6155.356732499464,3133.377881742189,797.5425889621914
2016-01-04 04:00:00,8290.218755463922,4220.127152992293,1074.1542394100697
2016-01-04 05:00:00,10057.3155381398,5119.665914815772,1303.114964880452
2016-01-04 06:00:00,9763.711222339165,4970.2069461330275,1265.072986757922
2016-01-04 07:00:00,9519.34489738708,4845.81252499335,1233.4107192522135
2016-01-04 08:00:00,9076.202979750096,4620.23159710573,1175.9933237008177
2016-01-04 09:00:00,8656.160366461816,4406.409345843252,1121.5688788091652
2016-01-04 10:00:00,8286.571496882549,4218.270519840955,1073.681668253268
2016-01-04 11:00:00,8034.302778337488,4089.853393540046,1040.9954965744898
2016-01-04 12:00:00,7934.611043779922,4039.105420736796,1028.0785516219125
2016-01-04 13:00:00,8016.674361860845,4080.8796666419103,1038.7114026499487
2016-01-04 14:00:00,8151.015052941468,4149.265654382876,1056.1177735921415
2016-01-04 15:00:00,8473.7974373931,4313.577688276329,1097.9403209690843
2016-01-04 16:00:00,8681.083300101209,4419.096339044065,1124.7981150473095
2016-01-04 17:00:00,8726.674032368388,4442.304253435795,1130.7052545073295
2016-01-04 18:00:00,8648.865849299067,4402.696079540575,1120.6237364955618
2016-01-04 19:00:00,8374.713579265761,4263.139154331635,1085.1021378759738
2016-01-04 20:00:00,7602.710512874854,3870.151803964996,985.0745763529654
2016-01-04 21:00:00,6076.940672999914,3093.460268988412,787.3823090909567
2016-01-04 22:00:00,4971.821322843482,2530.900424132862,644.1932485800676
2016-01-04 23:00:00,5350.528338876187,2723.680833013504,693.2618870279684
2016-01-05 00:00:00,5421.6498812129885,2759.885179464604,702.4770245855999
2016-01-05 01:00:00,5613.73883316537,2857.6678587684287,727.3657721771516
2016-01-05 02:00:00,5963.26778054708,3035.595202438364,772.6538413706398
2016-01-05 03:00:00,6816.118412158451,3469.7379209930036,883.1567302027504
2016-01-05 04:00:00,9285.920348179123,4726.98800330769,1203.1661652169105
2016-01-05 05:00:00,11094.352728110578,5647.568607513005,1437.4826971310445
2016-01-05 06:00:00,10536.930041590529,5363.813174216778,1365.2580719998643
2016-01-05 07:00:00,10257.30688368516,5221.471299280831,1329.0276166450737
2016-01-05 08:00:00,9859.147821885126,5018.7888469263835,1277.4385986942311
2016-01-05 09:00:00,9400.201117062184,4785.162508716295,1217.9733947966945
2016-01-05 10:00:00,9164.95293856354,4665.409670454966,1187.4925551829904
2016-01-05 11:00:00,8837.307542670076,4498.622125693061,1145.0399129303119
2016-01-05 12:00:00,8678.043917950063,4417.549144751281,1124.4043057499746
2016-01-05 13:00:00,8633.668938543342,4394.960108076664,1118.6546900088883
2016-01-05 14:00:00,8781.382911089004,4470.153750705872,1137.793821859354
2016-01-05 15:00:00,9203.24915366797,4684.904318544019,1192.454552329407
2016-01-05 16:00:00,9539.40481958464,4856.024007325712,1236.0098606146225
2016-01-05 17:00:00,9569.798641096095,4871.495950253533,1239.9479535879696
2016-01-05 18:00:00,9462.812389375778,4817.034711147605,1226.085866321789
2016-01-05 19:00:00,9169.208073575142,4667.57574246486,1188.0438881992588
2016-01-05 20:00:00,8428.814581556147,4290.6792127431545,1092.111943368531
2016-01-05 21:00:00,6856.23825655357,3490.160885657727,888.3550129275683
2016-01-05 22:00:00,5684.86037550217,2893.8722052195285,736.5809097347831
2016-01-05 23:00:00,5742.608636373931,2923.268896782387,744.063286384142
2016-01-06 00:00:00,5873.302068873178,2989.7982513720153,760.9970861695332
2016-01-06 01:00:00,5912.206160407839,3009.6023383196257,766.0378451754171
2016-01-06 02:00:00,6316.443986510164,3215.379179259636,818.4144817209293
2016-01-06 03:00:00,7319.440096388113,3725.95329587771,948.3715498413733
2016-01-06 04:00:00,9859.147821885126,5018.7888469263835,1277.4385986942311
2016-01-06 05:00:00,11014.113039320342,5606.722678183559,1427.086131681409
2016-01-06 06:00:00,10391.039698335555,5289.547848163241,1346.3552257278
2016-01-06 07:00:00,10226.305185743478,5205.689917494454,1325.0107618122602
2016-01-06 08:00:00,9869.48172119902,5024.049307521842,1278.7775503051687
2016-01-06 09:00:00,9474.96991798036,4823.223488318733,1227.6611035111275
2016-01-06 10:00:00,9260.99741453973,4714.3010101068785,1199.9369289787662
2016-01-06 11:00:00,8985.629391645967,4574.125207180824,1164.257806640244
2016-01-06 12:00:00,8885.937657088401,4523.377234377574,1151.3408616876668
2016-01-06 13:00:00,8997.786920250548,4580.313984351953,1165.833043829583
2016-01-06 14:00:00,9185.0128607611,4675.621152787327,1190.0916965453994
2016-01-06 15:00:00,9522.384279538226,4847.3597192861325,1233.8045285495484
2016-01-06 16:00:00,9872.521103350166,5025.596501814624,1279.1713596025036
2016-01-06 17:00:00,9891.365272687268,5035.189106429873,1281.6129772459785
2016-01-06 18:00:00,9780.123885955349,4978.56179531405,1267.1995569635294
2016-01-06 19:00:00,9524.207908828916,4848.288035861802,1234.0408141279495
2016-01-06 20:00:00,8750.98908957755,4454.681807778052,1133.8557288860072
2016-01-06 21:00:00,7181.452146726117,3655.710674985405,930.4926077423788
2016-01-06 22:00:00,6067.214650116249,3088.5092472515094,786.1221193394857
2016-01-06 23:00:00,5847.771258803558,2976.8018193126463,757.6890880719219
2016-01-07 00:00:00,5998.524613500366,3053.542656234635,777.222029219722
2016-01-07 01:00:00,6138.944068883277,3125.023032561165,795.4160187565841
2016-01-07 02:00:00,6569.320581485453,3344.1057444191024,851.1794152591746
2016-01-07 03:00:00,7410.0136844922445,3772.0596858026147,960.1070669019467
2016-01-07 04:00:00,9758.240334467102,4967.421996406019,1264.3641300227196
2016-01-07 05:00:00,11607.400435223903,5908.735004134613,1503.957706521138
2016-01-07 06:00:00,11221.39890202845,5712.241328951294,1453.9439257596339
2016-01-07 07:00:00,11077.94006449439,5639.213758331981,1435.3561269254371
2016-01-07 08:00:00,10711.390577066271,5452.6221266224675,1387.862725666875
2016-01-07 09:00:00,10250.62024295264,5218.06747183671,1328.1612361909376
2016-01-07 10:00:00,9819.635853920237,4998.675321120217,1272.3190778288802
2016-01-07 11:00:00,9566.759258944949,4869.9487559607505,1239.5541442906347
2016-01-07 12:00:00,9474.362041550132,4822.914049460177,1227.5823416516607
2016-01-07 13:00:00,9505.363739491813,4838.695431246553,1231.5991964844743
2016-01-07 14:00:00,9610.526361921442,4892.228353776813,1245.2249981722541
2016-01-07 15:00:00,9964.310444314753,5072.321769456641,1291.0644003820107
2016-01-07 16:00:00,10245.757231510808,5215.591960968259,1327.5311413152021
2016-01-07 17:00:00,10259.130512975848,5222.3996158565,1329.2639022234746
2016-01-07 18:00:00,10117.495304732478,5150.300361812857,1310.9123889676787
2016-01-07 19:00:00,9688.942421420988,4932.145966530588,1255.3852780434888
2016-01-07 20:00:00,8866.48561132107,4513.475190903769,1148.8204821847248
2016-01-07 21:00:00,7301.20380348124,3716.6701301210173,946.0086940573652
2016-01-07 22:00:00,6121.315652406636,3116.0493056630303,793.1319248320432
2016-01-07 23:00:00,5611.915203874683,2856.73954219276,727.1294865987509
2016-01-08 00:00:00,5785.767862920195,2945.239055739892,749.6553784062944
2016-01-08 01:00:00,5918.284924710129,3012.6967269051893,766.8254637700865
2016-01-08 02:00:00,6331.033020835661,3222.8057118649904,820.3047663481358
2016-01-08 03:00:00,7145.587437342602,3637.4537823305773,925.8456580338297
2016-01-08 04:00:00,9473.754165119903,4822.60461060162,1227.5035797921937
2016-01-08 05:00:00,11262.126622853797,5732.973732474573,1459.2209703439187
2016-01-08 06:00:00,10927.186709797586,5562.4729214099925,1415.823185777637
2016-01-08 07:00:00,10809.258682333148,5502.441782850049,1400.5433850410516
2016-01-08 08:00:00,10376.450664010055,5282.121315557886,1344.4649411005933
2016-01-08 09:00:00,9915.072453466199,5047.257221913573,1284.684689765189
2016-01-08 10:00:00,9517.521268096396,4844.884208417681,1233.174433673813
2016-01-08 11:00:00,9262.82104383042,4715.229326682547,1200.173214557167
2016-01-08 12:00:00,9155.834792110105,4660.768087576619,1186.3111272909864
2016-01-08 13:00:00,9233.642975179424,4700.37626147184,1196.392645302754
2016-01-08 14:00:00,9376.493936283252,4773.094393232595,1214.901682277484
2016-01-08 15:00:00,9716.904737211526,4946.380154024184,1259.008323578968
2016-01-08 16:00:00,9916.896082756886,5048.1855384892415,1284.9209753435898
2016-01-08 17:00:00,9876.77623836177,5027.76257382452,1279.722692618772
2016-01-08 18:00:00,9758.240334467102,4967.421996406019,1264.3641300227196
2016-01-08 19:00:00,9431.810691434097,4801.253329361229,1222.0690114889753
2016-01-08 20:00:00,8558.900137625167,4356.899128474227,1108.9669812944555
2016-01-08 21:00:00,6985.108059762131,3555.7619236716855,905.0525271345588
2016-01-08 22:00:00,5862.968169559285,2984.537790776556,759.6581345585953
2016-01-08 23:00:00,5611.307327444453,2856.430103334203,727.0507247392839
2016-01-09 00:00:00,5773.610334315613,2939.050278568764,748.0801412169558
2016-01-09 01:00:00,5909.774654686922,3008.3645828854,765.7227977375494
2016-01-09 02:00:00,6323.130627242685,3218.783006703757,819.2808621750656
2016-01-09 03:00:00,7125.527515145043,3627.242299998216,923.2465166714209
2016-01-09 04:00:00,9429.98706214341,4800.325012785559,1221.8327259105743
2016-01-09 05:00:00,11212.888632005242,5707.909184931504,1452.8412597270967
2016-01-09 06:00:00,10873.085707507198,5534.932862998472,1408.8133802850798
2016-01-09 07:00:00,10770.962467228717,5482.947134760995,1395.5813878946346
2016-01-09 08:00:00,10332.683561033564,5259.841717741825,1338.794087218974
2016-01-09 09:00:00,9881.031373373371,5029.928645834414,1280.2740256350405
2016-01-09 10:00:00,9486.519570154713,4829.102826631304,1229.1575788409991
2016-01-09 11:00:00,9240.329615911944,4703.78008891596,1197.2590257568904
2016-01-09 12:00:00,9127.264599889339,4646.2244612244685,1182.6093198960405
2016-01-09 13:00:00,9203.24915366797,4684.904318544019,1192.454552329407
2016-01-09 14:00:00,9344.884361911341,4757.003572587661,1210.8060655852032
2016-01-09 15:00:00,9679.824274967554,4927.504383652243,1254.2038501514849
2016-01-09 16:00:00,9878.599867652456,5028.6908904001875,1279.9589781971727
2016-01-09 17:00:00,9839.695776117798,5008.886803452578,1274.918219191289
