,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,HU_STUR_GEO,HU_STUR_GEO,39.333333333333336,6.0,HU,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
1,1,HU_STUR_NUC,HU_STUR_NUC,794.0,4.0,HU,STUR,NUC,0.34,24,24,0.05,0.05,300.0,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
2,2,HU_COMC_GAS,HU_COMC_GAS,1446.0721772310924,8.0,HU,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
3,3,HU_COMC_CCS_GAS,HU_COMC_CCS_GAS,175.0,1.0,HU,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
4,4,HU_STUR_OIL,HU_STUR_OIL,61.0,1.0,HU,STUR,OIL,0.33,5,5,0.02,0.02,120.0,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
5,5,HU_WTON_WIN,HU_WTON_WIN,19169.0,1.0,HU,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
6,6,HU_PHOT_SUN,HU_PHOT_SUN,27984.0,1.0,HU,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,HU_BATS_OTH,HU_BATS_OTH,2365.0,1.0,HU,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,9460.0,0.0,2365.0,0.89
8,8,HU_BEVS_OTH,HU_BEVS_OTH,9080.0,1.0,HU,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,96692.58,0.0,9080.0,0.94
9,9,HU_P2HT_OTH,HU_P2HT_OTH,10504.0,1.0,HU,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.5007730023410932,5.0,0.1000515334894045,0.0,52520.0,0.03,,
10,10,HU_P2GS_HYD,HU_P2GS_HYD,2719.0,1.0,HU,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,35190.0,0.0,35834.0,0.72
11,11,HU_STUR_BIO_CHP,HU_STUR_BIO_CHP,179.0,5.0,HU,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4773.333333333333,0.03,,
12,12,HU_STUR_OIL_CHP,HU_STUR_OIL_CHP,11.0,1.0,HU,STUR,OIL,0.33,5,5,0.02,0.02,120.0,0.0,1.8,0.4,0.33,1.0,0.7246,Extraction,0.45,0.11,,,,,293.3333333333333,0.03,,
13,13,HU_COMC_GAS_CHP,HU_COMC_GAS_CHP,70.0,1.0,HU,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,884.2105263157896,0.03,,
14,14,HU_ICEN_GAS_CHP,HU_ICEN_GAS_CHP,9.913580246913579,81.0,HU,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,158.61728395061732,0.03,,
