,TE-TO Zagreb,EL-TO Zagreb,TE -TO Osijek
2015-01-04 06:00:00+00:00,294.9286923,240.9155,59.19443
2015-01-04 07:00:00+00:00,304.519005,240.9155,61.65906
2015-01-04 08:00:00+00:00,302.1214268,240.9155,58.6918
2015-01-04 09:00:00+00:00,297.0232786,239.6475,55.45439
2015-01-04 10:00:00+00:00,294.3227086,238.3795,53.06065
2015-01-04 11:00:00+00:00,293.1239195,238.3795,51.57702
2015-01-04 12:00:00+00:00,290.4233495,237.1116,50.09339
2015-01-04 13:00:00+00:00,290.7263413,238.3795,49.51986
2015-01-04 14:00:00+00:00,289.5275522,238.3795,49.85644
2015-01-04 15:00:00+00:00,290.7895754,239.6475,51.31925
2015-01-04 16:00:00+00:00,293.7299032,240.9155,53.46365
2015-01-04 17:00:00+00:00,301.2322188,244.7194,56.26262
2015-01-04 18:00:00+00:00,315.6374553,252.3273,59.60191
2015-01-04 19:00:00+00:00,313.5362799,251.0593,61.5904
2015-01-04 20:00:00+00:00,317.1458255,256.1312,63.17366
2015-01-04 21:00:00+00:00,317.7518092,258.6672,64.45355
2015-01-04 22:00:00+00:00,319.556582,261.2031,66.30697
2015-01-04 23:00:00+00:00,4.795156359,0,1.080635
2015-01-05 00:00:00+00:00,2.397578179,0,0.540318
2015-01-05 01:00:00+00:00,1.19878909,0,0.270159
2015-01-05 02:00:00+00:00,0.599394545,0,0.135079
2015-01-05 03:00:00+00:00,0.479515636,0,0.108064
2015-01-05 04:00:00+00:00,322.6997903,271.3469,72.19535
2015-01-05 05:00:00+00:00,323.7787004,271.3469,72.74187
2015-01-05 06:00:00+00:00,330.971435,271.3469,74.96955
2015-01-05 07:00:00+00:00,340.5617477,271.3469,76.82746
2015-01-05 08:00:00+00:00,323.1463601,258.6672,69.00631
2015-01-05 09:00:00+00:00,301.5286215,243.4514,61.21837
2015-01-05 10:00:00+00:00,280.8066801,226.9677,55.48759
2015-01-05 11:00:00+00:00,266.0918625,215.556,51.57702
2015-01-05 12:00:00+00:00,254.3806068,206.6801,48.27318
2015-01-05 13:00:00+00:00,254.6835986,207.9481,46.78955
2015-01-05 14:00:00+00:00,260.9937143,214.288,48.3396
2015-01-05 15:00:00+00:00,272.768204,224.4318,51.31925
2015-01-05 16:00:00+00:00,283.2174366,232.0397,55.89059
2015-01-05 17:00:00+00:00,290.7197522,235.8436,58.08283
2015-01-05 18:00:00+00:00,300.6196459,239.6475,60.51201
2015-01-05 19:00:00+00:00,304.5255942,243.4514,61.89377
2015-01-05 20:00:00+00:00,306.6333588,247.2554,62.87029
2015-01-05 21:00:00+00:00,308.7411235,251.0593,63.54345
2015-01-05 22:00:00+00:00,312.0476772,254.8632,64.79013
2015-01-05 23:00:00+00:00,4.795156359,0,1.080635
2015-01-06 00:00:00+00:00,2.397578179,0,0.540318
2015-01-06 01:00:00+00:00,1.19878909,0,0.270159
2015-01-06 02:00:00+00:00,0.599394545,0,0.135079
2015-01-06 03:00:00+00:00,0.479515636,0,0.108064
2015-01-06 04:00:00+00:00,337.7175997,284.0267,69.76841
2015-01-06 05:00:00+00:00,341.8000718,286.5626,70.61829
2015-01-06 06:00:00+00:00,351.9963682,289.0986,72.54261
2015-01-06 07:00:00+00:00,361.5866809,289.0986,74.70388
2015-01-06 08:00:00+00:00,350.1784171,281.4907,71.73662
2015-01-06 09:00:00+00:00,348.0838308,282.7587,68.80257
2015-01-06 10:00:00+00:00,336.3725751,273.8829,65.49873
2015-01-06 11:00:00+00:00,320.1559765,261.2031,63.40837
2015-01-06 12:00:00+00:00,311.4482827,254.8632,62.2281
2015-01-06 13:00:00+00:00,302.7405889,248.5233,60.44111
2015-01-06 14:00:00+00:00,300.0400188,247.2554,61.08105
2015-01-06 15:00:00+00:00,305.8073848,252.3273,63.45396
2015-01-06 16:00:00+00:00,314.7548364,258.6672,65.59836
2015-01-06 17:00:00+00:00,322.257152,262.4711,66.88049
2015-01-06 18:00:00+00:00,332.1570457,266.275,68.70294
2015-01-06 19:00:00+00:00,336.062994,270.0789,69.1746
2015-01-06 20:00:00+00:00,338.1707587,273.8829,69.24102
2015-01-06 21:00:00+00:00,340.2785233,277.6868,69.30744
2015-01-06 22:00:00+00:00,343.5850771,281.4907,69.64401
2015-01-06 23:00:00+00:00,4.795156359,0,1.080635
2015-01-07 00:00:00+00:00,2.397578179,0,0.540318
2015-01-07 01:00:00+00:00,1.19878909,0,0.270159
2015-01-07 02:00:00+00:00,0.599394545,0,0.135079
2015-01-07 03:00:00+00:00,0.479515636,0,0.108064
2015-01-07 04:00:00+00:00,349.7318473,294.1705,68.85831
2015-01-07 05:00:00+00:00,352.3125384,295.4385,69.10145
2015-01-07 06:00:00+00:00,359.5052729,295.4385,70.7224
2015-01-07 07:00:00+00:00,369.0955857,295.4385,72.58031
2015-01-07 08:00:00+00:00,347.1748552,278.9548,70.82652
2015-01-07 09:00:00+00:00,319.5499928,258.6672,67.89247
2015-01-07 10:00:00+00:00,294.3227086,238.3795,67.31894
2015-01-07 11:00:00+00:00,275.1025482,223.1638,65.22857
2015-01-07 12:00:00+00:00,263.3912924,214.288,63.74494
2015-01-07 13:00:00+00:00,256.1853796,209.2161,58.31753
2015-01-07 14:00:00+00:00,256.4883714,210.4841,55.62043
2015-01-07 15:00:00+00:00,268.2628612,220.6279,55.86977
2015-01-07 16:00:00+00:00,284.7192175,233.3076,58.31753
2015-01-07 17:00:00+00:00,292.2215331,237.1116,59.90303
2015-01-07 18:00:00+00:00,302.1214268,240.9155,62.33222
2015-01-07 19:00:00+00:00,304.5255942,243.4514,63.10724
2015-01-07 20:00:00+00:00,306.6333588,247.2554,63.7804
2015-01-07 21:00:00+00:00,308.7411235,251.0593,64.15018
2015-01-07 22:00:00+00:00,312.0476772,254.8632,65.09349
2015-01-07 23:00:00+00:00,4.795156359,0,1.080635
2015-01-08 00:00:00+00:00,2.397578179,0,0.540318
2015-01-08 01:00:00+00:00,1.19878909,0,0.270159
2015-01-08 02:00:00+00:00,0.599394545,0,0.135079
2015-01-08 03:00:00+00:00,0.479515636,0,0.108064
2015-01-08 04:00:00+00:00,330.208695,277.6868,70.98188
2015-01-08 05:00:00+00:00,331.2876052,277.6868,71.83176
2015-01-08 06:00:00+00:00,341.4839016,280.2227,74.05945
2015-01-08 07:00:00+00:00,351.0742143,280.2227,76.22072
2015-01-08 08:00:00+00:00,347.1748552,278.9548,74.7703
2015-01-08 09:00:00+00:00,340.574926,276.4188,73.35309
2015-01-08 10:00:00+00:00,336.3725751,273.8829,70.95935
2015-01-08 11:00:00+00:00,332.1702241,271.3469,70.08246
2015-01-08 12:00:00+00:00,329.469654,270.0789,69.50893
2015-01-08 13:00:00+00:00,328.2708649,270.0789,64.99162
2015-01-08 14:00:00+00:00,327.0720759,270.0789,62.90126
2015-01-08 15:00:00+00:00,328.334099,271.3469,63.15059
2015-01-08 16:00:00+00:00,334.2779887,275.1508,65.29499
2015-01-08 17:00:00+00:00,338.7767424,276.4188,67.18386
2015-01-08 18:00:00+00:00,348.6766361,280.2227,69.91641
2015-01-08 19:00:00+00:00,351.0808035,282.7587,70.99481
2015-01-08 20:00:00+00:00,351.6867872,285.2947,71.97133
2015-01-08 21:00:00+00:00,353.7945518,289.0986,72.64448
2015-01-08 22:00:00+00:00,355.5993246,291.6345,73.89116
2015-01-08 23:00:00+00:00,4.795156359,0,1.080635
2015-01-09 00:00:00+00:00,2.397578179,0,0.540318
2015-01-09 01:00:00+00:00,1.19878909,0,0.270159
2015-01-09 02:00:00+00:00,0.599394545,0,0.135079
2015-01-09 03:00:00+00:00,0.479515636,0,0.108064
2015-01-09 04:00:00+00:00,382.7710281,322.066,77.95934
2015-01-09 05:00:00+00:00,386.8535001,324.6019,78.50585
2015-01-09 06:00:00+00:00,397.0497966,327.1379,80.73354
2015-01-09 07:00:00+00:00,406.6401093,327.1379,82.59145
2015-01-09 08:00:00+00:00,381.7158169,308.1182,80.23092
2015-01-09 09:00:00+00:00,354.0909545,287.8306,77.90361
2015-01-09 10:00:00+00:00,333.3690132,271.3469,76.11661
2015-01-09 11:00:00+00:00,312.6470718,254.8632,74.93635
2015-01-09 12:00:00+00:00,297.9322542,243.4514,74.36282
2015-01-09 13:00:00+00:00,292.2281223,239.6475,69.23877
2015-01-09 14:00:00+00:00,291.0293332,239.6475,67.14841
2015-01-09 15:00:00+00:00,301.302042,248.5233,67.70111
2015-01-09 16:00:00+00:00,320.7619602,263.7391,70.14888
2015-01-09 17:00:00+00:00,329.7660567,268.811,71.73438
2015-01-09 18:00:00+00:00,341.1677314,273.8829,73.8602
2015-01-09 19:00:00+00:00,346.5754606,278.9548,74.63522
2015-01-09 20:00:00+00:00,350.1850062,284.0267,74.70164
2015-01-09 21:00:00+00:00,353.7945518,289.0986,75.07142
2015-01-09 22:00:00+00:00,358.6028865,294.1705,75.71137
2015-01-09 23:00:00+00:00,4.795156359,0,1.080635
2015-01-10 00:00:00+00:00,2.397578179,0,0.540318
2015-01-10 01:00:00+00:00,1.19878909,0,0.270159
2015-01-10 02:00:00+00:00,0.599394545,0,0.135079
2015-01-10 03:00:00+00:00,0.479515636,0,0.108064
2015-01-10 04:00:00+00:00,372.2585615,313.1901,77.65598
2015-01-10 05:00:00+00:00,374.8392526,314.4581,78.20249
2015-01-10 06:00:00+00:00,383.5337681,315.7261,79.82344
2015-01-10 07:00:00+00:00,393.1240808,315.7261,81.98471
2015-01-10 08:00:00+00:00,360.6908837,290.3666,79.62419
2015-01-10 09:00:00+00:00,319.5499928,258.6672,77.29687
2015-01-10 10:00:00+00:00,291.3191467,235.8436,75.50987
2015-01-10 11:00:00+00:00,275.1025482,223.1638,74.02624
2015-01-10 12:00:00+00:00,267.8966353,218.0919,72.84598
2015-01-10 13:00:00+00:00,260.6907224,213.02,67.41857
2015-01-10 14:00:00+00:00,259.4919333,213.02,65.02483
2015-01-10 15:00:00+00:00,269.7646421,221.8958,65.27417
2015-01-10 16:00:00+00:00,290.7263413,238.3795,68.0253
2015-01-10 17:00:00+00:00,299.7304378,243.4514,69.30744
2015-01-10 18:00:00+00:00,311.1321125,248.5233,71.43325
2015-01-10 19:00:00+00:00,315.0380608,252.3273,72.20828
2015-01-10 20:00:00+00:00,318.6476064,257.3992,72.57806
2015-01-10 21:00:00+00:00,322.257152,262.4711,72.94785
2015-01-10 22:00:00+00:00,325.5637057,266.275,73.28443
2015-01-10 23:00:00+00:00,4.795156359,0,1.080635
2015-01-11 00:00:00+00:00,2.397578179,0,0.540318
2015-01-11 01:00:00+00:00,1.19878909,0,0.270159
2015-01-11 02:00:00+00:00,0.599394545,0,0.135079
2015-01-11 03:00:00+00:00,0.479515636,0,0.108064
2015-01-11 04:00:00+00:00,339.2193807,285.2947,75.83577
2015-01-11 05:00:00+00:00,341.8000718,286.5626,76.07891
2015-01-11 06:00:00+00:00,350.4945873,287.8306,78.00323
2015-01-11 07:00:00+00:00,358.583119,286.5626,79.86114
2015-01-11 08:00:00+00:00,333.6588267,267.543,74.16356
2015-01-11 09:00:00+00:00,291.0161548,234.5756,67.5891
2015-01-11 10:00:00+00:00,277.8031182,224.4318,62.46505
2015-01-11 11:00:00+00:00,266.0918625,215.556,58.85785
2015-01-11 12:00:00+00:00,261.8895115,213.02,55.85738
2015-01-11 13:00:00+00:00,247.1746939,201.6082,54.67712
2015-01-11 14:00:00+00:00,242.9723429,199.0723,54.71033
2015-01-11 15:00:00+00:00,248.7397089,204.1442,57.08324
2015-01-11 16:00:00+00:00,265.1960652,216.8239,60.74447
2015-01-11 17:00:00+00:00,280.2072855,226.9677,63.84681
2015-01-11 18:00:00+00:00,297.616084,237.1116,67.48947
2015-01-11 19:00:00+00:00,309.030937,247.2554,69.78134
2015-01-11 20:00:00+00:00,318.6476064,257.3992,71.66796
2015-01-11 21:00:00+00:00,328.2642758,267.543,73.55459
2015-01-11 22:00:00+00:00,339.0797343,277.6868,75.71137
2015-01-11 23:00:00+00:00,4.795156359,0,1.080635
2015-01-12 00:00:00+00:00,2.397578179,0,0.540318
2015-01-12 01:00:00+00:00,1.19878909,0,0.270159
2015-01-12 02:00:00+00:00,0.599394545,0,0.135079
2015-01-12 03:00:00+00:00,0.479515636,0,0.108064
2015-01-12 04:00:00+00:00,403.7959613,339.8176,92.521
2015-01-12 05:00:00+00:00,410.8819953,344.8895,94.28098
2015-01-12 06:00:00+00:00,424.0818536,349.9614,97.41877
2015-01-12 07:00:00+00:00,435.1739472,351.2294,99.58005
2015-01-12 08:00:00+00:00,431.2745881,349.9614,96.00605
2015-01-12 09:00:00+00:00,427.6782208,349.9614,95.80231
2015-01-12 10:00:00+00:00,423.4758699,347.4255,93.10521
2015-01-12 11:00:00+00:00,419.2735189,344.8895,88.5879
2015-01-12 12:00:00+00:00,415.0711679,342.3536,86.19416
2015-01-12 13:00:00+00:00,412.3705979,341.0856,84.40717
2015-01-12 14:00:00+00:00,411.1718088,341.0856,83.83364
2015-01-12 15:00:00+00:00,415.4373938,344.8895,85.59981
2015-01-12 16:00:00+00:00,422.8830645,349.9614,88.35095
2015-01-12 17:00:00+00:00,427.3818182,351.2294,90.23982
2015-01-12 18:00:00+00:00,435.779931,353.7654,92.669
2015-01-12 19:00:00+00:00,438.1840983,356.3013,93.7474
2015-01-12 20:00:00+00:00,437.2883011,357.5693,94.11718
2015-01-12 21:00:00+00:00,437.8942848,360.1053,94.79033
2015-01-12 22:00:00+00:00,439.6990576,362.6412,95.73365
2015-01-12 23:00:00+00:00,4.795156359,0,1.080635
2015-01-13 00:00:00+00:00,2.397578179,0,0.540318
2015-01-13 01:00:00+00:00,1.19878909,0,0.270159
2015-01-13 02:00:00+00:00,0.599394545,0,0.135079
2015-01-13 03:00:00+00:00,0.479515636,0,0.108064
2015-01-13 04:00:00+00:00,417.3119898,351.2294,94.94794
2015-01-13 05:00:00+00:00,412.3837762,346.1575,95.19109
2015-01-13 06:00:00+00:00,418.0747298,344.8895,96.81204
2015-01-13 07:00:00+00:00,426.1632616,343.6216,98.36657
2015-01-13 08:00:00+00:00,419.2603406,339.8176,92.06227
2015-01-13 09:00:00+00:00,411.1586305,336.0137,85.18443
2015-01-13 10:00:00+00:00,403.9527176,330.9418,79.15029
2015-01-13 11:00:00+00:00,398.2485857,327.1379,74.93635
2015-01-13 12:00:00+00:00,394.0462347,324.6019,72.23924
2015-01-13 13:00:00+00:00,389.8438837,322.066,71.05898
2015-01-13 14:00:00+00:00,388.6450946,322.066,71.39556
2015-01-13 15:00:00+00:00,389.9071177,323.3339,74.07184
2015-01-13 16:00:00+00:00,397.3527884,328.4058,78.33981
2015-01-13 17:00:00+00:00,397.3461993,325.8699,79.62194
2015-01-13 18:00:00+00:00,398.2354073,322.066,81.44439
2015-01-13 19:00:00+00:00,396.1342318,320.798,81.91605
2015-01-13 20:00:00+00:00,392.2348727,319.53,81.98247
2015-01-13 21:00:00+00:00,394.3426374,323.3339,82.04889
2015-01-13 22:00:00+00:00,385.6349436,316.9941,82.38546
2015-01-13 23:00:00+00:00,4.795156359,0,1.080635
2015-01-14 00:00:00+00:00,2.397578179,0,0.540318
2015-01-14 01:00:00+00:00,1.19878909,0,0.270159
2015-01-14 02:00:00+00:00,0.599394545,0,0.135079
2015-01-14 03:00:00+00:00,0.479515636,0,0.108064
2015-01-14 04:00:00+00:00,375.2621233,315.7261,84.9368
2015-01-14 05:00:00+00:00,376.3410335,315.7261,85.48331
2015-01-14 06:00:00+00:00,383.5337681,315.7261,87.40764
2015-01-14 07:00:00+00:00,393.1240808,315.7261,89.26554
2015-01-14 08:00:00+00:00,387.7229407,313.1901,86.29828
2015-01-14 09:00:00+00:00,381.1230115,310.6542,82.75749
2015-01-14 10:00:00+00:00,376.9206606,308.1182,79.75702
2015-01-14 11:00:00+00:00,374.2200905,306.8502,77.36329
2015-01-14 12:00:00+00:00,371.5195205,305.5823,75.57629
2015-01-14 13:00:00+00:00,368.8189505,304.3143,75.00276
2015-01-14 14:00:00+00:00,367.6201614,304.3143,74.7326
2015-01-14 15:00:00+00:00,368.8821845,305.5823,76.19541
2015-01-14 16:00:00+00:00,373.3242933,308.1182,78.33981
2015-01-14 17:00:00+00:00,377.823047,309.3862,80.53205
2015-01-14 18:00:00+00:00,384.7193788,310.6542,83.2646
2015-01-14 19:00:00+00:00,385.6217652,311.9222,84.94973
2015-01-14 20:00:00+00:00,386.2277489,314.4581,85.62288
2015-01-14 21:00:00+00:00,385.3319517,315.7261,86.29603
2015-01-14 22:00:00+00:00,390.1402864,320.798,87.54272
2015-01-14 23:00:00+00:00,4.795156359,0,1.080635
2015-01-15 00:00:00+00:00,2.397578179,0,0.540318
2015-01-15 01:00:00+00:00,1.19878909,0,0.270159
2015-01-15 02:00:00+00:00,0.599394545,0,0.135079
2015-01-15 03:00:00+00:00,0.479515636,0,0.108064
2015-01-15 04:00:00+00:00,391.7817137,329.6738,95.25131
2015-01-15 05:00:00+00:00,394.3624049,330.9418,96.40456
2015-01-15 06:00:00+00:00,403.0569203,332.2098,98.93561
2015-01-15 07:00:00+00:00,412.6472331,332.2098,101.0969
2015-01-15 08:00:00+00:00,405.7443121,328.4058,99.64646
2015-01-15 09:00:00+00:00,396.140821,323.3339,98.22925
2015-01-15 10:00:00+00:00,390.4366891,319.53,97.04899
2015-01-15 11:00:00+00:00,384.7325572,315.7261,95.86873
2015-01-15 12:00:00+00:00,380.5302062,313.1901,95.2952
2015-01-15 13:00:00+00:00,379.3314171,313.1901,95.02504
2015-01-15 14:00:00+00:00,379.6344089,314.4581,95.36162
2015-01-15 15:00:00+00:00,382.398213,316.9941,96.21769
2015-01-15 16:00:00+00:00,389.8438837,322.066,97.75535
2015-01-15 17:00:00+00:00,388.3355136,318.262,98.12738
2015-01-15 18:00:00+00:00,389.2247217,314.4581,98.73636
2015-01-15 19:00:00+00:00,384.1199843,310.6542,98.90465
2015-01-15 20:00:00+00:00,377.2170633,306.8502,95.93739
2015-01-15 21:00:00+00:00,370.3141422,303.0463,94.79033
2015-01-15 22:00:00+00:00,364.6100103,299.2424,93.61007
2015-01-15 23:00:00+00:00,4.795156359,0,1.080635
2015-01-16 00:00:00+00:00,2.397578179,0,0.540318
2015-01-16 01:00:00+00:00,1.19878909,0,0.270159
2015-01-16 02:00:00+00:00,0.599394545,0,0.135079
2015-01-16 03:00:00+00:00,0.479515636,0,0.108064
2015-01-16 04:00:00+00:00,340.7211616,286.5626,85.54354
2015-01-16 05:00:00+00:00,340.2982908,285.2947,85.17995
2015-01-16 06:00:00+00:00,345.9892444,284.0267,86.19416
2015-01-16 07:00:00+00:00,355.5795571,284.0267,88.05207
2015-01-16 08:00:00+00:00,345.6730742,277.6868,84.1747
2015-01-16 09:00:00+00:00,333.0660213,270.0789,82.45412
2015-01-16 10:00:00+00:00,319.8529847,259.9351,81.57723
2015-01-16 11:00:00+00:00,309.6435099,252.3273,80.39697
2015-01-16 12:00:00+00:00,299.4340351,244.7194,79.2167
2015-01-16 13:00:00+00:00,293.7299032,240.9155,72.27245
2015-01-16 14:00:00+00:00,292.5311141,240.9155,68.36188
2015-01-16 15:00:00+00:00,295.2949182,243.4514,67.70111
2015-01-16 16:00:00+00:00,304.2423698,249.7913,70.45225
2015-01-16 17:00:00+00:00,305.7375616,248.5233,71.43101
2015-01-16 18:00:00+00:00,311.1321125,248.5233,72.95009
2015-01-16 19:00:00+00:00,309.030937,247.2554,72.81501
2015-01-16 20:00:00+00:00,305.1315779,245.9874,72.57806
2015-01-16 21:00:00+00:00,301.2322188,244.7194,72.34111
2015-01-16 22:00:00+00:00,300.0334297,244.7194,72.37432
2015-01-16 23:00:00+00:00,4.795156359,0,1.080635
2015-01-17 00:00:00+00:00,2.397578179,0,0.540318
2015-01-17 01:00:00+00:00,1.19878909,0,0.270159
2015-01-17 02:00:00+00:00,0.599394545,0,0.135079
2015-01-17 03:00:00+00:00,0.479515636,0,0.108064
2015-01-17 04:00:00+00:00,294.1659523,247.2554,76.4425
2015-01-17 05:00:00+00:00,295.2448625,247.2554,77.29238
2015-01-17 06:00:00+00:00,302.437597,247.2554,79.2167
2015-01-17 07:00:00+00:00,312.0279097,247.2554,81.37797
2015-01-17 08:00:00+00:00,293.1107412,233.3076,77.50061
2015-01-17 09:00:00+00:00,269.9912216,216.8239,73.35309
2015-01-17 10:00:00+00:00,249.2692802,200.3402,71.86946
2015-01-17 11:00:00+00:00,236.0562436,190.1964,71.5993
2015-01-17 12:00:00+00:00,228.8503307,185.1245,71.93588
2015-01-17 13:00:00+00:00,224.6479797,182.5886,67.1152
2015-01-17 14:00:00+00:00,223.4491906,182.5886,64.4181
2015-01-17 15:00:00+00:00,232.2201185,190.1964,64.66743
2015-01-17 16:00:00+00:00,245.672913,200.3402,67.41857
2015-01-17 17:00:00+00:00,250.1716666,201.6082,69.00407
2015-01-17 18:00:00+00:00,255.5662175,201.6082,71.12989
2015-01-17 19:00:00+00:00,256.4686039,202.8762,71.60154
2015-01-17 20:00:00+00:00,255.5728067,204.1442,71.97133
2015-01-17 21:00:00+00:00,253.1752285,204.1442,72.34111
2015-01-17 22:00:00+00:00,253.4782204,205.4121,72.67769
2015-01-17 23:00:00+00:00,4.795156359,0,1.080635
2015-01-18 00:00:00+00:00,2.397578179,0,0.540318
2015-01-18 01:00:00+00:00,1.19878909,0,0.270159
2015-01-18 02:00:00+00:00,0.599394545,0,0.135079
2015-01-18 03:00:00+00:00,0.479515636,0,0.108064
2015-01-18 04:00:00+00:00,249.1125239,209.2161,73.10546
2015-01-18 05:00:00+00:00,250.1914341,209.2161,73.65197
2015-01-18 06:00:00+00:00,257.3841687,209.2161,75.27292
2015-01-18 07:00:00+00:00,265.4727004,207.9481,76.52409
2015-01-18 08:00:00+00:00,258.5697794,204.1442,71.43325
2015-01-18 09:00:00+00:00,250.4680693,200.3402,63.34195
2015-01-18 10:00:00+00:00,244.7639374,196.5363,61.55495
2015-01-18 11:00:00+00:00,242.0633674,195.2683,60.07132
2015-01-18 12:00:00+00:00,236.3592354,191.4644,59.80116
2015-01-18 13:00:00+00:00,206.6266084,167.3729,57.40743
2015-01-18 14:00:00+00:00,191.9117908,155.9611,56.8339
2015-01-18 15:00:00+00:00,190.170252,154.6931,57.99334
2015-01-18 16:00:00+00:00,200.6194846,162.301,61.35121
2015-01-18 17:00:00+00:00,203.6164573,162.301,62.63334
2015-01-18 18:00:00+00:00,209.0110082,162.301,64.45579
2015-01-18 19:00:00+00:00,209.9133946,163.5689,64.92745
2015-01-18 20:00:00+00:00,207.5158165,163.5689,64.99387
2015-01-18 21:00:00+00:00,205.1182383,163.5689,65.06029
2015-01-18 22:00:00+00:00,203.9194492,163.5689,65.39686
