,TE-TO Zagreb,EL-TO Zagreb,TE -TO Osijek
2014-12-31 23:00:00+00:00,2.397578179,0,0.540318
2015-01-01 00:00:00+00:00,2.397578179,0,0.540318
2015-01-01 01:00:00+00:00,1.19878909,0,0.270159
2015-01-01 02:00:00+00:00,0.599394545,0,0.135079
2015-01-01 03:00:00+00:00,0.479515636,0,0.108064
2015-01-01 04:00:00+00:00,193.546629,162.301,40.03836
2015-01-01 05:00:00+00:00,196.1273201,163.5689,40.28151
2015-01-01 06:00:00+00:00,203.3200546,163.5689,41.90246
2015-01-01 07:00:00+00:00,211.4085864,162.301,43.45699
2015-01-01 08:00:00+00:00,203.0038845,157.2291,41.09647
2015-01-01 09:00:00+00:00,190.3968315,149.6212,37.85905
2015-01-01 10:00:00+00:00,175.6820139,138.2094,34.25184
2015-01-01 11:00:00+00:00,160.9671963,126.7976,30.0379
2015-01-01 12:00:00+00:00,152.2595025,120.4577,28.25091
2015-01-01 13:00:00+00:00,154.0642753,122.9937,29.19422
2015-01-01 14:00:00+00:00,158.87261,128.0656,31.04763
2015-01-01 15:00:00+00:00,166.1417569,134.4055,32.81381
2015-01-01 16:00:00+00:00,173.5874276,139.4774,34.35147
2015-01-01 17:00:00+00:00,181.0897432,143.2813,35.93697
2015-01-01 18:00:00+00:00,190.9896369,147.0852,38.06279
2015-01-01 19:00:00+00:00,193.3938042,149.6212,38.83781
2015-01-01 20:00:00+00:00,195.5015689,153.4251,39.2076
2015-01-01 21:00:00+00:00,197.6093336,157.2291,39.57739
2015-01-01 22:00:00+00:00,200.9158873,161.033,40.21733
2015-01-01 23:00:00+00:00,4.795156359,0,1.080635
2015-01-02 00:00:00+00:00,2.397578179,0,0.540318
2015-01-02 01:00:00+00:00,1.19878909,0,0.270159
2015-01-02 02:00:00+00:00,0.599394545,0,0.135079
2015-01-02 03:00:00+00:00,0.479515636,0,0.108064
2015-01-02 04:00:00+00:00,261.1267715,219.3599,50.35287
2015-01-02 05:00:00+00:00,268.2128055,224.4318,51.50612
2015-01-02 06:00:00+00:00,282.9144447,230.7717,54.34054
2015-01-02 07:00:00+00:00,294.0065384,232.0397,56.80518
2015-01-02 08:00:00+00:00,291.6089602,232.0397,55.96149
2015-01-02 09:00:00+00:00,277.5001263,223.1638,53.33081
2015-01-02 10:00:00+00:00,267.2906516,215.556,51.84718
2015-01-02 11:00:00+00:00,260.0847387,210.4841,50.66692
2015-01-02 12:00:00+00:00,257.3841687,209.2161,50.39676
2015-01-02 13:00:00+00:00,256.1853796,209.2161,50.1266
2015-01-02 14:00:00+00:00,257.9901524,211.752,50.46318
2015-01-02 15:00:00+00:00,263.7575183,216.8239,51.62262
2015-01-02 16:00:00+00:00,272.70497,223.1638,53.16028
2015-01-02 17:00:00+00:00,280.2072855,226.9677,54.13904
2015-01-02 18:00:00+00:00,291.6089602,232.0397,55.96149
2015-01-02 19:00:00+00:00,297.0166895,237.1116,56.43315
2015-01-02 20:00:00+00:00,300.6262351,242.1835,56.1962
2015-01-02 21:00:00+00:00,304.2357807,247.2554,56.26262
2015-01-02 22:00:00+00:00,309.0441153,252.3273,56.29583
2015-01-02 23:00:00+00:00,4.795156359,0,1.080635
2015-01-03 00:00:00+00:00,2.397578179,0,0.540318
2015-01-03 01:00:00+00:00,1.19878909,0,0.270159
2015-01-03 02:00:00+00:00,0.599394545,0,0.135079
2015-01-03 03:00:00+00:00,0.479515636,0,0.108064
2015-01-03 04:00:00+00:00,301.674857,253.5952,50.65624
2015-01-03 05:00:00+00:00,301.2519863,252.3273,50.29264
2015-01-03 06:00:00+00:00,306.9429399,251.0593,51.30686
2015-01-03 07:00:00+00:00,316.5332526,251.0593,53.16477
2015-01-03 08:00:00+00:00,293.1107412,233.3076,50.50087
2015-01-03 09:00:00+00:00,263.9840978,211.752,45.74661
2015-01-03 10:00:00+00:00,238.7568136,191.4644,43.35288
2015-01-03 11:00:00+00:00,219.5366532,176.2487,40.65578
2015-01-03 12:00:00+00:00,204.8218356,164.8369,38.26204
2015-01-03 13:00:00+00:00,196.1141418,158.497,36.77841
2015-01-03 14:00:00+00:00,196.4171336,159.765,35.90152
2015-01-03 15:00:00+00:00,208.1916234,169.9088,37.36433
2015-01-03 16:00:00+00:00,224.6479797,182.5886,39.50873
2015-01-03 17:00:00+00:00,232.1502953,186.3925,40.79086
2015-01-03 18:00:00+00:00,242.050189,190.1964,42.91668
2015-01-03 19:00:00+00:00,245.9561373,194.0004,43.6917
2015-01-03 20:00:00+00:00,248.063902,197.8043,44.06149
2015-01-03 21:00:00+00:00,250.1716666,201.6082,44.73464
2015-01-03 22:00:00+00:00,253.4782204,205.4121,44.76785
2015-01-03 23:00:00+00:00,4.795156359,0,1.080635
2015-01-04 00:00:00+00:00,2.397578179,0,0.540318
2015-01-04 01:00:00+00:00,1.19878909,0,0.270159
2015-01-04 02:00:00+00:00,0.599394545,0,0.135079
2015-01-04 03:00:00+00:00,0.479515636,0,0.108064
2015-01-04 04:00:00+00:00,280.6499238,235.8436,55.20675
2015-01-04 05:00:00+00:00,284.7323959,238.3795,56.66337
