,ES_IND,ES_DHN,ES_DEC
2050-01-01 00:00:00,9770.273000000001,10136.89,19672.35
2050-01-01 01:00:00,9770.273000000001,10418.958999999999,20120.536000000004
2050-01-01 02:00:00,9770.273000000001,10776.311000000002,20718.147
2050-01-01 03:00:00,9770.273000000001,10751.088000000003,20718.145999999997
2050-01-01 04:00:00,9639.061000000002,11114.478,21315.668000000005
2050-01-01 05:00:00,9554.694,10947.030999999999,21016.907
2050-01-01 06:00:00,9554.693,11034.788,21166.332000000002
2050-01-01 07:00:00,9531.903,10949.196000000002,21016.907
2050-01-01 08:00:00,9153.348,10809.696,20718.147
2050-01-01 09:00:00,8501.039,10696.150000000001,20419.297
2050-01-01 10:00:00,8058.086999999999,10562.768,20120.536
2050-01-01 11:00:00,9626.579,10238.298,19821.774999999998
2050-01-01 12:00:00,9770.273,10136.890000000003,19672.35
2050-01-01 13:00:00,9770.273000000001,8645.327,17132.661
2050-01-01 14:00:00,9770.272,7943.424000000002,15937.529999999999
2050-01-01 15:00:00,9770.272,7767.9619999999995,15638.769999999999
2050-01-01 16:00:00,9770.273000000001,8294.402000000002,16535.141
2050-01-01 17:00:00,9770.273000000001,8469.864000000001,16833.902
2050-01-01 18:00:00,9770.273000000001,8645.327000000001,17132.662
2050-01-01 19:00:00,9770.273000000001,8820.843,17431.512
2050-01-01 20:00:00,9770.273000000001,9084.063,17879.698
2050-01-01 21:00:00,9770.273000000001,9259.525,18178.459000000003
2050-01-01 22:00:00,9770.273000000001,9434.988000000001,18477.218999999997
2050-01-01 23:00:00,9770.271000000002,9610.45,18775.979
2050-01-02 00:00:00,9770.273000000001,10136.89,19672.35
2050-01-02 01:00:00,9770.273000000001,10418.958999999999,20120.536000000004
2050-01-02 02:00:00,9770.273000000001,10776.311000000002,20718.147
2050-01-02 03:00:00,9770.273000000001,10751.088000000003,20718.145999999997
2050-01-02 04:00:00,9639.061000000002,11114.478,21315.668000000005
2050-01-02 05:00:00,9554.694,10947.030999999999,21016.907
2050-01-02 06:00:00,9554.693,11034.788,21166.332000000002
2050-01-02 07:00:00,9531.903,10949.196000000002,21016.907
2050-01-02 08:00:00,9153.348,10809.696,20718.147
2050-01-02 09:00:00,8501.039,10696.150000000001,20419.297
2050-01-02 10:00:00,8058.086999999999,10562.768,20120.536
2050-01-02 11:00:00,9626.579,10238.298,19821.774999999998
2050-01-02 12:00:00,9770.273,10136.890000000003,19672.35
2050-01-02 13:00:00,9770.273000000001,8645.327,17132.661
2050-01-02 14:00:00,9770.272,7943.424000000002,15937.529999999999
2050-01-02 15:00:00,9770.272,7767.9619999999995,15638.769999999999
2050-01-02 16:00:00,9770.273000000001,8294.402000000002,16535.141
2050-01-02 17:00:00,9770.273000000001,8469.864000000001,16833.902
2050-01-02 18:00:00,9770.273000000001,8645.327000000001,17132.662
2050-01-02 19:00:00,9770.273000000001,8820.843,17431.512
2050-01-02 20:00:00,9770.273000000001,9084.063,17879.698
2050-01-02 21:00:00,9770.273000000001,9259.525,18178.459000000003
2050-01-02 22:00:00,9770.273000000001,9434.988000000001,18477.218999999997
2050-01-02 23:00:00,9770.271000000002,9610.45,18775.979
2050-01-03 00:00:00,9770.273000000001,10136.89,19672.35
2050-01-03 01:00:00,9770.273000000001,10418.958999999999,20120.536000000004
2050-01-03 02:00:00,9770.273000000001,10776.311000000002,20718.147
2050-01-03 03:00:00,9770.273000000001,10751.088000000003,20718.145999999997
2050-01-03 04:00:00,9639.061000000002,11114.478,21315.668000000005
2050-01-03 05:00:00,9554.694,10947.030999999999,21016.907
2050-01-03 06:00:00,9554.693,11034.788,21166.332000000002
2050-01-03 07:00:00,9531.903,10949.196000000002,21016.907
2050-01-03 08:00:00,9153.348,10809.696,20718.147
2050-01-03 09:00:00,8501.039,10696.150000000001,20419.297
2050-01-03 10:00:00,8058.086999999999,10562.768,20120.536
2050-01-03 11:00:00,9626.579,10238.298,19821.774999999998
2050-01-03 12:00:00,9770.273,10136.890000000003,19672.35
2050-01-03 13:00:00,9770.273000000001,8645.327,17132.661
2050-01-03 14:00:00,9770.272,7943.424000000002,15937.529999999999
2050-01-03 15:00:00,9770.272,7767.9619999999995,15638.769999999999
2050-01-03 16:00:00,9770.273000000001,8294.402000000002,16535.141
2050-01-03 17:00:00,9770.273000000001,8469.864000000001,16833.902
2050-01-03 18:00:00,9770.273000000001,8645.327000000001,17132.662
2050-01-03 19:00:00,9770.273000000001,8820.843,17431.512
2050-01-03 20:00:00,9770.273000000001,9084.063,17879.698
2050-01-03 21:00:00,9770.273000000001,9259.525,18178.459000000003
2050-01-03 22:00:00,9770.273000000001,9434.988000000001,18477.218999999997
2050-01-03 23:00:00,9770.271000000002,9610.45,18775.979
2050-01-04 00:00:00,6263.504000000001,14361.266000000003,24452.966
2050-01-04 01:00:00,6263.502999999999,14448.971000000001,24602.301000000003
2050-01-04 02:00:00,6263.503000000001,14536.729000000001,24751.727000000003
2050-01-04 03:00:00,6263.503000000001,14624.485999999999,24901.153
2050-01-04 04:00:00,6263.503000000001,14712.190999999999,25050.487999999998
2050-01-04 05:00:00,6263.503999999999,14799.949,25199.913
2050-01-04 06:00:00,6263.502999999999,14712.192000000003,25050.487
2050-01-04 07:00:00,6263.503,14624.486999999997,24901.152
2050-01-04 08:00:00,6263.503,14692.288999999999,23706.021
2050-01-04 09:00:00,6263.503000000001,14165.848000000002,22809.649
2050-01-04 10:00:00,6263.504,13463.946,21614.518
2050-01-04 11:00:00,6263.503000000001,12849.748,20568.722
2050-01-04 12:00:00,6263.503000000001,12235.603000000001,19523.015
2050-01-04 13:00:00,6263.503000000001,11709.162,18626.644
2050-01-04 14:00:00,6263.502999999999,11445.942000000001,18178.458
2050-01-04 15:00:00,6263.503,11445.943000000003,18178.457000000002
