,ES_PHS,ES_BATT_LI,ES_BEV_BATT,ES_TS_DEC_HP_ELEC,ES_TS_DHN_SEASONAL,ES_TS_HIGH_TEMP,ES_GAS_STORAGE,ES_H2_STORAGE,ES_DIESEL_STORAGE,ES_GASOLINE_STORAGE,ES_LFO_STORAGE,ES_AMMONIA_STORAGE,ES_METHANOL_STORAGE,ES_CO2_STORAGE
2050-01-01 00:00:00,0.5549436923076922,0.676069730786137,0.6708572855353804,0.6778390100006682,0.8919323375881009,0.8129324731698011,0.6290015145472437,0.373992870281097,0.4999382618052249,0.49999118025788925,0.5000088197421108,0.7050378516697294,0.7594613526143514,0.00010404383713671361
2050-01-01 01:00:00,0.6746915384615384,0.7219092519452147,0.6893399629762548,0.7697835184036672,0.8932747694035595,0.8753104474738763,0.6294403443457133,0.39203838328076585,0.4999382618052249,0.49999118025788925,0.5000088197421108,0.7060344833254646,0.7598613395200952,0.42113477145037115
2050-01-01 02:00:00,0.8319798461538461,0.8385158906246314,0.7080113379614952,0.876558169509314,0.8945168136787861,0.9376662592236751,0.6298791740626121,0.410488950103031,0.4999382618052249,0.49999118025788925,0.5000088197421108,0.7070311142157294,0.7602613261904931,0.9999653187209544
2050-01-01 03:00:00,1.0,1.0,0.7245708449049836,1.0,0.8957658626236593,1.0,0.6303051434777474,0.4273368445692228,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7080277458714647,0.7606613130962369,0.9545328431712563
2050-01-01 04:00:00,1.0,1.0,0.7372955693567477,1.0,0.8969128353850387,1.0,0.6306945293321548,0.4339303498352935,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7090243775271998,0.7610613000019804,0.9090656863425123
2050-01-01 05:00:00,0.9999996923076924,0.9998000267591387,0.7408221915287133,0.7777753454278173,0.8981067395733979,1.0,0.6309961148202713,0.4339303498352935,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7100210084174645,0.7614612866723784,0.8636332107928141
2050-01-01 06:00:00,0.999987076923077,0.7897903981511344,0.7299841435938076,0.5213664795087115,0.899275938652602,0.8177037414146432,0.6311605511096805,0.4339303003721328,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7110176400731999,0.7618612735781221,0.8181660539640703
2050-01-01 07:00:00,0.8650626153846154,0.5264746203254567,0.7229792589637769,0.2670704332603243,0.9004690919897768,0.31741402554499965,0.6313615663102773,0.4319109338629893,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7120142709634646,0.7622612604838657,0.772733578414372
2050-01-01 08:00:00,0.5771943076923077,0.26321178453743155,0.717891184333047,0.014869777757759016,0.9017013297274976,2.7474240838645707e-07,0.631580870028403,0.3963486690510438,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7130109026191997,0.7626612471542638,0.727266421585628
2050-01-01 09:00:00,0.2886203076923077,1.980824538022197e-06,0.7099308383020226,0.0,0.9029653639778582,2.7474240838645707e-07,0.6317727393388178,0.30298701926733557,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7140075335094646,0.7630612340600074,0.6818339460359298
2050-01-01 10:00:00,1.5384615384615385e-07,0.0,0.6981412648356957,0.0,0.9042667611445355,0.0,0.6319280312878918,0.17037648340637093,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7150041651651998,0.763461220965751,0.636366789207186
2050-01-01 11:00:00,0.0,0.0,0.683289186273082,0.0,0.9056591550188383,0.0,0.632054059602276,0.17599444324258126,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.716000796820935,0.763861207636149,0.5909343136574877
2050-01-01 12:00:00,0.16807692307692307,0.10850245523201486,0.6715049436680744,0.0789292487492909,0.9070799293837569,0.06266654541368377,0.6322093516329208,0.19284233770877307,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7169974277111998,0.7642611945418927,0.5454671568287438
2050-01-01 13:00:00,0.32541061538461535,0.17381933403598582,0.6593399015301896,0.1437371660729108,0.9089192874248456,0.12531083669228824,0.6323609852911787,0.20969023217496494,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7179940593669348,0.7646611812122907,0.5000346812790456
2050-01-01 14:00:00,0.4458443076923077,0.2137347492267131,0.6433463128458313,0.194523723304128,0.9109555523295122,0.18793296541661617,0.6324760401198196,0.22653811015343653,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7189906902571999,0.7650611681180343,0.4545675244503017
2050-01-01 15:00:00,0.4895912307692308,0.24226654587238483,0.6258234893692496,0.23703012379681362,0.9130409450763051,0.25053284000586484,0.6325764630903302,0.24338600461962837,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7199873219129349,0.7654611550237779,0.4091350489006035
2050-01-01 16:00:00,0.49821492307692306,0.2692814811093266,0.6083041699790801,0.27242830525999007,0.9149784437179135,0.31311046046003416,0.6326768861424118,0.26023389908582023,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7209839528031997,0.7658611416941759,0.3636678920718596
2050-01-01 17:00:00,0.4997049230769231,0.2967728946851416,0.6003657452469393,0.30694441863353666,0.9168665739643246,0.3756658267791242,0.6328687553712559,0.27708179355201207,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.7219805844589349,0.7662611285999195,0.31823541652216136
2050-01-01 18:00:00,0.4999215384615385,0.3292618385329077,0.6000908903551433,0.343487869450773,0.9187053389031506,0.4381990305439378,0.6331337822593336,0.2939296880182039,0.49995590128944634,0.49999118025788925,0.5000088197421108,0.72297721611467,0.7666611155056633,0.2727682596934175
